Sprungtyp,SprungID,ACC_N,ACC_N_ROT_filtered,Acc_x_Fil,Acc_y_Fil,Acc_z_Fil,Gyro_x_Fil,Gyro_y_Fil,Gyro_z_Fil,DJump_SIG_I_x LapEnd,DJump_SIG_I_y LapEnd,DJump_SIG_I_z LapEnd,DJump_Abs_I_x LapEnd,DJump_Abs_I_y LapEnd,DJump_Abs_I_z LapEnd
Doppelsalto B,0115-MORITZ-03-115,30.242,30.137,-15.348,-2.081,3.795,-17.151,353.872,4.237,-34.42,704.061,7.435,58.168,742.895,50.013
Fliffis aus B,0115-MORITZ-03-116,31.499,31.822,-13.773,-0.454,-0.156,21.899,-147.339,-86.139,41.721,-280.776,-162.164,137.008,639.79,210.038
Voll- ein- voll- aus B,0115-MORITZ-03-117,37.719,37.702,-17.458,2.395,-4.001,-181.61,79.476,-382.974,-334.275,147.975,-705.654,424.918,552.829,739.725
Voll- ein- halb- aus B,0115-MORITZ-03-118,37.56,38.112,-18.47,2.477,-4.207,-217.688,-117.313,-275.359,-382.184,-207.754,-483.358,398.837,622.642,512.84
Voll- ein- voll- aus A,0115-MORITZ-03-119,39.671,39.75,-20.858,1.014,-9.581,-205.086,159.213,-397.777,-341.97,266.286,-662.809,414.334,508.515,712.301
Salto C,0115-MORITZ-03-128,16.787,16.664,0.122,-0.907,5.068,-3.437,166.204,5.786,-6.994,345.277,12.626,23.611,386.925,33.298
Fliffis aus B,0115-MORITZ-03-129,29.914,30.294,-11.698,-0.607,-0.698,37.969,-117.835,-87.07,76.099,-237.306,-174.244,148.974,613.944,220.202
Voll- ein- voll- aus B,0115-MORITZ-03-130,35.613,35.486,-16.385,2.923,-1.567,-163.031,76.244,-365.197,-317.235,150.18,-710.679,461.631,562.01,737.473
Fliffis- Rudi B,0115-MORITZ-03-131,36.555,36.875,-19.039,0.474,-0.509,-190.921,-148.073,-224.184,-350.219,-272.739,-411.293,371.132,656.367,476.069
Doppelsalto C,0115-MORITZ-03-132,32.516,32.399,-15.55,-0.974,0.418,-7.334,371.147,12.165,-13.563,700.202,23.056,46.377,702.581,59.922
Voll- ein- halb- aus B,0115-MORITZ-03-133,36.209,36.332,-16.475,1.651,-1.966,-184.883,-127.604,-260.432,-340.424,-235.891,-479.534,397.395,611.777,514.138
Salto C,0115-MORITZ-03-143,17.207,17.137,-0.024,-1.261,5.029,4.64,164.1,10.719,9.738,343.475,22.67,29.874,389.199,35.221
Fliffis aus B,0115-MORITZ-03-144,29.347,29.7,-10.547,-0.423,-1.362,63.043,-107.928,-79.674,127.772,-220.466,-161.686,179.136,594.439,208.712
Voll- ein- voll- aus B,0115-MORITZ-03-145,35.53,35.438,-15.704,2.995,-0.946,-141.557,86.903,-353.96,-277.539,172.983,-694.944,464.194,568.632,712.673
Fliffis- Rudi B,0115-MORITZ-03-146,37.324,37.726,-19.849,-0.792,0.071,-101.726,-124.678,-262.187,-193.569,-239.424,-499.717,310.752,636.044,568.297
Doppelsalto B,0115-MORITZ-03-147,31.234,31.032,-15.416,-1.186,2.223,-3.817,365.6,16.79,-7.532,707.218,32.73,42.501,736.332,59.472
Voll- ein- halb- aus C,0115-MORITZ-03-148,36.212,36.749,-16.589,2.274,-5.835,-186.688,-107.677,-212.047,-347.199,-202.026,-394.203,428.278,591.987,487.294
Voll- ein- voll- aus A,0115-MORITZ-03-149,37.569,37.83,-19.822,1.307,-8.474,-121.152,150.888,-404.525,-211.89,264.413,-707.385,351.456,534.049,734.171
Salto C,0115-MORITZ-03-162,16.823,16.83,0.263,-1.492,4.789,-3.615,164.484,10.113,-7.539,346.729,21.078,26.872,383.515,34.905
Fliffis aus B,0115-MORITZ-03-163,29.261,29.62,-10.299,0.181,-0.907,38.753,-115.621,-77.312,78.527,-235.646,-155.916,181.135,606.385,211.133
