Sprungtyp,SprungID,ACC_N,ACC_N_ROT_filtered,Acc_x_Fil,Acc_y_Fil,Acc_z_Fil,Gyro_x_Fil,Gyro_y_Fil,Gyro_z_Fil,DJump_SIG_I_x LapEnd,DJump_SIG_I_y LapEnd,DJump_SIG_I_z LapEnd,DJump_Abs_I_x LapEnd,DJump_Abs_I_y LapEnd,DJump_Abs_I_z LapEnd
Salto C,0827-BK1-01-4,17.095,16.977,-1.301,-0.319,5.127,3.306,178.39,4.196,6.871,355.593,9.022,21.571,388.923,29.996
Salto C,0827-BK1-01-7,17.365,17.217,-0.966,-0.57,5.342,-2.485,175.493,3.462,-4.717,358.254,7.186,20.537,384.911,27.238
Salto C,0827-BK1-01-10,16.926,16.749,0.05,-0.534,5.345,-2.827,176.085,1.727,-5.825,358.946,3.876,22.168,373.566,32.467
Salto C,0827-BK1-01-13,17.264,17.05,-0.22,-0.574,5.311,-1.723,170.342,0.47,-3.394,350.198,0.891,22.504,377.941,32.648
Salto C,0827-BK1-01-16,17.045,16.974,-0.592,-0.45,5.143,8.624,175.392,0.213,17.786,355.702,0.272,31.175,387.02,28.357
Salto C,0827-BK1-01-19,17.349,17.182,-0.393,-0.168,5.45,7.828,175.457,7.533,16.107,358.032,15.567,39.039,381.975,38.091
Salto C,0827-BK1-01-22,16.507,16.422,-0.022,-0.505,5.094,2.353,174.092,8.206,4.67,350.898,16.556,21.94,360.096,27.885
Salto C,0827-BK1-01-24,16.427,16.229,-1.22,-0.183,5.37,2.814,190.475,6.346,5.58,377.855,12.545,17.924,399.388,23.897
Salto C,0827-BK1-01-26,17.269,17.161,-0.432,-0.292,5.017,6.787,179.589,6.643,13.474,357.474,13.335,24.029,366.326,27.304
Salto C,0827-BK1-01-29,17.188,17.101,-1.116,-0.549,5.08,2.957,182.996,2.3,6.038,359.124,4.331,28.377,379.299,26.691
Salto C,0827-BK1-01-32,16.867,16.828,-0.264,-0.402,4.98,5.453,175.859,2.589,11.048,347.399,5.277,24.33,357.048,32.96
Salto C,0827-BK1-01-35,17.514,17.242,-0.371,-0.715,4.893,-3.367,181.133,2.801,-6.596,355.018,5.384,20.914,381.657,27.071
Salto C,0827-BK1-01-38,17.599,17.417,-0.711,-0.386,5.244,5.384,176.478,3.721,11.167,355.791,8.395,25.588,382.619,29.804
Salto C,0827-BK1-01-41,16.816,16.713,0.258,-0.533,4.995,5.516,175.622,3.875,10.878,351.395,7.673,22.553,358.179,26.344
Salto C,0827-BK1-01-44,17.7,17.505,-1.225,-0.576,5.142,-2.032,182.615,3.358,-3.939,358.382,6.158,22.01,378.837,30.056
Salto C,0827-BK1-01-46,15.429,15.91,-0.521,-0.889,4.882,-5.852,218.322,-0.868,-10.164,364.337,-1.337,28.583,369.394,27.871
Salto B,0827-BK1-01-53,18.226,18.185,-1.157,-0.421,4.343,5.002,175.474,13.896,10.431,355.795,28.329,40.762,405.605,52.652
Salto B,0827-BK1-01-56,18.823,18.686,-0.415,-0.27,4.627,9.216,175.909,11.817,18.994,357.555,24.091,43.398,399.871,48.012
Salto B,0827-BK1-01-59,18.09,18.008,-0.051,-0.38,4.509,-0.149,176.044,11.722,-0.122,355.219,24.013,32.053,395.625,46.093
Salto B,0827-BK1-01-62,17.965,17.682,-0.21,-0.425,4.793,-1.294,179.297,5.758,-2.338,357.172,11.497,25.384,388.727,40.837
Salto B,0827-BK1-01-65,18.138,18.037,-0.238,-0.309,4.403,-2.925,176.799,8.468,-5.665,358.437,17.566,37.887,402.698,50.099
Salto B,0827-BK1-01-68,18.113,17.937,-0.241,-0.294,4.554,5.023,174.017,9.071,10.379,353.338,18.22,39.838,399.934,42.282
Salto B,0827-BK1-01-71,17.258,17.048,-1.05,-0.67,4.812,-3.075,177.772,4.776,-6.226,356.481,9.528,27.619,407.852,35.647
Salto B,0827-BK1-01-74,18.195,18.007,-0.288,-0.556,4.899,-4.545,172.313,15.126,-9.158,351.026,30.62,37.415,395.669,47.704
Salto B,0827-BK1-01-76,17.352,17.191,-0.338,-0.57,4.607,1.969,176.594,7.836,4.104,355.777,16.044,30.839,403.776,34.274
Salto B,0827-BK1-01-78,17.33,17.16,0.034,-0.494,4.847,4.517,175.939,3.264,9.05,349.446,6.681,32.556,387.153,34.743
Salto B,0827-BK1-01-81,17.98,18.024,-0.835,-0.33,4.558,12.14,174.518,20.514,24.599,349.777,41.215,46.726,392.25,59.313
Salto B,0827-BK1-01-83,17.221,17.15,-0.47,-0.885,4.627,-7.333,178.104,6.221,-14.677,357.734,12.599,33.589,397.686,32.176
Salto B,0827-BK1-01-87,18.098,18.023,-0.689,-0.434,4.475,-2.175,176.513,9.742,-4.185,353.457,19.588,24.885,399.795,42.948
Salto B,0827-BK1-01-92,18.097,17.906,-0.779,-0.557,4.623,-14.256,175.993,17.576,-28.2,349.924,34.89,42.108,400.415,61.815
Salto B,0827-BK1-01-94,17.647,17.516,-0.458,-0.711,4.527,-3.615,179.097,1.726,-7.231,354.843,3.161,23.166,396.885,40.105
Salto A,0827-BK1-01-103,15.295,15.129,0.505,-0.691,5.222,3.26,175.318,-5.245,6.771,354.1,-10.301,16.789,354.1,29.088
Salto A,0827-BK1-01-105,15.648,15.47,0.318,-0.923,5.317,1.01,177.953,-2.177,2.088,358.262,-4.129,19.238,358.262,32.719
Salto A,0827-BK1-01-107,15.424,15.204,0.456,-0.798,5.389,-1.913,177.909,-4.573,-3.739,360.067,-9.008,25.441,360.799,28.394
Salto A,0827-BK1-01-109,15.401,15.14,0.689,-0.758,5.342,2.218,174.895,0.001,4.439,357.46,0.074,20.024,358.712,24.66
Salto A,0827-BK1-01-111,15.857,15.561,0.85,-0.775,5.297,6.929,175.928,0.985,14.02,360.593,1.84,27.226,360.745,28.983
Salto A,0827-BK1-01-113,15.581,15.367,0.775,-0.48,5.276,5.669,174.963,-0.611,11.687,357.091,-1.511,23.209,357.605,29.185
Salto A,0827-BK1-01-115,15.479,15.247,1.194,-0.673,5.174,5.679,175.21,-1.218,11.447,352.305,-2.971,19.91,352.305,29.575
Salto A,0827-BK1-01-117,15.453,15.243,0.996,-0.408,5.373,3.1,175.528,3.423,6.162,349.75,6.662,23.005,349.75,32.152
Salto A,0827-BK1-01-119,15.267,15.119,1.014,-0.475,5.136,10.554,176.49,-1.764,21.44,349.031,-3.279,27.907,349.031,30.665
Salto A,0827-BK1-01-121,15.514,15.14,1.212,-0.899,5.198,-2.913,179.338,-3.506,-5.498,350.457,-6.86,24.42,350.737,35.962
Salto A,0827-BK1-01-123,15.269,15.049,0.923,-0.55,4.935,4.085,182.006,-0.899,8.132,353.63,-1.821,27.007,353.63,31.614
Salto A,0827-BK1-01-125,15.338,15.008,1.214,-0.713,5.21,4.379,176.729,-1.501,8.589,342.983,-2.983,15.126,343.384,27.59
Salto A,0827-BK1-01-127,14.865,14.553,1.333,-0.617,5.044,5.403,183.312,-1.758,10.402,351.346,-3.25,20.135,351.346,23.791
Salto A,0827-BK1-01-129,16.143,15.905,0.352,-0.752,5.412,-4.729,178.993,-1.047,-9.322,349.426,-1.903,23.738,355.041,24.469
Salto A,0827-BK1-01-131,16.202,15.902,0.483,-0.668,5.253,2.121,181.689,-4.083,4.071,354.968,-8.328,18.877,354.975,42.227
Salto C,0827-BK2-01-4,17.251,16.896,-1.142,0.75,5.636,7.276,172.798,-6.515,14.331,344.559,-13.276,27.447,367.145,30.271
Salto C,0827-BK2-01-7,16.813,16.604,-0.872,0.196,5.951,4.059,165.286,-9.239,8.481,337.545,-18.612,27.156,372.691,41.104
Salto C,0827-BK2-01-10,17.182,16.886,-0.481,0.319,5.997,0.3,163.22,-0.656,0.292,331.756,-1.512,39.136,349.877,38.545
Salto C,0827-BK2-01-13,16.648,16.376,-1.013,0.62,5.915,-1.65,164.722,-4.531,-3.52,336.629,-9.103,33.954,373.845,41.177
Salto C,0827-BK2-01-16,17.451,17.197,-0.521,0.696,5.552,3.742,164.215,-5.439,7.458,334.222,-10.385,29.065,370.192,44.329
Salto C,0827-BK2-01-19,17.608,17.27,-1.074,0.623,6.071,9.728,165.964,-7.895,20.109,342.115,-15.948,35.964,381.499,40.654
Salto C,0827-BK2-01-22,16.778,16.467,-1.175,0.326,6.217,0.468,164.665,-12.702,1.094,340.422,-26.149,31.583,374.927,44.229
Salto C,0827-BK2-01-25,17.472,17.229,-0.785,0.687,5.768,6.73,166.506,-7.888,13.617,340.426,-15.915,32.339,371.221,38.34
Salto C,0827-BK2-01-28,17.321,17.13,-0.627,0.523,6.218,0.518,165.277,-6.788,1.177,336.499,-13.612,34.327,360.79,38.446
Salto C,0827-BK2-01-31,17.961,17.674,-1.097,0.732,6.088,13.981,165.153,-7.554,28.17,334.793,-15.039,39.149,369.077,37.609
Salto C,0827-BK2-01-34,17.574,17.318,-1.315,0.422,5.904,12.451,167.426,-8.294,25.25,336.879,-16.465,42.169,368.532,42.121
Salto C,0827-BK2-01-37,17.521,17.22,-1.134,0.409,5.853,-0.852,168.847,-13.341,-1.478,338.795,-26.452,24.137,369.943,42.077
Salto C,0827-BK2-01-40,17.661,17.408,-0.579,0.377,5.711,1.956,166.835,-9.783,3.824,335.601,-19.624,30.214,359.046,35.696
Salto C,0827-BK2-01-43,17.488,17.299,-1.27,0.249,6.086,0.651,166.609,-10.5,1.492,339.65,-21.191,28.852,371.727,39.384
Salto C,0827-BK2-01-46,18.021,17.696,-1.831,-0.081,5.961,-5.685,168.478,-12.32,-11.649,340.605,-24.772,40.451,381.761,52.159
Salto B,0827-BK2-01-57,18.178,17.858,-1.891,0.593,5.693,-0.39,166.876,-7.622,-0.769,342.338,-15.517,19.795,431.158,35.704
Salto B,0827-BK2-01-59,18.716,18.448,-1.334,0.24,5.167,0.337,167.643,-19.907,0.68,341.416,-40.534,32.088,415.391,57.596
Salto B,0827-BK2-01-61,18.007,17.722,-1.227,0.715,5.572,6.624,165.602,-6.113,13.649,340.452,-12.743,31.872,408.329,37.286
Salto B,0827-BK2-01-63,17.862,17.643,-1.197,0.487,5.165,4.162,168.372,-13.176,8.375,339.523,-26.814,38.313,409.714,45.469
Salto B,0827-BK2-01-65,17.893,17.718,-1.303,0.641,5.187,0.436,168.215,-2.461,1.074,337.871,-4.527,27.603,400.986,28.223
Salto B,0827-BK2-01-67,17.854,17.621,-0.798,0.231,5.096,6.551,167.799,-14.82,13.355,336.784,-29.761,41.767,403.084,50.192
Salto B,0827-BK2-01-69,18.18,17.957,-0.482,0.765,4.66,-3.4,171.26,-9.82,-6.606,341.124,-19.282,34.57,392.062,36.718
Salto B,0827-BK2-01-71,18.511,18.251,-1.877,-0.028,5.142,-7.472,170.198,-16.221,-14.817,338.873,-32.138,39.804,418.031,54.597
Salto B,0827-BK2-01-73,18.168,17.878,-1.426,-0.106,5.051,-10.487,171.479,-13.529,-20.924,338.241,-26.795,36.044,409.021,43.575
Salto B,0827-BK2-01-75,18.045,17.674,-1.002,0.023,5.182,-7.047,167.743,-12.724,-14.235,333.466,-25.198,37.54,408.464,59.403
Salto B,0827-BK2-01-77,17.898,17.701,-0.838,0.437,5.183,2.135,169.076,-9.02,4.224,331.257,-17.886,25.293,387.48,36.944
Salto B,0827-BK2-01-79,18.366,18.209,-1.883,0.659,4.834,3.195,175.118,-5.194,5.894,338.316,-9.999,29.934,402.594,40.486
Salto B,0827-BK2-01-81,17.889,17.663,-0.991,0.596,4.902,7.738,171.58,-12.999,15.372,334.618,-25.211,35.253,393.401,44.459
Salto B,0827-BK2-01-83,18.387,18.278,-0.71,0.646,4.933,7.925,169.049,-5.693,15.384,329.27,-11.089,48.415,380.342,39.774
Salto B,0827-BK2-01-85,17.957,17.68,-1.141,0.587,5.101,0.207,169.909,-11.311,0.369,330.536,-22.203,36.237,384.011,47.888
Salto A,0827-BK2-01-96,15.561,15.087,0.472,0.229,5.803,-0.494,170.385,-13.691,-1.176,342.29,-27.78,29.472,342.29,34.452
Salto A,0827-BK2-01-98,15.594,15.203,-0.029,0.324,5.829,1.76,167.658,-8.314,3.547,338.743,-17.421,25.742,338.826,30.517
Salto A,0827-BK2-01-100,15.017,14.585,0.83,0.131,5.697,-0.745,165.595,-17.849,-1.675,335.631,-36.367,28.574,335.631,47.79
Salto A,0827-BK2-01-102,15.16,14.766,0.567,0.203,5.558,0.115,167.867,-15.114,0.058,340.308,-30.237,28.613,340.308,42.335
Salto A,0827-BK2-01-104,14.974,14.616,0.221,0.518,5.719,7.999,167.615,-8.454,16.43,339.597,-17.278,34.053,341.278,35.951
Salto A,0827-BK2-01-106,15.371,15.033,0.195,0.594,5.713,11.843,169.608,-3.386,23.768,341.904,-7.172,28.498,341.917,26.31
Salto A,0827-BK2-01-108,15.43,15.08,0.336,0.536,5.7,5.21,169.482,-10.403,10.288,337.301,-20.731,18.048,337.301,29.913
Salto A,0827-BK2-01-110,14.925,14.624,0.505,0.273,5.339,6.507,170.394,-12.039,12.999,337.925,-23.964,25.816,337.925,33.291
Salto A,0827-BK2-01-112,15.503,15.126,0.141,0.303,5.469,6.081,169.908,-17.264,12.392,336.655,-34.215,22.742,337.437,39.317
Salto A,0827-BK2-01-114,15.771,15.447,-0.04,0.514,5.587,11.385,169.426,-12.574,22.652,333.513,-24.524,30.287,334.576,40.109
Salto A,0827-BK2-01-116,15.012,14.708,0.246,0.406,5.216,6.325,173.98,-9.784,11.973,338.202,-19.356,27.683,338.255,28.509
Salto A,0827-BK2-01-118,15.389,15.03,-0.159,0.308,5.71,5.874,168.372,-12.354,11.57,327.751,-23.68,24.258,328.299,33.813
Salto A,0827-BK2-01-120,15.357,15.013,-0.444,0.528,5.503,5.096,174.161,-13.928,9.987,338.642,-27.347,29.151,338.642,38.657
Salto A,0827-BK2-01-122,14.927,14.558,0.43,0.166,5.563,2.558,169.691,-15.395,5.16,332.612,-30.349,29.181,332.612,40.992
Salto A,0827-BK2-01-124,15.399,15.025,0.515,0.178,5.819,-1.283,164.081,-17.834,-2.36,325.933,-35.838,44.724,327.795,48.768
Salto C,0827-BK2-02-7,17.752,17.185,-1.521,0.59,5.491,0.524,180.391,-35.509,1.177,341.086,-67.262,30.426,364.412,82.818
Salto C,0827-BK2-02-10,17.07,16.688,-0.912,1.144,5.236,15.239,173.909,-25.216,29.583,333.595,-48.186,37.681,355.847,60.102
Salto C,0827-BK2-02-13,17.058,16.709,-1.961,0.593,5.163,1.196,177.819,-31.661,2.322,333.411,-59.321,30.229,362.546,61.824
Salto C,0827-BK2-02-16,17.621,17.261,-2.153,0.536,5.392,6.253,182.338,-29.712,11.979,342.696,-56.066,34.346,367.116,61.722
Salto C,0827-BK2-02-19,17.481,17.155,-1.948,0.717,5.354,15.396,181.215,-24.581,29.276,344.536,-46.807,42.159,364.33,52.15
Salto C,0827-BK2-02-22,17.758,17.495,-2.38,0.639,5.894,2.154,180.282,-26.964,4.079,341.868,-51.268,30.802,361.52,60.863
Salto C,0827-BK2-02-25,17.467,17.195,-2.086,0.669,5.317,9.655,181.826,-25.957,18.02,337.653,-48.517,36.502,358.913,71.256
Salto C,0827-BK2-02-28,17.671,17.342,-1.849,0.764,5.404,7.719,177.58,-27.04,14.765,337.783,-51.68,31.182,356.983,58.297
Salto C,0827-BK2-02-32,17.557,17.181,-2.212,0.554,5.348,7.31,182.609,-30.123,13.63,344.391,-56.696,35.649,368.048,66.367
Salto C,0827-BK2-02-35,17.442,17.026,-1.674,0.561,5.332,12.29,178.944,-31.291,23.237,338.523,-59.407,31.349,356.185,61.815
Salto C,0827-BK2-02-38,17.795,17.496,-2.052,0.366,5.343,9.297,181.267,-32.946,17.584,338.021,-61.771,37.933,357.504,68.162
Salto C,0827-BK2-02-41,17.763,17.368,-2.028,0.499,5.617,-2.898,181.277,-35.175,-5.404,337.04,-65.716,30.61,358.129,75.731
Salto C,0827-BK2-02-44,17.666,17.384,-2.253,0.641,5.262,3.279,182.69,-35.575,5.943,336.961,-65.655,27.501,360.043,73.96
Salto C,0827-BK2-02-47,17.197,16.919,-2.203,1.026,5.254,9.098,180.073,-27.368,16.657,334.903,-51.456,32.906,359.013,55.011
Salto B,0827-BK2-02-52,18.568,18.231,-2.099,0.802,5.04,12.111,186.702,-29.211,21.876,340.334,-53.405,39.0,383.482,58.202
Salto B,0827-BK2-02-55,18.359,18.105,-1.944,0.814,4.895,7.905,182.737,-22.46,14.972,345.606,-42.643,38.025,387.574,57.567
Salto B,0827-BK2-02-57,18.357,18.175,-1.977,0.602,4.918,12.75,179.308,-29.716,24.07,338.224,-56.355,42.408,373.597,69.66
Salto B,0827-BK2-02-59,19.131,18.859,-1.926,0.768,5.328,11.973,178.057,-27.392,22.882,336.65,-51.965,37.122,380.925,58.391
Salto B,0827-BK2-02-61,18.333,18.047,-2.188,0.742,5.301,0.462,178.414,-27.006,0.864,337.82,-51.244,40.482,381.32,61.098
Salto B,0827-BK2-02-63,17.237,17.097,-1.591,0.723,4.611,19.138,181.278,-30.107,35.198,334.915,-55.738,49.233,371.449,66.032
Salto B,0827-BK2-02-65,18.514,18.135,-2.026,0.334,5.342,-4.55,180.937,-31.573,-8.601,340.752,-59.602,35.933,387.662,67.419
Salto B,0827-BK2-02-67,17.913,17.717,-1.992,0.719,4.631,20.471,181.761,-34.168,37.823,335.652,-63.287,53.011,369.842,75.534
Salto B,0827-BK2-02-69,17.647,17.404,-2.341,0.828,5.202,9.485,183.864,-27.566,17.528,338.517,-50.843,48.137,389.923,73.27
Salto B,0827-BK2-02-71,18.717,18.446,-2.506,0.924,4.765,9.735,184.952,-18.612,18.019,339.648,-34.034,37.425,377.266,58.531
Salto B,0827-BK2-02-73,17.956,17.658,-1.99,0.72,5.18,6.941,184.939,-29.826,12.761,338.05,-54.949,38.897,363.508,72.528
Salto B,0827-BK2-02-75,17.947,17.755,-2.279,0.939,4.583,15.515,183.408,-29.438,28.031,333.817,-53.353,48.964,373.058,69.265
Salto B,0827-BK2-02-77,17.821,17.703,-2.314,0.578,4.505,12.198,186.89,-26.769,22.212,337.045,-48.61,37.42,375.187,56.842
Salto B,0827-BK2-02-79,17.479,17.183,-2.387,0.57,5.052,9.634,187.431,-27.75,17.595,341.27,-50.748,38.942,368.408,61.714
Salto B,0827-BK2-02-81,17.401,17.298,-1.584,0.858,4.659,2.527,178.016,-26.118,4.226,323.02,-47.481,32.883,354.624,59.296
Salto A,0827-BK2-02-123,15.081,14.657,-0.422,0.353,5.385,5.452,183.729,-26.537,10.248,342.504,-49.619,27.841,342.724,57.931
Salto A,0827-BK2-02-125,15.106,14.639,0.289,0.489,5.582,0.357,179.085,-27.815,0.412,337.179,-51.971,25.733,337.179,61.593
Salto A,0827-BK2-02-127,14.825,14.496,0.467,0.613,5.472,11.702,179.169,-21.59,21.789,334.947,-40.372,25.321,334.947,43.164
Salto A,0827-BK2-02-129,14.803,14.481,0.704,0.417,4.961,3.446,181.871,-29.017,6.507,330.798,-52.652,25.511,330.798,58.723
Salto A,0827-BK2-02-131,15.152,14.694,0.497,0.31,5.137,0.486,182.397,-37.663,1.142,334.809,-69.822,33.642,334.809,78.062
Salto A,0827-BK2-02-133,14.798,14.333,0.611,0.481,5.375,7.485,180.784,-26.783,13.813,337.604,-50.287,21.703,337.604,53.529
Salto A,0827-BK2-02-135,14.919,14.618,0.051,0.604,5.399,6.971,181.47,-29.614,12.625,331.633,-54.109,23.145,331.633,58.355
Salto A,0827-BK2-02-137,14.943,14.437,0.364,0.355,5.377,9.185,184.293,-27.36,16.781,337.069,-50.266,26.154,337.069,51.496
Salto A,0827-BK2-02-139,14.912,14.36,0.411,0.462,5.363,9.415,184.553,-28.721,17.422,338.584,-52.9,28.385,338.584,60.122
Salto A,0827-BK2-02-141,14.749,14.309,0.326,0.44,5.222,5.557,183.231,-33.416,10.113,335.652,-61.571,20.496,335.652,62.837
Salto A,0827-BK2-02-143,14.817,14.427,-0.267,0.841,5.416,11.613,182.572,-28.351,20.783,331.978,-51.352,31.017,331.978,54.43
Salto A,0827-BK2-02-145,14.399,14.068,0.644,0.516,4.989,3.577,184.182,-29.859,6.382,334.488,-54.323,26.915,334.488,57.428
Salto A,0827-BK2-02-147,15.148,14.978,-0.188,0.618,4.932,9.571,184.23,-22.002,17.214,328.435,-39.139,23.453,328.435,44.154
Salto A,0827-BK2-02-149,14.578,14.243,0.183,0.553,4.624,-0.764,182.85,-40.086,-1.513,318.38,-70.05,22.572,318.523,71.228
Salto C,20190930-1616-FRANKFURT_1-01-10,18.193,18.127,-2.357,-0.816,4.746,-8.985,196.54,16.42,-16.154,352.35,29.493,29.403,388.828,42.665
Salto C,20190930-1616-FRANKFURT_1-01-11,18.016,18.045,-2.936,-0.376,4.556,-1.444,196.524,15.31,-2.488,355.902,27.798,21.364,381.732,38.244
Salto B,20190930-1616-FRANKFURT_1-01-12,18.567,18.65,-2.818,-0.488,4.447,0.715,194.766,7.324,1.406,355.532,13.325,21.614,404.858,36.881
Salto B,20190930-1616-FRANKFURT_1-01-13,19.157,19.217,-3.129,-0.433,4.372,4.899,194.88,6.435,9.39,357.059,11.761,27.989,417.951,31.169
Salto A,20190930-1616-FRANKFURT_1-01-14,15.276,15.331,-0.033,-0.705,4.611,5.107,196.456,5.004,8.921,361.387,9.151,27.607,361.387,33.568
Salto A,20190930-1616-FRANKFURT_1-01-15,15.023,15.022,-0.503,-0.65,4.595,2.524,190.449,1.828,4.598,350.029,3.319,18.955,350.029,33.122
Salto C,20190930-1616-FRANKFURT_1-01-26,17.816,17.824,-2.52,-0.466,4.328,0.956,200.237,14.601,1.692,350.271,25.441,19.398,377.444,41.079
Salto C,20190930-1616-FRANKFURT_1-01-27,17.163,17.106,-2.617,-0.378,4.755,2.287,202.823,12.664,4.267,359.44,22.639,18.399,383.28,33.875
Salto B,20190930-1616-FRANKFURT_1-01-28,19.451,19.563,-3.455,-0.102,4.239,8.096,201.144,11.385,14.266,359.652,20.303,34.173,414.719,36.822
Salto B,20190930-1616-FRANKFURT_1-01-29,19.199,19.215,-2.931,-0.183,4.355,7.213,197.245,6.341,12.9,353.144,11.319,32.527,393.597,31.138
Salto A,20190930-1616-FRANKFURT_1-01-30,15.116,15.185,-0.651,-0.456,4.123,1.989,202.548,-2.471,3.531,363.628,-4.706,29.591,363.628,33.455
Salto A,20190930-1616-FRANKFURT_1-01-31,15.095,15.23,-0.45,-0.159,3.809,9.013,185.08,2.605,15.913,331.17,4.29,27.631,331.172,43.675
Salto A,20190930-1616-FRANKFURT_1-01-33,16.723,17.207,-1.23,-0.353,3.961,-5.452,228.463,13.161,-8.336,346.846,20.025,16.857,347.364,31.143
Salto C,20190930-1616-FRANKFURT_1-01-41,18.643,18.45,-2.008,-0.429,4.756,-1.161,189.238,6.271,-1.787,349.285,11.539,27.472,384.316,48.484
Barani C,20190930-1616-FRANKFURT_1-01-42,16.512,16.765,-1.119,0.913,4.327,-73.626,-58.535,103.966,-135.395,-106.665,190.95,139.515,267.728,193.958
Barani C,20190930-1616-FRANKFURT_1-01-43,17.589,17.591,-1.253,0.301,4.913,-53.741,-54.136,94.046,-98.385,-100.037,172.41,100.687,296.149,193.297
Salto C,20190930-1616-FRANKFURT_1-01-44,17.751,17.84,-1.229,0.198,4.444,-5.417,192.506,11.11,-10.588,351.896,20.995,35.888,369.215,71.304
Salto C,20190930-1616-FRANKFURT_1-01-49,18.894,18.891,-3.197,0.023,4.143,-0.636,192.262,9.384,-1.522,346.765,16.704,28.746,380.261,53.424
Barani C,20190930-1616-FRANKFURT_1-01-50,16.772,16.873,-1.264,0.21,4.861,-49.139,-36.03,108.842,-87.637,-64.807,193.432,90.23,311.728,220.113
Salto C,20190930-1616-FRANKFURT_1-01-56,18.937,18.962,-2.681,-0.129,4.092,-4.592,198.925,5.038,-7.955,353.89,8.626,33.31,372.909,43.773
Barani C,20190930-1616-FRANKFURT_1-01-57,17.503,17.578,-1.855,0.571,5.052,-38.231,-66.495,112.926,-68.101,-118.293,201.023,84.322,318.42,215.823
Barani C,20190930-1616-FRANKFURT_1-01-58,18.104,18.229,-2.527,0.297,4.844,-47.901,-74.904,109.861,-84.76,-133.542,195.026,95.925,313.68,208.398
Salto C,20190930-1616-FRANKFURT_1-01-59,19.522,19.62,-2.555,-0.208,4.381,-10.739,186.192,3.137,-19.386,331.287,5.7,37.752,373.005,42.191
Fliffis C,20190930-1616-FRANKFURT_1-01-78,31.903,31.936,-15.372,-0.067,0.101,-41.566,-172.981,100.753,-76.943,-318.48,179.637,114.408,658.787,225.553
Fliffis C,20190930-1616-FRANKFURT_1-01-96,30.981,31.35,-14.923,1.434,-0.14,-68.495,-182.242,109.979,-126.594,-335.766,196.149,140.963,650.857,218.566
1/2 ein 1/2 aus C,20190930-1616-FRANKFURT_1-01-97,32.644,32.432,-11.566,-1.963,-4.43,93.047,-87.585,142.952,170.043,-156.359,255.283,338.077,521.643,315.329
Fliffis C,20190930-1616-FRANKFURT_1-01-98,35.86,36.373,-15.448,1.948,-4.229,-69.877,-238.905,103.959,-122.241,-417.34,176.872,130.918,612.16,222.755
Fliffis C,20190930-1616-FRANKFURT_1-01-113,30.342,30.674,-14.655,0.441,1.28,-47.342,-186.125,93.728,-89.729,-350.329,170.906,116.463,675.821,211.019
1/2 ein 1/2 aus C,20190930-1616-FRANKFURT_1-01-114,31.388,31.317,-12.185,-1.523,-3.091,111.622,-78.818,122.591,207.271,-143.23,221.279,320.447,550.741,303.492
Fliffis C,20190930-1616-FRANKFURT_1-01-115,36.368,36.874,-16.279,1.011,-3.214,-55.452,-217.23,91.535,-101.579,-393.937,161.073,128.247,670.325,210.823
Fliffis C,20190930-1616-FRANKFURT_1-01-133,31.557,31.762,-14.63,1.606,0.239,-70.676,-184.448,102.6,-131.235,-344.264,185.011,152.721,639.535,221.249
1/2 ein 1/2 aus C,20190930-1616-FRANKFURT_1-01-134,33.819,33.757,-12.222,-1.732,-4.199,102.537,-81.747,146.092,186.353,-144.809,261.467,340.864,543.302,314.151
Fliffis C,20190930-1616-FRANKFURT_1-01-135,36.935,37.358,-15.787,0.766,-3.107,-40.979,-234.962,88.794,-74.054,-421.923,154.182,142.638,651.944,215.619
Fliffis C,20190930-1616-FRANKFURT_1-01-148,30.302,30.646,-15.231,0.369,1.554,-15.343,-210.614,99.08,-28.179,-390.454,176.057,78.451,683.803,234.812
1/2 ein 1/2 aus C,20190930-1616-FRANKFURT_1-01-149,32.218,32.129,-12.504,-0.561,-3.49,118.033,-84.458,116.555,213.249,-148.835,206.198,296.298,552.271,295.899
Fliffis C,20190930-1616-FRANKFURT_1-01-150,37.685,38.262,-16.501,1.502,-4.23,-49.118,-227.394,94.33,-86.593,-399.354,160.969,125.774,664.468,224.204
Fliffis C,20190930-1616-FRANKFURT_1-01-165,31.503,31.826,-15.473,1.451,0.86,-52.521,-203.116,109.923,-97.826,-380.202,200.372,129.485,656.733,221.549
1/2 ein 1/2 aus C,20190930-1616-FRANKFURT_1-01-166,33.576,33.46,-13.646,-1.889,-3.073,110.577,-82.964,145.233,201.717,-148.046,259.537,318.702,560.985,306.786
Fliffis C,20190930-1616-FRANKFURT_1-01-167,36.94,37.507,-17.498,0.616,-3.459,-36.246,-235.614,101.453,-65.417,-419.889,175.43,107.824,684.378,207.163
Salto C,20190930-1616-FRANKFURT_1-01-180,18.122,18.14,-1.623,-0.044,4.655,-4.914,178.784,2.247,-9.551,345.701,-2.216,30.782,379.226,49.755
Fliffis C,20190930-1616-FRANKFURT_1-01-181,34.02,34.278,-16.241,0.98,-2.708,-50.054,-183.783,99.122,-93.117,-339.802,177.525,112.24,662.358,215.932
Doppelsalto B,20190930-1616-FRANKFURT_1-01-182,31.417,31.245,-14.491,0.959,0.665,18.049,380.211,-11.437,33.301,700.737,-26.808,59.638,734.282,70.091
