0_Acc_N_Fil,0_Gyro_x_R,0_Gyro_y_R,0_Gyro_z_R,0_Gyro_x_Fil,0_Gyro_y_Fil,0_Gyro_z_Fil,10_Acc_N_Fil,10_Gyro_x_R,10_Gyro_y_R,10_Gyro_z_R,10_Gyro_x_Fil,10_Gyro_y_Fil,10_Gyro_z_Fil,20_Acc_N_Fil,20_Gyro_x_R,20_Gyro_y_R,20_Gyro_z_R,20_Gyro_x_Fil,20_Gyro_y_Fil,20_Gyro_z_Fil,30_Acc_N_Fil,30_Gyro_x_R,30_Gyro_y_R,30_Gyro_z_R,30_Gyro_x_Fil,30_Gyro_y_Fil,30_Gyro_z_Fil,40_Acc_N_Fil,40_Gyro_x_R,40_Gyro_y_R,40_Gyro_z_R,40_Gyro_x_Fil,40_Gyro_y_Fil,40_Gyro_z_Fil,50_Acc_N_Fil,50_Gyro_x_R,50_Gyro_y_R,50_Gyro_z_R,50_Gyro_x_Fil,50_Gyro_y_Fil,50_Gyro_z_Fil,60_Acc_N_Fil,60_Gyro_x_R,60_Gyro_y_R,60_Gyro_z_R,60_Gyro_x_Fil,60_Gyro_y_Fil,60_Gyro_z_Fil,70_Acc_N_Fil,70_Gyro_x_R,70_Gyro_y_R,70_Gyro_z_R,70_Gyro_x_Fil,70_Gyro_y_Fil,70_Gyro_z_Fil,80_Acc_N_Fil,80_Gyro_x_R,80_Gyro_y_R,80_Gyro_z_R,80_Gyro_x_Fil,80_Gyro_y_Fil,80_Gyro_z_Fil,90_Acc_N_Fil,90_Gyro_x_R,90_Gyro_y_R,90_Gyro_z_R,90_Gyro_x_Fil,90_Gyro_y_Fil,90_Gyro_z_Fil,Sprungtyp,SprungID
101.414,26.954,-184.938,50.652,39.218,-48.866,-11.917,32.387,-104.916,-573.102,15.574,-94.64,-609.393,32.365,45.206,-6.356,-628.472,20.706,-11.442,-635.411,47.951,55.375,-51.35,-681.808,98.632,-46.564,-668.44,86.229,44.39,-156.752,-526.07,204.184,-152.41,-515.743,217.897,32.923,-26.654,-95.732,762.544,-1.105,-98.351,746.408,37.811,420.018,-59.656,890.832,414.48,-53.104,882.46,39.95,153.726,-120.898,852.724,156.688,-107.384,841.019,20.027,20.844,246.692,373.036,22.737,244.897,378.648,14.539,134.212,401.98,100.236,133.566,402.467,90.196,Fliffis- Rudi C,generated_Mean_Fliffis- Rudi C
95.123,5.971,43.783,2.158,8.269,48.219,2.925,11.164,-2.508,-298.558,57.756,-3.132,-279.828,55.224,15.524,-14.282,-418.596,58.92,-15.315,-419.079,59.43,12.555,-36.472,-267.554,120.106,-34.66,-264.932,128.037,10.336,-17.826,-29.73,218.302,-17.95,-32.243,218.913,7.978,-56.741,-3.894,239.66,-56.113,-2.321,235.286,6.589,-71.019,81.803,199.172,-69.684,80.574,198.014,5.424,-36.554,117.305,125.31,-36.556,117.101,125.841,5.725,-13.031,127.749,69.723,-12.839,128.998,70.799,4.811,11.683,189.703,32.253,8.007,192.293,29.239,Barani C,generated_Mean_Barani C
92.522,1.588,62.747,-6.558,10.588,89.282,-3.486,9.032,-1.634,20.535,22.913,-0.565,19.074,16.91,4.042,-6.27,-90.774,-1.105,-5.069,-94.101,0.749,5.671,-5.599,-208.172,10.334,-5.88,-204.642,10.405,9.278,-2.216,-143.078,5.082,-3.456,-134.985,3.121,8.111,-0.178,64.218,7.036,-0.778,62.35,2.152,5.906,-4.382,126.279,-9.335,-4.138,123.651,-7.123,3.167,-4.94,71.633,0.056,-4.359,71.223,0.97,2.306,-1.843,35.719,3.337,-1.11,37.203,3.767,4.541,-4.418,37.971,6.018,-3.037,41.03,3.689,Grätschwinkel,generated_Mean_Grätschwinkel
95.114,25.133,26.011,-7.711,21.675,43.252,0.266,25.034,-51.969,-503.871,28.839,-49.486,-499.088,24.631,40.555,-16.997,-671.699,2.104,-17.323,-664.262,9.567,55.702,-20.452,-702.133,19.602,-20.844,-698.619,21.78,48.158,-20.596,-587.582,51.493,-23.975,-587.153,54.193,28.32,-71.868,-277.063,130.768,-68.133,-278.989,136.436,19.416,-59.884,-15.574,231.668,-57.532,-27.981,233.709,15.001,-44.006,132.151,204.561,-43.349,129.176,202.658,13.506,-14.574,195.725,73.776,-15.396,196.38,76.666,10.544,13.856,300.834,27.43,13.452,302.583,20.64,Fliffis C,generated_Mean_Fliffis C
108.309,18.58,133.388,-16.784,19.228,193.426,-8.837,12.641,-51.34,259.76,60.06,-39.571,243.836,21.57,16.194,-39.032,32.26,-41.044,-40.346,17.911,-30.349,41.18,-0.956,-466.308,66.056,-4.376,-466.538,57.864,46.7,-1.636,-619.288,-33.916,-3.419,-618.237,-30.323,43.155,-19.936,-458.104,-130.068,-22.362,-453.163,-123.782,21.667,1.82,-44.3,-34.096,-7.325,-48.471,-32.327,15.144,16.968,112.024,49.096,14.937,115.049,63.669,13.691,-25.952,186.14,56.928,-26.423,190.617,55.919,10.563,-3.58,288.004,15.516,-6.928,278.292,25.905,1/2 ein 1/2 aus C,generated_Mean_1/2 ein 1/2 aus C
101.53,31.349,163.316,-9.924,30.657,202.839,-14.483,6.231,13.181,151.6,-25.246,10.26,170.295,-28.348,19.868,-1.491,-111.456,-14.253,-3.756,-77.777,-8.04,26.151,-26.447,561.91,7.166,-27.941,544.134,2.486,36.537,-26.008,670.341,2.774,-25.907,672.502,3.951,44.633,1.832,806.053,4.702,0.026,799.805,7.56,38.871,60.988,650.763,4.95,58.919,657.268,3.167,11.026,39.388,290.718,-24.133,39.312,293.358,-21.619,11.157,13.628,149.099,-22.197,14.112,152.763,-21.504,10.587,6.841,252.224,-10.632,6.469,252.981,-10.814,Doppelsalto B,generated_Mean_Doppelsalto B
93.789,35.869,-1.097,-12.377,38.483,18.244,-20.597,30.849,-131.657,-496.611,253.451,-99.484,-504.019,195.887,32.335,-91.589,-686.166,112.949,-88.97,-678.626,104.941,29.209,-63.594,-570.309,79.714,-63.36,-570.006,83.08,17.367,-33.16,-417.714,17.68,-30.893,-408.837,26.187,11.572,-11.114,34.566,55.497,-6.843,21.724,47.597,5.36,-22.743,-37.423,5.56,-21.309,-46.549,1.676,13.573,-37.56,-439.206,40.646,-39.137,-433.163,46.401,22.111,-45.96,-525.274,77.377,-46.271,-525.326,82.676,25.907,-78.737,-297.606,53.091,-47.21,-423.904,21.923,1 3/4 Salto vw B,generated_Mean_1 3/4 Salto vw B
104.397,-12.538,-121.071,-27.884,-1.491,-84.599,-16.666,35.356,36.627,-597.916,-2.204,43.343,-579.538,-10.944,41.181,50.12,-686.782,9.16,51.813,-678.898,0.616,53.171,49.587,-685.6,-43.422,49.923,-696.436,-42.38,51.289,53.453,-747.342,36.044,50.32,-729.367,32.693,26.251,-48.031,-240.093,140.089,-38.694,-269.237,141.191,21.441,75.031,82.409,318.604,71.262,57.278,319.19,13.904,45.298,157.951,174.987,44.033,158.913,172.479,13.242,-26.56,310.422,37.796,-17.793,317.27,27.449,11.398,41.12,431.92,28.156,37.78,413.699,9.317,Fliffis aus C,generated_Mean_Fliffis aus C
92.588,32.52,74.189,-47.309,-5.506,193.669,-27.19,8.135,1.709,226.32,-24.977,-1.433,194.097,-22.489,11.946,4.126,-270.731,33.337,5.736,-255.65,14.709,5.251,16.909,186.451,-13.069,14.369,180.577,-12.263,19.029,6.194,580.051,-28.011,2.136,573.376,-26.111,24.509,-33.234,512.646,-10.406,-31.714,505.37,-7.486,5.602,-8.177,200.32,9.251,-11.254,203.017,11.473,5.874,6.503,93.657,-0.76,6.037,96.293,-0.456,4.4,4.011,188.52,9.886,3.881,183.04,4.663,4.544,-7.0,274.789,-30.726,-10.647,276.616,-28.289,Salto rw B,generated_Mean_Salto rw B
94.585,-16.345,97.342,-8.938,-9.855,176.854,8.591,8.694,19.178,310.622,-25.044,11.779,280.815,-24.352,6.913,-11.124,169.109,-7.055,-14.112,171.181,-7.125,8.095,-24.509,200.847,11.847,-21.32,200.835,12.672,7.202,-6.407,236.68,16.171,-4.468,233.587,16.993,6.63,0.029,206.604,1.847,0.113,205.69,2.664,6.363,8.084,146.298,-6.993,7.58,148.644,-7.936,7.2,-2.418,128.309,-13.335,-2.117,131.025,-13.826,7.068,-15.618,211.647,-5.247,-13.926,213.099,-5.398,5.872,-11.011,322.073,-24.662,-14.872,316.718,-27.775,Salto rw A,generated_Mean_Salto rw A
