SprungID,Sprungtyp,0_Acc_N_Fil,0_Gyro_x_R,0_Gyro_y_R,0_Gyro_z_R,0_Gyro_x_Fil,0_Gyro_y_Fil,0_Gyro_z_Fil,10_Acc_N_Fil,10_Gyro_x_R,10_Gyro_y_R,10_Gyro_z_R,10_Gyro_x_Fil,10_Gyro_y_Fil,10_Gyro_z_Fil,20_Acc_N_Fil,20_Gyro_x_R,20_Gyro_y_R,20_Gyro_z_R,20_Gyro_x_Fil,20_Gyro_y_Fil,20_Gyro_z_Fil,30_Acc_N_Fil,30_Gyro_x_R,30_Gyro_y_R,30_Gyro_z_R,30_Gyro_x_Fil,30_Gyro_y_Fil,30_Gyro_z_Fil,40_Acc_N_Fil,40_Gyro_x_R,40_Gyro_y_R,40_Gyro_z_R,40_Gyro_x_Fil,40_Gyro_y_Fil,40_Gyro_z_Fil,50_Acc_N_Fil,50_Gyro_x_R,50_Gyro_y_R,50_Gyro_z_R,50_Gyro_x_Fil,50_Gyro_y_Fil,50_Gyro_z_Fil,60_Acc_N_Fil,60_Gyro_x_R,60_Gyro_y_R,60_Gyro_z_R,60_Gyro_x_Fil,60_Gyro_y_Fil,60_Gyro_z_Fil,70_Acc_N_Fil,70_Gyro_x_R,70_Gyro_y_R,70_Gyro_z_R,70_Gyro_x_Fil,70_Gyro_y_Fil,70_Gyro_z_Fil,80_Acc_N_Fil,80_Gyro_x_R,80_Gyro_y_R,80_Gyro_z_R,80_Gyro_x_Fil,80_Gyro_y_Fil,80_Gyro_z_Fil,90_Acc_N_Fil,90_Gyro_x_R,90_Gyro_y_R,90_Gyro_z_R,90_Gyro_x_Fil,90_Gyro_y_Fil,90_Gyro_z_Fil
20191007-1534-FRANKFURT_2-01-138,Barani C,90.78,-16.8,44.24,8.4,-6.78,-34.57,36.19,21.447,-67.56,-420.4,50.56,-34.48,-386.16,47.1,15.071,-18.84,-460.48,139.24,-21.3,-454.13,131.34,10.562,-55.12,-175.2,204.16,-51.64,-181.47,213.17,13.36,33.24,22.72,294.96,11.4,17.98,274.62,6.093,-140.0,60.64,219.84,-136.28,56.94,218.07,6.835,-116.24,72.0,186.56,-115.02,73.78,190.34,6.44,-23.68,90.84,160.48,-28.63,94.74,157.65,6.264,-15.12,152.44,36.92,-13.71,154.83,43.77,6.408,-5.28,235.16,16.68,-3.23,247.95,4.17
20191007-1534-FRANKFURT_2-01-139,Salto C,85.449,-27.28,196.96,36.56,-31.75,229.4,-6.55,12.886,-7.56,22.08,9.8,-14.04,29.54,35.8,11.559,31.52,-19.04,41.64,30.54,-8.77,43.18,19.474,75.4,606.76,-72.24,73.04,574.97,-57.75,21.969,63.68,573.12,-78.68,61.9,562.07,-48.63,5.686,18.2,279.76,-2.04,21.76,281.46,-13.52,3.335,-2.72,126.12,0.36,-0.74,131.91,-2.04,4.798,11.6,126.48,-0.52,10.78,122.96,2.73,5.604,19.6,116.72,-6.64,15.5,116.26,-9.0,5.379,4.84,194.48,-33.44,8.63,202.9,-38.11
20191007-1534-FRANKFURT_2-01-140,1 3/4 Salto vw B,92.307,36.76,-134.44,42.64,11.16,-75.87,19.41,37.221,-51.16,-547.84,110.64,-12.13,-570.96,83.37,32.866,2.44,-724.64,124.32,-2.53,-719.11,124.67,27.552,-55.96,-574.0,109.0,-54.77,-577.42,108.9,17.413,-52.68,-458.28,78.84,-53.76,-448.48,80.7,7.47,-59.72,-66.64,44.12,-53.44,-78.3,43.35,10.805,-33.68,150.92,-100.52,-24.82,111.89,-86.42,13.432,25.6,-397.8,2.68,22.97,-393.65,6.47,31.609,-8.08,-661.8,88.0,-14.85,-658.03,82.96,25.887,69.0,985.36,-994.04,-56.83,-381.86,12.67
20191007-1534-FRANKFURT_2-01-141,Baby- Fliffis C,107.475,-7.8,51.0,-6.04,-20.04,19.61,-20.39,19.02,11.2,-226.44,16.84,17.04,-241.21,18.28,23.622,-50.04,-416.92,20.72,-42.96,-417.78,23.56,33.875,-71.64,-571.76,90.64,-66.59,-565.83,92.57,19.391,-56.52,-295.68,244.24,-57.61,-288.83,239.97,16.994,22.12,59.76,348.84,20.58,50.33,341.6,8.704,-92.52,93.64,258.88,-93.34,88.14,252.54,9.195,-49.68,100.16,214.24,-51.54,100.02,206.42,8.261,-13.24,180.48,110.48,-17.97,178.41,110.55,7.473,2.0,377.72,20.24,10.53,356.91,16.53
20191008-1157-FRANKFURT_1-01-8,Salto A,97.254,-4.56,157.12,14.12,-4.29,161.33,42.63,5.339,19.24,246.8,91.12,11.17,235.3,58.93,6.916,-13.72,169.88,-21.24,-10.95,159.68,-16.59,5.679,-2.8,110.88,44.08,-0.93,104.77,25.53,5.992,2.88,100.44,6.08,-0.67,101.87,5.89,6.621,-14.96,165.08,15.84,-15.09,166.08,19.05,6.757,-2.0,221.36,18.0,-2.98,217.95,14.47,7.605,-11.48,225.0,-9.28,-11.59,226.4,-9.16,9.207,-14.2,272.12,-17.32,-13.34,272.13,-7.48,4.234,-18.12,349.68,-118.24,-24.91,353.91,-75.81
20191008-1157-FRANKFURT_1-01-17,Salto A,98.486,12.64,114.84,-70.64,8.3,126.7,-44.3,10.126,-5.68,176.8,1.88,-14.07,176.67,6.87,7.681,-21.96,175.16,14.2,-21.3,182.84,4.67,8.429,-8.0,248.36,-12.68,-11.7,242.19,-12.99,8.547,15.16,244.08,0.2,11.37,243.11,-0.53,7.36,-14.64,225.64,-16.84,-12.71,224.66,-19.9,7.0,4.68,168.48,-12.24,1.84,168.04,-13.35,7.694,-12.96,169.72,-16.44,-12.11,169.82,-16.65,6.248,-16.96,181.76,-2.6,-14.19,190.94,0.57,5.26,0.32,323.24,-36.64,-2.87,311.26,-33.56
20191008-1157-FRANKFURT_1-01-19,Salto B,96.68,12.12,83.48,9.68,-1.33,103.94,8.95,1.584,1.64,116.36,3.0,2.86,114.79,17.48,15.822,7.64,-255.36,34.44,12.91,-203.93,28.91,6.666,17.0,114.72,-49.16,9.41,116.48,-26.49,21.031,9.08,528.68,6.48,19.84,536.13,3.47,19.528,62.8,440.92,-12.16,64.15,456.83,-28.3,13.134,40.4,248.24,0.04,22.38,280.67,-5.35,5.447,4.16,128.2,-12.52,7.2,115.19,-11.81,3.448,23.08,110.0,-4.96,23.98,110.93,-3.45,5.996,46.72,248.16,-20.04,34.39,252.62,-15.73
20191008-1157-FRANKFURT_1-01-21,Salto A,94.334,-21.6,138.52,4.56,11.03,155.57,15.26,2.802,-25.76,407.0,-73.6,-20.46,336.42,-75.65,9.921,-3.2,165.08,17.68,-1.89,163.55,9.46,7.784,-29.44,240.84,10.2,-25.54,235.2,9.89,6.472,-17.2,234.08,9.48,-17.31,225.78,17.69,6.803,4.16,197.76,-1.64,-0.35,198.3,-4.87,5.999,9.48,164.08,-17.2,10.13,164.45,-17.71,7.331,-4.56,129.88,-13.68,-6.59,132.23,-13.77,7.737,-29.36,197.08,-7.84,-24.17,196.62,-5.12,2.078,-12.68,265.08,25.88,-16.36,269.66,19.65
20191008-1157-FRANKFURT_1-01-32,Salto A,97.713,-17.08,174.48,-21.28,2.05,162.92,-3.53,2.845,34.4,435.24,-91.72,13.4,333.54,-76.71,6.829,-6.36,158.84,-57.32,-14.68,161.41,-36.33,7.775,-14.84,227.56,39.76,-9.47,226.57,25.58,5.936,11.48,221.88,1.16,11.32,223.54,7.5,6.262,7.12,193.68,-5.6,8.96,192.66,-3.73,6.387,-13.48,167.68,-23.6,-10.99,164.47,-21.66,6.919,5.68,117.0,-0.08,4.93,119.14,-2.37,5.18,25.56,181.24,6.64,21.96,177.72,12.87,1.9,40.4,235.36,-70.48,22.73,254.51,-54.47
20191008-1157-FRANKFURT_1-01-34,Salto B,96.465,-31.68,118.52,47.6,-25.65,116.22,5.73,4.128,67.12,147.08,-66.8,34.44,140.09,-18.02,11.659,6.68,-185.44,5.4,10.16,-152.27,10.12,2.744,40.64,104.64,-51.28,29.6,104.54,-16.75,19.904,54.12,545.96,-60.76,45.81,530.52,-55.33,27.758,10.08,552.6,-20.52,3.24,482.19,-30.4,4.557,-61.76,179.32,-9.36,-54.47,192.2,-16.0,5.859,1.84,74.36,10.52,-1.07,75.77,7.59,6.055,-21.56,155.08,30.44,-22.86,161.69,28.42,5.666,6.76,293.8,-0.2,-0.8,288.13,-5.82
