SprungID,Sprungtyp,mean_Acc_N_Fil,std_Acc_N_Fil,mean_Gyro_x_R,std_Gyro_x_R,mean_Gyro_y_R,std_Gyro_y_R,mean_Gyro_z_R,std_Gyro_z_R,mean_Gyro_x_Fil,std_Gyro_x_Fil,mean_Gyro_y_Fil,std_Gyro_y_Fil,mean_Gyro_z_Fil,std_Gyro_z_Fil
20191003-1152-FRANKFURT_1-01-106,Salto C,4.999,1.694,-6.893,7.377,221.99,61.987,-5.133,9.523,-6.531,5.408,225.614,61.667,-4.65,7.372
20191003-1152-FRANKFURT_1-01-106,Salto C,3.849,0.51,-6.853,4.379,115.515,10.516,-7.803,3.109,-6.745,3.522,116.904,10.136,-8.002,1.872
20191003-1152-FRANKFURT_1-01-106,Salto C,4.123,0.289,-1.004,2.72,103.367,6.715,-2.445,3.021,-1.42,1.645,102.925,4.434,-2.253,1.563
20191003-1152-FRANKFURT_1-01-106,Salto C,4.472,0.318,-4.195,3.495,114.243,23.872,3.0,4.128,-3.676,1.638,116.431,22.092,2.955,3.082
20191003-1152-FRANKFURT_1-01-106,Salto C,30.075,24.34,-6.007,12.953,150.959,26.721,-9.175,22.719,-6.273,8.236,143.335,23.971,-9.527,12.488
20191007-1150-FRANKFURT_2-01-225,Salto A,47.394,27.251,26.642,9.756,265.983,45.628,-20.393,41.454,28.647,3.545,265.335,27.096,-20.758,17.161
20191007-1150-FRANKFURT_2-01-225,Salto A,6.428,2.13,25.511,21.716,241.582,25.742,-22.448,20.97,24.992,16.234,243.118,21.058,-19.898,7.455
20191007-1150-FRANKFURT_2-01-225,Salto A,6.086,1.743,11.189,6.324,161.725,25.657,-3.763,16.599,10.838,2.867,163.771,20.858,-3.564,8.792
20191007-1150-FRANKFURT_2-01-225,Salto A,8.35,0.769,-0.907,4.67,194.698,32.595,-2.161,10.021,-0.96,4.228,194.087,29.071,-1.795,8.278
20191007-1150-FRANKFURT_2-01-225,Salto A,8.464,0.817,0.296,8.1,258.563,39.287,26.1,12.256,1.47,6.395,257.496,23.295,24.741,5.794
20191007-1150-FRANKFURT_2-01-225,Salto A,8.218,0.489,27.831,5.649,190.739,25.293,22.407,5.79,26.628,4.888,191.461,16.088,23.326,1.268
20191007-1150-FRANKFURT_2-01-225,Salto A,8.67,0.289,23.427,3.356,186.478,9.274,22.339,7.215,23.323,3.022,186.077,6.445,22.726,2.219
20191007-1150-FRANKFURT_2-01-225,Salto A,9.896,0.609,17.136,4.048,177.028,18.216,3.498,17.649,17.298,2.774,177.959,14.626,3.642,12.93
20191007-1150-FRANKFURT_2-01-225,Salto A,7.871,2.081,18.461,8.841,215.274,9.527,6.739,14.542,19.649,8.583,217.531,10.736,5.475,9.115
20191007-1150-FRANKFURT_2-01-225,Salto A,32.267,26.172,67.734,35.339,288.854,76.107,29.816,45.684,64.33,14.078,275.662,51.288,28.084,27.149
20191008-1207-FRANKFURT_2-01-240,Salto B,44.862,33.516,8.028,13.071,118.381,56.785,-21.939,19.853,8.575,7.237,113.359,47.015,-16.585,9.172
20191008-1207-FRANKFURT_2-01-240,Salto B,6.93,3.983,2.549,9.038,-113.224,116.883,22.941,24.492,1.452,3.935,-105.486,94.831,19.565,4.918
20191008-1207-FRANKFURT_2-01-240,Salto B,9.746,4.284,-1.136,25.844,17.15,136.161,-7.253,32.043,-1.215,16.994,16.77,128.553,-5.562,18.611
20191008-1207-FRANKFURT_2-01-240,Salto B,21.224,6.145,16.361,22.101,474.842,176.511,1.397,16.443,20.167,20.515,471.387,159.026,-0.382,8.183
20191008-1207-FRANKFURT_2-01-240,Salto B,36.957,8.103,96.798,16.23,668.352,69.954,-19.512,63.901,94.032,9.846,662.387,49.236,-15.432,27.442
20191008-1207-FRANKFURT_2-01-240,Salto B,7.675,5.255,47.941,23.05,252.312,139.828,-18.543,19.966,48.217,19.944,257.701,126.353,-22.446,11.048
20191008-1207-FRANKFURT_2-01-240,Salto B,4.341,0.796,17.446,6.336,92.679,19.737,-22.532,4.861,17.46,4.822,91.179,18.213,-22.623,2.257
20191008-1207-FRANKFURT_2-01-240,Salto B,4.681,0.477,7.755,7.471,37.644,11.701,-37.235,11.122,6.893,6.233,40.202,7.759,-36.836,9.129
20191008-1207-FRANKFURT_2-01-240,Salto B,3.523,1.424,-20.722,10.261,140.874,78.157,-12.921,31.528,-20.349,7.113,144.594,75.128,-12.742,27.788
20191008-1207-FRANKFURT_2-01-240,Salto B,50.74,39.409,0.806,46.22,268.88,148.658,15.067,55.19,-0.081,32.116,250.967,130.391,13.798,28.068
20190930-1247-FRANKFURT_2-01-47,Salto C,45.366,30.509,16.0,16.095,147.463,52.397,29.84,22.199,13.517,13.831,145.821,41.517,29.942,11.5
20190930-1247-FRANKFURT_2-01-47,Salto C,8.651,2.474,-20.982,39.28,27.845,39.563,7.724,36.441,-18.503,19.645,28.903,22.164,4.822,15.818
20190930-1247-FRANKFURT_2-01-47,Salto C,10.329,0.987,-27.667,8.9,161.73,102.113,5.939,16.024,-27.259,6.259,167.303,89.707,6.289,7.758
20190930-1247-FRANKFURT_2-01-47,Salto C,15.494,2.123,-10.011,5.787,413.891,56.84,12.312,18.312,-9.724,5.092,408.715,50.755,11.768,12.145
20190930-1247-FRANKFURT_2-01-47,Salto C,15.17,1.414,10.251,3.234,406.225,38.43,7.947,7.615,9.706,2.093,406.817,35.862,8.886,7.169
20190930-1247-FRANKFURT_2-01-47,Salto C,8.531,3.054,0.141,7.289,281.405,57.214,-14.313,7.653,-0.408,6.966,280.123,52.689,-13.693,5.21
20190930-1247-FRANKFURT_2-01-47,Salto C,5.16,0.276,-13.907,6.055,165.147,5.206,-1.344,5.517,-13.36,4.275,166.897,6.761,-1.414,5.093
20190930-1247-FRANKFURT_2-01-47,Salto C,5.225,0.196,-12.178,2.376,152.56,4.954,4.454,3.565,-11.8,1.772,153.881,4.429,4.693,2.057
20190930-1247-FRANKFURT_2-01-47,Salto C,4.597,0.377,6.25,13.683,203.805,25.102,9.926,18.739,5.913,11.815,200.7,18.378,10.262,9.979
20190930-1247-FRANKFURT_2-01-47,Salto C,25.959,24.652,5.506,29.738,133.798,34.278,-8.981,54.046,6.877,20.94,132.053,35.218,-8.949,27.66
20191007-1150-FRANKFURT_2-01-86,Salto A,55.902,23.374,37.643,13.309,265.654,29.363,-6.22,20.587,39.737,6.411,264.445,15.478,-6.58,10.371
20191007-1150-FRANKFURT_2-01-86,Salto A,7.288,2.429,27.179,14.586,220.094,30.672,-18.718,32.354,26.646,9.16,219.551,25.702,-16.677,16.644
20191007-1150-FRANKFURT_2-01-86,Salto A,5.973,2.186,4.826,10.086,72.877,48.521,-31.908,15.211,3.76,7.785,82.104,37.694,-32.699,5.916
20191007-1150-FRANKFURT_2-01-86,Salto A,9.041,0.41,-12.259,18.127,202.429,41.95,2.953,18.628,-10.767,13.474,196.882,42.807,1.031,12.997
20191007-1150-FRANKFURT_2-01-86,Salto A,8.985,0.057,15.092,12.924,246.375,11.077,-11.2,13.087,14.886,9.491,245.719,5.98,-10.688,5.193
20191007-1150-FRANKFURT_2-01-86,Salto A,8.896,0.21,9.609,12.368,216.224,10.532,-25.321,11.449,9.752,10.477,216.338,8.613,-23.908,5.761
20191007-1150-FRANKFURT_2-01-86,Salto A,8.866,0.399,-9.847,5.176,199.344,6.466,-0.423,7.712,-10.603,4.082,199.932,4.254,-0.134,8.626
20191007-1150-FRANKFURT_2-01-86,Salto A,9.959,0.473,-29.722,4.511,226.471,18.389,16.67,9.772,-27.856,2.775,225.881,14.274,14.508,5.27
20191007-1150-FRANKFURT_2-01-86,Salto A,8.412,1.537,-9.86,5.928,244.524,6.312,-19.289,17.109,-9.97,3.714,245.004,1.966,-17.767,11.547
20191007-1150-FRANKFURT_2-01-86,Salto A,30.495,25.201,46.405,43.172,247.673,62.235,75.616,70.905,43.402,33.17,239.573,36.142,68.773,51.746
20191003-1152-FRANKFURT_1-01-103,Salto A,53.143,24.227,10.894,6.458,212.972,44.879,13.02,25.968,8.792,3.597,212.891,29.134,18.124,18.844
20191003-1152-FRANKFURT_1-01-103,Salto A,4.087,2.376,-8.786,16.744,129.378,58.291,12.742,34.294,-7.335,7.37,130.329,51.829,10.683,17.158
20191003-1152-FRANKFURT_1-01-103,Salto A,7.66,1.423,-7.311,7.503,73.672,32.794,-1.021,7.7,-7.053,5.178,78.098,31.729,-0.178,3.037
20191003-1152-FRANKFURT_1-01-103,Salto A,10.897,0.476,-2.547,8.721,290.682,81.221,6.027,5.496,-2.676,5.528,288.683,76.435,6.252,3.09
20191003-1152-FRANKFURT_1-01-103,Salto A,8.446,1.26,-11.035,7.964,396.294,32.871,9.029,11.283,-11.363,2.59,390.875,30.549,8.011,6.245
20191003-1152-FRANKFURT_1-01-103,Salto A,6.867,0.265,-7.682,10.282,226.714,44.89,-5.19,7.065,-7.099,7.168,229.526,44.413,-4.869,2.692
20191003-1152-FRANKFURT_1-01-103,Salto A,7.616,0.352,-6.963,5.804,145.919,11.54,-14.092,4.454,-6.877,3.184,147.52,10.277,-13.232,2.479
20191003-1152-FRANKFURT_1-01-103,Salto A,8.186,1.308,-4.176,6.993,157.167,13.274,-15.264,16.58,-5.182,5.764,159.371,15.035,-13.576,9.776
20191003-1152-FRANKFURT_1-01-103,Salto A,8.774,1.887,-26.776,3.511,255.75,23.623,17.756,24.604,-26.66,2.685,255.544,25.355,14.955,15.778
20191003-1152-FRANKFURT_1-01-103,Salto A,36.839,28.571,-33.386,27.749,273.102,77.629,-15.538,41.565,-31.614,7.565,269.864,59.422,-16.751,13.803
