SprungID,Sprungtyp,0_Acc_N_Fil,0_Gyro_x_R,0_Gyro_y_R,0_Gyro_z_R,0_Gyro_x_Fil,0_Gyro_y_Fil,0_Gyro_z_Fil,10_Acc_N_Fil,10_Gyro_x_R,10_Gyro_y_R,10_Gyro_z_R,10_Gyro_x_Fil,10_Gyro_y_Fil,10_Gyro_z_Fil,20_Acc_N_Fil,20_Gyro_x_R,20_Gyro_y_R,20_Gyro_z_R,20_Gyro_x_Fil,20_Gyro_y_Fil,20_Gyro_z_Fil,30_Acc_N_Fil,30_Gyro_x_R,30_Gyro_y_R,30_Gyro_z_R,30_Gyro_x_Fil,30_Gyro_y_Fil,30_Gyro_z_Fil,40_Acc_N_Fil,40_Gyro_x_R,40_Gyro_y_R,40_Gyro_z_R,40_Gyro_x_Fil,40_Gyro_y_Fil,40_Gyro_z_Fil,50_Acc_N_Fil,50_Gyro_x_R,50_Gyro_y_R,50_Gyro_z_R,50_Gyro_x_Fil,50_Gyro_y_Fil,50_Gyro_z_Fil,60_Acc_N_Fil,60_Gyro_x_R,60_Gyro_y_R,60_Gyro_z_R,60_Gyro_x_Fil,60_Gyro_y_Fil,60_Gyro_z_Fil,70_Acc_N_Fil,70_Gyro_x_R,70_Gyro_y_R,70_Gyro_z_R,70_Gyro_x_Fil,70_Gyro_y_Fil,70_Gyro_z_Fil,80_Acc_N_Fil,80_Gyro_x_R,80_Gyro_y_R,80_Gyro_z_R,80_Gyro_x_Fil,80_Gyro_y_Fil,80_Gyro_z_Fil,90_Acc_N_Fil,90_Gyro_x_R,90_Gyro_y_R,90_Gyro_z_R,90_Gyro_x_Fil,90_Gyro_y_Fil,90_Gyro_z_Fil
20190930-1616-FRANKFURT_1-01-27,Salto C,55.985,-4.477,141.721,30.869,-4.249,137.616,28.384,8.572,-10.106,-42.883,-11.836,-9.536,-38.097,-10.404,8.039,-2.662,60.256,6.083,-2.121,69.284,6.282,17.394,6.65,506.544,22.095,6.582,495.268,21.259,16.891,13.497,465.926,23.604,13.387,461.769,24.333,8.071,-3.223,246.149,23.135,-3.32,250.658,21.879,3.851,-7.094,115.156,2.151,-7.18,115.867,2.729,3.807,-1.862,107.704,9.512,-1.634,108.437,10.013,4.185,12.598,164.913,20.103,12.454,166.172,19.354,39.657,21.047,260.183,1.493,18.846,261.004,2.57
20190930-1153-FRANKFURT_1-01-125,Salto A,74.229,13.293,116.437,-4.023,12.875,115.526,-2.991,10.296,-2.034,-8.775,12.66,-1.094,-6.968,12.046,13.701,23.66,150.074,27.567,24.776,154.5,26.265,23.949,100.684,581.517,11.917,99.233,573.907,11.564,11.482,71.551,317.16,-31.315,71.498,319.263,-29.264,3.418,26.867,157.891,-11.814,27.343,159.63,-12.938,3.51,17.167,116.756,-5.903,16.915,116.446,-6.368,4.121,-13.626,83.147,-5.626,-12.972,83.806,-4.489,3.975,2.614,101.894,14.43,1.582,103.76,12.025,48.992,6.74,190.834,-58.006,7.703,189.275,-56.547
0609-4-01-572,Barani C,63.111,15.868,-95.063,45.217,13.166,-93.42,44.843,12.67,-32.306,-356.1,27.416,-30.221,-354.395,28.37,10.033,-14.146,-286.823,99.152,-13.228,-284.227,99.308,11.406,-13.299,-86.035,168.984,-14.989,-90.712,169.991,8.11,-64.384,-87.721,292.071,-63.933,-84.847,289.396,7.942,-73.906,50.616,256.483,-72.979,50.112,256.097,6.3,-41.165,128.829,189.24,-40.61,127.76,189.129,6.387,10.161,140.221,111.035,9.112,140.247,111.568,6.418,26.734,151.916,59.038,26.897,151.402,58.217,44.693,23.44,154.569,-8.66,23.06,154.767,-8.547
20191007-1159-FRANKFURT_1-01-200,Barani B,58.092,15.917,-194.139,-42.079,17.507,-202.008,-38.265,21.567,52.197,-552.126,58.685,50.662,-538.362,55.866,10.14,8.454,-318.116,0.713,9.399,-319.423,3.526,9.931,32.283,-54.884,133.866,33.779,-59.011,137.9,12.307,28.414,-9.048,422.209,27.411,-8.14,415.91,9.69,6.748,60.559,399.267,5.971,59.969,394.36,7.636,34.273,96.866,172.994,33.259,97.04,175.515,5.776,16.57,155.672,32.017,17.823,157.839,33.587,7.047,8.048,320.651,-7.781,9.308,316.809,-6.76,31.529,34.869,256.809,4.213,30.661,251.45,1.072
0609-4-01-361,Salto C,59.333,-21.059,246.273,7.695,-20.567,233.227,8.802,9.86,-14.142,-58.665,23.739,-13.313,-35.004,22.992,12.368,13.084,412.915,22.014,10.365,401.903,19.982,13.601,4.779,352.199,11.1,5.109,346.446,12.55,4.266,-3.92,145.808,10.233,-2.951,151.449,10.046,3.88,2.912,173.912,10.339,3.165,173.385,10.324,3.698,12.911,147.641,14.205,12.772,147.48,14.251,2.988,12.119,110.931,-5.231,11.686,110.665,-5.55,5.517,-1.513,56.798,-2.347,-0.92,59.62,-1.723,19.171,12.956,224.959,-2.451,11.839,209.921,-2.264
20191007-1524-FRANKFURT_1-01-110,Doppelsalto C,69.308,57.665,311.497,-2.505,60.77,322.058,-16.996,14.632,-2.124,60.625,-59.597,-0.668,75.967,-55.176,28.895,-11.268,360.089,-34.672,-10.378,360.976,-34.943,40.124,-5.783,684.93,-29.869,-5.631,679.047,-31.438,50.141,37.848,742.768,-10.331,37.373,743.037,-11.29,44.236,82.236,744.007,-31.149,81.576,738.925,-28.093,21.497,69.98,416.548,-5.971,70.355,417.088,-8.741,9.997,22.929,179.139,-33.242,24.245,183.032,-30.228,12.502,77.917,242.32,28.939,75.824,241.763,26.793,36.477,114.807,245.736,-97.739,111.941,255.846,-79.197
20191001-1148-FRANKFURT_1-01-163,Barani C,56.164,51.327,-212.43,10.135,52.807,-223.457,9.541,15.196,-2.472,-387.715,117.72,-3.239,-383.763,117.475,10.729,-74.52,-249.392,150.96,-70.482,-248.479,153.745,12.147,-0.97,-36.438,319.387,-7.957,-37.198,314.108,8.162,-93.848,88.979,301.066,-89.287,87.797,301.398,7.5,-62.04,136.973,181.67,-60.853,136.746,181.068,6.718,3.906,136.312,40.749,1.849,136.976,41.301,6.559,-18.068,191.706,-14.082,-17.128,192.538,-11.803,3.598,-11.117,282.258,6.534,-12.047,279.718,4.738,55.161,-47.579,145.083,-44.734,-43.335,167.595,-39.041
20190930-1247-FRANKFURT_2-01-198,Rudi,65.921,-0.192,-82.605,97.237,-1.158,-74.698,95.116,11.793,-71.676,-333.922,52.788,-69.948,-332.944,55.952,10.44,-38.551,-201.245,304.554,-35.493,-200.649,307.395,10.657,160.201,-57.127,555.04,158.342,-56.292,549.771,14.421,394.018,35.474,561.955,391.397,27.42,559.47,14.558,352.23,-169.699,508.818,350.648,-161.006,511.022,12.212,114.004,14.832,487.163,114.738,15.423,484.566,8.84,-16.031,254.233,246.943,-14.079,250.052,249.186,8.033,-42.609,249.471,106.615,-41.201,251.771,109.157,37.766,35.014,277.292,29.539,31.175,276.9,26.009
20191001-1202-FRANKFURT_2-01-197,Salto A,55.168,14.562,-292.476,26.165,14.378,-294.522,4.0,5.849,-5.333,-214.002,-4.101,-5.269,-218.502,-3.886,6.731,-19.946,-107.676,4.53,-18.261,-111.425,3.384,7.205,-5.149,-219.846,-21.475,-5.523,-217.329,-18.909,6.685,2.025,-194.815,9.587,1.205,-196.613,7.944,7.567,-6.84,-163.976,-9.08,-6.69,-164.842,-8.547,9.089,-12.463,-218.628,-7.135,-12.105,-219.242,-6.459,10.882,-26.995,-273.6,12.427,-27.187,-271.789,10.859,9.013,-45.083,-267.136,-19.422,-44.827,-270.911,-16.893,40.129,-26.013,-291.248,-77.824,-25.774,-274.632,-55.791
20191008-1207-FRANKFURT_2-01-171,Salto C,49.999,12.587,129.484,-34.379,12.031,124.255,-31.396,8.054,-2.0,-105.701,12.134,-0.904,-98.587,12.56,9.711,-17.096,-41.262,-6.919,-16.937,-35.381,-4.197,21.299,7.786,507.74,-31.338,10.557,499.029,-30.874,34.687,105.804,642.342,-11.945,99.782,634.862,-15.263,7.475,31.195,291.501,-49.952,34.473,295.796,-47.205,4.341,21.044,130.47,-21.609,21.525,133.103,-22.231,4.902,3.465,110.893,-25.358,3.541,111.623,-26.749,6.13,0.938,116.143,-2.026,0.499,119.116,-1.682,30.845,-1.268,242.77,-20.967,1.995,231.315,-19.232
20191008-1207-FRANKFURT_2-01-173,Salto A,69.44,59.112,232.019,-54.854,58.226,228.874,-51.807,7.337,28.496,102.68,-44.054,24.914,103.551,-43.315,10.048,-25.737,88.92,1.742,-20.959,95.277,0.383,8.786,31.761,234.285,-7.277,31.267,232.877,-6.981,7.774,59.46,246.228,-14.635,59.044,245.332,-15.071,6.873,52.229,228.732,-37.421,51.67,227.913,-36.41,7.013,40.015,198.924,-19.122,39.694,198.565,-19.846,7.476,25.892,159.954,-42.545,25.984,159.048,-41.957,6.444,26.315,173.315,-35.748,26.967,182.917,-37.38,44.832,55.987,372.974,-8.435,53.712,369.018,-11.489
20190930-1616-FRANKFURT_1-01-57,Barani C,53.973,-22.342,-108.106,90.628,-20.379,-101.482,85.397,11.051,-50.694,-316.232,13.613,-51.681,-325.039,19.607,16.754,-53.377,-460.082,54.773,-53.806,-452.362,55.112,12.913,-78.105,-303.537,183.073,-77.638,-301.099,180.669,6.82,-54.405,-26.892,210.142,-51.92,-30.158,210.843,6.599,23.379,18.568,192.551,20.785,19.53,193.456,5.281,-35.84,62.495,202.822,-36.114,61.588,199.814,4.598,-51.451,120.767,94.535,-50.837,120.574,97.562,5.096,-37.977,121.28,96.624,-38.741,126.105,88.084,38.247,-23.398,219.016,-3.23,-23.554,208.958,5.233
20190930-1247-FRANKFURT_2-01-89,Salto A,52.937,6.199,255.434,21.096,8.067,250.355,22.383,6.198,18.864,179.742,-9.641,17.677,182.106,-9.072,7.627,4.927,153.413,-30.22,5.864,155.287,-28.687,8.203,15.84,221.561,-1.962,14.47,221.345,-2.83,7.544,-2.055,219.12,-19.396,-0.944,218.858,-19.003,7.468,-1.757,217.403,-4.98,-1.76,216.877,-5.34,7.096,3.981,191.489,-4.242,4.087,191.546,-4.182,6.781,3.469,163.657,-8.163,3.295,164.233,-8.431,6.708,1.891,188.171,5.032,2.227,188.494,5.034,28.245,14.707,194.237,-9.568,15.595,186.19,-9.566
0827-BK2-01-35,Strecksprung,62.692,6.547,22.528,-9.286,7.301,24.964,-8.504,1.473,4.804,-3.544,0.16,4.206,-3.795,-0.277,0.834,-17.189,-25.503,-21.342,-16.689,-25.956,-20.441,0.71,-6.645,-50.323,-9.258,-6.968,-49.469,-9.995,0.545,-6.049,-36.872,-33.486,-6.178,-36.894,-32.676,0.64,-7.511,-23.071,-25.218,-7.421,-23.242,-25.448,0.52,-7.647,-13.273,-22.894,-7.56,-13.265,-22.776,1.053,-0.239,-20.162,-29.78,-0.249,-20.765,-29.625,1.452,1.725,-65.569,-6.406,1.32,-64.369,-6.689,37.703,-7.344,52.187,3.671,-6.662,50.054,3.901
0609-1-01-646,Bauchsprung,52.518,-2.523,38.347,1.659,-1.151,36.955,1.724,2.876,1.805,-49.219,-5.252,0.805,-48.099,-5.357,0.472,-5.21,-44.839,-0.814,-4.898,-44.623,-0.864,0.759,6.422,-78.854,-12.419,5.89,-79.634,-12.207,1.021,1.775,-107.568,-3.961,2.663,-106.449,-3.577,1.685,-3.37,-86.22,22.67,-4.184,-86.144,21.623,1.709,-4.355,-63.33,5.232,-3.169,-62.693,5.56,2.349,20.101,-21.694,-1.306,18.744,-21.267,-0.392,2.329,-10.994,75.95,-0.655,-9.746,83.235,-3.728,54.145,-0.91,108.345,-43.884,-1.494,99.432,-41.317
20191008-1157-FRANKFURT_1-01-316,Strecksprung,29.949,-6.526,77.733,-17.781,-3.583,75.337,-20.154,2.495,1.661,22.036,-42.304,1.533,25.91,-41.906,0.764,22.115,17.529,18.477,20.87,16.057,19.691,1.031,6.465,-27.913,62.705,6.054,-27.157,62.095,1.045,-48.969,-73.046,8.645,-46.927,-72.388,9.586,2.085,-16.564,-77.171,-15.93,-17.187,-77.999,-15.343,1.521,17.327,-77.02,16.777,16.349,-76.885,15.627,1.36,-0.389,-67.005,23.92,-0.311,-65.878,23.675,5.841,1.06,8.949,-14.935,0.86,12.611,-15.513,65.122,-3.099,168.166,-48.285,-4.763,161.062,-46.135
0110-MORITZ-01-15,1/2 ein 1/2 aus C,55.387,9.54,253.99,-111.132,4.016,252.624,-111.844,12.261,-313.545,129.522,-223.66,-311.221,130.244,-219.957,31.03,-568.755,-259.825,-96.355,-561.982,-258.806,-92.007,49.574,-413.199,-617.57,206.636,-414.583,-614.883,198.433,40.412,-306.631,-578.196,-24.322,-304.399,-570.559,-26.677,25.914,-70.605,-74.598,-436.412,-66.42,-81.932,-430.104,13.296,154.329,111.283,-317.259,145.519,112.421,-317.447,12.558,68.623,159.12,-224.06,68.576,157.685,-220.772,12.933,-37.381,157.173,-12.895,-33.516,162.617,-15.571,41.38,28.884,315.966,7.778,27.538,301.797,7.476
20191007-1150-FRANKFURT_2-01-131,Salto A,58.594,44.318,192.714,-16.448,45.657,193.748,-16.902,7.706,17.474,238.312,-28.73,18.137,238.975,-27.405,6.265,-4.732,223.676,-22.982,-3.689,224.869,-22.588,9.203,1.235,269.276,-0.547,0.84,270.685,-0.63,8.556,13.665,226.425,-0.16,12.949,224.793,-1.267,8.951,4.09,175.94,-14.993,4.525,178.032,-14.5,9.107,-1.843,197.603,-10.928,-2.622,194.229,-11.294,9.395,-16.537,160.676,5.279,-15.37,163.215,6.308,5.446,-6.516,187.182,10.337,-7.219,190.867,9.112,43.608,28.801,197.497,3.1,28.494,190.085,7.304
20190930-1616-FRANKFURT_1-01-44,Salto C,55.732,-31.632,109.506,63.743,-29.064,106.288,61.01,8.945,3.08,-24.743,38.202,3.485,-19.699,36.722,8.24,24.148,140.276,-49.319,22.299,146.699,-45.599,17.941,-21.115,534.685,-13.389,-19.24,527.062,-14.182,21.499,-20.665,501.004,-43.118,-23.405,496.851,-41.796,4.535,-30.232,173.125,-1.045,-27.38,176.607,-1.769,3.8,-6.678,97.437,24.99,-7.532,98.4,24.405,4.026,-9.584,114.098,-1.627,-9.201,113.598,-1.692,3.508,-0.402,119.151,2.438,-0.215,120.004,4.59,28.748,28.926,170.035,78.472,29.17,165.467,76.026
20191008-1207-FRANKFURT_2-01-288,Salto B,51.796,30.081,179.534,-79.307,31.524,175.05,-72.766,4.852,-38.88,-52.144,-25.713,-33.461,-48.096,-27.111,11.339,-39.248,-135.641,36.866,-39.74,-126.103,32.906,16.46,21.461,377.429,-42.74,22.515,374.067,-40.086,34.267,99.451,664.361,-77.24,96.099,656.925,-77.355,16.243,39.74,441.288,-54.02,40.39,440.391,-52.843,3.916,19.239,132.013,-15.755,19.392,136.791,-15.214,4.646,9.033,91.906,0.913,10.472,91.659,-0.223,6.129,40.552,107.459,4.673,39.114,109.729,4.878,40.642,72.368,202.873,-89.256,68.856,188.586,-80.687
0827-BK2-02-7,Salto C,58.702,24.944,150.565,-58.173,24.186,144.986,-54.913,7.669,4.818,-57.985,8.307,5.434,-50.1,2.9,13.143,-7.985,306.122,-85.863,-8.603,304.057,-84.213,26.483,-13.745,615.031,-61.511,-13.588,606.452,-60.619,6.812,23.349,281.948,-34.193,23.674,286.166,-34.399,2.396,13.58,119.775,-40.126,12.838,120.856,-40.575,2.553,-0.007,79.726,-41.477,0.316,80.329,-40.955,3.241,0.997,82.659,-32.81,0.599,82.182,-33.043,4.653,-29.1,74.934,-24.775,-27.669,78.589,-25.16,33.232,-14.327,169.783,6.298,-13.94,165.469,6.298
