SprungID,Sprungtyp,Acc_N_Fil,Gyro_x_R,Gyro_y_R,Gyro_z_R,Gyro_x_Fil,Gyro_y_Fil,Gyro_z_Fil
generated_Mean_3/4 Salto rw A,3/4 Salto rw A,2.721,1.0,63.196,-2.125,-0.011,64.463,-1.441
generated_Mean_3/4 Salto rw A,3/4 Salto rw A,3.916,2.671,74.578,-12.258,2.315,74.037,-10.955
generated_Mean_3/4 Salto rw A,3/4 Salto rw A,4.284,8.604,130.824,-4.189,7.765,130.627,-5.06
generated_Mean_3/4 Salto rw A,3/4 Salto rw A,3.946,11.28,146.375,-3.485,9.961,146.81,-4.512
generated_Mean_3/4 Salto rw A,3/4 Salto rw A,3.982,3.087,134.34,-11.696,2.844,134.269,-11.429
generated_Mean_3/4 Salto rw A,3/4 Salto rw A,4.819,1.265,126.151,-9.453,1.117,129.942,-9.53
generated_Mean_3/4 Salto rw A,3/4 Salto rw A,5.073,-5.129,145.469,-5.78,-4.84,143.283,-2.712
generated_Mean_3/4 Salto rw A,3/4 Salto rw A,3.427,18.596,167.842,-5.133,18.777,165.142,-11.736
generated_Mean_Cody C,Cody C,116.119,4.52,-10.995,-31.584,6.013,-21.242,-24.749
generated_Mean_Cody C,Cody C,17.593,-25.631,-116.3,54.505,-30.904,-116.8,46.53
generated_Mean_Cody C,Cody C,14.787,-7.567,136.933,-7.367,-3.621,144.474,-1.944
generated_Mean_Cody C,Cody C,31.072,2.938,457.785,1.104,4.703,452.776,1.449
generated_Mean_Cody C,Cody C,22.644,9.256,341.544,-67.971,5.757,324.053,-42.901
generated_Mean_Cody C,Cody C,10.305,-21.967,152.66,12.322,-18.647,158.516,-4.082
generated_Mean_Cody C,Cody C,5.972,-6.318,122.509,-3.324,-6.57,126.926,-4.56
generated_Mean_Cody C,Cody C,6.128,-4.615,109.042,2.44,-4.897,108.42,1.881
generated_Mean_Cody C,Cody C,7.89,-9.322,104.845,-0.578,-8.588,103.971,0.282
