SprungID,Sprungtyp,Acc_x_Fil_avg_1,Acc_y_Fil_avg_1,Acc_z_Fil_avg_1,Gyro_x_Fil_avg_1,Gyro_y_Fil_avg_1,Gyro_z_Fil_avg_1,Acc_x_Fil_avg_2,Acc_y_Fil_avg_2,Acc_z_Fil_avg_2,Gyro_x_Fil_avg_2,Gyro_y_Fil_avg_2,Gyro_z_Fil_avg_2
0609-1-01-560,Salto C,-4.014,0.019,2.659,17.772,262.062,-3.949,2.308,-0.219,6.266,15.869,116.18,-7.982
0115-MORITZ-03-12,Voll- ein- Rudi- aus B,-16.723,0.181,-0.468,-328.267,-250.602,-393.301,-15.006,1.172,-1.292,-235.461,116.354,-374.038
0609-1-01-504,Salto C,-3.811,-0.338,2.721,16.5,263.163,-14.517,2.811,-0.061,5.784,10.93,111.886,-6.724
20191007-1150-FRANKFURT_2-01-173,Fliffis C,-36.906,2.403,-2.382,-47.742,-595.594,36.751,-9.86,0.515,-6.423,-31.931,53.705,235.169
20191001-1148-FRANKFURT_1-01-164,40°,-5.758,-1.144,3.429,9.49,293.553,5.364,-0.059,-0.553,8.519,-11.401,121.785,-13.623
0115-JANEIKE-01-88,Triffis B,-38.576,13.042,-1.692,-220.536,-677.148,27.283,-18.458,1.077,-1.967,-1.405,-84.132,-230.573
0827-BK2-01-71,Salto B,-4.757,-0.039,3.854,-6.107,217.182,-18.243,1.0,-0.009,6.434,-8.735,123.233,-14.133
0609-1-01-673,Bauchsprung,1.614,-0.511,9.166,-5.897,-58.466,-6.596,8.078,0.057,5.17,-0.29,15.933,-2.319
20191008-1207-FRANKFURT_2-01-341,Salto A,0.719,1.303,4.563,44.223,209.441,-42.372,-1.803,0.364,3.556,36.434,209.141,-64.121
0827-BK2-02-149,Salto A,-0.046,0.792,5.896,4.485,184.276,-42.259,0.407,0.312,3.325,-6.011,181.476,-37.922
0609-4-01-497,Fliffis B,-20.263,0.053,4.387,16.26,-413.436,75.841,-7.09,-0.929,-2.784,-71.443,177.282,178.601
0115-MORITZ-03-118,Voll- ein- halb- aus B,-20.839,4.06,-3.874,-333.413,-292.984,-292.203,-16.141,0.919,-4.581,-102.147,57.45,-257.953
20190930-1247-FRANKFURT_2-01-244,Salto A,0.449,-0.397,5.684,4.348,203.865,-8.374,-0.23,-0.558,4.16,2.777,177.876,-3.786
0110-MORITZ-01-96,Doppelsalto B,-17.288,-2.428,7.237,-38.139,371.613,5.636,-11.167,-2.792,0.171,-27.697,348.515,22.742
20191001-1202-FRANKFURT_2-01-30,Salto A,0.658,-1.587,2.364,-15.552,-220.946,-1.858,0.18,-1.872,4.204,-43.051,-201.594,-10.4
20190930-1247-FRANKFURT_2-01-175,Salto C,-5.606,0.597,5.047,5.859,210.917,-23.724,1.664,0.02,5.91,5.735,167.633,3.854
20191001-1148-FRANKFURT_1-01-76,43/,-9.695,1.612,7.226,119.02,-154.968,476.673,-6.008,-1.994,6.966,63.937,197.392,178.093
0827-BK2-02-32,Salto C,-6.429,0.728,3.67,12.232,260.665,-34.922,2.006,0.383,7.012,2.429,104.516,-25.321
20191007-1534-FRANKFURT_2-01-94,Barani A,-1.991,0.925,2.66,-80.841,-130.728,157.552,-2.741,-1.177,2.791,-38.604,197.601,74.257
20191007-1159-FRANKFURT_1-01-366,Barani A,-1.123,0.023,4.67,-51.04,-114.811,165.749,-3.365,-2.089,5.252,-18.765,229.544,30.271
20190930-1616-FRANKFURT_1-01-165,Fliffis C,-25.922,2.341,2.883,-38.923,-540.327,48.534,-4.989,0.56,-1.176,-66.207,134.894,171.467
20191001-1202-FRANKFURT_2-01-62,3/4 Salto rw A,-1.256,-0.971,5.837,-0.267,-152.706,-2.497,-7.494,-1.357,0.229,-2.613,-190.97,-24.082
20191007-1524-FRANKFURT_1-01-55,Barani A,-1.122,1.887,4.204,-95.197,-129.142,112.701,-3.01,-1.873,3.094,-44.125,193.198,91.992
0827-BK2-02-139,Salto A,0.168,0.494,6.079,12.508,191.622,-37.757,0.648,0.429,4.624,6.314,177.509,-19.665
0110-MORITZ-01-126,Fliffis B,-19.037,-1.799,1.459,1.846,-399.834,-50.412,-3.799,1.245,-4.151,116.696,165.168,-133.752
0115-MORITZ-03-143,Salto C,-3.487,-1.267,4.11,-0.648,218.481,15.716,3.436,-1.253,5.932,9.942,109.697,5.713
0609-1-01-696,Von Bauch in Stand,9.448,0.322,4.889,3.766,-8.808,4.679,4.729,-0.311,6.515,-0.68,55.239,0.56
0609-1-01-516,Doppelsalto B,-17.451,-1.045,-0.069,-11.696,414.052,-7.441,-5.141,-0.222,-1.894,33.498,318.292,-20.78
0827-BK2-01-106,Salto A,0.55,0.346,5.652,13.985,179.055,-2.663,-0.166,0.845,5.753,9.726,160.235,-4.096
20191007-1524-FRANKFURT_1-01-93,Fliffis- Rudi C,-32.494,2.587,-7.277,-11.601,-558.637,189.793,-24.347,-5.055,6.005,266.665,224.362,524.155
20191007-1150-FRANKFURT_2-01-85,Schraubensalto A,-2.902,1.351,6.491,153.861,48.497,231.973,-4.222,-3.222,1.538,-8.831,210.692,181.764
0609-1-01-124,Bauchsprung,1.112,-0.363,9.333,-4.574,-29.549,-1.395,8.312,-0.366,5.139,2.313,-12.473,-6.991
20191007-1534-FRANKFURT_2-01-30,Barani A,-1.773,1.71,3.572,-91.117,-112.048,157.535,-1.918,-1.002,2.713,-52.149,192.637,70.425
