SprungID,Sprungtyp,Acc_x_Fil_avg_1,Acc_y_Fil_avg_1,Acc_z_Fil_avg_1,Gyro_x_Fil_avg_1,Gyro_y_Fil_avg_1,Gyro_z_Fil_avg_1,Acc_x_Fil_avg_2,Acc_y_Fil_avg_2,Acc_z_Fil_avg_2,Gyro_x_Fil_avg_2,Gyro_y_Fil_avg_2,Gyro_z_Fil_avg_2
0609-4-01-526,Barani C,-3.923,0.412,5.486,-10.289,-192.174,118.769,1.092,-0.976,5.232,-26.83,106.921,123.407
20191007-1150-FRANKFURT_2-01-71,Schraubensalto A,-5.495,0.863,6.103,139.503,14.242,251.746,-4.496,-2.211,1.227,17.176,214.008,196.228
0609-1-01-755,Von Bauch in Stand,7.984,0.421,7.298,11.366,-19.687,7.734,3.825,-0.194,7.019,-4.05,51.983,-2.041
20190930-1616-FRANKFURT_1-01-13,Salto B,-6.438,-0.251,2.857,10.717,221.606,4.537,0.149,-0.615,5.87,-0.926,168.713,8.301
0609-1-01-595,Doppelsalto B,-17.234,-1.181,1.251,-20.9,406.375,-9.015,-7.159,0.25,-3.541,32.83,343.211,-11.635
0609-1-01-369,Salto C,-5.325,-0.252,3.2,10.616,268.039,-15.917,2.134,0.128,6.555,6.439,118.762,-4.641
20190930-1616-FRANKFURT_1-01-326,Doppelsalto C,-21.904,2.127,-4.47,16.069,438.182,0.775,-8.988,0.723,-2.746,3.038,337.774,-15.812
0110-MORITZ-01-139,Salto C,-2.613,-1.167,4.145,-4.998,215.012,10.39,3.416,-0.886,5.805,0.779,113.234,-0.097
0609-1-01-844,Bauchsprung,1.892,-0.547,9.429,0.381,-45.324,-5.56,7.93,0.244,4.36,-8.415,9.066,-6.261
0609-1-01-779,Von Bauch in Stand,7.996,0.397,7.177,-5.564,-23.684,-1.106,3.562,-0.358,6.985,-1.431,66.686,5.206
20191008-1207-FRANKFURT_2-01-173,Salto A,-2.581,0.693,3.659,28.639,180.883,-23.933,-2.73,0.197,4.065,39.1,226.908,-29.454
0609-4-01-462,Salto C,2.036,-0.174,4.161,-1.553,190.305,6.683,0.949,-0.394,4.022,14.525,205.483,3.11
20191008-1207-FRANKFURT_2-01-339,Doppelsalto C,-20.561,4.073,-5.691,60.468,420.042,-38.323,-14.278,4.329,-3.017,129.23,406.926,-90.825
20191008-1207-FRANKFURT_2-01-253,Fliffis B,-28.039,2.815,1.264,-41.07,-613.68,73.924,-10.865,1.065,0.783,29.526,179.192,217.852
20191007-1524-FRANKFURT_1-01-181,Fliffis B,-27.044,6.981,-2.905,-141.85,-598.63,70.567,-9.738,2.141,-2.865,4.867,108.596,222.467
0609-4-01-612,Barani C,-4.957,1.154,5.284,12.162,-221.708,140.578,-0.889,-1.086,4.663,-21.106,129.847,136.574
0609-1-01-208,Von Bauch in Stand,8.557,-0.235,6.048,7.457,-0.523,5.933,4.568,-0.106,6.418,-3.883,34.987,-4.009
20191008-1207-FRANKFURT_2-01-171,Salto C,-8.445,0.804,0.737,22.512,231.064,-14.48,-0.511,-0.028,7.714,10.546,167.604,-20.441
0609-4-01-282,Fliffis C,-23.384,1.333,-4.375,-27.125,-443.711,101.067,-3.957,-1.319,-0.995,-67.939,178.923,159.961
20191008-1207-FRANKFURT_2-01-311,Schraubensalto A,-2.792,1.366,5.561,102.112,67.984,231.441,-2.374,-0.838,3.45,-14.008,167.692,143.953
20191007-1159-FRANKFURT_1-01-373,Baby- Fliffis C,-24.136,-1.098,-1.741,15.036,-341.576,85.926,-2.102,-1.309,2.079,51.628,183.288,162.582
20190930-1616-FRANKFURT_1-01-344,Barani A,-0.089,1.249,5.523,-99.876,-109.246,102.374,-0.315,-1.619,2.859,-64.908,161.613,70.364
20191007-1534-FRANKFURT_2-01-75,Fliffis B,-29.208,4.145,1.586,-66.253,-602.137,134.453,-8.223,1.417,-1.559,-5.725,223.297,162.711
20191008-1157-FRANKFURT_1-01-21,Salto A,-1.06,-0.467,3.905,-11.941,220.511,-4.951,-0.988,-0.829,5.462,-6.063,191.717,-2.454
0609-1-01-522,Doppelsalto B,-16.353,-0.535,3.462,-12.407,382.54,-14.013,-7.449,0.414,-3.378,28.171,355.554,-7.816
0609-4-01-582,Barani C,-3.475,0.774,6.029,3.274,-182.781,144.289,1.564,-1.132,4.575,-21.981,133.727,101.139
20191008-1157-FRANKFURT_1-01-216,Salto B,-3.123,0.056,2.009,0.528,221.526,-7.649,-2.152,-0.652,6.532,-16.377,186.651,-2.533
0827-BK2-02-141,Salto A,0.918,0.659,5.869,8.351,191.614,-35.607,-0.271,0.219,4.551,2.753,174.902,-31.232
20190930-1153-FRANKFURT_1-01-143,Salto A,-0.25,0.059,4.675,21.701,200.956,-3.941,0.217,-0.637,4.172,25.458,174.655,0.314
20191001-1148-FRANKFURT_1-01-120,40/,-0.61,-0.725,3.504,-0.273,225.918,4.674,-0.147,-0.507,5.734,3.636,174.2,-13.81
0110-JANEIKE-01-155,Schraubensalto,-3.096,0.116,8.016,-89.539,60.971,-247.106,-1.194,2.119,1.529,67.464,57.449,-230.883
20191008-1157-FRANKFURT_1-01-200,Barani A,-1.345,0.765,3.425,-83.398,-127.706,135.667,-2.928,-1.787,4.075,-23.321,213.81,57.825
0609-1-01-273,Doppelsalto B,-16.24,-0.499,3.07,-15.351,380.988,-13.148,-11.629,0.148,-6.865,41.918,414.087,-15.331
0827-BK1-01-16,Salto C,-3.583,-0.422,3.861,9.941,223.472,4.379,2.396,-0.477,6.408,7.305,127.281,-3.958
20190930-1247-FRANKFURT_2-01-292,Salto B,-5.934,-0.676,2.487,8.099,241.952,-13.554,1.535,0.005,5.752,4.557,138.16,1.077
20191007-1150-FRANKFURT_2-01-60,Barani A,-0.117,2.263,3.491,-107.053,-129.062,114.183,-1.475,-2.625,2.019,-35.676,186.625,100.758
0827-BK1-01-109,Salto A,0.26,-0.894,5.523,0.919,181.037,1.392,1.11,-0.622,5.141,3.529,168.825,-1.416
20191007-1150-FRANKFURT_2-01-130,Schraubensalto A,-4.153,0.651,5.0,120.153,65.155,261.22,-3.468,-2.794,1.371,-44.656,190.105,171.183
20190930-1247-FRANKFURT_2-01-78,Salto B,-6.247,0.22,2.946,6.264,223.884,-6.22,-0.24,-0.2,6.033,7.39,164.682,0.862
20191007-1524-FRANKFURT_1-01-252,Doppelsalto B,-19.323,2.422,-5.163,53.149,419.569,-31.175,-11.147,0.858,-4.507,50.531,395.815,-37.671
20191003-1152-FRANKFURT_1-01-91,Barani C,-3.129,-2.59,4.379,54.248,-208.346,-130.263,-1.85,-0.156,2.0,30.066,156.846,-123.206
0609-1-01-546,Doppelsalto B,-15.487,-1.794,3.932,-39.121,371.69,-4.166,-8.179,-1.095,-2.272,-1.936,363.045,-3.419
0609-1-01-902,Doppelsalto C,-22.355,-0.985,-3.812,-13.987,449.821,1.0,-11.512,0.827,-2.716,31.194,380.69,1.57
20191008-1207-FRANKFURT_2-01-362,Doppelsalto C,-19.486,4.223,-6.052,64.939,424.356,-46.328,-13.698,2.959,-3.973,99.769,397.748,-90.469
0609-1-01-456,Doppelsalto B,-15.406,-0.943,4.445,-13.862,363.293,-15.155,-8.183,-0.037,-5.729,17.076,379.01,-12.591
20190930-1616-FRANKFURT_1-01-28,Salto B,-6.095,0.192,2.216,11.977,233.638,12.001,-0.843,-0.395,6.241,4.268,169.179,10.739
20191003-1152-FRANKFURT_1-01-105,Barani C,-3.094,-2.101,3.868,75.21,-186.753,-111.477,-1.573,0.361,3.312,62.196,141.243,-109.153
0609-1-01-292,Doppelsalto B,-15.225,-0.554,4.524,1.362,362.646,-9.211,-12.121,0.379,-6.157,23.007,423.308,-11.549
20191003-1152-FRANKFURT_1-01-76,Barani A,0.02,-2.066,4.164,104.242,-160.003,-72.202,-1.536,0.314,0.809,68.67,150.808,-115.638
20191007-1524-FRANKFURT_1-01-39,Barani A,-1.628,2.023,3.31,-91.509,-153.891,128.128,-2.793,-1.29,3.142,-39.015,183.598,119.508
0609-4-01-340,Salto C,0.052,-0.194,3.778,-6.147,223.051,17.463,3.161,0.019,5.928,10.07,130.647,5.468
20191007-1150-FRANKFURT_2-01-169,Schraubensalto A,-4.83,0.581,5.778,131.231,39.475,260.234,-4.163,-2.867,2.622,-12.77,203.388,192.893
0609-4-01-450,Fliffis B,-16.911,1.601,2.833,-29.618,-363.285,117.394,-6.122,-1.398,-3.695,-72.727,245.794,143.606
20191008-1157-FRANKFURT_1-01-335,Rudi,-10.228,1.789,9.346,158.725,-164.664,463.482,-5.058,-1.777,5.213,49.17,236.074,172.518
20191001-1148-FRANKFURT_1-01-161,43/,-12.223,0.738,10.591,217.475,-184.137,486.92,-3.811,-1.502,6.324,99.463,225.877,143.505
0609-1-01-473,Salto C,-4.028,0.23,2.884,16.397,264.294,-13.366,2.479,-0.08,6.146,17.936,116.832,-4.603
20191008-1207-FRANKFURT_2-01-360,Salto B,-6.468,3.343,0.386,37.107,229.55,-26.407,0.524,2.196,6.488,58.002,153.918,-35.03
20191008-1157-FRANKFURT_1-01-177,Fliffis C,-33.955,-3.355,-3.983,63.4,-610.532,29.046,-6.157,-1.724,0.511,-53.623,167.546,185.272
20191001-1148-FRANKFURT_1-01-54,40/,0.838,-0.937,3.364,-13.045,239.06,11.736,0.02,-0.719,6.583,-8.348,165.212,-10.847
0609-4-01-88,Schraubensalto C,-4.288,0.082,7.137,107.909,31.982,301.712,-1.159,-1.165,4.303,-14.898,163.778,118.077
0609-1-01-380,Doppelsalto B,-17.754,-1.22,1.341,-13.881,406.288,-16.231,-8.98,0.473,-3.495,53.802,349.453,-24.826
20191001-1148-FRANKFURT_1-01-247,40/,0.16,-0.228,3.117,-1.585,229.388,-1.343,-0.248,-0.903,5.151,-13.596,187.724,-7.735
0115-CHARI-05-88,Fliffis- Rudi B,-25.429,4.742,5.686,138.255,-425.472,248.736,-13.004,-2.339,-0.49,55.592,143.66,288.1
20190930-1153-FRANKFURT_1-01-242,Rudi,-6.888,1.582,7.498,20.801,-103.244,389.178,-3.086,-1.921,3.311,-17.287,79.597,253.37
20191008-1157-FRANKFURT_1-01-320,Barani A,-0.806,1.476,4.913,-80.522,-117.588,138.967,-3.792,-1.678,5.426,-3.145,229.277,51.54
0110-MORITZ-01-14,Voll- ein- Rudi- aus B,-18.473,0.818,-2.243,-308.767,-279.682,-356.685,-19.634,0.388,1.907,-271.939,147.164,-432.292
20190930-1153-FRANKFURT_1-01-87,Salto C,-5.556,0.266,3.624,28.719,237.203,12.733,1.497,-0.76,6.581,11.255,121.56,-6.244
0609-4-01-558,Barani C,-3.366,0.824,5.185,-17.18,-162.924,144.725,2.427,-1.437,3.506,-20.977,131.461,100.954
0115-MORITZ-03-130,Voll- ein- voll- aus B,-24.832,6.227,2.171,-380.925,-8.873,-528.157,-7.973,-0.371,-5.334,54.798,160.008,-202.223
0609-1-01-263,Doppelsalto B,-14.874,0.089,4.688,-11.496,354.369,-3.756,-12.39,0.47,-5.137,33.758,429.759,-4.709
0609-1-01-719,Doppelsalto C,-23.659,0.041,-6.055,10.906,476.767,-1.879,-5.789,0.842,-3.176,36.629,316.556,-28.633
20191001-1148-FRANKFURT_1-01-96,43/,-10.402,1.015,9.217,176.485,-169.863,486.36,-6.721,-1.677,5.279,95.071,227.355,154.141
20191007-1524-FRANKFURT_1-01-113,Fliffis B,-26.596,4.328,-2.104,-69.315,-601.093,88.054,-11.196,1.98,-0.834,79.562,144.11,208.442
0609-4-01-403,Fliffis B,-16.023,1.693,2.258,-39.171,-358.862,110.261,-5.805,-1.555,-5.478,-91.534,227.79,148.73
20191008-1207-FRANKFURT_2-01-37,Salto B,-6.737,0.735,1.38,21.266,232.41,-17.704,-0.951,0.265,7.369,23.291,168.358,8.185
20191007-1534-FRANKFURT_2-01-137,Schraubensalto A,-6.053,0.47,6.808,116.28,50.09,278.563,-2.93,-0.726,3.919,-7.114,185.092,143.561
0115-CHARI-05-39,Salto B,-5.702,0.918,3.479,-5.509,224.031,-10.559,0.031,0.488,6.62,-6.929,145.293,-18.458
0609-1-01-787,Von Bauch in Stand,8.096,0.617,6.754,1.726,-25.202,1.28,4.181,-0.25,6.679,-2.301,59.834,7.227
20191007-1159-FRANKFURT_1-01-292,Salto A,-0.461,-0.343,3.333,-8.872,225.296,5.937,-0.537,-0.428,6.008,1.902,185.199,-12.325
20191007-1159-FRANKFURT_1-01-346,Barani C,-4.651,-0.458,4.505,-5.499,-212.139,142.357,-1.784,-1.694,6.51,-1.102,184.061,80.553
0609-1-01-22,Fliffis C,-27.364,4.268,-5.391,-90.489,-497.307,-28.881,0.545,0.261,-2.17,126.689,74.574,-170.456
20190930-1616-FRANKFURT_1-01-29,Salto B,-5.341,0.179,2.317,11.076,220.157,7.666,-0.547,-0.546,6.369,3.396,174.914,4.972
20190930-1616-FRANKFURT_1-01-97,1/2 ein 1/2 aus C,-18.734,-5.138,-3.311,264.438,-199.374,93.455,-4.473,1.231,-5.605,-78.953,23.049,192.595
20191008-1207-FRANKFURT_2-01-254,Doppelsalto C,-21.221,0.392,-5.715,1.192,410.424,-12.8,-13.992,-0.657,-3.137,16.598,431.923,-29.939
0609-4-01-107,Schraubensalto C,-4.494,-0.253,7.563,109.396,29.146,300.851,-0.798,-1.489,4.917,-2.649,155.81,125.655
0609-1-01-216,Von Bauch in Stand,8.668,0.197,6.174,1.045,-5.919,2.785,3.758,-0.106,6.963,5.633,44.749,2.022
0115-MORITZ-03-132,Doppelsalto C,-25.411,-0.49,-0.471,-18.865,452.643,13.74,-5.7,-1.452,1.264,4.216,290.07,10.674
0609-1-01-691,Von Bauch in Stand,9.178,0.037,6.426,-3.552,-12.327,-0.447,3.728,-0.43,6.974,4.939,55.968,4.641
20191008-1157-FRANKFURT_1-01-159,Schraubensalto A,-4.905,1.129,4.957,66.925,7.713,311.668,-2.128,-2.288,3.742,5.941,205.844,89.7
0609-1-01-584,Doppelsalto B,-17.468,-1.047,2.978,-19.647,403.461,-6.551,-11.298,0.069,-3.193,31.755,364.474,-2.677
0609-1-01-646,Doppelsalto C,-22.504,-1.39,-5.413,-7.314,459.337,-14.91,-8.241,-0.233,-4.815,9.708,369.101,-13.092
0827-BK1-01-105,Salto A,0.091,-1.064,5.588,2.203,185.609,-4.479,0.536,-0.781,5.027,-0.189,170.377,0.107
0609-4-01-366,Salto C,-1.625,0.0,3.915,-5.394,233.974,4.032,3.006,-0.153,6.078,5.654,121.562,3.387
20191008-1157-FRANKFURT_1-01-158,Barani A,-1.58,0.321,4.983,-56.352,-129.347,163.826,-2.96,-1.073,5.018,-4.566,235.835,57.793
0609-4-01-239,Schraubensalto C,-4.253,0.236,7.467,117.111,41.979,301.452,-1.07,-1.27,3.98,-31.713,150.56,136.559
0609-1-01-754,Bauchsprung,1.528,-0.511,9.778,-2.812,-34.996,-5.077,7.097,-0.074,6.039,-0.565,3.302,-7.735
0609-4-01-231,Schraubensalto C,-3.181,0.098,6.581,107.666,33.279,285.735,-1.112,-1.879,4.217,-24.928,157.732,131.876
20191001-1202-FRANKFURT_2-01-83,Baby- Fliffis C,20.779,-4.433,-1.435,59.367,268.507,95.591,-0.964,0.518,0.301,35.364,-161.721,143.578
20191001-1202-FRANKFURT_2-01-92,Barani A,-0.899,-3.006,3.903,91.373,130.369,134.79,1.504,0.049,4.213,7.925,-205.074,86.196
0609-4-01-309,Fliffis C,-20.124,0.531,-4.133,-36.479,-400.404,103.573,-3.072,-1.979,-1.364,-101.257,185.516,132.15
20190930-1247-FRANKFURT_2-01-336,Cody C,-1.239,-0.428,-4.564,-14.811,250.179,-8.675,1.238,-0.091,3.377,1.612,171.687,6.878
20191007-1150-FRANKFURT_2-01-42,3/4 Salto rw A,0.13,-0.453,7.014,4.92,150.062,-7.129,8.321,0.046,0.818,-1.591,189.667,-25.792
20191007-1159-FRANKFURT_1-01-116,Barani B,-4.774,0.572,6.286,25.249,-214.484,142.618,-2.094,-1.381,6.215,6.42,197.352,76.882
20191008-1207-FRANKFURT_2-01-368,Baby- Fliffis C,-23.695,-0.954,-4.018,-24.684,-286.332,184.991,-3.054,-1.48,1.575,-8.681,163.9,152.384
20191007-1150-FRANKFURT_2-01-233,Fliffis B,-31.785,4.813,0.57,-92.026,-607.097,43.754,-10.213,1.706,-2.081,26.31,178.435,204.769
20191007-1150-FRANKFURT_2-01-223,Salto B,-4.489,0.148,5.061,13.993,158.397,-14.232,-2.738,-0.432,4.247,16.523,253.201,-1.552
0609-1-01-832,Von Bauch in Stand,9.445,0.721,5.286,-0.34,-10.053,10.389,4.107,-0.62,6.996,8.82,60.488,2.82
0609-4-01-200,Schraubensalto C,-3.694,-0.182,7.12,116.563,31.188,285.006,-1.589,-1.406,3.59,-21.929,165.415,136.859
0609-1-01-478,Salto C,-4.041,0.321,2.427,13.551,267.843,-5.371,2.018,0.441,5.772,17.787,112.044,-7.654
0609-1-01-67,Salto C,-4.934,-0.17,3.17,18.409,271.484,-17.288,3.073,-0.642,7.089,6.832,96.062,-4.407
20191008-1157-FRANKFURT_1-01-300,Baby- Fliffis C,-23.468,0.356,-2.578,4.328,-309.215,59.254,-1.595,-1.757,0.597,1.816,166.108,179.602
20191007-1534-FRANKFURT_2-01-133,Salto B,-6.917,0.456,3.077,20.186,251.899,1.778,-0.137,0.376,6.428,-7.329,160.822,-6.615
20190930-1247-FRANKFURT_2-01-293,Barani C,-5.404,2.656,4.312,-54.581,-217.901,108.878,0.44,-1.058,5.47,-48.121,92.618,117.703
0609-4-01-496,Salto C,-0.655,-0.184,3.472,-0.907,235.015,14.093,3.122,-0.338,5.757,4.353,134.571,4.553
0609-1-01-760,Bauchsprung,1.658,-0.065,9.343,-3.543,-40.622,-0.516,8.195,0.085,5.038,-4.949,-1.683,-8.419
20191001-1148-FRANKFURT_1-01-125,3/4 Salto vw A,1.112,-0.74,7.355,7.61,-73.54,0.576,-13.58,-0.838,0.68,2.212,-254.316,11.696
20191008-1157-FRANKFURT_1-01-141,Schraubensalto A,-5.335,0.834,5.538,84.234,9.143,310.069,-3.768,-1.909,5.154,7.907,220.878,110.775
0609-1-01-700,Bauchsprung,1.188,-0.542,9.673,-5.076,-42.461,-1.92,8.249,0.151,3.684,0.382,-8.792,-8.325
20191001-1148-FRANKFURT_1-01-197,40<,-4.067,0.526,4.261,0.154,193.765,-4.674,-1.815,-0.501,7.293,-5.367,214.556,-14.121
0609-1-01-644,Bauchsprung,1.333,-0.252,9.507,0.287,-32.938,1.463,8.053,0.537,5.319,-3.3,-5.919,-10.909
0827-BK2-02-143,Salto A,-0.388,1.171,6.14,4.757,188.328,-30.155,-0.151,0.509,4.667,18.471,176.872,-26.509
20191001-1148-FRANKFURT_1-01-111,43/,-2.987,1.888,3.49,-47.598,-110.546,234.349,-1.919,-0.556,4.848,2.888,206.782,11.347
0827-BK2-01-4,Salto C,-3.443,0.567,4.585,8.693,224.772,-6.783,1.164,0.933,6.672,5.839,120.62,-6.243
20190930-1616-FRANKFURT_1-01-201,Doppelsalto B,-18.754,0.558,2.897,0.693,378.551,-2.165,-11.554,0.425,-5.818,16.265,386.679,-19.887
20191007-1150-FRANKFURT_2-01-142,Rudi,-11.273,5.424,7.222,40.764,-156.711,433.998,-6.462,-2.347,3.38,29.317,182.401,296.493
0609-1-01-449,Salto C,-5.369,-0.127,3.09,12.768,271.796,-12.57,2.547,0.01,6.085,8.717,108.962,-8.801
0609-1-01-317,Salto C,-4.026,-0.067,2.447,21.0,274.081,-6.938,1.003,0.265,5.918,20.654,116.552,-3.275
0115-MORITZ-03-117,Voll- ein- voll- aus B,-23.101,5.009,-0.014,-381.4,55.89,-531.092,-11.866,-0.185,-8.05,18.001,101.495,-234.804
20190930-1153-FRANKFURT_1-01-241,Schraubensalto,-2.423,-0.43,7.404,89.226,20.973,224.738,-0.704,-1.976,3.012,-56.888,84.01,192.012
20191003-1152-FRANKFURT_1-01-15,Cody C,-3.321,-0.235,-4.007,-14.394,269.176,4.138,-0.581,-0.942,3.309,-28.564,187.034,-6.128
20191008-1157-FRANKFURT_1-01-245,Baby- Fliffis C,-21.7,-1.236,-2.607,37.396,-350.144,101.226,-1.008,-1.467,3.99,60.574,135.796,164.347
20190930-1616-FRANKFURT_1-01-328,Salto C,-7.173,0.213,2.995,-22.011,262.315,-6.435,0.737,-0.155,5.745,-9.84,126.194,0.97
20190930-1616-FRANKFURT_1-01-183,Barani A,1.528,1.481,3.44,-96.787,-122.445,101.381,0.154,-1.054,3.514,-75.1,123.562,103.349
0609-1-01-77,Salto C,-3.907,0.019,3.233,19.434,255.499,-12.317,2.472,-0.439,6.421,12.17,110.974,-8.634
20191007-1159-FRANKFURT_1-01-323,Barani A,-1.115,-0.329,4.421,-52.927,-112.41,163.926,-2.767,-1.979,5.124,-35.731,227.074,48.993
20191007-1159-FRANKFURT_1-01-324,Salto A,-0.138,-0.747,3.774,-5.47,223.203,-8.718,-0.873,-0.611,5.492,-10.028,184.795,-13.956
20191007-1524-FRANKFURT_1-01-141,Doppelsalto B,-19.802,2.051,-4.325,36.067,418.905,-45.211,-11.642,1.034,-2.882,61.952,387.521,-27.668
0827-BK2-01-73,Salto B,-4.093,-0.136,3.482,-4.356,218.338,-21.919,1.233,-0.076,6.619,-16.685,124.743,-5.102
20191007-1159-FRANKFURT_1-01-230,Barani A,-2.28,-0.303,3.347,-41.802,-158.224,144.229,-3.501,-2.231,5.964,10.485,235.778,52.765
20191007-1524-FRANKFURT_1-01-165,Fliffis- Rudi C,-32.085,5.83,-9.86,-88.399,-573.664,152.49,-22.804,-4.284,3.325,193.907,163.423,578.769
0609-4-01-126,Schraubensalto C,-4.731,-0.504,7.017,104.996,31.998,310.195,-0.7,-1.474,4.646,-28.775,167.83,114.538
20190930-1153-FRANKFURT_1-01-106,Salto B,-7.854,0.353,0.921,23.694,245.644,14.112,0.168,-0.551,5.991,16.509,134.784,8.872
0609-4-01-449,Salto C,-0.112,0.123,3.919,-5.465,223.655,13.072,2.59,-0.53,5.793,-4.193,137.358,-5.039
20191008-1207-FRANKFURT_2-01-240,Salto B,-8.201,0.562,0.628,24.5,230.695,-3.641,0.408,-0.05,7.809,10.537,159.845,-16.619
0110-MORITZ-01-31,Fliffis- Rudi B,-23.946,-5.806,3.863,-146.465,-318.007,-226.736,-9.03,3.618,-1.589,-34.888,68.458,-278.147
0609-1-01-624,Bauchsprung,1.478,-0.215,9.15,0.121,-38.171,-1.484,9.317,-0.516,3.88,-10.161,-8.186,-3.504
20191007-1534-FRANKFURT_2-01-136,Barani A,-3.015,0.87,3.064,-81.587,-128.546,168.386,-3.273,-1.221,3.13,-38.66,204.391,64.615
20191008-1207-FRANKFURT_2-01-98,Barani A,-0.286,2.562,4.143,-111.061,-128.589,103.846,-2.487,-1.211,2.22,-39.632,179.448,121.267
0609-4-01-376,Salto C,-0.293,-0.71,3.49,-2.951,233.288,3.996,3.604,-0.403,5.592,-2.588,125.954,-1.007
0609-1-01-159,Bauchsprung,1.212,-0.377,9.134,-0.627,-35.44,-1.343,7.957,-0.435,5.148,-6.542,-4.687,-7.954
20191001-1202-FRANKFURT_2-01-173,Salto A,-1.07,-0.925,5.304,-12.644,-207.672,-4.576,3.042,-1.207,2.376,-25.053,-233.725,-7.299
20191001-1202-FRANKFURT_2-01-131,Salto A,-0.928,-0.713,5.624,-5.108,-185.381,-4.39,3.322,-1.117,2.614,-11.124,-270.505,-5.768
0609-1-01-550,Doppelsalto B,-17.704,-0.237,0.468,-7.903,417.235,-5.046,-5.481,0.424,-2.456,41.306,326.665,-16.623
20191008-1157-FRANKFURT_1-01-32,Salto A,-0.653,-0.535,4.207,0.956,219.292,-3.633,-0.656,-0.521,4.951,3.449,184.755,-6.273
20191003-1152-FRANKFURT_1-01-160,Fliffis C,-33.3,-7.064,-3.593,89.028,-589.475,-45.82,-3.227,-1.811,-4.491,94.146,126.823,-173.656
0115-MORITZ-03-133,Voll- ein- halb- aus B,-20.673,3.423,-2.112,-307.878,-296.835,-282.412,-12.318,-0.1,-1.848,-61.957,40.751,-238.096
0609-1-01-416,Salto C,-5.487,-0.299,3.112,22.008,269.067,-9.621,1.865,0.165,6.153,21.307,115.594,-8.989
0609-4-01-346,Fliffis B,-17.156,1.152,3.069,-14.888,-382.688,84.623,-6.298,-1.863,-4.998,-114.347,171.263,172.899
0609-4-01-203,Schraubensalto C,-4.233,-0.164,7.168,105.749,42.163,312.575,-0.711,-1.424,4.028,-32.777,171.091,112.941
0609-1-01-685,Bauchsprung,1.015,-0.326,9.083,-4.399,-43.197,-5.033,9.324,0.486,4.664,1.409,-1.689,-6.671
20190930-1616-FRANKFURT_1-01-273,Doppelsalto C,-22.229,1.641,-3.424,17.635,428.923,10.05,-7.671,1.481,-1.962,23.675,324.591,1.503
0827-BK2-01-34,Salto C,-3.922,0.296,5.033,10.804,221.13,-11.874,1.298,0.548,6.761,14.062,113.544,-4.66
0110-MORITZ-01-18,Fliffis aus C,-24.576,-2.437,3.372,-0.47,-488.093,-31.646,-4.789,-0.795,-2.309,37.915,189.105,-163.192
20190930-1153-FRANKFURT_1-01-204,Fliffis Rudi C,-28.95,6.74,-4.18,-74.029,-470.691,168.031,-15.084,-1.62,-2.198,88.011,62.147,477.311
20190930-1247-FRANKFURT_2-01-268,Schraubensalto,-2.536,0.554,7.583,115.678,62.353,213.486,-3.641,-2.55,2.447,1.272,166.323,182.518
20191007-1534-FRANKFURT_2-01-36,Barani A,-2.749,2.148,3.681,-91.031,-116.794,159.9,-3.294,-0.481,2.536,-44.421,207.872,70.248
0609-1-01-568,Salto C,-5.28,0.39,3.895,19.971,266.246,-4.756,2.039,-0.136,6.628,7.703,111.08,-11.187
0609-1-01-723,Von Bauch in Stand,8.996,0.417,6.35,0.307,-4.098,7.819,3.185,-0.438,7.472,6.481,46.726,3.135
0609-1-01-577,Doppelsalto B,-17.484,-1.276,1.851,-29.621,397.38,-14.75,-9.324,-0.321,-4.456,30.105,373.045,-17.849
0609-4-01-237,Schraubensalto C,-3.72,-0.237,7.214,103.471,37.731,278.089,-1.46,-1.199,3.587,-36.243,148.692,142.073
0827-BK1-01-65,Salto B,-2.425,-0.364,3.32,-9.93,208.182,17.278,1.944,-0.253,5.471,4.112,145.425,-0.347
0609-4-01-486,Salto C,2.598,-0.477,3.132,-12.055,196.345,3.624,-1.0,-0.619,4.224,-0.301,215.491,13.553
0609-1-01-60,Fliffis C,-26.762,3.412,-6.477,-98.802,-473.497,-31.427,-1.407,0.077,-1.249,138.749,102.293,-156.094
20190930-1153-FRANKFURT_1-01-78,Salto B,-6.444,0.618,1.262,23.45,239.747,5.024,1.087,-0.742,6.802,10.237,123.828,4.077
20191007-1159-FRANKFURT_1-01-293,Schraubensalto A,-9.364,3.408,10.069,189.845,-95.102,410.69,-3.956,-3.163,2.988,65.04,206.647,237.545
0609-4-01-267,Fliffis C,-19.985,0.714,-2.722,-22.504,-412.23,89.071,-2.517,-1.848,-1.848,-101.223,151.315,137.162
20190930-1616-FRANKFURT_1-01-114,1/2 ein 1/2 aus C,-17.398,-4.529,-1.94,262.469,-185.714,61.982,-7.042,1.501,-4.296,-39.732,26.924,183.243
0827-BK2-01-102,Salto A,0.536,0.4,5.989,10.105,179.075,-18.747,0.592,0.007,5.108,-9.87,156.679,-11.485
0609-4-01-97,Schraubensalto C,-2.99,0.328,7.031,92.521,22.74,267.367,-0.922,-1.825,3.588,-47.75,138.567,141.765
20191007-1150-FRANKFURT_2-01-235,Fliffis C,-37.161,4.23,-3.507,-70.145,-594.168,20.287,-7.703,0.916,-7.746,-41.135,77.901,233.789
0609-4-01-177,Schraubensalto C,-4.411,-0.568,7.655,111.59,36.914,305.42,-0.087,-0.984,4.051,-22.427,160.718,117.706
