SprungID,Sprungtyp,Acc_x_Fil_avg_1,Acc_y_Fil_avg_1,Acc_z_Fil_avg_1,Gyro_x_Fil_avg_1,Gyro_y_Fil_avg_1,Gyro_z_Fil_avg_1,Acc_x_Fil_avg_2,Acc_y_Fil_avg_2,Acc_z_Fil_avg_2,Gyro_x_Fil_avg_2,Gyro_y_Fil_avg_2,Gyro_z_Fil_avg_2,Acc_x_Fil_avg_3,Acc_y_Fil_avg_3,Acc_z_Fil_avg_3,Gyro_x_Fil_avg_3,Gyro_y_Fil_avg_3,Gyro_z_Fil_avg_3,Acc_x_Fil_avg_4,Acc_y_Fil_avg_4,Acc_z_Fil_avg_4,Gyro_x_Fil_avg_4,Gyro_y_Fil_avg_4,Gyro_z_Fil_avg_4
0115-JANEIKE-01-118,Fliffis- Rudi B,-20.801,5.368,12.159,-139.16,-542.398,16.32,-30.229,-1.403,-7.469,-161.707,-372.525,-301.277,-28.988,2.956,-7.872,-176.127,-173.857,-774.701,-5.555,3.344,4.368,102.799,254.588,-153.409
0609-1-01-778,Bauchsprung,2.869,-0.513,19.031,-2.952,-19.213,-3.91,-0.89,-0.117,0.036,-3.627,-93.49,-12.915,0.092,-0.281,-1.17,12.877,-58.741,15.763,16.362,0.043,11.731,-1.454,86.958,-21.081
20191007-1150-FRANKFURT_2-01-132,Rudi,0.168,3.7,15.901,-55.835,-232.673,184.298,-21.803,6.128,-1.582,149.739,-38.984,692.193,-15.146,-2.919,-6.45,41.979,97.659,515.246,-2.275,-2.038,11.135,53.688,305.803,83.318
20191007-1150-FRANKFURT_2-01-141,Salto A,0.368,0.661,17.499,14.829,188.337,-13.843,-1.609,-0.36,-8.258,7.078,246.57,-2.261,-3.625,-1.123,-7.524,6.136,180.16,-6.51,3.364,-0.22,13.866,16.04,205.853,0.468
0110-MORITZ-01-97,Fliffis B,-11.987,-2.264,12.536,14.255,-464.641,18.084,-32.267,0.338,-3.321,-37.959,-573.927,-41.592,-9.488,-3.353,-10.268,40.195,39.684,-282.086,-3.673,1.792,8.754,18.912,291.672,-59.974
0115-MORITZ-03-163,Fliffis aus B,-14.468,0.296,10.423,-39.44,-501.208,21.927,-21.187,-2.041,-8.28,-41.635,-293.548,-100.209,-4.281,2.745,-14.979,225.173,85.716,-197.533,-1.335,-0.255,9.162,10.839,246.959,-33.851
0827-BK2-01-65,Salto B,3.162,0.579,17.925,6.801,-14.92,-3.761,-11.314,1.024,-9.741,-2.639,454.547,-0.681,-1.422,0.884,-2.703,-3.286,118.852,-1.569,4.422,0.079,15.272,0.97,112.943,-3.917
20191007-1150-FRANKFURT_2-01-151,Salto A,0.175,-0.033,17.727,10.629,190.745,-9.46,-1.775,-0.19,-8.108,8.691,207.248,1.236,-4.451,-0.935,-7.548,2.506,203.204,-3.878,3.432,-0.411,14.604,13.734,203.071,12.109
0115-MORITZ-03-178,Fliffis aus B,-16.941,1.475,9.891,-19.388,-512.614,50.511,-19.045,-2.368,-9.139,-24.312,-244.343,-121.642,-4.0,3.221,-16.368,233.968,102.205,-186.053,-1.344,0.419,8.635,20.274,262.961,-28.235
20191008-1157-FRANKFURT_1-01-215,Fliffis C,-22.27,-4.197,16.055,79.707,-575.773,-3.941,-42.74,-5.506,-21.713,82.695,-628.789,82.048,-7.93,-1.09,-14.763,-81.685,30.907,359.566,-3.61,-1.257,12.825,-35.56,295.182,14.298
