DJump_SIG_I_x LapEnd,DJump_SIG_I_y LapEnd,DJump_SIG_I_z LapEnd,DJump_I_ABS_x LapEnd,DJump_I_ABS_y LapEnd,DJump_I_ABS_z LapEnd,DJump_ABS_I_x LapEnd,DJump_ABS_I_y LapEnd,DJump_ABS_I_z LapEnd,DJump_SIG_I_S1_x LapEnd,DJump_SIG_I_S1_y LapEnd,DJump_SIG_I_S1_z LapEnd,DJump_SIG_I_S2_x LapEnd,DJump_SIG_I_S2_y LapEnd,DJump_SIG_I_S2_z LapEnd,DJump_SIG_I_S3_x LapEnd,DJump_SIG_I_S3_y LapEnd,DJump_SIG_I_S3_z LapEnd,DJump_SIG_I_S4_x LapEnd,DJump_SIG_I_S4_y LapEnd,DJump_SIG_I_S4_z LapEnd,DJump_I_ABS_S1_x LapEnd,DJump_I_ABS_S1_y LapEnd,DJump_I_ABS_S1_z LapEnd,DJump_I_ABS_S2_x LapEnd,DJump_I_ABS_S2_y LapEnd,DJump_I_ABS_S2_z LapEnd,DJump_I_ABS_S3_x LapEnd,DJump_I_ABS_S3_y LapEnd,DJump_I_ABS_S3_z LapEnd,DJump_I_ABS_S4_x LapEnd,DJump_I_ABS_S4_y LapEnd,DJump_I_ABS_S4_z LapEnd,DJump_ABS_I_S1_x LapEnd,DJump_ABS_I_S1_y LapEnd,DJump_ABS_I_S1_z LapEnd,DJump_ABS_I_S2_x LapEnd,DJump_ABS_I_S2_y LapEnd,DJump_ABS_I_S2_z LapEnd,DJump_ABS_I_S3_x LapEnd,DJump_ABS_I_S3_y LapEnd,DJump_ABS_I_S3_z LapEnd,DJump_ABS_I_S4_x LapEnd,DJump_ABS_I_S4_y LapEnd,DJump_ABS_I_S4_z LapEnd,0_Acc_N_Fil,0_Gyro_x_R,0_Gyro_y_R,0_Gyro_z_R,0_Gyro_x_Fil,0_Gyro_y_Fil,0_Gyro_z_Fil,25_Acc_N_Fil,25_Gyro_x_R,25_Gyro_y_R,25_Gyro_z_R,25_Gyro_x_Fil,25_Gyro_y_Fil,25_Gyro_z_Fil,50_Acc_N_Fil,50_Gyro_x_R,50_Gyro_y_R,50_Gyro_z_R,50_Gyro_x_Fil,50_Gyro_y_Fil,50_Gyro_z_Fil,75_Acc_N_Fil,75_Gyro_x_R,75_Gyro_y_R,75_Gyro_z_R,75_Gyro_x_Fil,75_Gyro_y_Fil,75_Gyro_z_Fil,Sprungtyp,SprungID
-360.738,-495.995,-247.112,360.738,495.995,247.112,472.882,850.034,412.877,-151.269,11.422,-90.666,-221.861,-374.584,69.121,0.481,-237.76,-136.745,11.911,104.928,-88.821,151.269,11.422,90.666,221.861,351.74,-68.592,-0.481,237.76,136.217,-11.911,-104.928,88.821,151.337,130.786,110.825,221.861,374.584,69.775,77.594,239.465,137.649,22.09,105.198,94.628,33.084,-296.827,23.476,-179.227,-295.793,20.8,-177.328,71.662,-437.849,-737.666,136.531,-437.822,-736.465,134.637,48.813,0.475,-469.336,-269.304,-0.906,-468.394,-268.665,27.283,23.384,206.883,-174.765,24.316,204.467,-174.922,Halb ein Triffis C,generated_Mean_Halb ein Triffis C
-60.035,-770.351,-159.18,60.035,770.351,159.18,211.575,1007.505,265.259,-39.086,-256.469,9.754,-70.877,-406.297,30.063,12.037,-222.603,-127.656,37.891,115.018,-71.342,39.086,256.469,9.754,70.877,406.297,30.063,-12.037,222.603,48.022,-37.891,-115.018,71.342,43.526,258.15,28.565,70.877,406.297,30.399,57.151,226.682,128.808,40.021,116.376,77.486,57.433,-83.586,-538.041,20.545,-82.504,-536.303,20.622,76.668,-152.179,-859.79,64.355,-151.918,-859.526,63.748,49.736,27.434,-471.806,-271.27,27.491,-470.208,-270.196,28.562,81.492,242.558,-150.787,79.609,239.616,-152.624,Triffis C,generated_Mean_Triffis C
-482.785,-138.427,-728.336,482.785,138.427,728.336,550.188,606.242,755.836,-38.117,-144.035,-135.285,-256.841,-107.72,-219.777,-180.648,-48.573,-322.662,-7.179,161.902,-50.612,38.117,144.035,135.285,256.841,107.72,219.777,180.648,48.573,322.662,7.179,-161.902,50.612,70.512,158.981,142.989,256.841,177.981,220.067,198.898,107.379,322.662,23.938,161.902,70.119,43.939,-77.383,-294.734,-274.2,-77.954,-286.791,-273.006,37.957,-524.925,-218.811,-448.462,-524.46,-221.734,-450.976,37.839,-365.14,-100.272,-654.936,-364.704,-100.634,-650.82,30.348,-15.198,331.164,-100.95,-15.339,329.149,-103.284,Voll- ein- Rudi- aus B,generated_Mean_Voll- ein- Rudi- aus B
-392.081,68.99,-675.423,392.081,84.628,675.423,467.171,572.127,700.376,-124.204,60.923,-179.047,-235.235,-42.388,-285.396,-36.054,-77.487,-180.606,3.412,127.942,-30.374,124.204,60.923,179.047,235.235,-32.552,285.396,36.054,48.54,180.606,-3.412,7.716,30.374,127.02,113.047,179.047,235.235,178.86,287.49,81.558,152.277,180.778,23.359,127.942,53.06,35.007,-261.359,129.143,-375.955,-260.053,130.372,-377.708,42.505,-494.762,-88.397,-602.46,-494.557,-89.345,-599.808,30.009,-76.938,-164.371,-381.713,-78.316,-164.13,-381.012,27.74,6.653,270.345,-63.486,6.052,266.832,-64.352,Voll- ein- voll- aus B,generated_Mean_Voll- ein- voll- aus B
-304.612,-269.654,-491.171,304.612,269.654,491.171,375.013,615.11,511.207,-26.379,-147.984,-95.366,-239.075,-123.861,-176.616,-51.082,-127.815,-163.898,11.924,130.006,-55.29,26.379,147.984,95.366,239.075,123.861,176.616,51.082,127.815,163.898,-11.924,-130.006,55.29,48.501,154.749,102.663,239.075,179.465,181.152,59.466,150.231,164.516,27.972,130.664,62.876,42.966,-57.359,-322.762,-207.247,-57.811,-315.986,-209.101,40.993,-520.342,-269.788,-386.69,-517.946,-273.515,-385.62,29.998,-110.673,-280.976,-357.469,-111.162,-280.68,-355.376,27.954,27.221,283.122,-121.043,25.655,281.482,-122.353,Voll- ein- halb- aus B,generated_Mean_Voll- ein- halb- aus B
-266.454,261.807,-691.319,266.454,261.807,691.319,376.318,525.573,720.617,-106.202,92.765,-152.071,-87.639,66.738,-283.054,-62.577,-40.774,-244.438,-10.037,143.077,-11.754,106.202,92.765,152.071,87.639,66.738,283.054,62.577,-40.774,244.438,10.037,143.077,11.754,108.984,123.968,152.071,135.269,129.399,283.054,111.832,129.127,244.438,20.233,143.079,41.053,34.033,-243.401,213.688,-346.328,-240.002,212.544,-349.003,43.038,-201.038,153.297,-648.345,-203.58,150.237,-645.211,39.169,-147.455,-94.58,-560.955,-148.86,-90.435,-558.112,30.094,-23.042,328.557,-26.564,-22.253,327.838,-29.959,Voll- ein- voll- aus A,generated_Mean_Voll- ein- voll- aus A
-412.419,95.668,-644.594,412.419,126.601,644.594,434.13,521.761,668.548,-110.2,61.919,-175.343,-179.241,30.987,-243.492,-111.833,-127.093,-173.38,-11.145,129.855,-52.38,110.2,61.919,175.343,179.241,30.987,243.492,111.833,-23.467,173.38,11.145,57.163,52.38,113.235,113.861,175.343,181.718,116.871,244.391,113.727,160.418,182.864,25.451,130.612,65.951,33.067,-249.218,142.362,-397.249,-246.008,141.29,-397.333,38.586,-411.459,65.943,-554.317,-411.279,63.705,-551.172,39.334,-252.438,-291.848,-391.787,-254.414,-287.185,-389.892,31.648,-25.027,293.66,-119.725,-25.908,290.116,-122.133,Voll- ein- voll- aus C,generated_Mean_Voll- ein- voll- aus C
190.5,-430.757,291.22,190.5,430.757,291.22,348.813,506.076,334.331,-28.347,-102.723,56.332,78.448,-14.609,217.922,134.338,-217.722,2.724,6.061,-95.702,14.243,28.347,102.723,56.332,21.754,14.609,217.922,134.338,217.722,2.724,6.061,95.702,14.243,43.365,103.1,60.402,158.863,82.136,218.293,134.354,217.722,32.054,12.231,103.118,23.583,31.851,-58.746,-211.369,103.967,-59.811,-209.495,104.459,22.09,154.651,-33.9,431.653,154.448,-37.22,428.504,29.353,270.97,-445.506,-3.478,271.432,-442.707,-1.488,27.3,10.496,-197.273,19.592,10.779,-197.004,19.737,Voll- ein 1 3/4 Salto vw C,generated_Mean_Voll- ein 1 3/4 Salto vw C
17.627,-662.191,23.748,18.242,662.191,26.536,39.371,674.565,61.252,7.942,-196.756,4.855,4.27,-189.123,8.64,3.773,-139.961,3.532,1.641,-136.351,6.719,7.942,196.756,5.738,4.27,189.123,7.758,4.38,139.961,4.163,1.65,136.351,8.878,12.708,197.317,15.009,11.436,190.919,17.532,6.028,140.209,8.93,9.199,146.12,19.781,40.909,13.566,-398.006,-1.416,13.33,-395.716,-1.607,30.506,6.173,-383.309,6.291,6.454,-385.147,6.473,5.752,5.226,-285.883,-4.019,4.904,-284.584,-4.089,27.066,0.943,-276.367,2.403,1.026,-277.903,1.637,1 3/4 Salto vw C,generated_Mean_1 3/4 Salto vw C
-196.617,-733.119,-187.217,196.617,733.119,187.217,315.263,980.869,276.718,-60.276,-292.976,22.866,-154.993,-371.159,8.621,-25.854,-189.84,-140.372,44.506,120.856,-78.332,60.276,292.976,22.866,154.993,371.159,8.621,25.854,189.84,77.399,-44.506,-120.856,78.332,60.285,295.638,32.16,154.993,371.159,20.718,55.435,192.656,140.372,44.55,121.416,83.469,58.594,-121.778,-592.469,46.234,-121.782,-591.424,45.757,55.3,-314.624,-753.049,17.501,-313.513,-752.643,17.59,32.485,-52.06,-384.485,-285.476,-52.203,-382.895,-283.546,28.948,90.399,244.827,-158.062,88.868,242.966,-160.009,Triffis B,generated_Mean_Triffis B
-3.624,-38.354,-7.997,4.207,38.354,8.077,21.727,120.333,35.647,-1.417,-1.617,0.339,-1.316,-35.171,-3.354,2.933,-29.511,-0.117,-3.823,27.946,-4.865,1.8,4.361,1.775,1.224,32.428,1.893,-0.74,29.511,0.428,1.923,-27.946,3.981,4.593,20.103,6.601,3.275,35.184,5.746,5.072,29.664,8.29,8.786,35.382,15.009,22.422,-3.099,-3.754,0.771,-2.957,-3.803,0.657,0.864,-2.861,-77.073,-7.382,-2.794,-76.828,-7.339,1.443,6.423,-64.38,-0.101,6.311,-64.283,-0.128,21.359,-8.493,61.351,-10.891,-8.068,60.452,-10.308,Bauchsprung,generated_Mean_Bauchsprung
3.754,37.902,6.823,4.442,37.902,6.928,25.232,83.181,41.091,1.464,-10.841,1.773,1.351,2.167,1.846,0.725,9.317,-0.716,0.214,37.26,3.919,3.89,10.841,3.627,-0.146,-1.007,1.521,0.432,-3.126,-0.59,0.267,31.194,2.37,8.544,23.11,15.282,4.507,8.711,7.161,4.63,12.943,7.306,7.551,38.417,11.342,26.173,3.273,-25.222,4.146,2.835,-24.317,3.494,0.99,3.198,4.929,4.358,3.276,4.932,4.388,1.139,1.743,21.813,-1.704,1.69,21.741,-1.618,18.176,0.593,87.331,9.106,0.59,87.865,9.1,Von Bauch in Stand,generated_Mean_Von Bauch in Stand
78.936,174.775,396.365,78.936,174.775,396.365,162.434,279.442,400.478,41.714,77.145,66.694,60.723,-47.595,204.843,-31.969,64.199,108.633,8.469,81.026,16.195,41.714,77.145,66.694,60.723,-47.595,204.843,-31.969,64.199,108.633,8.469,81.026,16.195,42.045,77.173,66.758,77.197,55.841,204.843,32.024,65.339,108.633,11.167,81.089,20.245,24.537,88.775,165.475,143.787,89.388,164.287,144.298,12.871,129.541,-100.031,438.696,128.251,-98.232,436.743,9.009,-68.002,138.367,233.53,-67.571,137.052,233.833,18.457,18.083,174.184,36.232,17.609,172.846,36.634,Schraubensalto C,generated_Mean_Schraubensalto C
