SprungID,Sprungtyp,Acc_N_Fil,Gyro_x_R,Gyro_y_R,Gyro_z_R,Gyro_x_Fil,Gyro_y_Fil,Gyro_z_Fil,DJump_SIG_I_x LapEnd,DJump_SIG_I_y LapEnd,DJump_SIG_I_z LapEnd,DJump_I_ABS_x LapEnd,DJump_I_ABS_y LapEnd,DJump_I_ABS_z LapEnd,DJump_ABS_I_x LapEnd,DJump_ABS_I_y LapEnd,DJump_ABS_I_z LapEnd,DJump_SIG_I_S1_x LapEnd,DJump_SIG_I_S1_y LapEnd,DJump_SIG_I_S1_z LapEnd,DJump_SIG_I_S2_x LapEnd,DJump_SIG_I_S2_y LapEnd,DJump_SIG_I_S2_z LapEnd,DJump_SIG_I_S3_x LapEnd,DJump_SIG_I_S3_y LapEnd,DJump_SIG_I_S3_z LapEnd,DJump_SIG_I_S4_x LapEnd,DJump_SIG_I_S4_y LapEnd,DJump_SIG_I_S4_z LapEnd,DJump_I_ABS_S1_x LapEnd,DJump_I_ABS_S1_y LapEnd,DJump_I_ABS_S1_z LapEnd,DJump_I_ABS_S2_x LapEnd,DJump_I_ABS_S2_y LapEnd,DJump_I_ABS_S2_z LapEnd,DJump_I_ABS_S3_x LapEnd,DJump_I_ABS_S3_y LapEnd,DJump_I_ABS_S3_z LapEnd,DJump_I_ABS_S4_x LapEnd,DJump_I_ABS_S4_y LapEnd,DJump_I_ABS_S4_z LapEnd,DJump_ABS_I_S1_x LapEnd,DJump_ABS_I_S1_y LapEnd,DJump_ABS_I_S1_z LapEnd,DJump_ABS_I_S2_x LapEnd,DJump_ABS_I_S2_y LapEnd,DJump_ABS_I_S2_z LapEnd,DJump_ABS_I_S3_x LapEnd,DJump_ABS_I_S3_y LapEnd,DJump_ABS_I_S3_z LapEnd,DJump_ABS_I_S4_x LapEnd,DJump_ABS_I_S4_y LapEnd,DJump_ABS_I_S4_z LapEnd
generated_Mean_Schraubensalto,Schraubensalto,98.546,7.425,145.631,0.678,11.463,180.398,15.664,48.268,142.986,192.435,61.564,142.986,384.11,159.356,279.195,389.859,14.548,81.59,25.399,46.491,-26.748,61.196,-7.799,-7.526,87.119,-4.973,95.67,18.722,22.574,81.59,57.552,76.594,-26.748,133.357,-31.612,-5.003,155.503,-5.992,93.147,37.698,26.924,81.59,57.921,77.468,48.258,133.357,37.071,53.671,155.503,17.893,95.675,43.078
generated_Mean_Schraubensalto,Schraubensalto,3.85,88.9,95.689,102.005,88.815,95.289,99.692,48.268,142.986,192.435,61.564,142.986,384.11,159.356,279.195,389.859,14.548,81.59,25.399,46.491,-26.748,61.196,-7.799,-7.526,87.119,-4.973,95.67,18.722,22.574,81.59,57.552,76.594,-26.748,133.357,-31.612,-5.003,155.503,-5.992,93.147,37.698,26.924,81.59,57.921,77.468,48.258,133.357,37.071,53.671,155.503,17.893,95.675,43.078
generated_Mean_Schraubensalto,Schraubensalto,11.172,39.258,-186.815,167.769,39.702,-185.394,168.874,48.268,142.986,192.435,61.564,142.986,384.11,159.356,279.195,389.859,14.548,81.59,25.399,46.491,-26.748,61.196,-7.799,-7.526,87.119,-4.973,95.67,18.722,22.574,81.59,57.552,76.594,-26.748,133.357,-31.612,-5.003,155.503,-5.992,93.147,37.698,26.924,81.59,57.921,77.468,48.258,133.357,37.071,53.671,155.503,17.893,95.675,43.078
generated_Mean_Schraubensalto,Schraubensalto,8.211,-32.505,173.876,99.875,-33.103,169.178,100.719,48.268,142.986,192.435,61.564,142.986,384.11,159.356,279.195,389.859,14.548,81.59,25.399,46.491,-26.748,61.196,-7.799,-7.526,87.119,-4.973,95.67,18.722,22.574,81.59,57.552,76.594,-26.748,133.357,-31.612,-5.003,155.503,-5.992,93.147,37.698,26.924,81.59,57.921,77.468,48.258,133.357,37.071,53.671,155.503,17.893,95.675,43.078
generated_Mean_Rudi,Rudi,97.529,13.012,-45.396,23.33,15.775,9.353,14.297,107.928,26.451,535.472,111.86,35.805,535.472,174.403,319.78,554.856,-8.443,-91.748,85.291,78.633,-23.937,261.17,27.591,28.749,170.696,10.147,113.387,18.314,15.493,91.748,85.291,57.375,23.937,261.17,33.242,-28.749,170.696,5.75,-51.131,18.314,22.872,95.44,88.072,89.761,42.319,261.17,43.48,67.072,171.257,18.29,114.949,34.356
generated_Mean_Rudi,Rudi,15.148,8.817,-124.781,566.2,13.59,-124.06,550.904,107.928,26.451,535.472,111.86,35.805,535.472,174.403,319.78,554.856,-8.443,-91.748,85.291,78.633,-23.937,261.17,27.591,28.749,170.696,10.147,113.387,18.314,15.493,91.748,85.291,57.375,23.937,261.17,33.242,-28.749,170.696,5.75,-51.131,18.314,22.872,95.44,88.072,89.761,42.319,261.17,43.48,67.072,171.257,18.29,114.949,34.356
generated_Mean_Rudi,Rudi,17.43,219.316,-141.455,608.846,218.877,-138.018,607.323,107.928,26.451,535.472,111.86,35.805,535.472,174.403,319.78,554.856,-8.443,-91.748,85.291,78.633,-23.937,261.17,27.591,28.749,170.696,10.147,113.387,18.314,15.493,91.748,85.291,57.375,23.937,261.17,33.242,-28.749,170.696,5.75,-51.131,18.314,22.872,95.44,88.072,89.761,42.319,261.17,43.48,67.072,171.257,18.29,114.949,34.356
generated_Mean_Rudi,Rudi,9.457,7.441,220.644,106.468,5.747,221.572,111.594,107.928,26.451,535.472,111.86,35.805,535.472,174.403,319.78,554.856,-8.443,-91.748,85.291,78.633,-23.937,261.17,27.591,28.749,170.696,10.147,113.387,18.314,15.493,91.748,85.291,57.375,23.937,261.17,33.242,-28.749,170.696,5.75,-51.131,18.314,22.872,95.44,88.072,89.761,42.319,261.17,43.48,67.072,171.257,18.29,114.949,34.356
generated_Mean_Fliffis- Rudi C,Fliffis- Rudi C,101.414,26.954,-184.938,50.652,39.218,-48.866,-11.917,84.413,-318.432,530.664,166.216,510.342,625.464,170.983,460.144,603.414,-15.353,-219.892,26.428,-38.286,-203.731,97.139,102.421,-30.904,343.131,35.632,136.095,63.967,16.175,219.892,26.428,37.465,203.731,120.281,15.024,30.904,367.27,27.74,-136.095,68.875,29.809,224.136,49.707,45.63,208.955,124.962,123.481,81.744,367.27,41.877,137.22,104.086
generated_Mean_Fliffis- Rudi C,Fliffis- Rudi C,57.415,-24.03,-625.08,29.138,-17.969,-627.266,36.678,84.413,-318.432,530.664,166.216,510.342,625.464,170.983,460.144,603.414,-15.353,-219.892,26.428,-38.286,-203.731,97.139,102.421,-30.904,343.131,35.632,136.095,63.967,16.175,219.892,26.428,37.465,203.731,120.281,15.024,30.904,367.27,27.74,-136.095,68.875,29.809,224.136,49.707,45.63,208.955,124.962,123.481,81.744,367.27,41.877,137.22,104.086
