SprungID,Sprungtyp,DJump_SIG_I_x LapEnd,DJump_SIG_I_y LapEnd,DJump_SIG_I_z LapEnd,DJump_I_ABS_x LapEnd,DJump_I_ABS_y LapEnd,DJump_I_ABS_z LapEnd,DJump_ABS_I_x LapEnd,DJump_ABS_I_y LapEnd,DJump_ABS_I_z LapEnd,DJump_SIG_I_S1_x LapEnd,DJump_SIG_I_S1_y LapEnd,DJump_SIG_I_S1_z LapEnd,DJump_SIG_I_S2_x LapEnd,DJump_SIG_I_S2_y LapEnd,DJump_SIG_I_S2_z LapEnd,DJump_SIG_I_S3_x LapEnd,DJump_SIG_I_S3_y LapEnd,DJump_SIG_I_S3_z LapEnd,DJump_SIG_I_S4_x LapEnd,DJump_SIG_I_S4_y LapEnd,DJump_SIG_I_S4_z LapEnd,DJump_I_ABS_S1_x LapEnd,DJump_I_ABS_S1_y LapEnd,DJump_I_ABS_S1_z LapEnd,DJump_I_ABS_S2_x LapEnd,DJump_I_ABS_S2_y LapEnd,DJump_I_ABS_S2_z LapEnd,DJump_I_ABS_S3_x LapEnd,DJump_I_ABS_S3_y LapEnd,DJump_I_ABS_S3_z LapEnd,DJump_I_ABS_S4_x LapEnd,DJump_I_ABS_S4_y LapEnd,DJump_I_ABS_S4_z LapEnd,DJump_ABS_I_S1_x LapEnd,DJump_ABS_I_S1_y LapEnd,DJump_ABS_I_S1_z LapEnd,DJump_ABS_I_S2_x LapEnd,DJump_ABS_I_S2_y LapEnd,DJump_ABS_I_S2_z LapEnd,DJump_ABS_I_S3_x LapEnd,DJump_ABS_I_S3_y LapEnd,DJump_ABS_I_S3_z LapEnd,DJump_ABS_I_S4_x LapEnd,DJump_ABS_I_S4_y LapEnd,DJump_ABS_I_S4_z LapEnd,0_mean_Acc_N_Fil,0_std_Acc_N_Fil,0_mean_Gyro_x_R,0_std_Gyro_x_R,0_mean_Gyro_y_R,0_std_Gyro_y_R,0_mean_Gyro_z_R,0_std_Gyro_z_R,0_mean_Gyro_x_Fil,0_std_Gyro_x_Fil,0_mean_Gyro_y_Fil,0_std_Gyro_y_Fil,0_mean_Gyro_z_Fil,0_std_Gyro_z_Fil,25_mean_Acc_N_Fil,25_std_Acc_N_Fil,25_mean_Gyro_x_R,25_std_Gyro_x_R,25_mean_Gyro_y_R,25_std_Gyro_y_R,25_mean_Gyro_z_R,25_std_Gyro_z_R,25_mean_Gyro_x_Fil,25_std_Gyro_x_Fil,25_mean_Gyro_y_Fil,25_std_Gyro_y_Fil,25_mean_Gyro_z_Fil,25_std_Gyro_z_Fil,50_mean_Acc_N_Fil,50_std_Acc_N_Fil,50_mean_Gyro_x_R,50_std_Gyro_x_R,50_mean_Gyro_y_R,50_std_Gyro_y_R,50_mean_Gyro_z_R,50_std_Gyro_z_R,50_mean_Gyro_x_Fil,50_std_Gyro_x_Fil,50_mean_Gyro_y_Fil,50_std_Gyro_y_Fil,50_mean_Gyro_z_Fil,50_std_Gyro_z_Fil,75_mean_Acc_N_Fil,75_std_Acc_N_Fil,75_mean_Gyro_x_R,75_std_Gyro_x_R,75_mean_Gyro_y_R,75_std_Gyro_y_R,75_mean_Gyro_z_R,75_std_Gyro_z_R,75_mean_Gyro_x_Fil,75_std_Gyro_x_Fil,75_mean_Gyro_y_Fil,75_std_Gyro_y_Fil,75_mean_Gyro_z_Fil,75_std_Gyro_z_Fil
20191007-1159-FRANKFURT_1-01-228,Barani B,25.458,-32.187,183.68,25.458,32.187,183.68,48.715,333.986,209.347,4.467,-145.894,10.028,7.71,-34.357,104.893,13.542,45.608,71.962,-0.262,102.456,-3.204,4.467,145.894,10.028,7.71,34.357,104.893,13.542,-45.608,71.962,-0.262,-102.456,-3.204,8.652,146.15,22.766,18.386,39.744,104.893,13.542,45.608,71.962,8.135,102.484,9.726,30.346,22.748,11.573,22.302,-377.964,149.865,25.98,57.795,10.596,20.479,-374.138,140.283,27.098,50.513,9.621,4.05,19.974,50.319,-89.008,92.836,271.744,158.988,20.309,46.571,-91.34,92.294,271.127,151.589,7.517,0.903,35.267,15.7,118.771,54.612,187.402,128.614,34.981,15.163,118.562,53.27,187.653,126.642,22.57,25.096,-0.807,27.395,265.484,90.241,-8.114,29.328,0.031,21.108,263.3,77.661,-8.854,16.98
20191007-1159-FRANKFURT_1-01-229,Barani A,-50.473,73.167,170.721,50.473,73.167,170.721,73.707,291.321,203.669,2.806,-72.76,20.722,-41.528,-26.929,114.072,-5.84,72.291,43.736,-5.91,100.565,-7.81,2.806,72.76,20.722,35.917,26.929,114.072,5.84,-72.291,43.736,5.91,45.77,-7.81,10.32,73.297,31.612,41.528,44.133,114.072,8.434,72.291,43.75,13.424,101.6,14.234,29.17,31.288,7.085,31.539,-183.737,111.358,52.329,74.106,5.92,29.032,-182.572,98.979,54.697,67.367,10.435,1.221,-104.869,33.781,-68.002,103.548,288.062,80.242,-104.103,30.772,-66.544,99.494,285.195,76.679,9.215,0.786,-14.678,23.737,183.767,24.37,110.423,104.581,-14.906,23.046,183.848,23.608,111.87,104.512,25.073,30.219,-16.252,46.36,250.411,126.875,-19.29,48.037,-14.702,37.316,248.904,107.47,-18.519,21.023
20191007-1159-FRANKFURT_1-01-230,Barani A,-24.7,61.086,154.807,24.7,61.086,154.807,62.394,315.697,214.767,-0.861,-81.384,6.929,-31.951,-43.841,109.718,11.033,70.432,48.879,-2.922,115.879,-10.719,0.861,81.384,6.929,31.951,43.841,109.718,-11.033,-70.432,48.879,2.922,6.292,-10.719,7.047,82.434,35.567,32.18,46.951,109.718,12.504,70.432,52.865,10.663,115.879,16.618,25.381,27.792,-2.175,24.58,-205.516,110.09,17.498,98.579,-3.658,20.486,-204.128,94.173,16.512,85.802,9.842,1.223,-80.683,46.775,-110.71,79.653,277.065,90.905,-79.172,43.709,-109.111,76.89,275.913,88.268,9.555,1.003,27.748,25.637,179.475,59.605,123.274,150.517,26.319,23.871,179.588,59.26,123.915,146.087,28.836,29.461,-7.41,28.042,291.437,97.826,-27.043,46.998,-6.447,22.964,290.327,85.909,-27.62,35.685
20191007-1159-FRANKFURT_1-01-243,Strecksprung,-3.096,-4.259,-0.48,3.096,4.259,0.48,18.096,84.064,39.461,-0.277,26.966,-3.578,0.374,-10.628,1.847,1.732,-24.78,10.011,-4.925,4.183,-8.76,0.277,26.966,3.578,-0.18,-10.628,-1.847,1.732,-7.896,6.549,1.267,-4.183,-7.8,5.371,27.811,9.741,4.311,10.952,4.712,3.297,24.78,12.446,5.117,20.521,12.562,20.825,29.418,-0.649,15.783,65.035,45.332,-8.707,27.106,-0.613,10.253,63.76,39.806,-8.067,20.192,0.871,0.184,0.908,11.705,-25.254,21.906,4.568,13.567,1.202,9.603,-24.463,22.254,4.48,10.155,1.007,0.282,4.14,9.882,-59.882,11.064,24.025,23.509,3.958,8.14,-59.78,10.074,23.903,21.744,19.97,28.979,-11.935,11.024,10.78,59.56,-20.985,37.296,-12.071,8.358,11.454,57.533,-19.731,31.405
20191007-1159-FRANKFURT_1-01-246,Barani B,3.694,-39.02,193.875,3.694,39.02,193.875,52.335,323.8,216.641,12.034,-156.489,10.279,7.097,-19.245,103.449,-15.916,53.715,75.81,0.479,82.998,4.337,12.034,156.489,10.279,7.097,19.245,103.449,-15.916,-53.715,75.81,0.479,-82.998,4.337,14.297,156.489,25.67,17.18,29.151,103.449,15.916,53.715,75.81,4.942,84.446,11.712,31.26,27.538,29.786,34.805,-387.348,121.82,25.444,66.098,29.485,31.206,-383.495,113.177,26.44,58.682,9.504,2.798,17.568,48.846,-47.635,86.626,256.063,158.746,17.188,43.971,-49.769,87.272,255.469,152.444,8.494,0.821,-39.395,27.99,132.957,22.32,187.648,120.254,-38.74,26.207,132.905,20.21,188.283,118.481,24.294,31.23,1.065,15.745,205.192,94.169,10.372,32.558,0.976,11.497,203.167,83.795,10.869,24.16
20191007-1159-FRANKFURT_1-01-247,Barani B,0.938,-21.582,173.909,0.938,21.582,173.909,28.287,321.753,203.548,0.827,-151.215,3.212,4.227,-16.937,102.966,-0.287,49.859,76.079,-3.83,96.711,-8.348,0.827,151.215,3.212,4.227,16.937,102.966,-0.287,-49.859,76.079,-3.83,-96.711,-8.348,5.75,151.215,11.131,13.184,21.556,102.966,3.94,49.859,76.079,5.413,99.122,13.373,28.9,23.592,2.038,15.691,-372.451,162.323,7.911,30.088,1.856,13.835,-368.076,153.634,7.65,23.213,8.805,3.235,10.41,37.086,-41.718,74.097,253.61,153.21,10.937,32.543,-44.367,75.172,253.345,146.426,7.615,0.607,-0.723,13.404,123.748,41.769,187.469,119.962,-1.187,11.718,123.441,40.433,186.952,117.812,27.274,32.053,-9.445,14.851,236.359,113.245,-20.934,34.642,-8.46,8.901,234.868,101.046,-19.751,26.08
20191007-1159-FRANKFURT_1-01-248,Barani A,-33.337,56.163,179.666,33.337,56.163,179.666,55.737,306.577,206.529,-2.556,-84.042,19.412,-36.066,-36.689,116.064,4.144,65.383,52.502,1.142,111.512,-8.312,2.556,84.042,19.412,36.066,36.689,116.064,-4.144,-65.383,52.502,-1.142,0.815,-8.312,7.572,84.042,23.294,36.066,43.982,116.064,4.697,65.383,54.918,7.402,113.17,12.253,22.759,27.396,-6.234,22.881,-204.981,92.764,47.348,42.943,-7.59,20.077,-203.768,81.583,47.714,40.65,9.321,0.989,-87.966,35.564,-89.485,87.098,283.083,70.534,-86.782,33.286,-88.141,84.508,281.91,68.895,8.176,1.181,10.156,8.818,160.253,45.132,128.68,134.754,9.551,8.458,159.517,43.438,128.799,131.021,26.818,30.643,2.542,24.461,271.6,113.555,-20.614,33.768,2.555,19.001,269.572,101.013,-20.48,16.666
20191007-1159-FRANKFURT_1-01-249,Barani A,-53.976,54.077,166.937,53.976,54.077,166.937,83.485,308.434,204.362,-1.128,-71.942,17.085,-55.998,-55.136,81.716,-1.131,62.817,75.249,4.281,118.339,-7.112,1.128,71.942,17.085,55.998,55.136,81.716,1.131,-62.817,75.249,-4.281,-10.184,-7.112,12.154,72.138,37.065,55.998,55.14,81.716,8.054,62.817,75.249,7.279,118.339,10.332,24.176,28.168,-2.512,32.638,-177.733,119.748,41.624,90.505,-3.331,29.928,-175.899,105.305,41.538,84.229,8.744,1.725,-138.206,35.125,-136.143,55.639,201.932,66.551,-136.728,33.506,-134.501,52.865,202.798,65.074,9.09,0.898,-2.706,26.645,156.108,60.327,185.449,128.091,-3.49,26.762,155.259,61.274,184.563,123.79,21.756,26.981,10.583,19.047,291.949,86.831,-17.546,24.414,10.87,15.16,290.421,70.902,-16.842,19.539
20191007-1159-FRANKFURT_1-01-261,Strecksprung,-6.104,-7.461,11.409,6.104,7.461,11.409,21.698,94.826,32.212,-4.681,28.491,0.751,5.917,-8.863,11.686,-1.256,-33.419,3.599,-6.084,6.33,-4.627,4.681,28.491,0.751,-3.445,-8.863,11.686,-1.216,-5.837,3.599,6.084,-6.33,-4.627,6.494,29.48,7.64,5.917,9.094,11.772,2.876,33.419,5.704,6.411,22.832,7.095,20.686,30.158,-10.986,16.291,66.553,48.928,1.653,22.409,-10.484,12.302,66.422,42.63,1.145,15.307,0.849,0.455,13.809,5.304,-20.596,18.377,27.278,13.155,13.014,3.67,-20.502,17.668,27.492,11.73,1.447,0.402,-2.964,7.075,-78.011,10.239,8.391,14.003,-2.776,5.855,-77.756,9.424,8.376,12.742,19.511,29.507,-14.065,10.076,15.563,61.02,-10.894,25.542,-14.065,6.448,15.439,59.077,-11.499,19.399
20191007-1159-FRANKFURT_1-01-263,Barani A,-84.542,62.793,174.213,84.542,62.793,174.213,100.536,308.055,200.667,-1.679,-75.154,31.223,-55.755,-44.531,88.003,-18.387,64.981,61.439,-8.722,117.497,-6.452,1.679,75.154,31.223,55.755,44.531,88.003,18.387,-64.981,61.439,8.722,8.09,-6.452,17.138,75.154,35.258,55.755,50.423,88.003,18.506,64.981,62.061,9.137,117.497,15.344,26.591,30.755,-3.596,52.205,-180.925,121.143,74.869,68.921,-4.103,49.316,-181.022,105.119,75.321,63.353,9.539,0.635,-134.54,13.686,-108.51,93.368,211.681,66.989,-134.112,11.772,-106.517,90.169,211.465,64.119,9.008,0.558,-44.787,45.269,156.545,37.178,149.117,115.236,-45.366,43.748,156.707,37.12,149.656,111.944,24.801,29.132,-20.861,28.939,284.592,96.252,-15.337,56.283,-19.542,16.289,285.927,72.28,-15.759,29.634
