SprungID,Sprungtyp,DJump_SIG_I_x LapEnd,DJump_SIG_I_y LapEnd,DJump_SIG_I_z LapEnd,DJump_I_ABS_x LapEnd,DJump_I_ABS_y LapEnd,DJump_I_ABS_z LapEnd,DJump_ABS_I_x LapEnd,DJump_ABS_I_y LapEnd,DJump_ABS_I_z LapEnd,DJump_SIG_I_S1_x LapEnd,DJump_SIG_I_S1_y LapEnd,DJump_SIG_I_S1_z LapEnd,DJump_SIG_I_S2_x LapEnd,DJump_SIG_I_S2_y LapEnd,DJump_SIG_I_S2_z LapEnd,DJump_SIG_I_S3_x LapEnd,DJump_SIG_I_S3_y LapEnd,DJump_SIG_I_S3_z LapEnd,DJump_SIG_I_S4_x LapEnd,DJump_SIG_I_S4_y LapEnd,DJump_SIG_I_S4_z LapEnd,DJump_I_ABS_S1_x LapEnd,DJump_I_ABS_S1_y LapEnd,DJump_I_ABS_S1_z LapEnd,DJump_I_ABS_S2_x LapEnd,DJump_I_ABS_S2_y LapEnd,DJump_I_ABS_S2_z LapEnd,DJump_I_ABS_S3_x LapEnd,DJump_I_ABS_S3_y LapEnd,DJump_I_ABS_S3_z LapEnd,DJump_I_ABS_S4_x LapEnd,DJump_I_ABS_S4_y LapEnd,DJump_I_ABS_S4_z LapEnd,DJump_ABS_I_S1_x LapEnd,DJump_ABS_I_S1_y LapEnd,DJump_ABS_I_S1_z LapEnd,DJump_ABS_I_S2_x LapEnd,DJump_ABS_I_S2_y LapEnd,DJump_ABS_I_S2_z LapEnd,DJump_ABS_I_S3_x LapEnd,DJump_ABS_I_S3_y LapEnd,DJump_ABS_I_S3_z LapEnd,DJump_ABS_I_S4_x LapEnd,DJump_ABS_I_S4_y LapEnd,DJump_ABS_I_S4_z LapEnd,0_Acc_N_Fil,0_Gyro_x_R,0_Gyro_y_R,0_Gyro_z_R,0_Gyro_x_Fil,0_Gyro_y_Fil,0_Gyro_z_Fil,25_Acc_N_Fil,25_Gyro_x_R,25_Gyro_y_R,25_Gyro_z_R,25_Gyro_x_Fil,25_Gyro_y_Fil,25_Gyro_z_Fil,50_Acc_N_Fil,50_Gyro_x_R,50_Gyro_y_R,50_Gyro_z_R,50_Gyro_x_Fil,50_Gyro_y_Fil,50_Gyro_z_Fil,75_Acc_N_Fil,75_Gyro_x_R,75_Gyro_y_R,75_Gyro_z_R,75_Gyro_x_Fil,75_Gyro_y_Fil,75_Gyro_z_Fil
0609-4-01-69,Salto C,10.848,364.49,8.393,10.848,364.49,8.393,35.108,375.596,34.027,-5.972,81.245,8.546,12.077,154.708,6.281,4.064,70.84,-1.186,0.679,57.696,-5.248,5.972,81.245,8.546,0.133,154.708,6.281,4.064,70.84,-1.186,0.679,57.696,-5.248,10.82,92.351,12.427,12.935,154.708,11.524,4.065,70.84,1.795,7.288,57.696,8.28,28.641,-11.858,158.201,16.655,-12.008,157.391,17.042,10.421,23.801,305.593,12.517,23.506,305.879,12.281,3.393,8.043,139.582,-2.311,8.072,139.466,-2.306,10.453,1.453,114.67,-10.636,1.231,110.123,-10.33
0609-1-01-737,Von Bauch in Stand,-2.839,34.823,7.931,2.839,34.823,7.931,28.557,95.132,37.319,-6.818,-14.687,-0.567,3.466,2.072,0.274,-2.789,13.507,0.681,3.302,33.931,7.542,6.818,14.687,0.567,-3.466,-2.072,-0.274,2.789,-11.722,0.097,-3.302,33.931,7.542,12.614,37.208,18.252,7.221,8.398,4.136,3.703,15.484,3.691,5.019,34.042,11.24,26.853,-16.233,-34.968,-1.349,-15.678,-33.492,-2.02,0.789,8.253,4.934,0.654,7.079,4.747,0.663,0.958,-6.672,32.313,1.629,-5.944,32.062,2.262,16.708,7.997,81.899,17.9,7.717,82.876,18.295
20191007-1159-FRANKFURT_1-01-49,Strecksprung,-1.016,5.019,4.334,1.016,5.019,4.334,27.026,119.228,34.351,-2.275,32.06,5.513,1.529,-19.86,-8.017,-0.238,-30.758,8.897,-0.032,23.576,-2.06,2.275,32.06,5.513,-1.529,-19.86,-3.01,0.238,6.357,3.89,0.032,-13.539,-2.06,6.813,38.436,11.457,6.038,19.86,8.141,4.297,30.758,9.25,9.878,30.174,5.502,25.843,-5.265,74.214,12.762,-5.612,73.584,12.7,1.11,3.54,-45.972,-18.557,3.937,-45.547,-18.488,1.552,-0.552,-71.531,20.69,-0.933,-71.092,20.208,19.674,0.086,55.094,-4.926,-0.121,54.073,-5.085
0827-BK2-02-33,Strecksprung,0.114,-31.152,-23.709,0.114,31.152,23.709,22.125,85.7,48.494,0.265,16.82,-11.677,-2.14,-30.634,-19.114,-2.273,-13.401,0.483,4.262,-3.936,6.599,0.265,16.82,11.677,1.61,-3.006,19.114,2.273,13.401,-0.483,-4.034,3.936,-6.599,6.3,19.162,13.737,7.114,33.4,24.48,4.291,13.755,3.275,4.422,19.383,7.002,23.553,0.574,36.407,-25.275,0.292,35.261,-24.397,1.82,-4.632,-66.308,-41.371,-4.261,-65.028,-42.082,0.834,-4.908,-29.166,1.076,-5.227,-28.878,1.072,12.628,9.376,-7.47,14.216,8.95,-7.832,13.716
20191007-1150-FRANKFURT_2-01-84,Barani A,-90.095,52.217,177.856,90.095,52.217,177.856,118.684,273.077,192.329,-19.899,-75.549,26.155,-55.695,-34.566,76.067,-28.172,50.289,67.167,13.67,112.043,8.467,19.899,75.549,26.155,55.695,34.566,76.067,28.172,-50.289,67.167,-13.67,-7.609,8.467,20.79,75.683,30.852,55.695,35.062,76.067,28.172,50.289,67.167,14.027,112.043,18.243,26.634,-50.336,-190.694,69.338,-49.064,-188.25,70.36,11.152,-141.19,-86.677,196.02,-141.319,-84.984,195.457,10.969,-71.383,129.572,173.664,-70.709,128.682,173.834,17.159,35.248,286.367,24.428,35.079,284.443,24.53
0609-4-01-574,Barani C,-5.983,-74.894,226.205,5.983,74.894,226.205,49.62,308.839,242.86,9.208,-120.177,22.773,1.799,-63.315,98.775,-20.797,38.192,89.898,3.807,70.406,14.759,9.208,120.177,22.773,1.799,63.315,98.775,-1.217,-38.192,89.898,-3.807,-70.406,14.759,15.523,121.675,34.815,8.208,74.41,98.775,20.797,42.348,89.898,5.093,70.406,19.372,30.888,19.904,-257.035,52.073,19.746,-255.684,52.343,11.724,3.936,-134.488,215.868,3.316,-135.538,216.061,5.74,-44.761,84.276,196.738,-43.601,85.067,196.164,19.891,8.188,153.831,34.797,7.964,152.894,35.227
20191007-1159-FRANKFURT_1-01-243,Strecksprung,-3.096,-4.259,-0.48,3.096,4.259,0.48,18.096,84.064,39.461,-0.277,26.966,-3.578,0.374,-10.628,1.847,1.732,-24.78,10.011,-4.925,4.183,-8.76,0.277,26.966,3.578,-0.18,-10.628,-1.847,1.732,-7.896,6.549,1.267,-4.183,-7.8,5.371,27.811,9.741,4.311,10.952,4.712,3.297,24.78,12.446,5.117,20.521,12.562,20.825,-0.649,65.035,-8.707,-0.613,63.76,-8.067,0.871,0.908,-25.254,4.568,1.202,-24.463,4.48,1.007,4.14,-59.882,24.025,3.958,-59.78,23.903,19.97,-11.935,10.78,-20.985,-12.071,11.454,-19.731
0609-1-01-642,Von Bauch in Stand,-6.131,32.928,9.639,6.131,32.928,9.639,41.884,109.427,53.524,-4.554,-19.084,1.875,2.814,-10.873,5.666,6.185,17.446,-8.6,-10.577,45.438,10.698,4.554,19.084,1.875,-2.814,10.873,5.666,2.706,-17.446,-6.482,1.686,20.417,8.58,11.586,26.607,15.07,4.126,13.749,5.802,12.717,23.633,10.741,13.455,45.438,21.911,22.987,-10.842,-45.438,4.464,-11.183,-44.418,3.953,1.106,6.7,-25.888,13.491,6.659,-26.886,13.007,1.795,14.711,41.764,-20.584,13.494,42.39,-20.158,18.398,-25.214,109.41,26.276,-23.639,109.703,26.231
0110-MORITZ-01-127,Voll- ein- voll- aus B,-382.033,33.98,-674.412,382.033,33.98,674.412,463.021,592.735,691.761,-126.34,49.635,-199.372,-238.548,-64.83,-267.733,-39.892,-72.412,-171.997,22.746,121.587,-35.31,126.34,49.635,199.372,238.548,-34.441,267.733,39.892,72.412,171.997,-22.746,-53.627,35.31,126.34,118.736,199.372,238.548,207.043,267.733,72.737,145.368,171.997,25.396,121.587,52.659,36.808,-264.309,103.84,-417.095,-264.141,106.66,-418.821,45.047,-499.054,-135.627,-560.111,-499.244,-137.487,-557.406,27.805,-82.317,-150.166,-359.184,-82.898,-151.775,-359.187,27.728,46.941,254.801,-72.929,46.856,251.824,-71.945
0609-1-01-570,Doppelsalto B,1.048,703.43,-37.444,1.048,703.43,37.444,64.428,732.587,73.038,2.024,57.613,-13.895,-22.402,289.943,-3.821,16.791,275.629,-13.449,4.634,80.244,-6.278,2.024,57.613,13.895,18.353,289.943,3.821,-16.791,275.629,13.449,-2.538,80.244,6.278,10.777,86.771,28.148,23.988,289.943,10.919,21.519,275.629,19.238,8.144,80.244,14.733,25.001,4.363,124.167,-29.946,4.091,125.714,-30.04,32.12,-48.279,624.877,-8.235,-47.716,623.502,-9.734,29.545,36.188,594.029,-28.985,36.358,591.204,-27.789,21.364,10.051,173.423,-13.594,9.525,173.671,-12.591
