Sprungtyp,SprungID,ACC_N,ACC_N_ROT_filtered,Acc_x_Fil,Acc_y_Fil,Acc_z_Fil,Gyro_x_Fil,Gyro_y_Fil,Gyro_z_Fil
Barani A,20191007-1524-FRANKFURT_1-01-33,24.456,22.558,4.508,5.816,26.322,70.703,178.72,70.322
Von Bauch in Stand,0609-1-01-304,25.384,25.369,16.701,1.174,19.045,11.464,68.975,13.855
Salto B,0827-BK2-02-71,23.898,21.806,13.097,1.283,25.418,22.935,194.958,27.302
Salto A,20191001-1202-FRANKFURT_2-01-157,25.907,21.763,13.308,2.161,23.347,13.742,56.114,34.061
Salto C,0609-4-01-262,26.444,22.559,16.613,1.207,23.407,16.191,128.788,14.863
Salto A,0827-BK2-02-127,23.745,22.312,7.77,0.717,25.079,9.881,33.883,12.493
Fliffis C,20191007-1159-FRANKFURT_1-01-340,24.895,22.843,22.098,3.484,30.277,49.299,432.411,154.654
Salto B,0827-BK2-02-67,23.09,21.28,10.895,1.266,25.238,30.409,166.538,27.162
Salto A,0827-BK1-01-103,24.018,22.5,9.777,1.558,24.762,7.782,59.711,14.655
Barani A,20191008-1157-FRANKFURT_1-01-91,23.055,21.726,5.502,3.019,26.456,65.209,192.496,116.943
Doppelsalto C,20190930-1616-FRANKFURT_1-01-312,24.42,21.534,21.918,2.582,29.512,26.812,262.491,23.329
Doppelsalto C,0609-1-01-185,23.758,21.597,22.503,1.842,27.211,33.602,285.501,24.783
Doppelsalto B,0609-1-01-592,22.926,20.141,18.168,2.606,27.706,51.687,278.795,29.731
Salto A,20190930-1616-FRANKFURT_1-01-33,19.556,18.927,12.937,1.049,20.324,10.036,105.654,17.969
Salto C,20191007-1159-FRANKFURT_1-01-347,23.167,20.457,6.873,1.011,25.511,21.012,211.886,24.302
Salto A,0827-BK2-02-123,23.189,21.27,6.434,1.05,25.034,14.768,45.904,17.727
Salto C,20190930-1616-FRANKFURT_1-01-255,25.107,22.602,10.74,2.852,26.648,20.67,183.194,29.811
Salto C,0609-4-01-48,23.115,21.886,14.612,1.278,21.339,12.748,76.563,20.336
Doppelsalto C,0609-1-01-178,24.707,22.129,23.546,1.609,28.979,30.825,292.727,29.399
Schraubensalto A,20191007-1534-FRANKFURT_2-01-80,21.268,18.808,7.2,4.704,23.8,115.273,140.833,169.445
Salto C,0609-1-01-440,24.069,22.342,11.56,1.04,25.346,15.201,196.555,14.768
Voll- ein- voll- aus A,0115-MORITZ-03-149,18.806,16.521,15.128,6.269,30.046,235.39,291.968,285.116
Salto C,20191007-1159-FRANKFURT_1-01-386,24.14,20.976,8.108,1.647,26.219,18.617,210.815,29.069
Fliffis B,0609-4-01-42,24.652,21.906,18.119,2.175,28.926,90.309,351.16,126.623
Barani A,20190930-1616-FRANKFURT_1-01-272,24.627,22.394,6.647,1.884,26.481,67.637,149.724,55.432
3/4 Salto rw A,20190930-1247-FRANKFURT_2-01-263,28.012,24.18,15.018,1.393,23.938,19.857,52.702,26.533
Von Bauch in Stand,0609-1-01-142,24.916,25.001,18.34,1.427,17.307,13.965,54.727,34.937
Barani A,20191007-1534-FRANKFURT_2-01-28,22.123,20.5,6.704,6.528,24.946,75.294,176.554,88.627
Fliffis aus B,0115-MORITZ-03-144,24.367,22.45,18.319,4.332,28.689,115.669,367.949,102.15
Barani C,0609-4-01-534,23.172,21.232,12.645,1.858,24.123,43.12,191.785,83.345
Salto C,0609-1-01-545,24.663,22.813,10.915,1.241,25.977,15.316,183.117,18.038
Fliffis B,0609-4-01-477,24.202,21.076,19.632,3.077,28.436,99.351,367.786,129.814
Doppelsalto B,0609-1-01-433,23.647,20.853,18.621,1.58,27.422,27.745,277.474,25.584
1 3/4 Salto vw C,0115-CHARI-05-123,25.541,22.252,18.559,1.505,24.058,13.779,205.824,26.828
Salto C,0827-BK2-01-16,25.628,23.674,12.999,1.182,25.756,14.337,184.715,22.486
Doppelsalto B,0609-1-01-227,21.12,17.966,18.45,1.928,25.881,38.753,275.85,33.808
Salto B,0115-JANEIKE-01-17,25.293,22.608,13.38,1.828,26.152,24.45,160.726,30.344
Salto C,20191007-1159-FRANKFURT_1-01-371,24.036,20.636,6.821,0.988,26.014,19.295,224.097,27.808
Doppelsalto B,0115-CHARI-05-40,22.747,21.19,18.426,1.778,27.415,29.81,265.708,40.148
Fliffis C,20191007-1524-FRANKFURT_1-01-115,25.277,19.613,20.903,6.149,30.262,71.338,396.606,143.93
Fliffis B,0609-4-01-367,24.94,22.112,19.403,2.904,28.885,80.962,353.055,119.335
