Sprungtyp,SprungID,ACC_N,ACC_N_ROT_filtered,Acc_x_Fil,Acc_y_Fil,Acc_z_Fil,Gyro_x_Fil,Gyro_y_Fil,Gyro_z_Fil
Schraubensalto C,0609-4-01-152,23.412,21.019,10.632,2.1,24.953,115.81,126.142,152.345
Doppelsalto C,0609-1-01-854,22.422,20.25,23.12,1.157,26.362,27.187,275.926,26.199
Fliffis C,0609-1-01-42,25.759,24.177,23.304,4.126,29.263,156.58,359.675,109.185
Baby- Fliffis C,20191007-1159-FRANKFURT_1-01-401,24.347,22.685,16.999,3.837,21.595,51.844,295.821,164.89
Salto C,0609-1-01-432,23.418,21.801,10.05,0.941,25.039,12.22,183.878,22.188
Doppelsalto B,0115-MORITZ-03-41,24.816,22.105,21.237,2.496,26.638,33.298,264.43,30.518
Barani C,0609-4-01-542,23.351,21.468,11.845,2.105,24.292,32.125,198.344,94.778
Salto A,20191007-1159-FRANKFURT_1-01-367,24.384,21.046,6.85,1.028,25.967,23.241,68.109,27.088
Fliffis- Rudi B,20191007-1524-FRANKFURT_1-01-109,22.434,18.471,17.093,7.965,27.451,198.492,439.997,354.09
Barani C,0609-4-01-536,23.373,21.509,11.922,1.92,24.567,37.41,196.538,106.494
Doppelsalto B,0609-1-01-417,23.274,20.3,17.645,1.76,28.557,44.735,291.811,27.115
Barani C,0609-4-01-588,22.861,21.078,12.883,1.694,24.038,21.377,222.662,104.29
Salto A,20191001-1202-FRANKFURT_2-01-142,22.325,18.288,9.329,1.867,21.721,11.552,50.128,24.47
Salto C,0609-1-01-379,22.9,21.285,9.548,1.267,25.211,22.552,190.441,19.419
Triffis B,0115-JANEIKE-01-34,23.655,21.863,24.021,9.645,30.392,173.863,425.384,170.157
Salto C,20190930-1153-FRANKFURT_1-01-222,25.097,22.564,10.69,1.337,26.911,27.195,167.539,30.328
Salto A,20191001-1202-FRANKFURT_2-01-198,22.823,19.86,11.408,1.223,20.441,17.004,71.902,22.607
Salto B,20190930-1247-FRANKFURT_2-01-130,24.303,20.785,11.025,0.99,26.635,17.858,208.788,23.963
Salto C,0609-4-01-49,21.184,19.738,13.218,1.192,21.083,10.931,50.365,16.521
Fliffis aus C,20191001-1148-FRANKFURT_1-01-51,24.015,21.973,20.862,4.186,30.057,46.175,436.324,175.881
Fliffis- Rudi B,0115-MORITZ-03-85,21.307,19.12,19.936,9.162,29.0,205.763,379.621,298.307
Salto B,20191008-1157-FRANKFURT_1-01-34,23.206,20.581,7.322,1.312,26.496,24.394,182.295,34.676
Salto B,20190930-1247-FRANKFURT_2-01-109,23.001,20.447,10.758,1.364,25.838,17.144,213.171,26.009
Barani C,0609-4-01-520,24.064,22.201,13.174,1.795,24.728,38.66,196.812,88.481
Voll- ein 1 3/4 Salto vw C,0115-CHARI-05-109,21.505,18.76,14.876,8.536,23.799,234.236,186.84,207.712
Barani B,20191007-1159-FRANKFURT_1-01-227,23.19,21.235,10.395,2.814,25.313,36.795,259.471,147.237
Barani A,20191007-1534-FRANKFURT_2-01-52,22.194,20.291,7.589,4.023,25.544,69.211,189.277,106.52
Salto C,0827-BK1-01-44,24.2,22.409,11.861,1.297,25.234,11.527,157.727,15.618
Salto A,20191003-1152-FRANKFURT_1-01-77,20.516,18.632,7.17,2.034,22.855,16.901,47.69,10.929
Salto C,0609-4-01-473,25.99,22.458,16.19,1.062,23.647,13.671,148.336,15.042
Salto C,20190930-1153-FRANKFURT_1-01-243,24.249,22.106,11.198,1.503,25.247,32.405,167.913,30.148
Salto A,0827-BK1-01-107,24.081,22.407,10.052,1.435,24.763,12.681,56.408,13.272
Schraubensalto A,20191008-1207-FRANKFURT_2-01-205,24.884,21.543,4.346,3.569,27.022,93.265,183.27,132.187
Voll- ein- halb- aus B,0115-JANEIKE-01-116,21.233,19.111,19.185,10.626,29.259,237.422,348.438,267.328
Salto C,0609-4-01-10,26.228,22.434,15.927,1.956,23.624,15.063,129.873,16.669
Salto C,0609-4-01-470,25.958,22.406,15.507,0.972,23.825,12.028,151.988,13.964
Schraubensalto,20190930-1247-FRANKFURT_2-01-243,23.959,21.894,5.776,3.145,25.387,101.205,141.695,126.761
Salto C,0609-4-01-445,26.212,22.577,15.457,1.245,24.222,12.796,149.073,14.647
40/,20191001-1148-FRANKFURT_1-01-199,22.531,19.404,7.35,1.768,24.658,23.702,79.708,19.327
Bauchsprung,0609-1-01-782,24.294,21.655,15.192,1.118,19.355,10.614,70.73,20.627
Fliffis C,20190930-1616-FRANKFURT_1-01-115,24.091,22.459,22.787,5.148,29.782,69.813,371.227,112.583
Baby- Fliffis C,20191001-1148-FRANKFURT_1-01-145,22.984,21.523,16.938,3.441,21.204,38.735,298.299,143.175
3/4 Salto rw A,20191001-1202-FRANKFURT_2-01-42,23.735,20.074,16.607,2.818,17.631,14.466,50.599,27.033
Salto C,20191007-1159-FRANKFURT_1-01-10,24.022,21.086,6.996,1.087,27.478,17.581,220.933,26.465
Salto A,0827-BK2-01-114,24.439,22.675,9.462,1.364,25.651,12.749,51.031,17.795
Doppelsalto B,0609-1-01-364,24.144,20.901,18.268,1.742,29.426,38.614,292.144,26.25
Salto C,0609-4-01-432,25.658,22.1,16.842,1.574,22.556,11.718,146.219,13.192
Schraubensalto A,20191007-1159-FRANKFURT_1-01-368,22.622,20.868,12.968,3.82,24.447,125.703,254.512,307.57
Fliffis- Rudi B,0115-CHARI-05-51,20.268,18.621,17.522,5.945,26.348,194.68,391.395,296.916
Barani A,20191007-1150-FRANKFURT_2-01-96,20.695,19.431,5.726,2.592,24.467,83.604,180.373,82.619
Barani A,20191007-1534-FRANKFURT_2-01-34,22.473,20.674,6.273,6.511,25.103,67.385,185.209,107.626
Voll- ein- halb- aus B,0110-MORITZ-01-142,22.026,20.515,17.456,10.524,27.671,257.81,373.135,224.789
Barani A,20191008-1207-FRANKFURT_2-01-215,23.818,21.63,3.414,2.791,26.786,67.409,201.432,73.066
Bauchsprung,0609-1-01-727,24.23,21.237,13.898,1.058,19.967,15.232,65.773,26.468
Barani A,20191008-1207-FRANKFURT_2-01-118,23.103,21.967,3.727,4.857,25.464,62.983,198.548,124.395
Fliffis C,20190930-1616-FRANKFURT_1-01-181,25.881,23.74,22.742,4.945,29.391,56.251,381.913,113.764
Doppelsalto B,0115-CHARI-05-77,22.75,21.008,20.099,1.905,27.67,25.569,265.928,35.568
Salto C,0609-1-01-484,23.487,21.718,9.924,1.45,25.387,25.411,193.767,19.797
Salto B,20191007-1150-FRANKFURT_2-01-83,20.293,17.951,10.041,1.449,24.208,19.269,191.529,25.491
Fliffis B,20191008-1207-FRANKFURT_2-01-289,21.408,19.042,18.666,8.865,26.988,116.206,442.873,166.854
Barani A,20190930-1153-FRANKFURT_1-01-142,23.624,21.614,6.913,1.678,26.274,83.509,156.745,73.346
Schraubensalto C,0609-4-01-213,22.724,20.218,9.504,2.476,24.558,110.448,126.134,170.671
Von Bauch in Stand,0609-1-01-868,23.495,24.218,15.353,2.313,17.787,14.904,78.826,26.918
Voll- ein- voll- aus B,0110-MORITZ-01-112,22.517,19.435,20.585,8.267,27.116,214.674,345.333,295.871
Salto C,20191007-1150-FRANKFURT_2-01-172,20.759,18.459,10.85,1.577,22.504,26.116,162.813,37.084
Barani A,20191007-1534-FRANKFURT_2-01-79,21.545,19.969,6.034,3.643,24.824,73.975,181.303,106.79
