SprungID,Sprungtyp,Acc_N_Fil,Gyro_x_R,Gyro_y_R,Gyro_z_R,Gyro_x_Fil,Gyro_y_Fil,Gyro_z_Fil
generated_Mean_Salto C,Salto C,84.816,4.953,166.439,-0.582,5.476,164.718,-1.428
generated_Mean_Salto C,Salto C,26.301,1.759,151.94,0.435,2.232,142.799,0.458
generated_Mean_Salto C,Salto C,7.793,4.693,-11.26,-0.876,3.614,-5.154,-0.267
generated_Mean_Salto C,Salto C,10.239,-6.186,-43.691,1.976,-5.079,-30.792,0.454
generated_Mean_Salto C,Salto C,10.465,-5.3,175.145,-13.971,-5.371,180.057,-12.13
generated_Mean_Salto C,Salto C,14.477,-0.116,458.441,-6.451,0.112,445.067,-6.86
generated_Mean_Salto C,Salto C,19.165,8.619,489.646,-2.277,8.223,486.153,-2.443
generated_Mean_Salto C,Salto C,18.083,10.858,436.674,1.339,11.06,432.807,0.828
generated_Mean_Salto C,Salto C,11.929,16.093,320.921,-3.011,15.837,321.94,-3.329
generated_Mean_Salto C,Salto C,7.18,14.894,228.428,-10.146,14.49,230.48,-9.123
generated_Mean_Salto C,Salto C,4.57,8.226,173.875,-5.333,8.465,175.115,-5.485
generated_Mean_Salto C,Salto C,3.987,6.073,143.374,-2.884,6.222,144.26,-3.087
generated_Mean_Salto C,Salto C,3.995,6.319,128.081,-2.65,6.265,128.289,-2.757
generated_Mean_Salto C,Salto C,3.962,5.616,116.624,-3.745,5.631,116.794,-3.75
generated_Mean_Salto C,Salto C,3.902,4.352,106.994,-4.872,4.263,107.124,-4.807
generated_Mean_Salto C,Salto C,3.987,1.785,97.898,-5.699,1.699,98.021,-5.659
generated_Mean_Salto C,Salto C,4.573,-2.495,91.387,-4.562,-2.429,91.958,-4.049
generated_Mean_Salto C,Salto C,5.43,-3.843,100.343,6.168,-3.255,103.331,5.032
generated_Mean_Salto C,Salto C,10.91,6.553,175.985,-2.614,6.659,175.101,-2.463
