Acc_N_Fil,Gyro_x_R,Gyro_y_R,Gyro_z_R,Gyro_x_Fil,Gyro_y_Fil,Gyro_z_Fil,SprungID,Sprungtyp
9.307,-72.971,140.669,273.083,-70.859,136.629,274.108,20190930-1153-FRANKFURT_1-01-166,Schraubensalto
7.932,-11.929,141.092,233.679,-10.759,143.591,235.868,20190930-1153-FRANKFURT_1-01-166,Schraubensalto
8.496,68.003,167.243,217.775,64.672,165.912,208.503,20190930-1153-FRANKFURT_1-01-166,Schraubensalto
9.525,78.752,199.079,32.164,72.941,201.483,35.892,20190930-1153-FRANKFURT_1-01-166,Schraubensalto
58.502,32.329,199.369,-65.183,35.02,186.275,-55.418,20190930-1153-FRANKFURT_1-01-166,Schraubensalto
79.445,-16.38,138.782,-27.075,-15.931,145.711,-22.197,20191003-1152-FRANKFURT_1-01-106,Salto C
38.472,-12.992,180.256,-2.727,-9.359,165.988,-6.876,20191003-1152-FRANKFURT_1-01-106,Salto C
7.482,27.737,21.545,6.187,19.411,31.544,2.857,20191003-1152-FRANKFURT_1-01-106,Salto C
8.701,4.397,-69.14,-32.464,7.796,-67.837,-23.058,20191003-1152-FRANKFURT_1-01-106,Salto C
13.17,16.277,-69.025,-11.138,14.292,-51.562,-13.023,20191003-1152-FRANKFURT_1-01-106,Salto C
9.348,-19.957,209.232,2.226,-19.348,210.474,0.741,20191003-1152-FRANKFURT_1-01-106,Salto C
15.729,-48.825,500.985,-15.671,-46.803,493.244,-7.793,20191003-1152-FRANKFURT_1-01-106,Salto C
24.288,-34.045,626.58,24.377,-33.446,616.556,15.68,20191003-1152-FRANKFURT_1-01-106,Salto C
32.822,-19.943,595.622,-5.561,-18.39,585.101,-4.332,20191003-1152-FRANKFURT_1-01-106,Salto C
17.27,-0.174,436.695,7.889,-3.597,436.998,8.629,20191003-1152-FRANKFURT_1-01-106,Salto C
6.316,-1.329,276.447,0.271,-1.943,279.422,0.886,20191003-1152-FRANKFURT_1-01-106,Salto C
3.714,-12.325,168.83,-10.409,-11.009,173.086,-10.055,20191003-1152-FRANKFURT_1-01-106,Salto C
3.445,-8.918,121.281,-9.026,-9.224,123.939,-9.457,20191003-1152-FRANKFURT_1-01-106,Salto C
4.253,-4.787,109.749,-6.58,-4.267,109.87,-6.547,20191003-1152-FRANKFURT_1-01-106,Salto C
4.267,0.169,106.113,-2.805,-0.259,106.016,-2.81,20191003-1152-FRANKFURT_1-01-106,Salto C
3.975,-2.206,100.554,-2.077,-2.61,99.758,-1.682,20191003-1152-FRANKFURT_1-01-106,Salto C
4.215,-4.893,94.177,0.642,-4.436,97.512,0.42,20191003-1152-FRANKFURT_1-01-106,Salto C
4.73,-3.498,134.309,5.359,-2.917,135.35,5.489,20191003-1152-FRANKFURT_1-01-106,Salto C
9.497,5.045,170.017,0.129,1.306,163.251,-1.072,20191003-1152-FRANKFURT_1-01-106,Salto C
51.155,-17.328,131.436,-18.705,-14.038,122.933,-18.187,20191003-1152-FRANKFURT_1-01-106,Salto C
71.727,24.469,227.508,-38.445,27.489,240.509,-30.386,20191007-1150-FRANKFURT_2-01-225,Salto A
23.062,28.815,304.458,-2.34,29.806,290.162,-11.13,20191007-1150-FRANKFURT_2-01-225,Salto A
8.134,45.891,254.993,-30.825,40.203,259.243,-24.749,20191007-1150-FRANKFURT_2-01-225,Salto A
4.722,5.132,228.172,-14.071,9.78,226.994,-15.047,20191007-1150-FRANKFURT_2-01-225,Salto A
4.909,8.749,185.746,4.007,9.67,182.869,1.852,20191007-1150-FRANKFURT_2-01-225,Salto A
7.263,13.629,137.704,-11.534,12.006,144.674,-8.979,20191007-1150-FRANKFURT_2-01-225,Salto A
7.663,3.166,163.796,-10.015,2.751,167.531,-8.942,20191007-1150-FRANKFURT_2-01-225,Salto A
9.036,-4.98,225.6,5.693,-4.671,220.642,5.351,20191007-1150-FRANKFURT_2-01-225,Salto A
9.228,-6.1,254.551,22.796,-4.146,255.62,21.25,20191007-1150-FRANKFURT_2-01-225,Salto A
7.7,6.693,262.576,29.404,7.086,259.372,28.232,20191007-1150-FRANKFURT_2-01-225,Salto A
7.77,22.959,198.906,20.278,22.165,200.004,23.078,20191007-1150-FRANKFURT_2-01-225,Salto A
8.656,32.583,182.771,24.484,30.983,183.125,23.569,20191007-1150-FRANKFURT_2-01-225,Salto A
