SprungID,Sprungtyp,avg_Acc_N_Fil,avg_Gyro_x_R,avg_Gyro_y_R,avg_Gyro_z_R,avg_Gyro_x_Fil,avg_Gyro_y_Fil,avg_Gyro_z_Fil
0110-JANEIKE-01-53,Halb ein Triffis C,44.772,-178.284,-239.627,-115.877,-178.215,-239.999,-115.694
20190930-1247-FRANKFURT_2-01-45,Salto A,16.218,0.549,203.329,-15.895,0.216,203.451,-16.068
0609-1-01-715,Von Bauch in Stand,13.082,0.127,25.373,-0.67,0.265,25.024,-0.269
0609-1-01-781,Doppelsalto C,32.069,21.68,405.462,-20.433,21.62,405.193,-20.4
0609-1-01-656,Von Bauch in Stand,12.534,4.905,26.651,2.437,4.524,26.877,2.497
20191007-1159-FRANKFURT_1-01-324,Salto A,13.941,-7.971,205.743,-11.341,-7.787,204.593,-11.319
0115-MORITZ-03-133,Voll- ein- halb- aus B,35.224,-184.555,-126.825,-260.566,-184.555,-126.345,-260.076
0609-1-01-819,Von Bauch in Stand,10.36,7.444,22.866,9.254,7.265,23.156,8.629
20190930-1153-FRANKFURT_1-01-245,Doppelsalto C,32.638,45.16,382.35,-11.136,45.395,382.42,-11.578
0827-BK1-01-41,Salto C,15.822,5.192,175.475,4.37,5.224,175.365,4.231
0110-MORITZ-01-112,Voll- ein- voll- aus B,32.507,-262.251,-34.312,-326.402,-262.298,-34.621,-326.596
20190930-1153-FRANKFURT_1-01-78,Salto B,19.047,16.835,181.878,4.406,16.888,181.814,4.611
20191007-1524-FRANKFURT_1-01-96,Doppelsalto B,17.778,1.083,209.529,-16.984,2.224,210.849,-19.18
20191007-1159-FRANKFURT_1-01-19,Salto C,14.51,0.738,209.244,-5.097,1.033,209.445,-5.2
20191003-1152-FRANKFURT_1-01-160,Fliffis C,36.126,89.487,-228.443,-107.093,89.788,-228.406,-107.701
0827-BK2-01-69,Salto B,16.575,-2.899,173.254,-9.573,-2.709,172.483,-9.643
20191007-1150-FRANKFURT_2-01-106,Grätschwinkel,14.044,2.425,3.646,2.708,2.366,3.375,2.885
20191008-1207-FRANKFURT_2-01-367,1 3/4 Salto vw B,28.935,-60.21,-328.047,90.667,-60.0,-327.73,89.662
20191007-1534-FRANKFURT_2-01-80,Schraubensalto A,17.499,54.683,118.293,212.644,54.563,118.677,212.731
20191008-1157-FRANKFURT_1-01-280,Salto C,16.214,-8.992,202.844,-7.427,-9.204,200.909,-8.685
0609-4-01-126,Schraubensalto C,14.858,40.164,99.851,219.993,39.984,98.828,219.687
0609-4-01-584,Barani C,17.575,1.643,-55.975,131.259,1.677,-55.975,131.134
20191001-1148-FRANKFURT_1-01-51,Fliffis aus C,36.66,10.521,-192.664,105.375,10.721,-190.386,105.484
20191001-1202-FRANKFURT_2-01-171,Salto A,16.625,-18.467,-213.766,-10.0,-18.696,-212.127,-8.34
20191008-1157-FRANKFURT_1-01-290,Strecksprung,11.416,-4.239,-0.621,8.05,-4.298,-0.583,8.068
0110-MORITZ-01-110,Salto C,15.237,-1.832,163.861,11.416,-2.045,163.15,11.34
0609-4-01-117,Schraubensalto C,16.567,38.321,87.088,202.334,38.167,86.652,202.211
20191007-1159-FRANKFURT_1-01-450,Barani A,16.892,-0.066,45.726,121.437,-0.134,46.371,120.792
0609-4-01-518,Barani C,16.052,-22.315,-20.39,120.399,-22.401,-20.074,120.261
