SprungID,Sprungtyp,avg_Acc_N_Fil,avg_Gyro_x_R,avg_Gyro_y_R,avg_Gyro_z_R,avg_Gyro_x_Fil,avg_Gyro_y_Fil,avg_Gyro_z_Fil
20190930-1247-FRANKFURT_2-01-175,Salto C,18.021,5.87,188.814,-9.965,6.174,188.979,-10.152
0609-4-01-363,Strecksprung,13.272,27.444,4.998,89.792,27.412,6.129,89.413
20190930-1247-FRANKFURT_2-01-243,Schraubensalto,14.889,41.674,101.03,190.88,41.699,100.886,190.58
20191007-1524-FRANKFURT_1-01-57,Barani A,18.369,-80.308,18.923,103.943,-80.334,19.282,105.93
0609-1-01-854,Bauchsprung,11.793,0.053,-20.568,-3.586,0.163,-20.784,-3.915
0609-4-01-536,Barani C,15.192,-7.419,-36.226,127.251,-7.68,-37.121,127.274
0827-BK2-01-83,Salto B,19.466,7.432,165.446,-5.283,7.538,165.742,-5.296
0609-4-01-4,Salto C,13.12,3.163,182.862,-2.452,2.967,181.493,-2.35
20191008-1207-FRANKFURT_2-01-159,Salto C,15.959,22.68,204.477,-24.705,22.382,203.162,-23.146
0115-CHARI-05-51,Fliffis- Rudi B,32.001,122.227,-163.188,264.383,121.77,-162.815,264.418
0609-1-01-742,Von Bauch in Stand,13.059,1.761,19.624,1.897,1.868,19.833,2.493
0115-MORITZ-03-129,Fliffis aus B,29.077,37.845,-118.372,-86.671,37.823,-117.746,-86.654
0827-BK2-02-107,Strecksprung,10.699,-4.979,-6.133,-15.441,-4.897,-5.942,-15.338
0609-1-01-643,Doppelsalto C,31.916,1.314,413.884,-13.988,1.298,413.39,-13.928
0609-4-01-510,Salto C,14.262,8.724,219.537,10.725,8.697,218.458,10.763
20190930-1153-FRANKFURT_1-01-162,Cody C,19.845,28.855,210.547,11.389,28.874,211.373,11.187
0827-BK1-01-4,Salto C,16.225,3.313,178.355,4.652,3.16,178.186,4.298
20191007-1524-FRANKFURT_1-01-109,Fliffis- Rudi B,34.171,101.63,-221.421,347.686,101.476,-222.378,348.76
20191007-1159-FRANKFURT_1-01-264,Salto A,15.019,-10.442,200.736,-17.038,-10.295,199.874,-16.862
0115-JANEIKE-01-20,Salto B,17.718,10.967,182.733,-17.63,11.143,183.174,-16.867
20191007-1150-FRANKFURT_2-01-213,Salto B,18.598,21.214,210.334,-8.488,21.072,209.986,-8.002
20190930-1153-FRANKFURT_1-01-220,Schraubensalto,15.338,24.753,41.075,198.702,24.712,40.568,198.793
20191008-1157-FRANKFURT_1-01-56,Salto B,14.914,-7.76,193.325,-19.413,-8.1,192.502,-19.081
20191008-1157-FRANKFURT_1-01-335,Rudi,19.204,106.098,35.29,325.618,106.207,34.919,325.752
20191007-1150-FRANKFURT_2-01-85,Schraubensalto A,16.282,72.998,128.546,208.344,72.771,128.638,208.295
0827-BK1-01-123,Salto A,14.208,4.382,181.921,-0.984,4.154,181.616,-0.791
0609-1-01-481,Salto C,16.559,14.899,192.0,-10.495,14.756,192.159,-10.583
0609-4-01-231,Schraubensalto C,14.042,43.183,96.49,216.916,42.903,95.578,216.688
20191001-1148-FRANKFURT_1-01-137,Strecksprung,10.725,1.474,-3.181,-0.66,1.524,-3.023,-0.631
0827-BK1-01-94,Salto B,17.038,-4.203,178.718,1.553,-4.176,178.491,1.604
0609-4-01-97,Schraubensalto C,14.387,22.77,81.148,211.26,22.581,80.177,211.055
0115-MORITZ-03-39,1/2 ein 1/2 aus C,27.507,-92.743,-13.204,-115.609,-92.521,-14.187,-115.062
0609-4-01-15,Salto C,13.584,-2.217,180.57,0.978,-2.39,179.263,1.217
0115-CHARI-05-4,Strecksprung,10.014,-3.384,-9.059,-15.254,-3.39,-9.09,-15.205
20191007-1150-FRANKFURT_2-01-117,Barani A,18.121,-66.401,36.595,109.792,-66.234,36.664,109.925
0609-1-01-212,Bauchsprung,11.973,-2.097,-17.479,-3.503,-2.025,-17.697,-3.609
0609-1-01-343,Strecksprung,10.94,-2.269,5.398,-3.559,-2.18,5.285,-3.494
0827-BK2-01-85,Salto B,17.237,0.37,170.327,-11.552,0.427,170.022,-11.493
20190930-1616-FRANKFURT_1-01-137,Strecksprung,11.576,45.858,-0.725,100.768,45.516,-0.652,100.135
20191007-1159-FRANKFURT_1-01-429,Strecksprung,10.779,-2.699,-1.67,5.586,-2.694,-1.273,5.691
0609-4-01-282,Fliffis C,31.523,-47.914,-134.173,130.013,-47.62,-134.064,129.658
0609-1-01-173,Bauchsprung,11.221,0.216,-20.182,-6.188,0.419,-20.587,-6.198
0110-JANEIKE-01-128,Strecksprung,10.841,-1.302,-12.454,-10.589,-1.393,-11.836,-10.809
0609-4-01-70,Fliffis B,28.24,-49.569,-45.277,122.194,-49.648,-45.394,122.25
0609-1-01-580,Salto C,17.267,11.897,190.226,-8.619,11.842,190.492,-8.576
20191008-1207-FRANKFURT_2-01-301,Strecksprung,10.702,-2.546,-1.322,1.855,-2.356,-1.285,1.964
0609-1-01-139,Von Bauch in Stand,11.811,3.783,22.934,5.149,3.596,23.312,4.868
0115-JANEIKE-01-13,Triffis B,44.041,-81.267,-359.708,-94.86,-81.436,-359.063,-95.038
0609-4-01-146,Schraubensalto C,17.317,40.648,97.431,211.985,40.404,97.097,211.779
20191008-1157-FRANKFURT_1-01-138,Salto A,15.348,-3.96,208.928,-1.042,-4.013,208.707,-1.005
20191007-1159-FRANKFURT_1-01-299,Strecksprung,11.131,2.586,2.555,6.664,2.46,2.588,6.623
0609-4-01-278,Fliffis C,31.086,-54.283,-131.363,124.224,-54.215,-130.739,124.205
20190930-1153-FRANKFURT_1-01-183,Schraubensalto,15.808,26.54,48.718,206.405,26.616,48.209,206.511
20190930-1153-FRANKFURT_1-01-138,Strecksprung,10.745,-1.201,12.282,6.1,-1.203,12.442,5.989
20191007-1524-FRANKFURT_1-01-6,Strecksprung,12.815,1.518,-16.437,-2.718,1.528,-16.334,-2.576
0609-1-01-234,Von Bauch in Stand,11.976,2.279,24.447,2.984,2.221,24.953,2.789
20191007-1159-FRANKFURT_1-01-195,Strecksprung,9.796,-1.89,-3.431,1.889,-1.842,-3.351,2.017
20191007-1150-FRANKFURT_2-01-47,Strecksprung,10.577,-1.418,-8.647,-0.089,-1.002,-7.856,-0.013
0827-BK1-01-19,Salto C,15.98,7.912,175.397,7.552,7.864,175.174,7.445
0609-1-01-708,Strecksprung,10.614,-1.129,10.887,2.517,-1.297,11.056,2.816
0609-1-01-65,Salto C,16.732,12.782,184.255,-10.722,12.61,183.745,-10.864
20190930-1616-FRANKFURT_1-01-180,Salto C,16.016,-5.254,181.629,2.036,-5.544,181.114,2.22
20191008-1157-FRANKFURT_1-01-354,Salto B,18.793,7.071,193.283,-3.548,7.365,194.15,-3.537
0609-4-01-524,Barani C,18.264,-6.786,-38.569,121.804,-6.972,-38.519,121.755
20191007-1150-FRANKFURT_2-01-186,Strecksprung,10.583,3.796,2.9,3.381,3.673,2.772,3.299
0115-MORITZ-03-143,Salto C,15.589,4.657,165.234,10.964,4.573,164.687,10.925
20191008-1207-FRANKFURT_2-01-340,Fliffis C,35.822,-67.887,-208.087,175.775,-67.423,-207.33,175.144
0609-1-01-760,Strecksprung,12.219,-3.66,1.593,-0.738,-3.551,2.143,-0.716
20191008-1157-FRANKFURT_1-01-180,Salto A,16.655,7.997,202.008,-7.203,8.092,201.442,-7.361
0115-JANEIKE-01-116,Salto B,17.576,22.286,186.619,-20.811,22.352,185.868,-20.608
20191008-1157-FRANKFURT_1-01-368,Barani A,16.81,-48.331,39.481,101.942,-48.328,40.315,102.156
20190930-1153-FRANKFURT_1-01-134,Strecksprung,10.734,-4.269,1.611,1.786,-4.193,1.579,1.757
0609-1-01-641,Bauchsprung,13.104,-1.22,-17.09,-4.593,-1.201,-17.197,-4.497
0110-MORITZ-01-143,Voll- ein- voll- aus C,32.555,-198.651,75.779,-329.481,-198.632,75.939,-329.104
20191007-1159-FRANKFURT_1-01-163,Strecksprung,11.484,-2.122,7.64,4.846,-2.014,7.331,4.617
0609-4-01-393,Fliffis B,26.011,-49.252,-114.738,129.963,-49.501,-115.39,129.982
0110-MORITZ-01-156,Salto C,15.366,-0.75,162.873,9.62,-0.832,162.312,9.46
20191008-1207-FRANKFURT_2-01-145,Salto C,16.483,12.411,209.03,-22.754,12.659,206.991,-21.464
20191007-1159-FRANKFURT_1-01-126,Barani B,19.147,17.882,-17.775,116.02,17.985,-17.587,116.215
0609-4-01-526,Barani C,17.468,-18.329,-42.464,120.542,-18.402,-42.41,120.534
20191007-1150-FRANKFURT_2-01-170,Salto A,16.11,10.86,207.176,-2.649,10.849,207.055,-2.172
20191008-1157-FRANKFURT_1-01-177,Fliffis C,37.287,4.529,-217.078,104.405,4.516,-215.758,104.659
0609-1-01-794,Von Bauch in Stand,14.037,-0.572,23.354,3.208,-0.714,23.246,3.423
0115-JANEIKE-01-138,Voll- ein- voll- aus C,40.418,-239.655,-27.785,-389.46,-239.486,-28.547,-388.527
0115-MORITZ-03-26,Salto C,13.235,9.179,206.733,-7.617,8.776,206.226,-7.197
0609-1-01-859,Bauchsprung,11.669,0.85,-17.469,-2.51,0.817,-18.003,-2.561
0609-4-01-462,Salto C,15.399,6.664,195.451,5.029,6.588,195.033,4.969
20190930-1616-FRANKFURT_1-01-148,Fliffis C,31.432,-13.411,-205.185,95.429,-13.672,-203.782,96.646
0609-1-01-750,Strecksprung,10.49,-0.089,12.286,4.308,-0.386,12.043,4.376
0827-BK2-01-75,Salto B,17.421,-6.652,167.705,-12.125,-6.48,167.537,-11.979
20191007-1524-FRANKFURT_1-01-267,Salto B,19.72,20.308,221.835,-12.944,20.576,223.484,-14.245
0609-4-01-114,Schraubensalto C,13.922,26.679,74.985,216.102,26.53,74.029,215.914
0827-BK1-01-82,Strecksprung,9.926,-0.832,1.057,-3.89,-0.761,1.162,-3.656
20190930-1247-FRANKFURT_2-01-293,Barani C,18.777,-49.347,-58.911,111.908,-48.899,-58.388,111.044
20191007-1534-FRANKFURT_2-01-32,Barani A,17.257,-65.198,41.964,115.563,-65.049,41.208,115.178
20190930-1616-FRANKFURT_1-01-115,Fliffis C,34.403,-55.28,-216.41,91.536,-55.109,-216.68,91.42
0115-MORITZ-03-164,Voll- ein- voll- aus B,33.53,-137.58,70.039,-349.977,-137.672,69.128,-349.945
20191008-1207-FRANKFURT_2-01-364,Salto A,16.535,30.415,212.655,-56.415,30.262,213.684,-54.275
0609-4-01-376,Salto C,13.856,-2.992,183.738,1.661,-3.009,182.529,1.777
0609-4-01-186,Schraubensalto C,17.803,39.956,109.922,212.181,39.833,109.336,211.941
20191007-1159-FRANKFURT_1-01-448,Fliffis C,34.261,-7.349,-236.515,124.899,-7.487,-235.847,124.606
0110-MORITZ-01-113,Voll- ein- halb- aus B,31.961,-220.244,-144.215,-255.713,-220.118,-143.811,-255.931
0110-MORITZ-01-142,Voll- ein- halb- aus B,33.853,-165.608,-103.246,-246.967,-165.319,-102.641,-247.14
20191008-1207-FRANKFURT_2-01-215,Barani A,16.605,-79.695,15.669,108.024,-79.773,16.716,107.522
20191007-1524-FRANKFURT_1-01-237,Strecksprung,12.2,-7.804,-2.097,0.438,-7.637,-2.028,0.647
20191008-1157-FRANKFURT_1-01-388,Salto A,15.607,-10.164,192.19,-13.49,-9.862,192.065,-13.5
20191001-1202-FRANKFURT_2-01-29,Salto A,16.148,-29.932,-213.206,-5.958,-29.701,-211.605,-5.809
20191001-1202-FRANKFURT_2-01-154,Salto A,16.449,-18.145,-217.494,-11.431,-18.038,-215.737,-9.462
0110-MORITZ-01-96,Doppelsalto B,27.473,-32.565,368.212,16.149,-32.913,367.264,16.168
0609-1-01-323,Salto C,17.414,10.571,196.963,-7.42,10.632,197.278,-7.567
0609-1-01-732,Doppelsalto C,31.531,20.103,404.742,-24.611,20.079,404.084,-24.586
0115-CHARI-05-100,Salto B,18.75,-5.778,172.669,-10.864,-5.513,171.915,-10.756
20190930-1247-FRANKFURT_2-01-59,Strecksprung,10.688,-2.95,2.472,2.323,-2.85,2.382,2.4
20191007-1534-FRANKFURT_2-01-106,Salto C,18.046,10.736,213.736,-12.792,10.588,213.319,-12.605
20191001-1202-FRANKFURT_2-01-108,Barani A,18.355,53.366,-28.458,120.734,53.026,-28.883,121.456
20190930-1616-FRANKFURT_1-01-257,Doppelsalto B,32.023,0.746,384.595,-12.635,0.658,384.178,-12.597
0827-BK1-01-62,Salto B,16.844,-1.338,179.863,5.726,-1.495,179.592,5.698
0609-1-01-864,Bauchsprung,12.065,-1.935,-18.149,-5.714,-1.632,-18.65,-5.547
20191003-1152-FRANKFURT_1-01-138,Strecksprung,10.526,-2.314,1.247,4.06,-2.208,1.303,4.131
20191007-1159-FRANKFURT_1-01-449,Salto B,19.225,1.497,202.787,-18.95,1.575,202.158,-19.137
0827-BK2-01-13,Salto C,15.67,-1.893,164.96,-4.416,-1.786,164.599,-4.526
20191007-1159-FRANKFURT_1-01-9,Salto C,13.793,-5.295,210.22,-3.884,-5.254,210.286,-3.895
0609-4-01-171,Schraubensalto C,16.327,53.81,99.471,209.801,53.631,99.026,209.672
20191007-1534-FRANKFURT_2-01-94,Barani A,15.828,-60.2,32.393,117.306,-60.109,32.406,117.215
0609-4-01-207,Schraubensalto C,14.949,34.914,89.418,212.257,34.708,89.172,212.199
20190930-1616-FRANKFURT_1-01-225,Doppelsalto B,30.091,14.139,383.193,-10.24,14.062,382.489,-10.389
20190930-1247-FRANKFURT_2-01-85,Salto C,18.593,0.009,194.784,5.564,-0.042,194.2,5.222
0115-MORITZ-03-131,Fliffis- Rudi B,36.562,-186.172,-143.266,-220.0,-185.896,-142.353,-219.944
0827-BK2-01-46,Salto C,16.988,-5.807,168.603,-12.256,-5.731,168.352,-12.184
0827-BK2-01-116,Salto A,14.678,6.215,173.453,-9.55,6.349,173.458,-9.366
20191003-1152-FRANKFURT_1-01-105,Barani C,16.935,69.085,-24.2,-110.086,69.003,-23.822,-110.581
20191007-1159-FRANKFURT_1-01-74,Barani B,17.052,36.765,-27.264,127.237,35.921,-27.568,127.492
0609-4-01-486,Salto C,14.692,-6.556,205.782,8.559,-6.263,205.299,8.44
0609-1-01-726,Doppelsalto C,29.739,-29.866,420.305,-8.318,-29.783,419.218,-8.396
0609-4-01-558,Barani C,16.553,-18.995,-15.775,122.498,-19.028,-16.067,122.823
20191001-1148-FRANKFURT_1-01-76,Rudi,21.033,90.797,20.065,327.134,91.363,21.979,327.203
20191001-1202-FRANKFURT_2-01-172,Salto A,16.467,-18.736,-221.27,-6.756,-18.799,-220.679,-6.045
0609-1-01-331,Salto C,15.131,13.571,195.523,-8.208,13.682,195.619,-8.234
20190930-1247-FRANKFURT_2-01-89,Salto A,13.896,6.612,198.515,-6.175,6.863,197.616,-5.94
20191008-1157-FRANKFURT_1-01-242,Barani C,18.693,-29.224,-13.604,110.201,-28.565,-13.634,111.308
0827-BK1-01-107,Salto A,14.948,-2.032,177.924,-4.433,-2.076,177.625,-4.54
20191001-1148-FRANKFURT_1-01-157,Strecksprung,10.702,1.299,1.662,0.826,1.218,1.328,0.64
0609-1-01-204,Bauchsprung,13.271,-3.353,-17.116,-3.289,-3.06,-17.088,-3.571
0115-CHARI-05-117,Voll- ein 1 3/4 Salto vw C,27.132,97.167,-217.305,138.077,97.005,-216.92,137.902
0115-MORITZ-03-179,1/2 ein 1/2 aus C,30.169,-159.537,-39.129,-168.642,-159.458,-39.84,-168.269
20191008-1207-FRANKFURT_2-01-11,Salto A,14.515,5.32,198.451,-32.451,4.932,199.598,-29.094
0609-4-01-445,Salto C,13.432,-3.329,181.342,7.198,-3.46,180.334,7.417
0115-CHARI-05-30,Salto B,18.344,-14.615,178.576,-16.377,-14.425,178.77,-16.361
20191007-1159-FRANKFURT_1-01-386,Salto C,18.847,-11.246,198.44,-2.538,-11.625,198.374,-2.418
20190930-1247-FRANKFURT_2-01-272,Fliffis C,35.654,-50.045,-244.485,93.542,-49.599,-243.884,94.044
0609-4-01-328,Strecksprung,11.609,-0.492,3.98,3.157,-0.426,4.293,3.189
20191007-1150-FRANKFURT_2-01-233,Fliffis B,35.54,-32.557,-213.555,121.874,-32.378,-213.137,122.301
0609-1-01-101,Strecksprung,11.471,-1.873,12.55,3.562,-1.843,12.551,3.739
20191008-1157-FRANKFURT_1-01-299,3/4 Salto vw A,12.117,12.448,-159.523,12.868,12.293,-159.088,12.823
0609-1-01-869,Bauchsprung,12.578,1.484,-14.606,-7.462,1.76,-15.002,-7.208
20191007-1524-FRANKFURT_1-01-147,Salto A,14.58,15.238,209.918,-32.369,15.799,208.456,-28.399
0110-JANEIKE-01-22,Strecksprung,15.007,15.641,167.094,-30.946,15.412,167.416,-31.074
0609-1-01-630,Doppelsalto C,29.699,12.391,412.113,-16.727,12.76,411.342,-16.636
0827-BK2-01-102,Salto A,13.884,0.443,169.09,-14.464,0.623,168.425,-14.676
0827-BK2-02-135,Salto A,14.674,7.032,181.385,-29.726,7.116,181.173,-29.61
0609-1-01-637,Doppelsalto C,30.489,18.781,408.62,-17.296,18.614,408.095,-16.817
20191001-1202-FRANKFURT_2-01-111,Salto C,17.529,-17.799,-206.5,-9.309,-17.84,-206.09,-9.366
20191008-1207-FRANKFURT_2-01-362,Doppelsalto C,32.009,83.145,422.147,-67.243,83.016,421.059,-65.835
0609-4-01-392,Salto C,16.67,-1.554,181.502,2.584,-1.516,180.758,2.7
0827-BK2-01-77,Salto B,16.84,2.402,169.877,-9.267,2.41,169.478,-9.09
0609-1-01-853,Strecksprung,10.225,1.312,9.333,4.378,1.198,9.337,4.434
0609-1-01-75,Fliffis C,32.07,29.095,-195.925,-110.085,29.488,-196.424,-109.659
0609-4-01-593,Strecksprung,11.232,-1.114,0.395,0.801,-1.108,0.457,1.183
0827-BK1-01-102,Strecksprung,9.507,0.617,5.355,1.147,0.605,5.328,1.377
20191007-1150-FRANKFURT_2-01-109,Schraubensalto A,15.687,60.399,120.613,224.149,60.369,120.744,223.797
0609-4-01-570,Barani C,17.422,-1.996,-44.357,126.948,-2.156,-44.385,127.006
0110-JANEIKE-01-68,Halb ein Triffis C,45.384,-182.49,-260.475,-142.195,-182.476,-261.584,-141.826
0110-JANEIKE-01-117,Schraubensalto,16.562,-16.936,58.094,-248.575,-16.868,57.575,-248.571
0609-1-01-328,Strecksprung,10.09,-2.557,0.111,2.821,-2.525,0.23,2.702
0609-4-01-562,Barani C,17.713,-8.086,-28.184,124.068,-8.162,-28.059,124.029
20191007-1150-FRANKFURT_2-01-60,Barani A,17.267,-70.343,28.075,106.807,-70.331,27.521,106.756
20191008-1207-FRANKFURT_2-01-309,Fliffis C,36.6,-57.299,-193.514,164.69,-57.666,-192.507,165.443
20191007-1524-FRANKFURT_1-01-92,Doppelsalto C,32.716,35.918,408.913,-49.045,36.874,409.955,-45.043
0110-MORITZ-01-94,Salto C,16.384,-7.49,165.628,8.729,-7.466,165.128,8.64
0827-BK1-01-103,Salto A,15.164,3.216,175.202,-5.008,3.128,174.958,-5.244
0609-1-01-561,Salto C,15.999,6.09,188.296,-9.437,6.245,188.196,-9.629
20191007-1534-FRANKFURT_2-01-15,Strecksprung,11.32,-4.074,-16.208,-1.114,-3.935,-16.074,-1.084
0827-BK1-01-131,Salto A,15.738,1.758,181.619,-4.031,1.902,181.407,-4.096
20190930-1153-FRANKFURT_1-01-195,Strecksprung,10.966,-2.191,1.219,4.999,-2.186,1.258,5.021
0609-1-01-785,Doppelsalto C,31.648,5.981,416.889,-10.567,5.914,416.142,-10.586
20190930-1616-FRANKFURT_1-01-340,Strecksprung,10.744,0.261,-0.168,1.924,0.232,-0.087,1.773
0609-1-01-243,Doppelsalto B,26.573,16.975,397.158,-11.923,17.162,395.951,-11.885
20191008-1207-FRANKFURT_2-01-320,Strecksprung,10.747,2.871,2.769,2.082,2.846,2.485,2.048
0115-MORITZ-03-99,Fliffis- Rudi B,34.802,-107.093,-138.194,-238.808,-107.154,-137.67,-238.828
0609-1-01-539,Doppelsalto B,26.644,2.55,378.319,-21.505,2.636,378.184,-21.445
0609-1-01-543,Doppelsalto B,25.559,-21.4,370.045,-4.536,-21.132,369.61,-4.227
20191007-1159-FRANKFURT_1-01-381,Strecksprung,10.839,-2.55,0.106,7.792,-2.788,0.037,7.669
20191007-1159-FRANKFURT_1-01-307,Schraubensalto A,21.237,158.323,25.895,319.954,157.786,26.594,320.414
20191007-1150-FRANKFURT_2-01-151,Salto A,14.913,8.447,203.647,0.463,8.538,202.63,0.434
0609-1-01-684,Doppelsalto C,33.319,16.071,419.488,-11.895,16.016,419.447,-12.211
0115-MORITZ-03-113,Salto C,14.917,12.355,164.914,4.558,12.326,164.292,4.855
20191008-1157-FRANKFURT_1-01-321,Salto A,14.261,-10.531,203.445,-4.303,-10.565,203.113,-4.224
20191007-1524-FRANKFURT_1-01-198,Fliffis B,34.193,-34.859,-210.69,150.267,-35.841,-210.144,151.676
0609-1-01-798,Bauchsprung,11.889,-3.707,-19.652,-7.912,-3.403,-19.845,-7.823
0609-1-01-111,Bauchsprung,12.73,-2.196,-19.371,-2.337,-2.132,-19.756,-2.207
20191008-1207-FRANKFURT_2-01-337,Salto B,20.045,20.588,205.536,-33.232,20.703,205.511,-33.914
0110-MORITZ-01-20,Voll- ein- Rudi- aus B,35.739,-210.693,-91.872,-273.3,-210.734,-90.922,-273.001
20191007-1159-FRANKFURT_1-01-365,Salto B,19.698,-0.088,198.706,-15.886,0.466,199.313,-15.804
20191008-1157-FRANKFURT_1-01-259,Grätschwinkel,13.874,-0.064,-6.951,-0.646,0.327,-7.102,0.043
20191008-1207-FRANKFURT_2-01-138,3/4 Salto rw A,12.572,10.358,159.725,-32.276,10.476,158.44,-30.735
0609-1-01-156,Bauchsprung,10.538,-3.704,-19.879,-5.139,-3.611,-20.275,-4.672
0115-CHARI-05-39,Salto B,19.543,-6.487,182.386,-15.324,-6.299,182.629,-15.184
20190930-1247-FRANKFURT_2-01-344,Fliffis C,36.131,-51.675,-241.518,93.056,-50.9,-241.911,93.194
0110-MORITZ-01-98,Voll- ein- voll- aus B,34.434,-240.439,27.768,-360.77,-240.652,27.095,-360.147
20191008-1207-FRANKFURT_2-01-216,Salto A,15.312,18.232,213.102,-14.722,18.607,212.8,-14.104
20191007-1150-FRANKFURT_2-01-172,Salto C,17.722,2.529,209.152,-18.225,2.287,207.814,-17.472
0609-4-01-155,Schraubensalto C,17.195,50.731,88.873,212.155,50.69,88.813,212.186
0609-4-01-313,Salto C,13.197,6.323,179.565,9.764,6.151,178.353,9.901
0609-4-01-422,Salto C,13.163,-2.473,176.728,6.088,-2.383,175.871,6.199
20191007-1524-FRANKFURT_1-01-277,Doppelsalto B,32.157,58.76,401.651,-23.457,59.513,399.996,-22.046
20190930-1247-FRANKFURT_2-01-30,Salto A,13.03,15.658,203.508,1.078,15.489,202.887,0.975
0609-4-01-572,Barani C,17.714,-16.241,-28.385,124.057,-16.318,-28.159,123.895
0609-4-01-412,Salto C,12.777,-1.396,181.934,4.18,-1.503,180.795,4.301
20191008-1207-FRANKFURT_2-01-89,Salto A,14.713,22.415,201.953,-22.577,22.685,201.013,-22.532
0609-1-01-140,Doppelsalto C,30.465,21.732,402.77,-8.951,21.691,402.066,-8.863
0609-1-01-529,Salto C,15.808,10.423,190.817,-11.792,10.227,190.879,-11.652
0609-1-01-391,Salto C,17.041,12.265,192.366,-11.193,12.061,192.255,-11.29
0609-1-01-602,Salto C,16.233,13.202,189.603,-9.812,12.998,189.898,-9.736
0609-1-01-842,Von Bauch in Stand,12.248,6.583,23.824,6.675,6.509,24.507,6.404
20190930-1616-FRANKFURT_1-01-30,Salto A,14.845,2.767,201.764,-2.661,2.428,201.725,-2.41
0609-4-01-314,Fliffis C,30.702,-70.741,-105.519,122.676,-70.817,-105.777,122.594
20191007-1159-FRANKFURT_1-01-117,Barani B,20.315,26.466,-19.607,95.089,26.53,-19.635,94.986
0609-4-01-476,Salto C,13.242,6.105,189.701,3.134,5.981,188.461,3.117
20191001-1148-FRANKFURT_1-01-142,Barani C,19.046,-4.76,-5.03,102.805,-4.734,-3.175,103.887
20190930-1616-FRANKFURT_1-01-328,Salto C,18.557,-16.059,194.695,-2.551,-15.895,194.451,-2.641
0115-JANEIKE-01-22,Salto B,17.01,21.513,192.279,0.694,21.704,192.121,0.436
20191007-1159-FRANKFURT_1-01-368,Schraubensalto A,22.281,150.219,10.988,321.195,150.102,11.83,321.25
0110-MORITZ-01-83,Strecksprung,12.129,-0.517,0.994,3.651,-0.436,0.94,3.764
0609-1-01-281,Strecksprung,11.146,-3.58,4.066,0.125,-3.398,4.932,0.097
0609-1-01-270,Doppelsalto B,28.68,13.009,401.138,-14.5,13.248,400.288,-14.494
20190930-1616-FRANKFURT_1-01-27,Salto C,16.645,2.437,202.567,12.721,2.323,202.798,12.64
20190930-1153-FRANKFURT_1-01-205,Doppelsalto C,31.992,30.848,384.229,-3.965,31.249,383.862,-3.804
0609-1-01-622,Von Bauch in Stand,11.885,3.354,24.689,4.41,3.402,25.028,3.776
20191003-1152-FRANKFURT_1-01-30,Salto B,18.449,-24.187,196.1,9.268,-24.225,195.434,9.327
0609-4-01-109,Strecksprung,8.966,1.107,8.728,3.568,1.262,8.653,3.209
0609-4-01-350,Salto C,16.227,-1.943,177.418,-2.168,-1.974,176.736,-2.089
20191007-1534-FRANKFURT_2-01-77,Fliffis C,38.916,-32.53,-227.561,144.398,-32.812,-226.017,143.753
0609-1-01-471,Doppelsalto B,25.553,-3.743,374.295,-20.981,-3.559,373.514,-20.789
0827-BK2-02-67,Salto B,16.364,20.496,182.638,-34.558,20.449,182.23,-34.334
20190930-1247-FRANKFURT_2-01-290,Cody C,21.094,-17.872,205.014,-5.826,-18.219,206.372,-5.639
20191008-1157-FRANKFURT_1-01-200,Barani A,16.019,-53.329,42.521,96.31,-53.453,42.867,96.93
20190930-1616-FRANKFURT_1-01-242,Barani A,15.641,-66.942,11.273,88.621,-66.718,11.759,88.832
20190930-1153-FRANKFURT_1-01-125,Salto A,19.759,24.739,180.831,-5.038,24.833,181.054,-5.094
0609-4-01-78,Salto C,13.859,-0.81,209.275,3.675,-0.829,208.608,3.627
20191007-1159-FRANKFURT_1-01-60,Salto C,18.466,-6.106,199.976,-0.291,-5.989,200.611,-0.489
20190930-1616-FRANKFURT_1-01-216,Salto C,16.634,-6.708,179.12,-1.342,-7.126,179.425,-1.255
20191008-1207-FRANKFURT_2-01-123,Baby- Fliffis C,23.042,-42.563,-73.779,139.37,-43.009,-73.118,139.233
20191008-1157-FRANKFURT_1-01-137,Barani A,17.375,-53.141,30.729,101.482,-53.12,31.469,101.566
0609-1-01-655,Bauchsprung,10.547,-3.822,-26.432,-2.806,-3.559,-26.483,-2.75
0609-1-01-117,Strecksprung,8.433,-0.842,-2.499,-2.1,-0.767,-2.425,-2.151
0115-CHARI-05-121,Strecksprung,10.506,-3.636,-5.388,-15.932,-3.692,-5.329,-16.002
0827-BK1-01-10,Salto C,15.782,-3.112,175.786,1.832,-3.031,175.723,1.561
20191007-1524-FRANKFURT_1-01-181,Fliffis B,30.796,-71.32,-257.376,151.622,-71.748,-258.936,154.338
0110-MORITZ-01-12,Triffis C,44.679,-18.518,-393.791,-82.082,-18.644,-393.511,-82.118
20191007-1150-FRANKFURT_2-01-98,Salto A,14.709,-5.391,198.521,-11.433,-5.212,198.307,-11.616
20191008-1157-FRANKFURT_1-01-220,Grätschwinkel,13.509,-3.438,0.471,-1.999,-3.219,0.488,-2.077
0609-1-01-222,Bauchsprung,12.37,-1.924,-19.23,-2.178,-1.797,-19.432,-2.333
0609-1-01-180,Bauchsprung,13.508,-4.147,-19.76,-5.651,-3.83,-19.869,-5.243
