SprungID,Sprungtyp,DJump_SIG_I_x LapEnd,DJump_SIG_I_y LapEnd,DJump_SIG_I_z LapEnd,DJump_Abs_I_x LapEnd,DJump_Abs_I_y LapEnd,DJump_Abs_I_z LapEnd,0-ACC_N,0-ACC_N_ROT_filtered,0-Acc_x_Fil,0-Acc_y_Fil,0-Acc_z_Fil,0-Gyro_x_Fil,0-Gyro_y_Fil,0-Gyro_z_Fil,10-ACC_N,10-ACC_N_ROT_filtered,10-Acc_x_Fil,10-Acc_y_Fil,10-Acc_z_Fil,10-Gyro_x_Fil,10-Gyro_y_Fil,10-Gyro_z_Fil,20-ACC_N,20-ACC_N_ROT_filtered,20-Acc_x_Fil,20-Acc_y_Fil,20-Acc_z_Fil,20-Gyro_x_Fil,20-Gyro_y_Fil,20-Gyro_z_Fil,30-ACC_N,30-ACC_N_ROT_filtered,30-Acc_x_Fil,30-Acc_y_Fil,30-Acc_z_Fil,30-Gyro_x_Fil,30-Gyro_y_Fil,30-Gyro_z_Fil,40-ACC_N,40-ACC_N_ROT_filtered,40-Acc_x_Fil,40-Acc_y_Fil,40-Acc_z_Fil,40-Gyro_x_Fil,40-Gyro_y_Fil,40-Gyro_z_Fil,50-ACC_N,50-ACC_N_ROT_filtered,50-Acc_x_Fil,50-Acc_y_Fil,50-Acc_z_Fil,50-Gyro_x_Fil,50-Gyro_y_Fil,50-Gyro_z_Fil,60-ACC_N,60-ACC_N_ROT_filtered,60-Acc_x_Fil,60-Acc_y_Fil,60-Acc_z_Fil,60-Gyro_x_Fil,60-Gyro_y_Fil,60-Gyro_z_Fil,70-ACC_N,70-ACC_N_ROT_filtered,70-Acc_x_Fil,70-Acc_y_Fil,70-Acc_z_Fil,70-Gyro_x_Fil,70-Gyro_y_Fil,70-Gyro_z_Fil,80-ACC_N,80-ACC_N_ROT_filtered,80-Acc_x_Fil,80-Acc_y_Fil,80-Acc_z_Fil,80-Gyro_x_Fil,80-Gyro_y_Fil,80-Gyro_z_Fil,90-ACC_N,90-ACC_N_ROT_filtered,90-Acc_x_Fil,90-Acc_y_Fil,90-Acc_z_Fil,90-Gyro_x_Fil,90-Gyro_y_Fil,90-Gyro_z_Fil
0609-1-01-456,Doppelsalto B,3.213,697.227,-26.103,59.36,725.996,65.054,50.39,72.18,5.011,1.424,46.404,26.367,272.86,-13.862,50.39,72.18,5.011,1.424,46.404,26.367,272.86,-13.862,50.39,72.18,5.011,1.424,46.404,26.367,272.86,-13.862,50.39,72.18,5.011,1.424,46.404,26.367,272.86,-13.862,50.39,72.18,5.011,1.424,46.404,26.367,272.86,-13.862,50.39,72.18,5.011,1.424,46.404,26.367,272.86,-13.862,50.39,72.18,5.011,1.424,46.404,26.367,272.86,-13.862,50.39,72.18,5.011,1.424,46.404,26.367,272.86,-13.862,50.39,72.18,5.011,1.424,46.404,26.367,272.86,-13.862,50.39,72.18,5.011,1.424,46.404,26.367,272.86,-13.862
0609-1-01-463,Salto C,21.911,359.941,-22.101,34.251,389.402,36.459,52.317,74.771,9.524,-0.904,49.075,9.664,133.529,-9.068,52.317,74.771,9.524,-0.904,49.075,9.664,133.529,-9.068,52.317,74.771,9.524,-0.904,49.075,9.664,133.529,-9.068,52.317,74.771,9.524,-0.904,49.075,9.664,133.529,-9.068,52.317,74.771,9.524,-0.904,49.075,9.664,133.529,-9.068,52.317,74.771,9.524,-0.904,49.075,9.664,133.529,-9.068,52.317,74.771,9.524,-0.904,49.075,9.664,133.529,-9.068,52.317,74.771,9.524,-0.904,49.075,9.664,133.529,-9.068,52.317,74.771,9.524,-0.904,49.075,9.664,133.529,-9.068,52.317,74.771,9.524,-0.904,49.075,9.664,133.529,-9.068
0609-1-01-464,Doppelsalto B,5.158,702.831,-28.053,66.956,726.82,62.222,51.939,73.52,8.29,1.472,47.294,8.097,261.528,-17.162,51.939,73.52,8.29,1.472,47.294,8.097,261.528,-17.162,51.939,73.52,8.29,1.472,47.294,8.097,261.528,-17.162,51.939,73.52,8.29,1.472,47.294,8.097,261.528,-17.162,51.939,73.52,8.29,1.472,47.294,8.097,261.528,-17.162,51.939,73.52,8.29,1.472,47.294,8.097,261.528,-17.162,51.939,73.52,8.29,1.472,47.294,8.097,261.528,-17.162,51.939,73.52,8.29,1.472,47.294,8.097,261.528,-17.162,51.939,73.52,8.29,1.472,47.294,8.097,261.528,-17.162,51.939,73.52,8.29,1.472,47.294,8.097,261.528,-17.162
0609-1-01-468,Salto C,12.198,365.083,-26.785,52.823,387.12,43.437,52.988,73.907,12.161,-1.306,49.657,18.559,146.995,-15.172,52.988,73.907,12.161,-1.306,49.657,18.559,146.995,-15.172,52.988,73.907,12.161,-1.306,49.657,18.559,146.995,-15.172,52.988,73.907,12.161,-1.306,49.657,18.559,146.995,-15.172,52.988,73.907,12.161,-1.306,49.657,18.559,146.995,-15.172,52.988,73.907,12.161,-1.306,49.657,18.559,146.995,-15.172,52.988,73.907,12.161,-1.306,49.657,18.559,146.995,-15.172,52.988,73.907,12.161,-1.306,49.657,18.559,146.995,-15.172,52.988,73.907,12.161,-1.306,49.657,18.559,146.995,-15.172,52.988,73.907,12.161,-1.306,49.657,18.559,146.995,-15.172
0609-1-01-469,Doppelsalto B,34.27,704.723,-20.913,65.4,735.351,75.931,49.889,72.408,4.297,2.37,44.457,23.23,299.983,-26.324,49.889,72.408,4.297,2.37,44.457,23.23,299.983,-26.324,49.889,72.408,4.297,2.37,44.457,23.23,299.983,-26.324,49.889,72.408,4.297,2.37,44.457,23.23,299.983,-26.324,49.889,72.408,4.297,2.37,44.457,23.23,299.983,-26.324,49.889,72.408,4.297,2.37,44.457,23.23,299.983,-26.324,49.889,72.408,4.297,2.37,44.457,23.23,299.983,-26.324,49.889,72.408,4.297,2.37,44.457,23.23,299.983,-26.324,49.889,72.408,4.297,2.37,44.457,23.23,299.983,-26.324,49.889,72.408,4.297,2.37,44.457,23.23,299.983,-26.324
0609-1-01-473,Salto C,32.696,363.492,-17.235,47.592,382.26,42.73,52.466,74.163,11.889,0.35,48.971,21.578,133.851,-38.418,52.466,74.163,11.889,0.35,48.971,21.578,133.851,-38.418,52.466,74.163,11.889,0.35,48.971,21.578,133.851,-38.418,52.466,74.163,11.889,0.35,48.971,21.578,133.851,-38.418,52.466,74.163,11.889,0.35,48.971,21.578,133.851,-38.418,52.466,74.163,11.889,0.35,48.971,21.578,133.851,-38.418,52.466,74.163,11.889,0.35,48.971,21.578,133.851,-38.418,52.466,74.163,11.889,0.35,48.971,21.578,133.851,-38.418,52.466,74.163,11.889,0.35,48.971,21.578,133.851,-38.418,52.466,74.163,11.889,0.35,48.971,21.578,133.851,-38.418
0609-1-01-474,Doppelsalto B,-5.852,704.451,-37.638,72.29,736.51,72.997,50.169,72.344,4.295,0.893,45.043,34.388,295.778,-23.94,50.169,72.344,4.295,0.893,45.043,34.388,295.778,-23.94,50.169,72.344,4.295,0.893,45.043,34.388,295.778,-23.94,50.169,72.344,4.295,0.893,45.043,34.388,295.778,-23.94,50.169,72.344,4.295,0.893,45.043,34.388,295.778,-23.94,50.169,72.344,4.295,0.893,45.043,34.388,295.778,-23.94,50.169,72.344,4.295,0.893,45.043,34.388,295.778,-23.94,50.169,72.344,4.295,0.893,45.043,34.388,295.778,-23.94,50.169,72.344,4.295,0.893,45.043,34.388,295.778,-23.94,50.169,72.344,4.295,0.893,45.043,34.388,295.778,-23.94
0609-1-01-478,Salto C,29.488,358.087,-12.563,41.173,386.873,46.99,52.073,74.006,10.819,0.778,48.886,6.688,153.864,-3.23,52.073,74.006,10.819,0.778,48.886,6.688,153.864,-3.23,52.073,74.006,10.819,0.778,48.886,6.688,153.864,-3.23,52.073,74.006,10.819,0.778,48.886,6.688,153.864,-3.23,52.073,74.006,10.819,0.778,48.886,6.688,153.864,-3.23,52.073,74.006,10.819,0.778,48.886,6.688,153.864,-3.23,52.073,74.006,10.819,0.778,48.886,6.688,153.864,-3.23,52.073,74.006,10.819,0.778,48.886,6.688,153.864,-3.23,52.073,74.006,10.819,0.778,48.886,6.688,153.864,-3.23,52.073,74.006,10.819,0.778,48.886,6.688,153.864,-3.23
0609-1-01-479,Doppelsalto B,0.004,704.782,-18.826,59.71,735.111,61.357,50.952,73.014,4.587,3.113,46.956,18.734,287.585,-28.406,50.952,73.014,4.587,3.113,46.956,18.734,287.585,-28.406,50.952,73.014,4.587,3.113,46.956,18.734,287.585,-28.406,50.952,73.014,4.587,3.113,46.956,18.734,287.585,-28.406,50.952,73.014,4.587,3.113,46.956,18.734,287.585,-28.406,50.952,73.014,4.587,3.113,46.956,18.734,287.585,-28.406,50.952,73.014,4.587,3.113,46.956,18.734,287.585,-28.406,50.952,73.014,4.587,3.113,46.956,18.734,287.585,-28.406,50.952,73.014,4.587,3.113,46.956,18.734,287.585,-28.406,50.952,73.014,4.587,3.113,46.956,18.734,287.585,-28.406
0609-1-01-484,Salto C,27.889,363.133,-20.325,46.388,384.42,43.623,51.696,73.615,11.819,-0.106,48.15,16.187,136.431,-14.406,51.696,73.615,11.819,-0.106,48.15,16.187,136.431,-14.406,51.696,73.615,11.819,-0.106,48.15,16.187,136.431,-14.406,51.696,73.615,11.819,-0.106,48.15,16.187,136.431,-14.406,51.696,73.615,11.819,-0.106,48.15,16.187,136.431,-14.406,51.696,73.615,11.819,-0.106,48.15,16.187,136.431,-14.406,51.696,73.615,11.819,-0.106,48.15,16.187,136.431,-14.406,51.696,73.615,11.819,-0.106,48.15,16.187,136.431,-14.406,51.696,73.615,11.819,-0.106,48.15,16.187,136.431,-14.406,51.696,73.615,11.819,-0.106,48.15,16.187,136.431,-14.406
