SprungID,Sprungtyp,DJump_SIG_I_x LapEnd,DJump_SIG_I_y LapEnd,DJump_SIG_I_z LapEnd,DJump_Abs_I_x LapEnd,DJump_Abs_I_y LapEnd,DJump_Abs_I_z LapEnd,0-ACC_N,0-ACC_N_ROT_filtered,0-Acc_x_Fil,0-Acc_y_Fil,0-Acc_z_Fil,0-Gyro_x_Fil,0-Gyro_y_Fil,0-Gyro_z_Fil,10-ACC_N,10-ACC_N_ROT_filtered,10-Acc_x_Fil,10-Acc_y_Fil,10-Acc_z_Fil,10-Gyro_x_Fil,10-Gyro_y_Fil,10-Gyro_z_Fil,20-ACC_N,20-ACC_N_ROT_filtered,20-Acc_x_Fil,20-Acc_y_Fil,20-Acc_z_Fil,20-Gyro_x_Fil,20-Gyro_y_Fil,20-Gyro_z_Fil,30-ACC_N,30-ACC_N_ROT_filtered,30-Acc_x_Fil,30-Acc_y_Fil,30-Acc_z_Fil,30-Gyro_x_Fil,30-Gyro_y_Fil,30-Gyro_z_Fil,40-ACC_N,40-ACC_N_ROT_filtered,40-Acc_x_Fil,40-Acc_y_Fil,40-Acc_z_Fil,40-Gyro_x_Fil,40-Gyro_y_Fil,40-Gyro_z_Fil,50-ACC_N,50-ACC_N_ROT_filtered,50-Acc_x_Fil,50-Acc_y_Fil,50-Acc_z_Fil,50-Gyro_x_Fil,50-Gyro_y_Fil,50-Gyro_z_Fil,60-ACC_N,60-ACC_N_ROT_filtered,60-Acc_x_Fil,60-Acc_y_Fil,60-Acc_z_Fil,60-Gyro_x_Fil,60-Gyro_y_Fil,60-Gyro_z_Fil,70-ACC_N,70-ACC_N_ROT_filtered,70-Acc_x_Fil,70-Acc_y_Fil,70-Acc_z_Fil,70-Gyro_x_Fil,70-Gyro_y_Fil,70-Gyro_z_Fil,80-ACC_N,80-ACC_N_ROT_filtered,80-Acc_x_Fil,80-Acc_y_Fil,80-Acc_z_Fil,80-Gyro_x_Fil,80-Gyro_y_Fil,80-Gyro_z_Fil,90-ACC_N,90-ACC_N_ROT_filtered,90-Acc_x_Fil,90-Acc_y_Fil,90-Acc_z_Fil,90-Gyro_x_Fil,90-Gyro_y_Fil,90-Gyro_z_Fil
0609-1-01-261,Bauchsprung,-8.512,-41.907,-10.433,27.093,127.489,36.564,49.905,71.246,5.564,-1.506,48.073,-13.603,47.752,3.987,4.501,9.206,1.083,-0.05,-0.455,-3.941,-3.603,-1.487,0.94,1.175,-0.096,-0.237,0.512,2.381,-39.205,8.945,1.153,0.869,-0.596,-0.125,0.048,-1.466,-86.547,1.593,1.205,0.734,-0.456,-0.211,-0.227,-8.611,-76.681,-8.056,2.083,1.209,-0.93,-0.4,-0.081,-4.148,-94.234,-42.779,2.054,1.892,0.29,0.133,-1.111,16.805,-57.398,1.015,2.702,1.645,0.739,-0.53,-0.661,11.634,-35.851,18.167,4.989,4.39,-1.713,-0.347,-2.097,-21.054,34.838,-2.232,54.122,25.152,43.253,2.334,31.395,-19.793,93.225,-33.675
0609-1-01-675,Doppelsalto C,42.706,704.919,-41.9,48.396,704.919,60.624,48.502,64.62,7.383,0.295,46.122,28.305,240.88,-16.585,13.363,17.514,-0.87,-0.638,-10.549,5.131,102.396,-25.68,29.759,22.327,-21.956,-0.568,-17.071,12.931,318.509,-19.781,47.337,41.418,-43.813,0.428,-15.941,14.907,745.593,-32.317,55.542,52.114,-47.315,0.111,-27.637,29.069,814.291,-26.253,52.545,54.93,-39.405,1.127,-33.215,63.639,789.894,-41.945,26.56,36.903,-20.276,0.535,-15.989,60.16,495.519,1.504,13.301,16.108,-8.304,-0.292,-9.788,40.347,252.447,-50.163,13.987,13.272,-9.627,0.432,-7.888,2.516,244.895,-38.696,42.911,21.197,12.056,1.759,38.164,1.165,238.577,-0.023
0827-BK1-01-117,Salto A,6.162,349.75,6.662,23.005,349.75,32.152,52.266,76.046,16.118,-1.343,48.558,1.078,185.166,-10.587,10.331,12.596,-1.181,0.577,-5.074,-17.182,122.698,19.654,7.279,6.852,-1.826,-0.634,-6.041,15.273,173.516,22.469,6.542,6.401,-3.369,-0.19,-4.959,7.349,211.325,3.324,7.138,6.544,-3.938,-0.227,-5.172,3.247,206.257,-6.587,6.143,5.921,-3.332,-0.013,-4.562,7.909,211.991,-1.782,6.289,5.697,-3.115,0.131,-4.778,9.627,204.814,-1.459,5.569,5.219,-3.379,-0.058,-3.85,4.7,151.839,-3.215,6.8,6.152,-5.821,-0.282,-1.184,-4.986,103.427,9.325,46.494,21.309,19.977,-2.059,41.172,4.163,184.848,2.918
0609-1-01-423,Doppelsalto B,6.271,705.922,-20.698,59.967,733.628,72.177,50.32,72.177,6.888,1.679,46.528,22.644,259.699,-27.708,17.182,14.815,-5.829,-0.45,-8.1,-0.379,28.909,-18.562,15.874,18.062,-13.858,-0.198,-6.158,-36.732,194.508,-18.304,35.306,28.628,-34.598,-1.41,-0.559,-15.322,674.703,28.635,37.893,36.614,-35.129,-2.03,-10.986,-23.512,750.008,-7.316,49.65,46.348,-38.107,-0.258,-28.89,-3.743,797.155,22.497,21.805,33.367,-17.551,-0.867,-11.983,87.954,493.899,-55.478,10.057,10.455,-3.323,-1.036,-8.754,13.501,205.207,-35.382,12.749,11.96,-7.626,0.226,-6.63,-24.525,165.183,-21.958,48.704,23.134,17.929,-0.132,43.61,13.823,201.527,21.882
20190930-1247-FRANKFURT_2-01-318,Schraubensalto,113.316,194.943,362.475,175.601,302.672,364.851,52.913,75.148,5.836,-1.037,50.981,-27.524,212.869,88.434,8.452,12.005,-0.825,2.258,-5.237,79.447,168.464,119.442,3.947,4.631,-2.01,-0.255,-2.601,199.556,98.819,187.602,4.286,4.115,-3.514,-0.314,-2.103,232.172,3.218,252.887,8.724,6.69,-8.116,-1.38,-1.455,181.467,-136.743,353.585,11.406,10.977,-8.483,-1.974,-7.287,57.361,-129.304,428.703,10.682,11.46,-6.582,-4.502,-6.866,6.167,137.035,336.912,8.715,9.064,-5.484,-3.475,-5.754,-36.487,243.346,133.567,7.732,8.264,-5.488,-2.247,-3.91,-61.915,216.129,48.109,40.717,15.577,9.274,1.099,38.728,-7.692,263.233,45.605
0609-4-01-266,Salto C,-3.558,369.67,-11.244,27.144,389.843,31.625,51.266,74.059,26.228,-0.203,40.485,15.661,189.472,5.599,9.919,10.959,-5.654,-0.939,-6.707,-17.528,-24.034,-2.973,13.076,11.342,-7.991,-0.871,-9.252,-4.708,443.118,-18.105,19.488,19.363,-16.289,-0.715,-5.377,0.56,440.514,5.374,6.545,10.793,-1.051,-0.74,-1.117,-4.901,183.314,5.86,3.432,3.299,-1.031,-0.713,-3.039,-3.4,139.517,-2.445,2.949,3.027,-1.272,-0.511,-2.597,-1.782,108.762,-4.083,2.702,2.663,-1.252,-0.393,-2.362,1.596,70.948,1.804,6.364,4.862,-3.981,-0.764,-3.382,1.192,73.386,12.786,49.63,22.227,24.977,-0.136,41.64,-3.614,181.343,-32.013
0609-1-01-589,Doppelsalto B,19.443,716.005,-8.638,59.296,751.981,60.588,51.069,72.958,7.366,0.429,45.705,25.388,289.214,-30.466,20.214,17.211,-7.183,-0.078,-9.109,10.939,10.285,-27.456,17.473,19.404,-15.244,-1.007,-6.253,-41.842,257.237,-3.771,36.969,31.462,-36.026,-2.429,-3.981,-35.315,699.236,3.456,42.169,39.083,-35.41,-0.47,-20.082,18.164,798.696,22.13,47.925,48.654,-34.287,1.915,-31.035,43.376,739.064,-8.719,14.125,24.946,-10.623,0.032,-8.768,37.077,440.082,-3.721,10.724,9.325,-1.156,-0.568,-9.933,31.003,167.192,-7.707,12.162,12.018,-7.586,0.509,-6.94,-2.455,161.951,-8.786,44.468,20.104,9.243,-0.179,42.37,16.688,231.521,19.267
20191003-1152-FRANKFURT_1-01-102,Barani A,163.621,-4.129,-148.076,172.574,235.796,158.063,52.538,70.984,7.766,1.62,49.961,-8.401,-172.668,-28.174,9.587,17.288,-1.461,-0.126,-6.204,44.689,-224.382,-45.727,9.432,8.359,-3.371,-4.969,-6.799,89.935,-119.855,-73.985,8.416,8.83,-2.15,-3.709,-7.327,178.345,-122.529,-126.236,12.543,11.343,2.035,-1.744,-11.68,230.806,-95.523,-130.793,10.316,11.286,0.501,0.169,-10.203,249.965,22.024,-120.393,9.868,9.838,-3.27,0.002,-9.003,155.42,92.88,-185.142,8.669,8.74,-4.017,1.719,-7.322,43.336,121.993,-137.211,7.205,8.773,-4.531,0.606,-4.567,25.657,202.466,-21.356,37.958,15.269,4.462,0.851,35.663,-2.152,267.924,-20.54
20191007-1150-FRANKFURT_2-01-212,Fliffis B,-15.46,-364.076,194.511,121.174,715.222,224.161,59.328,75.844,-2.037,2.303,45.182,-36.039,-487.376,38.231,42.51,42.094,-38.105,4.083,-16.029,-98.33,-727.624,45.678,43.382,41.721,-42.246,5.143,-5.04,-113.067,-645.726,12.63,43.537,44.145,-43.004,3.56,-6.485,-60.308,-631.88,-11.722,35.137,40.79,-32.89,4.631,-9.992,-61.112,-524.427,91.585,20.616,24.475,-13.642,9.148,-12.012,-31.992,-218.49,285.769,26.328,25.075,-15.604,6.95,-14.785,120.251,35.271,506.323,21.096,22.014,-13.9,-4.783,-14.674,16.095,254.19,224.71,17.666,20.055,-14.708,0.063,-5.706,65.928,370.385,77.928,39.14,18.867,11.152,-1.099,34.153,105.432,360.803,-50.38
0609-1-01-802,Von Bauch in Stand,6.04,35.196,9.996,18.099,65.106,35.193,59.421,81.305,46.359,5.001,32.449,16.576,-33.907,24.514,6.203,15.076,-0.646,-0.281,-1.3,1.03,-17.385,6.603,2.203,2.696,-0.487,-0.019,-0.827,-3.008,-0.082,39.31,1.726,1.193,-0.107,-0.413,0.16,5.965,8.258,-6.534,1.953,1.747,0.276,0.004,-0.848,9.561,12.016,-12.184,1.948,1.652,0.063,-0.522,-0.465,1.437,25.032,-8.302,1.699,1.21,0.131,0.006,-0.772,-8.7,22.394,3.597,2.307,1.676,-1.174,0.395,-0.721,-4.508,30.818,-1.538,3.662,3.14,-1.965,-0.32,1.352,-4.115,11.051,-6.05,43.002,20.116,21.82,-0.673,35.116,18.387,153.156,18.468
