SprungID,Sprungtyp,Time,TimeInJump,ACC_N,ACC_N_ROT_filtered,Acc_x_Fil,Acc_y_Fil,Acc_z_Fil,Gyro_x_Fil,Gyro_y_Fil,Gyro_z_Fil,DJump_SIG_I_x LapEnd,DJump_SIG_I_y LapEnd,DJump_SIG_I_z LapEnd,DJump_Abs_I_x LapEnd,DJump_Abs_I_y LapEnd,DJump_Abs_I_z LapEnd
0827-BK1-01-4,Salto C,59.106,0.002,111.58,71.46,27.493,-0.701,100.713,4.43,119.29,0.81,6.871,355.593,9.022,21.571,388.923,29.996
0827-BK1-01-4,Salto C,59.306,0.202,10.86,29.11,-1.022,2.201,-5.431,2.95,-89.96,20.16,6.871,355.593,9.022,21.571,388.923,29.996
0827-BK1-01-4,Salto C,59.504,0.4,8.98,11.49,-3.368,-0.622,-8.694,-11.29,126.33,3.33,6.871,355.593,9.022,21.571,388.923,29.996
0827-BK1-01-4,Salto C,59.704,0.6,19.73,15.99,-14.893,-1.155,-8.241,3.01,583.55,-0.53,6.871,355.593,9.022,21.571,388.923,29.996
0827-BK1-01-4,Salto C,59.902,0.798,11.18,29.12,-8.889,-1.195,1.144,2.19,259.78,-16.81,6.871,355.593,9.022,21.571,388.923,29.996
0827-BK1-01-4,Salto C,60.102,0.998,3.94,3.46,-1.914,0.006,-2.849,5.4,171.55,-0.82,6.871,355.593,9.022,21.571,388.923,29.996
0827-BK1-01-4,Salto C,60.302,1.198,3.71,3.14,-1.385,-0.221,-2.754,0.05,154.43,0.58,6.871,355.593,9.022,21.571,388.923,29.996
0827-BK1-01-4,Salto C,60.5,1.396,3.67,2.82,-1.175,0.084,-2.587,-3.69,124.52,-7.5,6.871,355.593,9.022,21.571,388.923,29.996
0827-BK1-01-4,Salto C,60.7,1.596,3.88,3.32,-3.13,-0.046,-1.262,-1.89,61.3,8.4,6.871,355.593,9.022,21.571,388.923,29.996
0827-BK1-01-4,Salto C,60.898,1.794,4.28,4.24,-1.69,-0.105,0.544,5.8,85.22,19.56,6.871,355.593,9.022,21.571,388.923,29.996
0827-BK1-01-7,Salto C,65.154,0.002,115.79,73.0,34.553,-2.996,102.793,-8.08,100.42,2.09,-4.717,358.254,7.186,20.537,384.911,27.238
0827-BK1-01-7,Salto C,65.358,0.206,19.02,28.04,-1.855,-0.545,-10.892,8.58,-80.73,4.75,-4.717,358.254,7.186,20.537,384.911,27.238
0827-BK1-01-7,Salto C,65.562,0.41,9.52,10.96,-1.186,-0.796,-9.778,-14.08,213.64,-15.04,-4.717,358.254,7.186,20.537,384.911,27.238
0827-BK1-01-7,Salto C,65.766,0.614,11.23,16.55,-12.684,-1.084,-11.071,-13.37,479.24,12.66,-4.717,358.254,7.186,20.537,384.911,27.238
0827-BK1-01-7,Salto C,65.97,0.818,4.85,18.29,-5.206,-0.539,2.219,4.63,196.63,7.49,-4.717,358.254,7.186,20.537,384.911,27.238
0827-BK1-01-7,Salto C,66.174,1.022,4.27,3.79,-2.029,0.129,-2.853,5.12,170.21,2.04,-4.717,358.254,7.186,20.537,384.911,27.238
0827-BK1-01-7,Salto C,66.378,1.226,3.79,3.04,-1.641,0.124,-2.39,-0.11,150.02,1.01,-4.717,358.254,7.186,20.537,384.911,27.238
0827-BK1-01-7,Salto C,66.582,1.43,4.24,2.93,-1.757,-0.327,-2.589,-3.92,149.75,1.71,-4.717,358.254,7.186,20.537,384.911,27.238
0827-BK1-01-7,Salto C,66.786,1.634,3.15,2.2,-2.105,-0.136,-1.629,-4.69,58.52,-4.96,-4.717,358.254,7.186,20.537,384.911,27.238
0827-BK1-01-7,Salto C,66.99,1.838,4.79,5.24,-2.775,-0.595,1.724,-6.15,79.47,22.05,-4.717,358.254,7.186,20.537,384.911,27.238
0827-BK1-01-10,Salto C,71.326,0.002,117.93,73.53,46.966,-4.495,100.546,-26.85,73.19,-20.35,-5.825,358.946,3.876,22.168,373.566,32.467
0827-BK1-01-10,Salto C,71.53,0.206,16.71,26.18,-3.287,1.503,-6.702,20.19,-24.37,28.55,-5.825,358.946,3.876,22.168,373.566,32.467
0827-BK1-01-10,Salto C,71.734,0.41,8.86,10.46,-0.773,0.459,-9.295,-23.33,252.07,-1.83,-5.825,358.946,3.876,22.168,373.566,32.467
0827-BK1-01-10,Salto C,71.938,0.614,11.07,13.06,-11.906,-0.438,-10.569,-13.46,438.26,12.28,-5.825,358.946,3.876,22.168,373.566,32.467
0827-BK1-01-10,Salto C,72.142,0.818,4.22,16.03,-4.775,0.348,0.385,-5.15,210.66,-23.29,-5.825,358.946,3.876,22.168,373.566,32.467
0827-BK1-01-10,Salto C,72.346,1.022,4.76,3.61,-2.038,-0.217,-2.956,0.65,158.75,-3.25,-5.825,358.946,3.876,22.168,373.566,32.467
0827-BK1-01-10,Salto C,72.548,1.224,3.22,3.36,-2.011,-0.277,-2.34,-7.67,155.96,-1.76,-5.825,358.946,3.876,22.168,373.566,32.467
0827-BK1-01-10,Salto C,72.752,1.428,3.95,2.92,-1.887,-0.064,-2.312,-0.77,134.1,8.89,-5.825,358.946,3.876,22.168,373.566,32.467
0827-BK1-01-10,Salto C,72.956,1.632,4.22,2.77,-1.793,0.225,-2.998,-13.86,90.36,3.39,-5.825,358.946,3.876,22.168,373.566,32.467
0827-BK1-01-10,Salto C,73.16,1.836,6.97,5.75,-4.945,-0.012,2.616,-4.51,100.61,-6.87,-5.825,358.946,3.876,22.168,373.566,32.467
0827-BK1-01-13,Salto C,77.47,0.002,115.29,72.4,37.227,-1.925,102.755,-5.47,103.87,4.01,-3.394,350.198,0.891,22.504,377.941,32.648
0827-BK1-01-13,Salto C,77.676,0.208,16.11,27.55,-2.38,-0.428,-9.177,6.88,-107.86,53.55,-3.394,350.198,0.891,22.504,377.941,32.648
0827-BK1-01-13,Salto C,77.88,0.412,9.67,11.68,-0.304,-0.708,-9.755,-18.63,230.05,-23.47,-3.394,350.198,0.891,22.504,377.941,32.648
0827-BK1-01-13,Salto C,78.086,0.618,13.9,14.16,-12.986,0.089,-11.97,1.86,451.01,19.83,-3.394,350.198,0.891,22.504,377.941,32.648
0827-BK1-01-13,Salto C,78.29,0.822,4.63,14.63,-4.902,0.097,0.612,-3.74,207.54,-14.94,-3.394,350.198,0.891,22.504,377.941,32.648
0827-BK1-01-13,Salto C,78.496,1.028,3.87,3.55,-2.11,0.072,-2.423,6.59,152.09,-8.21,-3.394,350.198,0.891,22.504,377.941,32.648
0827-BK1-01-13,Salto C,78.702,1.234,3.47,3.48,-1.76,-0.286,-2.653,-2.18,161.03,-5.77,-3.394,350.198,0.891,22.504,377.941,32.648
0827-BK1-01-13,Salto C,78.906,1.438,3.74,2.99,-1.713,-0.408,-2.394,-10.92,151.18,1.02,-3.394,350.198,0.891,22.504,377.941,32.648
0827-BK1-01-13,Salto C,79.112,1.644,2.89,2.31,-2.029,-0.524,-1.638,-6.55,71.31,-1.18,-3.394,350.198,0.891,22.504,377.941,32.648
0827-BK1-01-13,Salto C,79.316,1.848,7.66,6.29,-4.571,0.91,2.829,-11.98,74.55,31.05,-3.394,350.198,0.891,22.504,377.941,32.648
0827-BK1-01-16,Salto C,83.64,0.002,119.43,75.58,37.336,-3.555,104.151,2.33,95.45,25.05,17.786,355.702,0.272,31.175,387.02,28.357
0827-BK1-01-16,Salto C,83.842,0.204,17.43,26.62,-3.378,-0.479,-9.147,9.68,-85.75,6.24,17.786,355.702,0.272,31.175,387.02,28.357
0827-BK1-01-16,Salto C,84.046,0.408,8.94,11.22,-1.935,-0.159,-8.91,-8.71,205.94,-15.59,17.786,355.702,0.272,31.175,387.02,28.357
0827-BK1-01-16,Salto C,84.248,0.61,11.9,16.42,-12.297,-0.024,-8.491,5.91,510.94,18.54,17.786,355.702,0.272,31.175,387.02,28.357
0827-BK1-01-16,Salto C,84.45,0.812,7.96,20.54,-6.532,0.018,3.17,8.09,221.9,5.95,17.786,355.702,0.272,31.175,387.02,28.357
0827-BK1-01-16,Salto C,84.654,1.016,4.34,3.33,-1.748,-0.089,-2.9,7.81,160.18,-2.52,17.786,355.702,0.272,31.175,387.02,28.357
0827-BK1-01-16,Salto C,84.856,1.218,3.93,3.03,-1.751,0.075,-2.774,12.88,150.04,0.26,17.786,355.702,0.272,31.175,387.02,28.357
0827-BK1-01-16,Salto C,85.058,1.42,3.14,2.88,-1.791,0.043,-2.031,13.17,141.13,-3.88,17.786,355.702,0.272,31.175,387.02,28.357
0827-BK1-01-16,Salto C,85.26,1.622,3.76,2.45,-2.003,-0.295,-2.481,-2.89,65.51,-11.16,17.786,355.702,0.272,31.175,387.02,28.357
0827-BK1-01-16,Salto C,85.464,1.826,6.23,5.28,-3.267,1.367,2.285,-9.06,88.32,14.5,17.786,355.702,0.272,31.175,387.02,28.357
0827-BK1-01-19,Salto C,89.784,0.002,117.02,73.82,44.68,-3.534,101.266,-9.4,92.19,-22.5,16.107,358.032,15.567,39.039,381.975,38.091
0827-BK1-01-19,Salto C,89.988,0.206,16.05,27.43,-4.316,0.168,-8.344,-6.36,-72.83,25.37,16.107,358.032,15.567,39.039,381.975,38.091
0827-BK1-01-19,Salto C,90.192,0.41,7.07,10.02,-1.956,-0.998,-7.565,-28.68,160.83,1.84,16.107,358.032,15.567,39.039,381.975,38.091
0827-BK1-01-19,Salto C,90.396,0.614,13.96,16.35,-12.37,-1.968,-6.312,-5.34,495.01,21.82,16.107,358.032,15.567,39.039,381.975,38.091
0827-BK1-01-19,Salto C,90.6,0.818,14.73,26.42,-8.387,-2.133,6.432,-5.07,246.19,9.61,16.107,358.032,15.567,39.039,381.975,38.091
0827-BK1-01-19,Salto C,90.804,1.022,3.9,3.18,-1.599,0.262,-2.696,14.7,161.68,13.02,16.107,358.032,15.567,39.039,381.975,38.091
0827-BK1-01-19,Salto C,91.006,1.224,2.68,2.83,-1.549,-0.052,-2.011,12.44,140.24,8.58,16.107,358.032,15.567,39.039,381.975,38.091
0827-BK1-01-19,Salto C,91.21,1.428,3.2,2.61,-1.921,-0.086,-1.704,25.19,112.3,1.1,16.107,358.032,15.567,39.039,381.975,38.091
0827-BK1-01-19,Salto C,91.414,1.632,3.27,2.52,-1.354,0.09,-2.19,9.16,83.74,4.28,16.107,358.032,15.567,39.039,381.975,38.091
0827-BK1-01-19,Salto C,91.618,1.836,8.53,6.27,-5.776,-0.149,3.381,-2.89,133.43,-2.83,16.107,358.032,15.567,39.039,381.975,38.091
0827-BK1-01-22,Salto C,95.954,0.002,118.96,74.85,45.382,-2.527,101.417,-16.63,74.49,-2.06,4.67,350.898,16.556,21.94,360.096,27.885
0827-BK1-01-22,Salto C,96.156,0.204,20.89,26.88,-4.621,-1.702,-10.4,20.89,-27.92,1.09,4.67,350.898,16.556,21.94,360.096,27.885
0827-BK1-01-22,Salto C,96.358,0.406,9.23,10.02,-4.21,-0.294,-8.022,7.29,247.03,-4.03,4.67,350.898,16.556,21.94,360.096,27.885
0827-BK1-01-22,Salto C,96.558,0.606,13.39,15.22,-12.482,-1.445,-6.013,-15.49,502.14,10.95,4.67,350.898,16.556,21.94,360.096,27.885
0827-BK1-01-22,Salto C,96.76,0.808,10.86,22.01,-8.384,-0.679,0.136,-10.69,254.76,7.27,4.67,350.898,16.556,21.94,360.096,27.885
0827-BK1-01-22,Salto C,96.962,1.01,3.63,3.26,-1.475,-0.124,-2.738,12.75,155.9,8.65,4.67,350.898,16.556,21.94,360.096,27.885
0827-BK1-01-22,Salto C,97.164,1.212,4.34,3.66,-1.748,0.269,-3.173,6.96,174.84,13.29,4.67,350.898,16.556,21.94,360.096,27.885
0827-BK1-01-22,Salto C,97.366,1.414,3.07,3.1,-2.285,0.065,-1.912,-0.32,118.6,-1.3,4.67,350.898,16.556,21.94,360.096,27.885
0827-BK1-01-22,Salto C,97.566,1.614,2.7,3.6,-2.715,-0.098,0.648,9.87,59.65,6.37,4.67,350.898,16.556,21.94,360.096,27.885
0827-BK1-01-22,Salto C,97.768,1.816,2.1,2.72,-0.583,-0.538,-0.373,1.06,87.12,17.13,4.67,350.898,16.556,21.94,360.096,27.885
0827-BK1-01-24,Salto C,99.956,0.002,109.68,70.52,49.121,0.488,89.223,-11.41,158.4,-15.85,5.58,377.855,12.545,17.924,399.388,23.897
0827-BK1-01-24,Salto C,100.154,0.2,10.85,27.89,-3.419,-0.652,-6.349,-9.73,-83.76,35.33,5.58,377.855,12.545,17.924,399.388,23.897
0827-BK1-01-24,Salto C,100.352,0.398,7.43,6.16,-3.834,-0.467,-6.06,3.84,85.5,19.01,5.58,377.855,12.545,17.924,399.388,23.897
0827-BK1-01-24,Salto C,100.55,0.596,13.41,16.38,-12.907,0.013,-2.959,-14.81,527.21,13.02,5.58,377.855,12.545,17.924,399.388,23.897
0827-BK1-01-24,Salto C,100.748,0.794,33.9,22.22,-22.986,0.592,-12.778,4.18,449.95,-9.86,5.58,377.855,12.545,17.924,399.388,23.897
0827-BK1-01-24,Salto C,100.948,0.994,3.13,7.64,-2.372,-0.77,-1.176,-0.27,159.87,4.6,5.58,377.855,12.545,17.924,399.388,23.897
0827-BK1-01-24,Salto C,101.146,1.192,3.0,2.68,-1.662,-0.421,-1.448,14.28,101.0,7.01,5.58,377.855,12.545,17.924,399.388,23.897
0827-BK1-01-24,Salto C,101.344,1.39,3.33,2.66,-1.342,0.07,-2.423,9.75,86.98,10.71,5.58,377.855,12.545,17.924,399.388,23.897
0827-BK1-01-24,Salto C,101.542,1.588,4.11,3.01,-1.72,-0.23,-2.833,5.83,123.71,2.91,5.58,377.855,12.545,17.924,399.388,23.897
0827-BK1-01-24,Salto C,101.74,1.786,7.09,5.63,-5.394,-0.161,1.842,3.93,184.67,-4.23,5.58,377.855,12.545,17.924,399.388,23.897
0827-BK1-01-26,Salto C,103.95,0.002,113.04,69.83,38.621,-4.586,99.463,-19.18,73.83,-29.22,13.474,357.474,13.335,24.029,366.326,27.304
0827-BK1-01-26,Salto C,104.15,0.202,14.05,27.46,-3.565,0.803,-7.173,5.01,-21.52,12.22,13.474,357.474,13.335,24.029,366.326,27.304
