SprungID,Sprungtyp,DJump_SIG_I_x LapEnd,DJump_SIG_I_y LapEnd,DJump_SIG_I_z LapEnd,DJump_Abs_I_x LapEnd,DJump_Abs_I_y LapEnd,DJump_Abs_I_z LapEnd,0-ACC_N,0-ACC_N_ROT_filtered,0-Acc_x_Fil,0-Acc_y_Fil,0-Acc_z_Fil,0-Gyro_x_Fil,0-Gyro_y_Fil,0-Gyro_z_Fil,10-ACC_N,10-ACC_N_ROT_filtered,10-Acc_x_Fil,10-Acc_y_Fil,10-Acc_z_Fil,10-Gyro_x_Fil,10-Gyro_y_Fil,10-Gyro_z_Fil,20-ACC_N,20-ACC_N_ROT_filtered,20-Acc_x_Fil,20-Acc_y_Fil,20-Acc_z_Fil,20-Gyro_x_Fil,20-Gyro_y_Fil,20-Gyro_z_Fil,30-ACC_N,30-ACC_N_ROT_filtered,30-Acc_x_Fil,30-Acc_y_Fil,30-Acc_z_Fil,30-Gyro_x_Fil,30-Gyro_y_Fil,30-Gyro_z_Fil,40-ACC_N,40-ACC_N_ROT_filtered,40-Acc_x_Fil,40-Acc_y_Fil,40-Acc_z_Fil,40-Gyro_x_Fil,40-Gyro_y_Fil,40-Gyro_z_Fil,50-ACC_N,50-ACC_N_ROT_filtered,50-Acc_x_Fil,50-Acc_y_Fil,50-Acc_z_Fil,50-Gyro_x_Fil,50-Gyro_y_Fil,50-Gyro_z_Fil,60-ACC_N,60-ACC_N_ROT_filtered,60-Acc_x_Fil,60-Acc_y_Fil,60-Acc_z_Fil,60-Gyro_x_Fil,60-Gyro_y_Fil,60-Gyro_z_Fil,70-ACC_N,70-ACC_N_ROT_filtered,70-Acc_x_Fil,70-Acc_y_Fil,70-Acc_z_Fil,70-Gyro_x_Fil,70-Gyro_y_Fil,70-Gyro_z_Fil,80-ACC_N,80-ACC_N_ROT_filtered,80-Acc_x_Fil,80-Acc_y_Fil,80-Acc_z_Fil,80-Gyro_x_Fil,80-Gyro_y_Fil,80-Gyro_z_Fil,90-ACC_N,90-ACC_N_ROT_filtered,90-Acc_x_Fil,90-Acc_y_Fil,90-Acc_z_Fil,90-Gyro_x_Fil,90-Gyro_y_Fil,90-Gyro_z_Fil
20191008-1207-FRANKFURT_2-01-310,Salto A,25.367,350.144,-85.92,37.742,350.144,93.074,115.35,53.49,24.195,25.264,92.358,37.82,241.86,-168.18,7.44,39.1,-4.724,-1.473,0.84,11.39,287.52,5.29,5.01,5.64,2.702,-2.988,-3.23,11.64,146.19,-60.06,7.05,7.96,-0.694,-1.961,-7.205,29.65,163.34,-49.94,8.16,8.18,-2.457,-2.105,-6.806,-12.88,181.14,-98.74,7.88,6.64,-2.77,-2.435,-6.028,6.33,179.37,-57.59,7.36,7.1,-3.509,-2.524,-5.901,-10.9,168.18,-34.18,8.16,8.13,-5.255,-1.33,-6.537,-14.18,170.26,-16.4,8.8,8.79,-7.006,-2.529,-6.291,9.16,203.75,-18.76,2.35,9.76,-4.229,0.672,1.142,36.32,364.9,-53.58
20191008-1207-FRANKFURT_2-01-311,Schraubensalto A,73.71,197.402,312.484,165.121,283.581,364.02,118.79,57.83,26.799,30.944,95.095,44.7,183.58,-144.05,4.1,33.17,-2.079,-0.963,-0.788,103.14,258.47,96.18,7.12,5.17,-2.57,-4.663,0.958,175.4,115.35,247.23,10.57,6.97,-7.181,-2.532,-2.634,168.66,1.65,320.44,11.71,9.65,-9.175,-5.003,-4.688,107.15,-131.38,378.27,12.85,14.34,-4.167,-5.042,-11.969,-137.9,-118.15,414.63,12.4,13.54,-4.472,-6.98,-9.004,-125.52,63.3,327.45,7.49,9.32,-5.053,-3.555,-5.232,-15.66,189.51,241.45,8.99,8.36,-6.298,-2.288,-6.04,44.6,167.12,38.85,4.55,7.3,-0.286,-2.664,1.234,63.08,323.69,-31.92
20191008-1207-FRANKFURT_2-01-312,Salto C,54.576,340.814,-74.934,75.788,366.845,91.484,116.79,66.11,24.187,30.533,95.482,37.45,143.23,-156.17,6.37,30.65,1.835,-2.744,0.909,-5.77,42.35,-9.73,16.59,10.69,-10.722,-0.466,-9.571,-37.09,-55.16,22.13,17.77,11.7,-12.613,1.568,-10.621,61.36,565.07,-89.1,20.17,16.51,-16.77,-0.112,-13.679,90.7,486.46,-56.59,7.67,25.96,-4.363,1.014,-1.207,94.01,235.57,-46.56,1.73,3.84,-1.099,-0.641,-2.039,3.96,89.69,-28.09,5.69,4.76,-0.983,-2.559,-4.477,22.96,45.61,-24.57,5.75,4.25,-2.375,-0.634,-4.738,17.99,104.94,-87.58,3.57,5.16,1.325,0.083,0.876,48.4,293.94,-36.24
20191008-1207-FRANKFURT_2-01-313,1 3/4 Salto vw B,-136.218,-588.36,185.052,159.979,631.695,207.578,123.46,69.29,40.515,35.926,93.902,74.83,-33.61,10.95,20.4,39.47,-17.006,-0.667,-11.542,-196.68,-464.63,160.61,27.74,27.35,-24.203,1.858,-11.709,-172.61,-601.84,110.94,24.08,24.76,-23.803,1.693,-2.188,-42.79,-508.53,78.66,9.24,15.03,-6.348,-1.232,-6.771,2.2,-191.76,31.81,11.0,13.28,-9.173,2.471,-6.286,35.13,49.84,47.74,3.71,4.86,-3.771,0.472,-0.366,-106.03,-264.36,76.26,19.89,19.7,-13.634,-0.616,-15.213,-98.28,-461.69,113.54,20.93,18.82,-19.133,0.644,-9.091,-133.81,-511.95,153.21,21.93,23.55,-17.221,-1.938,-11.551,-105.29,-421.08,6.78
20191008-1207-FRANKFURT_2-01-314,Baby- Fliffis C,-58.97,-56.252,223.443,107.552,396.017,278.082,145.39,74.15,-103.316,3.874,64.017,7.36,-3.47,19.64,23.42,59.24,-7.113,7.725,4.529,-3.46,-85.83,59.35,19.14,12.62,-17.563,-0.588,-7.062,-42.16,-401.07,95.15,29.98,27.2,-23.438,0.111,-17.914,-96.31,-554.57,193.83,20.36,27.63,-11.872,-0.535,-16.809,-102.33,-298.97,236.23,19.49,16.2,-8.565,3.133,-15.213,-19.0,37.12,222.48,14.93,13.41,-6.25,-8.122,-9.414,-186.1,53.97,321.33,12.01,12.18,-6.075,-7.687,-6.173,-54.69,197.27,274.18,9.19,9.63,-5.948,-3.374,-6.523,-3.56,174.8,97.93,10.44,9.42,-8.0,-4.279,-2.681,87.78,420.0,14.28
20191008-1207-FRANKFURT_2-01-336,Fliffis Rudi C,31.902,-268.002,623.013,239.255,615.874,668.579,125.6,68.54,36.587,28.68,101.084,55.98,-148.89,30.32,36.37,49.58,-28.489,0.61,-15.452,-114.33,-744.03,69.14,49.29,44.83,-50.403,3.292,-10.383,-33.77,-604.37,181.21,62.04,57.03,-53.019,7.918,-27.264,-145.92,-642.93,222.19,35.88,51.94,-21.389,2.309,-30.952,-227.9,-270.46,402.38,34.45,34.15,-25.631,-7.667,-12.938,141.45,169.99,994.25,45.68,37.31,-38.613,-12.666,9.357,478.47,-263.25,921.18,25.74,41.54,-13.902,-14.087,-20.673,-145.4,36.55,702.97,20.15,20.73,-13.483,-6.797,-10.423,30.08,251.04,291.84,11.55,16.93,-10.594,-3.091,-1.416,145.6,426.85,66.48
20191008-1207-FRANKFURT_2-01-337,Salto B,31.664,336.83,-55.112,71.297,409.929,86.385,101.57,62.53,11.567,29.382,92.204,92.34,205.83,-69.6,6.86,32.59,-3.551,-1.372,2.641,37.39,157.47,-61.25,14.25,6.7,-9.216,-0.856,-8.328,-103.37,-274.12,-45.91,8.2,11.69,5.519,-0.438,-5.409,-23.26,152.49,-80.68,22.52,20.97,-17.043,-0.753,-18.7,58.02,639.71,24.35,17.37,34.75,-19.4,1.432,-3.637,76.35,481.44,-103.49,2.68,6.32,-1.589,-0.663,-2.721,32.83,168.74,-3.01,6.43,6.76,-2.343,-0.455,-6.364,-10.61,128.0,-42.3,5.95,6.29,-5.077,-1.414,-2.46,15.25,126.15,4.39,4.0,5.68,-1.108,-1.45,2.135,17.93,177.09,-56.12
20191008-1207-FRANKFURT_2-01-338,Fliffis B,-106.087,-315.378,292.263,185.151,658.529,342.339,109.01,63.19,28.088,29.727,92.735,56.96,-102.24,61.6,71.42,59.55,-43.069,8.457,-23.275,-273.53,-610.65,82.67,40.05,36.16,-37.073,2.849,-13.277,-146.73,-746.91,140.07,47.31,43.4,-44.655,6.901,-11.073,-109.61,-646.52,154.76,46.6,46.12,-41.705,10.739,-15.025,-199.85,-650.13,237.5,20.54,34.88,-16.475,3.232,-12.408,-163.53,-364.4,211.1,23.99,18.57,-10.975,12.926,-13.806,56.46,14.18,375.49,21.14,20.44,-6.62,-9.634,-15.879,-102.31,142.53,408.97,15.33,16.66,-11.96,-3.449,-12.518,46.8,211.99,196.17,16.22,17.45,-14.882,-1.073,-2.848,114.63,523.36,24.35
20191008-1207-FRANKFURT_2-01-339,Doppelsalto C,154.882,672.56,-106.531,164.61,681.336,127.238,112.31,63.65,18.256,23.578,91.879,32.35,238.05,-100.87,12.1,31.01,-3.422,-3.143,-3.956,3.64,117.37,-53.51,21.92,19.33,-15.728,-1.767,-14.899,-6.89,125.52,-1.44,32.78,28.7,-32.055,0.148,-12.243,50.82,711.83,-84.29,47.79,43.22,-41.712,6.42,-21.244,139.75,682.01,-22.11,52.97,50.02,-45.119,10.906,-25.149,211.81,707.74,-62.59,45.69,49.44,-33.763,6.871,-27.923,263.16,708.08,-108.76,23.79,29.48,-18.568,0.171,-13.916,91.6,372.71,-101.96,9.48,12.01,-5.771,-2.327,-7.521,17.91,138.01,-47.98,12.78,10.05,-9.37,1.378,-0.244,114.13,381.96,-19.52
20191008-1207-FRANKFURT_2-01-340,Fliffis C,-105.997,-325.857,274.275,162.138,621.659,330.103,123.39,64.59,42.093,30.283,91.668,50.1,-103.58,-94.03,51.97,50.47,-27.09,1.019,-19.152,-138.13,-570.08,24.92,37.53,31.53,-36.816,-3.449,-11.63,-19.07,-615.79,46.01,47.24,50.13,-42.754,0.375,-21.49,-96.31,-625.21,162.2,57.12,54.69,-46.87,5.332,-31.167,-120.72,-665.43,206.21,47.36,55.22,-27.334,4.181,-35.374,-236.4,-442.83,307.46,28.09,27.08,-8.862,3.865,-25.348,-93.29,24.88,317.91,20.67,20.1,-7.666,-7.734,-13.834,-117.65,110.75,401.0,11.49,14.91,-9.031,-4.632,-8.742,21.03,229.03,210.58,6.47,15.1,-6.855,-2.488,-0.099,80.68,380.06,-2.66
