SprungID,Sprungtyp,DJump_SIG_I_x LapEnd,DJump_SIG_I_y LapEnd,DJump_SIG_I_z LapEnd,DJump_I_ABS_x LapEnd,DJump_I_ABS_y LapEnd,DJump_I_ABS_z LapEnd,DJump_ABS_I_x LapEnd,DJump_ABS_I_y LapEnd,DJump_ABS_I_z LapEnd,DJump_SIG_I_S1_x LapEnd,DJump_SIG_I_S1_y LapEnd,DJump_SIG_I_S1_z LapEnd,DJump_SIG_I_S2_x LapEnd,DJump_SIG_I_S2_y LapEnd,DJump_SIG_I_S2_z LapEnd,DJump_SIG_I_S3_x LapEnd,DJump_SIG_I_S3_y LapEnd,DJump_SIG_I_S3_z LapEnd,DJump_SIG_I_S4_x LapEnd,DJump_SIG_I_S4_y LapEnd,DJump_SIG_I_S4_z LapEnd,DJump_I_ABS_S1_x LapEnd,DJump_I_ABS_S1_y LapEnd,DJump_I_ABS_S1_z LapEnd,DJump_I_ABS_S2_x LapEnd,DJump_I_ABS_S2_y LapEnd,DJump_I_ABS_S2_z LapEnd,DJump_I_ABS_S3_x LapEnd,DJump_I_ABS_S3_y LapEnd,DJump_I_ABS_S3_z LapEnd,DJump_I_ABS_S4_x LapEnd,DJump_I_ABS_S4_y LapEnd,DJump_I_ABS_S4_z LapEnd,DJump_ABS_I_S1_x LapEnd,DJump_ABS_I_S1_y LapEnd,DJump_ABS_I_S1_z LapEnd,DJump_ABS_I_S2_x LapEnd,DJump_ABS_I_S2_y LapEnd,DJump_ABS_I_S2_z LapEnd,DJump_ABS_I_S3_x LapEnd,DJump_ABS_I_S3_y LapEnd,DJump_ABS_I_S3_z LapEnd,DJump_ABS_I_S4_x LapEnd,DJump_ABS_I_S4_y LapEnd,DJump_ABS_I_S4_z LapEnd,0_Acc_N_Fil,0_Gyro_x_R,0_Gyro_y_R,0_Gyro_z_R,0_Gyro_x_Fil,0_Gyro_y_Fil,0_Gyro_z_Fil,20_Acc_N_Fil,20_Gyro_x_R,20_Gyro_y_R,20_Gyro_z_R,20_Gyro_x_Fil,20_Gyro_y_Fil,20_Gyro_z_Fil,40_Acc_N_Fil,40_Gyro_x_R,40_Gyro_y_R,40_Gyro_z_R,40_Gyro_x_Fil,40_Gyro_y_Fil,40_Gyro_z_Fil,60_Acc_N_Fil,60_Gyro_x_R,60_Gyro_y_R,60_Gyro_z_R,60_Gyro_x_Fil,60_Gyro_y_Fil,60_Gyro_z_Fil,80_Acc_N_Fil,80_Gyro_x_R,80_Gyro_y_R,80_Gyro_z_R,80_Gyro_x_Fil,80_Gyro_y_Fil,80_Gyro_z_Fil
0827-BK1-01-129,Salto A,-9.395,348.904,-1.781,9.395,348.904,1.781,23.799,354.519,24.463,1.464,70.761,-0.757,-3.718,106.058,-1.575,-0.734,101.674,0.196,-6.407,70.411,0.355,1.464,70.761,0.757,0.79,106.058,1.575,0.734,101.674,-0.196,6.407,70.411,-0.355,6.468,76.376,10.784,7.681,106.058,5.231,1.472,101.674,1.939,8.178,70.411,6.509,99.51,-16.88,94.48,-3.12,-13.71,127.14,-20.77,11.373,-9.68,98.48,-3.36,0.9,82.43,11.59,8.007,-30.08,230.8,-2.0,-29.88,225.66,0.18,6.478,-7.2,207.28,-2.72,-5.99,207.47,-2.26,6.328,-9.84,126.48,-10.8,-9.89,124.7,-10.64
0827-BK1-01-131,Salto A,3.451,356.255,-7.894,3.451,356.255,7.894,19.485,356.263,42.613,-1.393,71.426,0.42,2.32,100.07,-1.029,4.51,107.081,-4.12,-1.985,77.678,-3.166,1.393,71.426,0.42,-0.467,100.07,0.188,4.51,107.081,4.12,-1.985,77.678,3.166,5.494,71.433,19.962,5.441,100.07,7.572,4.516,107.081,5.381,4.034,77.678,9.698,98.771,-44.8,108.48,20.8,-26.28,116.12,-10.39,8.456,-19.28,31.36,75.52,-14.57,38.11,58.02,6.935,12.08,144.0,-10.56,13.44,152.69,-5.15,6.577,0.16,213.12,-16.4,2.14,216.73,-15.21,6.182,-1.76,144.32,-23.52,-1.24,147.5,-22.56
0827-BK1-01-133,Strecksprung,2.388,-2.837,12.091,2.388,2.837,12.091,23.558,113.468,74.764,-0.261,-53.462,-12.433,1.695,2.758,-7.87,-0.851,24.011,23.123,1.805,23.856,9.27,0.261,53.462,12.433,1.173,-2.758,7.87,-0.851,-24.011,-17.482,1.805,-23.856,9.27,7.893,53.462,24.454,7.42,12.018,17.869,2.869,24.011,23.123,5.376,23.977,9.319,88.664,37.12,-53.76,34.96,31.07,-51.17,39.6,2.626,-35.76,-60.48,-48.24,-26.8,-61.68,-62.5,1.578,6.16,45.04,-34.88,3.69,35.34,-29.53,1.424,-8.72,15.92,84.64,-7.14,23.35,79.63,1.496,-14.64,71.84,25.36,-12.52,71.68,24.58
0827-BK2-01-4,Salto C,13.396,345.043,-13.697,13.396,345.043,13.697,26.512,367.629,29.852,1.975,30.884,-3.292,6.823,192.55,-3.156,1.123,47.339,-9.529,3.475,74.27,2.28,1.975,30.884,3.292,6.823,192.55,3.156,1.123,47.339,9.529,3.475,74.27,-2.28,7.949,53.47,8.619,8.042,192.55,5.515,4.844,47.339,9.642,5.678,74.27,6.076,99.302,9.84,69.28,6.72,3.19,84.9,13.04,9.021,-6.16,-10.16,-21.68,-0.65,7.15,-23.45,12.378,-3.12,261.28,7.12,-0.86,283.04,4.04,2.618,-11.6,104.32,-4.56,-11.33,107.8,-11.6,3.111,5.6,96.56,13.44,7.72,94.42,10.19
0827-BK2-01-7,Salto C,7.833,335.385,-18.831,7.833,335.385,18.831,26.509,370.53,40.149,4.638,39.63,-6.026,5.902,189.296,-3.434,-0.728,39.466,-6.792,-1.979,66.992,-2.579,4.638,39.63,6.026,5.902,189.296,3.434,-0.728,39.466,6.792,-1.979,66.992,2.579,7.943,74.776,15.021,8.595,189.296,8.362,5.221,39.466,7.231,4.75,66.992,9.536,107.652,8.48,90.88,48.72,10.28,94.59,34.24,9.584,30.16,46.16,0.8,26.92,99.58,-12.44,13.167,47.92,337.84,68.0,28.12,323.43,16.55,1.544,15.04,80.0,-19.2,12.61,85.23,-19.39,2.49,4.0,78.8,-27.52,4.21,78.84,-18.81
0827-BK2-01-10,Salto C,-0.494,331.426,-1.235,0.494,331.426,1.235,38.409,349.547,38.421,3.073,34.638,2.693,-1.609,179.646,-1.873,0.024,41.344,-3.962,-1.982,75.798,1.906,3.073,34.638,2.693,-1.609,179.646,-1.873,0.024,41.344,2.321,-0.994,75.798,-1.906,13.238,52.758,14.732,14.467,179.646,11.702,5.154,41.344,6.298,5.55,75.798,5.69,110.062,13.44,32.48,-7.76,2.18,48.65,7.56,8.586,17.52,-8.16,-6.32,21.04,26.77,-14.06,16.447,-23.52,179.36,34.72,-19.11,238.81,12.68,2.219,3.6,92.16,-3.92,0.48,90.89,-5.34,3.252,0.32,80.16,5.36,-2.46,89.26,5.97
0827-BK2-01-13,Salto C,-4.152,337.023,-9.089,4.152,337.023,9.089,33.322,374.239,41.195,-0.707,27.275,-0.058,6.206,197.864,-7.066,-9.585,37.683,-6.462,-0.066,74.202,4.497,0.707,27.275,0.058,4.791,197.864,7.066,-1.412,37.683,6.462,0.066,74.202,-4.497,8.934,64.49,13.881,7.581,197.864,11.869,9.585,37.683,7.599,7.222,74.202,7.846,107.974,33.28,47.84,-3.84,17.26,71.24,14.83,8.765,-3.36,-73.04,-17.2,1.57,-45.89,-14.24,11.851,1.04,393.28,10.08,-0.64,371.52,-2.43,2.246,-28.64,92.64,-25.28,-25.66,87.73,-24.04,2.973,-10.64,96.72,4.4,-10.68,94.93,5.08
0827-BK2-01-16,Salto C,6.716,334.967,-10.616,6.716,334.967,10.616,28.523,370.937,44.115,1.749,26.614,-0.08,3.286,198.797,-4.587,2.834,50.152,-7.294,-1.153,59.404,1.346,1.749,26.614,0.08,3.286,198.797,4.587,2.834,50.152,7.294,-1.153,59.404,-1.346,8.121,62.584,12.872,12.054,198.797,15.299,3.459,50.152,7.45,4.889,59.404,8.493,105.454,13.92,57.28,-4.08,3.26,67.17,11.31,7.796,-3.76,-68.96,0.16,6.11,-37.07,-18.55,14.773,5.44,156.88,12.16,0.36,216.66,15.3,2.634,14.64,115.12,-13.52,13.69,115.28,-11.41,2.676,-11.04,55.92,3.44,-9.71,61.26,5.43
0827-BK2-01-19,Salto C,19.344,342.134,-15.91,19.344,342.134,15.91,35.4,381.519,40.589,5.649,31.776,-0.216,10.134,194.93,-6.93,4.046,60.61,-8.866,-0.484,54.817,0.102,5.649,31.776,0.216,10.134,194.93,6.93,4.046,60.61,8.866,-0.484,54.817,-0.102,11.922,71.161,10.729,15.829,194.93,14.863,4.282,60.61,9.023,3.368,54.817,5.973,108.073,4.32,56.48,0.8,0.92,76.72,11.41,8.13,5.68,-40.08,-5.44,13.38,-9.2,-15.02,9.306,-12.24,152.72,-16.0,-5.5,219.07,-8.95,2.743,23.6,121.28,-9.76,19.32,127.08,-19.44,2.695,1.84,72.24,-5.36,0.78,71.62,-6.31
0827-BK2-01-22,Salto C,1.013,341.46,-25.545,1.013,341.46,25.545,31.502,375.964,44.52,3.274,25.502,-4.193,8.718,206.601,-9.12,-5.203,52.525,-12.329,-5.777,56.831,0.097,3.274,25.502,4.193,8.718,206.601,9.12,-5.203,52.525,12.329,-5.777,56.831,-0.097,10.925,60.007,12.87,8.734,206.601,12.701,5.3,52.525,12.329,6.542,56.831,6.62,106.016,8.88,54.08,40.72,16.07,75.38,27.61,8.908,-4.8,-56.64,-24.96,-2.26,-28.1,-28.98,16.321,12.24,431.92,15.76,14.63,410.08,12.2,2.68,-8.48,124.64,-28.4,-9.91,124.07,-26.32,2.909,-7.92,61.12,1.84,-8.73,67.42,0.97
