SprungID,Sprungtyp,DJump_SIG_I_x LapEnd,DJump_SIG_I_y LapEnd,DJump_SIG_I_z LapEnd,DJump_I_ABS_x LapEnd,DJump_I_ABS_y LapEnd,DJump_I_ABS_z LapEnd,DJump_ABS_I_x LapEnd,DJump_ABS_I_y LapEnd,DJump_ABS_I_z LapEnd,DJump_SIG_I_S1_x LapEnd,DJump_SIG_I_S1_y LapEnd,DJump_SIG_I_S1_z LapEnd,DJump_SIG_I_S2_x LapEnd,DJump_SIG_I_S2_y LapEnd,DJump_SIG_I_S2_z LapEnd,DJump_SIG_I_S3_x LapEnd,DJump_SIG_I_S3_y LapEnd,DJump_SIG_I_S3_z LapEnd,DJump_SIG_I_S4_x LapEnd,DJump_SIG_I_S4_y LapEnd,DJump_SIG_I_S4_z LapEnd,DJump_I_ABS_S1_x LapEnd,DJump_I_ABS_S1_y LapEnd,DJump_I_ABS_S1_z LapEnd,DJump_I_ABS_S2_x LapEnd,DJump_I_ABS_S2_y LapEnd,DJump_I_ABS_S2_z LapEnd,DJump_I_ABS_S3_x LapEnd,DJump_I_ABS_S3_y LapEnd,DJump_I_ABS_S3_z LapEnd,DJump_I_ABS_S4_x LapEnd,DJump_I_ABS_S4_y LapEnd,DJump_I_ABS_S4_z LapEnd,DJump_ABS_I_S1_x LapEnd,DJump_ABS_I_S1_y LapEnd,DJump_ABS_I_S1_z LapEnd,DJump_ABS_I_S2_x LapEnd,DJump_ABS_I_S2_y LapEnd,DJump_ABS_I_S2_z LapEnd,DJump_ABS_I_S3_x LapEnd,DJump_ABS_I_S3_y LapEnd,DJump_ABS_I_S3_z LapEnd,DJump_ABS_I_S4_x LapEnd,DJump_ABS_I_S4_y LapEnd,DJump_ABS_I_S4_z LapEnd,0_Acc_N_Fil,0_Gyro_x_R,0_Gyro_y_R,0_Gyro_z_R,0_Gyro_x_Fil,0_Gyro_y_Fil,0_Gyro_z_Fil,20_Acc_N_Fil,20_Gyro_x_R,20_Gyro_y_R,20_Gyro_z_R,20_Gyro_x_Fil,20_Gyro_y_Fil,20_Gyro_z_Fil,40_Acc_N_Fil,40_Gyro_x_R,40_Gyro_y_R,40_Gyro_z_R,40_Gyro_x_Fil,40_Gyro_y_Fil,40_Gyro_z_Fil,60_Acc_N_Fil,60_Gyro_x_R,60_Gyro_y_R,60_Gyro_z_R,60_Gyro_x_Fil,60_Gyro_y_Fil,60_Gyro_z_Fil,80_Acc_N_Fil,80_Gyro_x_R,80_Gyro_y_R,80_Gyro_z_R,80_Gyro_x_Fil,80_Gyro_y_Fil,80_Gyro_z_Fil
0609-4-01-427,Salto C,-1.397,370.406,2.571,1.397,370.406,2.571,29.025,389.117,33.136,-2.321,68.181,1.532,-2.749,169.111,1.66,0.54,66.2,1.534,3.133,66.914,-2.155,2.321,68.181,1.532,2.749,169.111,1.66,-0.54,66.2,1.534,-3.133,66.914,-2.155,8.928,86.893,12.718,10.364,169.111,8.372,4.19,66.2,2.514,5.543,66.914,9.532,35.252,-6.862,96.314,13.41,-6.764,99.24,13.243,14.372,-10.787,412.243,-3.897,-10.364,406.858,-2.873,3.788,2.822,139.818,7.949,2.615,142.206,7.028,3.249,4.862,118.41,5.812,4.654,118.448,5.89,14.04,6.489,140.565,-2.556,5.83,134.521,-0.983
0609-4-01-428,Fliffis B,-112.793,-225.163,229.835,112.793,225.163,229.835,148.344,599.382,248.898,-10.457,-220.912,7.467,12.372,-156.388,50.203,-100.352,16.659,140.704,-14.355,135.479,31.461,10.457,220.912,7.467,-8.543,156.388,50.203,96.523,-16.659,140.704,14.355,-135.479,31.461,15.888,225.452,22.489,17.477,167.288,51.172,100.352,71.164,140.704,14.627,135.479,34.533,53.769,-27.493,-394.38,28.738,-26.091,-388.329,26.221,34.775,30.707,-555.109,29.004,29.807,-550.494,30.827,18.246,-106.554,-77.054,245.926,-106.183,-79.429,245.305,17.713,-166.514,164.297,251.266,-165.948,161.963,249.848,20.497,-18.883,297.916,47.565,-19.025,293.916,50.099
0609-4-01-432,Salto C,-8.238,359.754,2.11,8.238,359.754,2.11,24.119,383.773,25.317,-6.671,56.298,2.221,-1.7,177.618,0.584,-0.4,68.275,-0.091,0.533,57.564,-0.603,6.671,56.298,2.221,1.7,177.618,0.584,0.4,68.275,-0.091,-0.533,57.564,-0.603,9.242,80.317,8.164,5.38,177.618,6.403,2.66,68.275,1.929,6.836,57.564,8.822,32.447,-15.415,110.901,12.554,-15.038,112.368,11.885,14.032,-3.652,380.191,2.269,-4.404,376.842,2.903,4.572,0.158,168.761,-0.443,0.392,169.777,-0.31,3.058,-3.654,122.459,3.429,-3.485,122.141,3.287,13.055,2.182,120.692,1.458,1.953,115.357,0.865
0609-4-01-433,Fliffis B,-39.75,-271.643,247.396,39.75,271.643,247.396,99.178,637.921,266.731,-7.146,-217.931,7.686,13.145,-214.694,44.906,-43.049,38.647,166.125,-2.7,122.335,28.68,7.146,217.931,7.686,-1.148,214.694,44.906,31.051,-38.647,166.125,2.7,-122.335,28.68,13.347,224.404,18.992,15.096,214.694,44.906,51.494,76.489,166.125,19.242,122.335,36.708,54.472,-22.414,-399.637,23.405,-21.62,-393.229,24.555,42.522,31.514,-620.517,45.289,30.483,-617.47,45.729,20.456,-9.846,-153.212,260.602,-10.342,-154.011,260.208,19.973,-108.146,213.471,282.109,-107.376,211.274,281.418,16.757,5.695,261.636,49.394,3.65,257.705,50.279
0609-4-01-436,Salto C,17.48,343.214,18.591,17.48,343.214,18.591,38.493,343.214,32.67,-3.641,104.772,12.189,0.677,34.886,8.729,14.729,84.801,-3.612,5.715,118.755,1.285,3.641,104.772,12.189,-0.677,34.886,8.729,8.801,84.801,-3.612,5.715,118.755,1.285,11.206,104.772,13.38,6.203,34.886,8.729,14.729,84.801,5.646,6.355,118.755,4.915,33.629,-15.044,249.476,30.624,-15.148,249.022,29.843,3.9,-3.482,142.426,22.101,-2.919,141.551,22.622,5.331,35.856,87.55,14.189,35.449,88.857,14.142,7.163,19.617,239.59,-2.581,19.596,239.094,-2.572,22.155,13.138,282.618,3.92,13.348,280.39,4.284
0609-4-01-442,Strecksprung,-5.068,0.915,-1.498,5.068,0.915,1.498,19.592,93.593,37.122,-2.551,16.943,4.939,1.315,-17.469,3.01,-3.507,-13.589,-1.825,-0.325,15.029,-7.622,2.551,16.943,4.939,-1.315,-16.418,3.01,3.507,13.589,-1.825,0.325,-13.199,-4.626,6.182,32.348,9.066,3.419,17.469,3.534,3.738,13.589,11.587,6.255,30.188,12.934,29.298,-6.503,52.948,14.15,-7.173,52.956,13.832,1.2,-1.605,-31.139,10.43,-1.571,-30.821,10.432,0.83,-3.396,-37.056,18.668,-3.333,-37.216,18.404,1.371,-3.086,-22.019,-20.507,-3.154,-21.976,-20.181,19.531,0.11,50.037,-11.66,0.198,49.409,-10.968
0609-4-01-444,Strecksprung,-2.531,4.166,-3.792,2.531,4.166,3.792,19.173,93.177,26.842,-2.362,15.099,1.745,0.44,-10.307,2.302,-0.288,-9.62,-3.982,-0.32,8.993,-3.857,2.362,15.099,1.745,-0.44,-10.307,2.302,0.288,0.035,-3.982,0.32,-0.662,3.726,6.775,30.437,6.059,3.426,10.307,7.924,4.323,9.62,5.592,4.649,42.813,7.267,29.077,-4.643,47.697,7.944,-4.828,47.753,8.575,1.023,0.139,-24.611,14.581,0.121,-24.388,14.152,0.969,-5.817,-21.532,-13.739,-5.808,-21.119,-13.381,0.94,4.479,-12.935,2.462,4.606,-13.602,2.326,21.845,-0.887,31.018,-5.769,-0.786,31.179,-5.546
0609-4-01-445,Salto C,-6.544,360.295,8.57,6.544,360.295,8.57,24.424,385.27,30.279,-6.427,56.262,7.137,2.946,176.998,4.442,-1.687,65.924,0.125,-1.376,61.111,-3.133,6.427,56.262,7.137,-2.946,176.998,4.442,1.687,65.924,0.125,1.376,61.111,-3.133,9.063,81.236,12.736,6.268,176.998,7.286,3.252,65.924,1.777,5.842,61.111,8.48,32.882,-14.265,78.757,14.71,-14.583,81.855,13.983,14.365,1.528,411.569,17.479,1.604,407.904,18.098,4.216,-1.959,166.733,5.723,-1.682,167.525,5.724,2.945,3.109,115.918,2.212,2.662,115.415,2.032,12.705,-5.052,133.662,-4.144,-5.29,128.909,-2.762
0609-4-01-446,Fliffis B,-114.83,-143.41,226.72,114.83,143.41,226.72,146.363,605.223,252.391,-4.804,-224.712,4.999,-5.839,-132.852,73.729,-100.435,75.233,130.267,-3.752,138.921,17.725,4.804,224.712,4.999,5.839,132.852,73.729,100.435,-75.233,130.267,3.752,-138.921,17.725,12.359,237.682,23.263,23.931,135.034,74.302,100.435,93.585,130.267,9.639,138.921,24.558,55.171,-17.23,-372.477,15.955,-15.948,-367.547,14.372,30.568,26.456,-434.343,57.882,25.307,-434.853,57.709,19.22,-157.544,-64.033,290.646,-156.895,-61.936,290.54,15.945,-132.432,246.323,179.567,-132.671,244.47,179.615,29.04,1.081,284.654,22.297,0.915,282.508,22.653
0609-4-01-449,Salto C,-9.754,359.617,2.274,9.754,359.617,2.274,31.926,374.623,30.106,-11.431,77.212,5.148,5.93,143.924,5.606,1.728,71.112,-2.504,-5.982,67.369,-5.976,11.431,77.212,5.148,-5.93,143.924,5.606,-1.728,71.112,-2.504,5.982,67.369,-5.976,12.336,92.218,9.17,8.725,143.924,11.628,1.835,71.112,2.506,9.031,67.369,6.801,31.945,-19.11,110.723,7.195,-19.163,115.685,6.905,12.15,3.663,372.038,31.869,3.182,365.095,30.893,4.636,3.148,159.557,-5.989,3.45,160.999,-5.552,3.518,-0.283,127.358,-2.933,-0.417,127.191,-3.064,11.648,-12.241,148.749,-9.725,-11.941,143.369,-8.852
