SprungID,Sprungtyp,std_Acc_N_Fil,std_Gyro_x_R,std_Gyro_y_R,std_Gyro_z_R,std_Gyro_x_Fil,std_Gyro_y_Fil,std_Gyro_z_Fil
20191007-1159-FRANKFURT_1-01-35,Salto C,18.655,26.238,235.902,44.76,18.241,225.819,32.041
20190930-1247-FRANKFURT_2-01-341,Salto A,23.502,16.08,48.085,27.021,11.564,38.523,20.383
20191008-1157-FRANKFURT_1-01-168,Strecksprung,22.412,15.013,74.615,28.508,12.319,71.779,24.924
0827-BK2-01-34,Salto C,25.049,26.004,180.265,27.734,23.758,172.091,22.804
20191003-1152-FRANKFURT_1-01-121,Strecksprung,21.829,15.451,65.637,15.984,12.91,62.75,12.801
0609-1-01-386,Salto C,23.893,21.472,196.804,29.42,18.547,190.396,22.107
20191007-1159-FRANKFURT_1-01-432,Salto B,25.553,27.248,72.581,49.176,22.03,56.782,34.822
0115-JANEIKE-01-7,Strecksprung,27.332,12.671,67.532,16.493,10.627,62.215,11.14
20191008-1207-FRANKFURT_2-01-313,1 3/4 Salto vw B,23.239,97.063,250.043,142.124,81.657,220.63,81.753
20190930-1153-FRANKFURT_1-01-79,Barani A,23.48,79.345,155.05,81.458,78.4,152.667,80.357
20191008-1207-FRANKFURT_2-01-217,Schraubensalto A,21.832,113.54,162.765,133.669,111.244,158.853,129.021
20191003-1152-FRANKFURT_1-01-76,Barani A,20.012,86.928,179.709,77.962,85.318,177.207,75.434
20191007-1150-FRANKFURT_2-01-107,Salto B,19.359,25.466,199.165,33.054,19.678,190.221,24.249
20191001-1148-FRANKFURT_1-01-120,Salto rw A,21.848,19.474,75.47,42.936,15.038,57.388,24.255
0609-4-01-421,Strecksprung,24.896,25.45,66.912,31.509,22.862,60.584,27.914
0609-4-01-86,Strecksprung,22.52,10.886,33.834,15.196,8.299,32.068,12.363
0110-MORITZ-01-118,Strecksprung,22.277,14.126,72.125,19.62,12.766,67.624,13.702
0115-JANEIKE-01-15,Triffis C,27.408,134.6,480.073,186.081,131.416,475.819,181.148
20191007-1524-FRANKFURT_1-01-116,Salto A,24.809,32.686,114.768,84.89,22.485,69.281,45.633
0115-MORITZ-03-54,Strecksprung,27.336,11.133,59.267,18.624,9.707,54.471,14.865
20191007-1534-FRANKFURT_2-01-53,Strecksprung,21.482,21.701,47.521,29.075,18.765,40.957,23.344
20191001-1202-FRANKFURT_2-01-141,Salto A,19.93,16.27,70.255,83.079,11.381,52.07,25.013
0609-4-01-510,Salto C,17.646,12.805,61.161,13.83,11.296,56.256,10.063
0609-4-01-63,Fliffis B,25.218,86.969,366.381,132.281,84.957,354.589,127.507
0609-1-01-866,Doppelsalto C,20.21,24.126,262.466,34.759,21.123,257.135,25.966
20191001-1202-FRANKFURT_2-01-36,Strecksprung,22.506,22.026,76.279,58.029,17.788,69.926,33.798
20190930-1616-FRANKFURT_1-01-182,Doppelsalto B,23.358,39.801,256.035,56.534,30.579,243.154,28.808
0115-MORITZ-03-165,Fliffis- Rudi B,21.794,246.424,405.33,281.341,243.124,398.271,272.621
