SprungID,Sprungtyp,Acc_N_Fil,Gyro_x_R,Gyro_y_R,Gyro_z_R,Gyro_x_Fil,Gyro_y_Fil,Gyro_z_Fil
generated_Mean_Salto C,Salto C,98.505,5.358,140.745,1.942,6.529,145.128,-0.278
generated_Mean_Salto C,Salto C,82.21,4.714,174.367,-1.179,4.995,171.99,-1.557
generated_Mean_Salto C,Salto C,55.674,4.313,203.572,-5.565,4.072,189.101,-3.848
generated_Mean_Salto C,Salto C,30.078,2.328,173.059,-2.913,2.543,162.693,-1.473
generated_Mean_Salto C,Salto C,11.317,0.065,104.485,7.407,1.141,100.113,4.785
generated_Mean_Salto C,Salto C,6.826,2.621,17.698,5.334,2.774,25.538,3.043
generated_Mean_Salto C,Salto C,8.201,6.729,-30.757,-8.141,4.748,-20.954,-3.39
generated_Mean_Salto C,Salto C,9.171,2.637,-41.35,1.656,1.471,-40.293,0.459
generated_Mean_Salto C,Salto C,10.353,-6.689,-62.426,5.363,-5.16,-47.049,2.68
generated_Mean_Salto C,Salto C,10.541,-8.998,-20.555,-1.559,-7.467,-7.099,-2.372
generated_Mean_Salto C,Salto C,10.004,-4.796,65.294,-11.679,-5.512,80.286,-10.481
generated_Mean_Salto C,Salto C,10.502,-5.153,209.39,-17.015,-5.232,211.466,-14.149
generated_Mean_Salto C,Salto C,11.755,-5.955,356.394,-8.934,-4.807,345.236,-9.768
generated_Mean_Salto C,Salto C,13.988,-1.219,455.498,-5.682,-1.067,439.989,-6.623
generated_Mean_Salto C,Salto C,16.093,3.508,496.227,-7.615,3.42,484.727,-6.394
generated_Mean_Salto C,Salto C,17.738,7.95,497.285,-3.658,7.151,492.737,-3.868
generated_Mean_Salto C,Salto C,19.821,8.854,487.661,-1.43,8.75,485.226,-1.773
generated_Mean_Salto C,Salto C,20.449,9.583,473.262,-0.936,9.543,469.674,-0.534
generated_Mean_Salto C,Salto C,18.589,9.695,446.057,2.127,10.326,443.277,1.255
generated_Mean_Salto C,Salto C,16.524,12.687,411.487,1.448,12.494,406.508,0.811
generated_Mean_Salto C,Salto C,13.842,14.567,356.249,-1.479,14.444,356.547,-1.263
generated_Mean_Salto C,Salto C,11.119,16.481,304.78,-2.396,16.347,308.43,-3.59
generated_Mean_Salto C,Salto C,9.287,18.816,270.617,-8.698,17.613,270.463,-7.998
generated_Mean_Salto C,Salto C,7.514,16.026,234.327,-11.307,15.532,236.499,-9.933
generated_Mean_Salto C,Salto C,6.032,11.635,207.826,-9.008,11.911,209.526,-8.335
generated_Mean_Salto C,Salto C,4.975,8.798,185.828,-5.021,9.441,187.648,-6.078
generated_Mean_Salto C,Salto C,4.383,8.471,169.757,-6.108,8.239,170.504,-5.448
generated_Mean_Salto C,Salto C,4.083,6.351,155.288,-3.695,6.731,156.471,-4.032
generated_Mean_Salto C,Salto C,3.993,6.017,144.863,-3.105,6.169,145.863,-3.191
generated_Mean_Salto C,Salto C,3.963,6.119,137.497,-2.634,6.15,138.097,-2.722
generated_Mean_Salto C,Salto C,3.979,6.159,131.659,-2.236,6.196,132.059,-2.493
generated_Mean_Salto C,Salto C,4.007,6.424,126.877,-2.866,6.31,126.985,-2.838
generated_Mean_Salto C,Salto C,4.005,6.285,122.055,-3.139,6.204,122.192,-3.216
generated_Mean_Salto C,Salto C,3.971,5.846,117.542,-3.92,5.772,117.731,-3.741
generated_Mean_Salto C,Salto C,3.932,5.104,113.67,-3.843,5.25,113.78,-3.983
generated_Mean_Salto C,Salto C,3.9,5.153,110.047,-4.53,4.944,110.011,-4.465
generated_Mean_Salto C,Salto C,3.901,4.219,105.801,-4.947,4.106,106.091,-4.935
generated_Mean_Salto C,Salto C,3.912,2.838,102.751,-5.378,2.973,102.613,-5.296
generated_Mean_Salto C,Salto C,3.941,2.06,98.858,-5.39,2.009,98.907,-5.511
generated_Mean_Salto C,Salto C,4.071,1.095,94.826,-6.194,0.892,95.277,-5.974
generated_Mean_Salto C,Salto C,4.304,-0.74,92.453,-6.215,-0.849,92.818,-5.798
generated_Mean_Salto C,Salto C,4.632,-3.105,90.931,-4.765,-2.999,91.428,-3.918
generated_Mean_Salto C,Salto C,5.125,-5.181,90.29,0.304,-4.696,91.794,0.406
generated_Mean_Salto C,Salto C,5.547,-5.612,93.914,6.523,-4.504,97.437,5.343
generated_Mean_Salto C,Salto C,5.401,-1.164,111.678,8.126,-1.129,114.7,6.394
generated_Mean_Salto C,Salto C,5.422,2.781,139.72,1.726,2.832,143.412,1.735
generated_Mean_Salto C,Salto C,10.866,6.23,182.708,-3.008,7.459,184.257,-3.707
generated_Mean_Salto C,Salto C,27.588,16.422,247.927,-12.268,13.651,226.306,-9.34
generated_Mean_Salto C,Salto C,54.654,11.407,221.163,-8.169,14.043,210.443,-8.909
generated_Mean_Salto C,Salto C,85.052,22.889,152.067,-9.47,16.958,151.773,-7.142
generated_Mean_Strecksprung,Strecksprung,90.805,0.395,93.06,-4.66,0.741,98.299,-6.383
generated_Mean_Strecksprung,Strecksprung,79.541,-0.334,95.055,-6.082,0.007,94.136,-5.703
generated_Mean_Strecksprung,Strecksprung,57.724,0.065,91.311,-4.676,-0.225,89.593,-4.237
generated_Mean_Strecksprung,Strecksprung,34.289,-0.98,80.531,-2.35,-1.196,79.101,-1.52
generated_Mean_Strecksprung,Strecksprung,15.671,-3.179,66.664,4.382,-2.605,64.817,3.559
generated_Mean_Strecksprung,Strecksprung,5.783,-2.54,44.841,8.113,-2.262,46.718,6.491
generated_Mean_Strecksprung,Strecksprung,2.945,-0.887,30.359,5.398,-1.267,34.033,5.784
generated_Mean_Strecksprung,Strecksprung,2.351,-1.193,32.226,5.059,-1.169,30.147,5.582
generated_Mean_Strecksprung,Strecksprung,2.112,-1.127,22.436,6.631,-1.132,22.004,5.936
generated_Mean_Strecksprung,Strecksprung,1.844,-1.136,11.156,5.274,-0.956,12.623,5.224
generated_Mean_Strecksprung,Strecksprung,1.539,-0.298,6.363,3.929,-0.212,6.911,4.19
generated_Mean_Strecksprung,Strecksprung,1.405,0.975,2.653,3.814,0.627,2.308,3.873
generated_Mean_Strecksprung,Strecksprung,1.284,0.666,-3.18,3.902,0.598,-3.217,3.813
generated_Mean_Strecksprung,Strecksprung,1.205,0.177,-9.009,3.66,0.318,-8.936,3.37
generated_Mean_Strecksprung,Strecksprung,1.16,0.224,-14.381,2.336,0.376,-14.496,2.335
generated_Mean_Strecksprung,Strecksprung,1.11,0.874,-20.261,0.838,0.797,-20.162,1.289
