SprungID,Sprungtyp,mean_Acc_N_Fil,std_Acc_N_Fil,mean_Gyro_x_R,std_Gyro_x_R,mean_Gyro_y_R,std_Gyro_y_R,mean_Gyro_z_R,std_Gyro_z_R,mean_Gyro_x_Fil,std_Gyro_x_Fil,mean_Gyro_y_Fil,std_Gyro_y_Fil,mean_Gyro_z_Fil,std_Gyro_z_Fil
generated_Mean_Salto C,Salto C,32.282,33.317,1.303,20.524,65.877,119.77,0.246,32.18,1.56,15.409,67.911,106.268,-0.189,19.794
generated_Mean_Salto C,Salto C,15.546,5.135,3.521,20.561,389.868,178.428,-5.343,27.412,3.511,16.76,385.923,167.208,-5.155,19.434
generated_Mean_Salto C,Salto C,6.921,4.032,11.329,16.279,216.739,87.082,-5.343,20.419,11.26,12.407,218.032,81.74,-5.256,13.058
generated_Mean_Salto C,Salto C,3.962,0.562,4.521,7.088,112.406,21.239,-4.244,9.324,4.468,6.015,112.563,20.238,-4.246,7.719
generated_Mean_Salto C,Salto C,20.859,27.217,4.395,21.732,142.255,84.576,-2.706,32.635,4.077,15.416,140.413,69.278,-2.486,20.411
generated_Mean_Strecksprung,Strecksprung,29.302,33.531,-1.096,18.873,56.752,48.943,1.712,30.53,-1.009,14.603,57.139,41.173,1.475,21.901
generated_Mean_Strecksprung,Strecksprung,1.169,0.459,0.948,10.04,-16.225,21.912,2.528,18.718,0.898,8.07,-16.09,19.459,2.543,14.99
generated_Mean_Strecksprung,Strecksprung,0.982,0.292,-1.145,7.477,-36.988,12.75,1.092,14.125,-1.108,6.322,-36.873,11.029,1.1,12.102
generated_Mean_Strecksprung,Strecksprung,1.003,0.269,-1.535,6.746,-28.414,12.017,1.321,11.715,-1.548,5.805,-28.404,10.512,1.35,9.916
generated_Mean_Strecksprung,Strecksprung,22.075,28.662,-0.178,16.236,30.049,72.256,-1.016,27.16,-0.161,11.88,29.747,62.519,-1.024,17.301
generated_Mean_Salto B,Salto B,32.707,33.249,3.349,24.883,51.926,137.589,-6.39,42.044,3.908,18.798,52.477,123.91,-6.888,24.227
generated_Mean_Salto B,Salto B,14.15,6.418,2.797,22.951,234.359,266.401,-7.116,37.448,2.996,18.833,234.384,255.455,-7.214,26.673
generated_Mean_Salto B,Salto B,15.356,8.366,19.656,22.062,355.412,139.49,-16.821,25.992,19.457,18.398,354.471,133.09,-16.577,19.163
generated_Mean_Salto B,Salto B,4.638,0.729,4.019,9.387,114.764,26.496,-7.182,13.361,4.025,8.095,115.648,25.41,-7.303,11.054
generated_Mean_Salto B,Salto B,22.871,28.96,6.283,22.401,154.13,83.96,-8.713,41.944,5.874,15.197,152.439,65.506,-8.119,25.684
generated_Mean_Salto A,Salto A,30.017,32.944,6.291,23.847,129.881,80.209,-9.734,47.351,6.439,16.186,129.43,59.894,-10.895,25.86
generated_Mean_Salto A,Salto A,7.813,1.16,0.908,13.882,139.824,53.238,-10.979,18.033,1.05,10.673,139.729,48.486,-10.93,12.418
generated_Mean_Salto A,Salto A,6.893,0.483,6.148,9.96,153.036,21.944,-11.091,11.031,6.087,8.268,152.894,20.083,-11.081,8.612
generated_Mean_Salto A,Salto A,7.079,0.537,-0.294,7.633,115.79,19.708,-9.985,11.077,-0.29,6.54,116.087,18.417,-9.952,9.197
generated_Mean_Salto A,Salto A,23.917,28.304,2.181,24.756,142.665,90.991,-16.301,61.298,1.876,15.603,142.443,65.084,-14.503,25.947
generated_Mean_Barani A,Barani A,33.632,33.689,-20.459,35.482,-159.602,119.56,60.686,69.538,-20.123,29.225,-158.36,98.918,60.045,44.125
generated_Mean_Barani A,Barani A,8.52,1.342,-80.417,41.454,-111.9,33.978,124.535,41.549,-80.439,39.819,-111.587,29.08,125.157,38.438
generated_Mean_Barani A,Barani A,9.905,0.695,-116.865,30.081,21.16,71.832,221.378,36.435,-116.187,28.67,20.766,69.849,219.935,33.794
generated_Mean_Barani A,Barani A,8.534,0.604,-30.111,27.646,142.113,30.01,86.536,53.12,-30.575,26.79,142.206,28.641,86.992,51.81
generated_Mean_Barani A,Barani A,24.054,27.019,2.161,30.223,238.242,86.536,-1.804,58.281,2.003,20.412,237.745,62.335,-0.589,31.459
generated_Mean_Doppelsalto C,Doppelsalto C,32.366,27.526,10.769,25.627,158.981,122.248,-19.018,50.82,11.276,18.689,160.681,103.026,-19.53,28.281
generated_Mean_Doppelsalto C,Doppelsalto C,38.535,10.466,-1.056,23.608,552.111,237.799,-10.452,37.934,-1.021,17.01,550.643,227.146,-10.452,20.291
generated_Mean_Doppelsalto C,Doppelsalto C,49.085,6.316,34.402,31.25,768.051,75.914,-8.693,34.043,34.216,25.93,764.942,68.427,-8.735,21.021
generated_Mean_Doppelsalto C,Doppelsalto C,15.939,7.605,37.299,27.979,327.22,149.748,-24.702,33.123,37.142,23.609,329.826,141.455,-24.602,19.395
generated_Mean_Doppelsalto C,Doppelsalto C,22.82,23.878,8.215,22.371,228.789,78.778,-18.528,42.274,8.24,16.233,226.11,61.854,-17.459,27.27
generated_Mean_3/4 Salto rw A,3/4 Salto rw A,30.893,35.292,4.799,15.007,90.755,49.976,6.748,28.078,4.91,10.575,90.787,39.303,6.865,17.559
generated_Mean_3/4 Salto rw A,3/4 Salto rw A,3.893,0.709,2.315,9.917,80.489,38.716,-6.605,13.616,2.383,8.061,80.974,35.59,-6.632,9.46
generated_Mean_3/4 Salto rw A,3/4 Salto rw A,4.013,0.455,7.535,9.861,142.284,15.106,-6.372,12.233,7.529,7.871,141.92,12.886,-6.242,9.001
generated_Mean_3/4 Salto rw A,3/4 Salto rw A,4.647,0.639,0.5,6.77,132.36,16.188,-10.131,14.06,0.44,5.474,132.639,12.698,-9.87,10.944
generated_Mean_3/4 Salto rw A,3/4 Salto rw A,23.472,30.863,11.266,25.187,134.122,89.527,-18.035,62.4,11.158,17.578,131.362,76.855,-17.609,36.882
generated_Mean_Cody C,Cody C,41.605,38.02,-15.06,45.449,-63.62,158.967,20.656,67.366,-14.659,30.732,-55.919,111.445,20.249,38.64
generated_Mean_Cody C,Cody C,27.641,6.612,3.727,29.35,401.757,154.811,-6.704,43.905,2.924,22.316,395.199,140.593,-6.815,27.146
generated_Mean_Cody C,Cody C,11.106,5.737,-13.973,26.216,183.486,119.494,-14.696,51.568,-13.228,17.222,184.831,97.236,-14.757,22.863
generated_Mean_Cody C,Cody C,6.457,0.805,-4.893,8.161,109.568,21.785,-0.706,12.12,-5.077,6.73,109.87,20.225,-0.712,9.715
generated_Mean_Cody C,Cody C,20.911,24.626,-2.65,28.474,156.273,89.335,-6.779,60.325,-3.236,19.235,156.257,64.753,-6.153,32.247
generated_Mean_Schraubensalto,Schraubensalto,29.954,33.874,20.14,43.22,196.014,57.407,43.816,53.773,21.249,38.951,196.035,48.354,44.473,47.063
generated_Mean_Schraubensalto,Schraubensalto,4.583,1.131,100.283,39.967,36.231,68.966,105.348,46.497,99.797,38.609,35.355,67.666,105.195,44.867
generated_Mean_Schraubensalto,Schraubensalto,10.587,1.726,45.554,105.116,-153.961,46.776,176.318,34.208,45.406,101.979,-151.6,45.188,176.131,32.523
generated_Mean_Schraubensalto,Schraubensalto,9.545,1.54,-30.874,32.24,97.213,76.939,150.617,84.702,-30.621,30.86,95.978,75.764,150.161,82.881
generated_Mean_Schraubensalto,Schraubensalto,21.38,26.184,-5.528,31.611,217.437,57.747,31.056,60.512,-5.786,26.218,215.685,43.727,31.131,44.799
generated_Mean_Rudi,Rudi,34.24,31.555,-20.662,42.698,-232.807,139.797,136.737,122.883,-19.985,37.245,-230.619,123.221,139.266,113.931
generated_Mean_Rudi,Rudi,16.648,2.743,100.823,99.377,-62.053,84.587,588.527,102.608,100.862,95.242,-63.966,76.741,585.489,94.272
generated_Mean_Rudi,Rudi,16.758,2.122,199.927,98.937,-79.655,116.044,600.734,60.582,198.581,93.204,-76.979,105.209,598.96,56.175
