SprungID,Sprungtyp,0_Acc_N_Fil,0_Gyro_x_R,0_Gyro_y_R,0_Gyro_z_R,0_Gyro_x_Fil,0_Gyro_y_Fil,0_Gyro_z_Fil,20_Acc_N_Fil,20_Gyro_x_R,20_Gyro_y_R,20_Gyro_z_R,20_Gyro_x_Fil,20_Gyro_y_Fil,20_Gyro_z_Fil,40_Acc_N_Fil,40_Gyro_x_R,40_Gyro_y_R,40_Gyro_z_R,40_Gyro_x_Fil,40_Gyro_y_Fil,40_Gyro_z_Fil,60_Acc_N_Fil,60_Gyro_x_R,60_Gyro_y_R,60_Gyro_z_R,60_Gyro_x_Fil,60_Gyro_y_Fil,60_Gyro_z_Fil,80_Acc_N_Fil,80_Gyro_x_R,80_Gyro_y_R,80_Gyro_z_R,80_Gyro_x_Fil,80_Gyro_y_Fil,80_Gyro_z_Fil
0110-MORITZ-01-142,Voll- ein- halb- aus B,50.45,57.135,-291.444,-86.745,54.625,-283.449,-92.229,30.015,-570.933,-44.563,-546.248,-563.664,-50.574,-538.695,39.761,-292.506,-604.953,-182.571,-294.031,-597.168,-185.632,18.576,-20.514,96.998,-388.718,-23.021,92.924,-383.897,30.434,-0.574,330.291,-30.881,0.153,327.583,-35.563
20191008-1157-FRANKFURT_1-01-200,Barani A,28.326,20.323,-170.768,59.756,18.051,-170.194,62.562,8.565,-146.202,-145.15,145.538,-145.086,-142.692,146.517,9.65,-120.795,67.727,276.747,-120.43,66.613,274.043,7.519,-8.025,163.988,22.294,-9.488,165.697,24.556,25.937,-12.234,296.408,-22.938,-10.602,294.531,-23.166
20191007-1534-FRANKFURT_2-01-29,Strecksprung,33.071,-5.837,51.981,8.308,-4.479,54.495,7.55,1.438,-13.363,-49.158,-11.858,-12.205,-47.699,-11.623,1.253,2.603,-34.967,17.022,1.812,-35.936,16.347,1.89,-1.328,6.89,-11.761,-1.423,6.81,-11.473,25.911,20.31,42.369,-6.441,19.495,41.625,-3.379
20190930-1153-FRANKFURT_1-01-219,Salto A,28.182,7.253,149.16,4.494,7.69,148.734,5.098,5.988,19.86,198.29,2.188,19.781,197.663,2.286,5.486,19.911,199.003,-0.331,19.674,198.798,-0.917,4.91,-0.119,111.104,0.322,0.271,111.838,0.383,22.566,32.127,230.557,11.419,31.731,230.769,11.32
0827-BK1-01-119,Salto A,32.724,11.107,148.502,-9.28,10.07,149.316,-9.182,6.648,14.904,197.957,-2.379,14.808,197.482,-2.548,6.232,2.599,209.278,-8.82,2.836,209.05,-9.176,5.373,12.087,182.852,-1.67,12.062,182.591,-1.581,21.226,12.293,145.119,13.564,12.105,144.048,13.432
20190930-1247-FRANKFURT_2-01-295,Salto A,30.804,3.327,217.547,2.934,4.611,215.935,2.926,6.981,16.69,198.208,-24.635,16.142,198.364,-24.014,6.494,3.433,204.489,-16.955,3.404,204.305,-17.222,6.681,-10.853,157.747,-16.74,-10.735,158.397,-16.594,24.741,-14.144,194.114,-21.585,-15.128,193.602,-21.564
0609-1-01-519,Doppelsalto B,28.01,18.803,131.3,-37.184,19.246,135.398,-37.405,23.848,-36.839,439.771,2.41,-36.574,435.055,2.584,38.069,-11.355,756.225,0.617,-10.752,752.208,0.861,14.977,50.927,321.466,-2.541,50.087,325.657,-3.141,21.483,13.287,223.72,-25.53,14.468,220.4,-24.066
0110-MORITZ-01-110,Salto C,33.628,2.717,22.674,15.324,1.566,28.058,14.882,15.907,-21.328,419.797,34.006,-20.905,413.641,33.846,3.337,8.494,161.88,3.131,8.779,162.844,3.365,2.732,-1.679,88.442,-2.957,-1.755,88.628,-2.912,20.522,2.687,126.505,7.534,2.144,122.579,7.481
20191008-1207-FRANKFURT_2-01-362,Doppelsalto C,33.546,1.945,166.461,-43.305,4.535,171.364,-39.284,33.638,61.836,530.582,-36.81,61.279,524.788,-39.928,49.453,190.66,706.818,-80.64,189.86,706.31,-80.01,26.829,111.611,438.224,-112.902,111.399,439.316,-112.857,16.555,49.719,269.43,-62.652,48.048,264.277,-57.227
20190930-1247-FRANKFURT_2-01-292,Salto B,42.535,1.553,38.273,11.319,2.126,41.667,10.782,16.064,14.049,245.023,-22.358,13.747,245.533,-21.528,16.554,6.57,378.582,-26.479,6.74,377.979,-27.082,4.764,4.617,128.564,-7.642,4.283,127.918,-7.667,15.813,3.467,152.901,8.926,0.862,150.948,12.873
20190930-1247-FRANKFURT_2-01-118,Strecksprung,30.352,-6.667,73.213,16.539,-6.274,73.504,16.777,1.089,-4.884,-36.271,18.412,-4.805,-35.681,18.395,0.966,1.627,-40.141,-20.001,1.782,-40.242,-19.672,1.322,-0.933,-40.541,-2.387,-0.882,-40.762,-2.512,20.22,-0.384,47.007,4.238,-1.305,46.797,3.293
0609-4-01-289,Salto C,32.673,-9.875,86.979,7.634,-9.55,89.277,7.143,15.567,10.713,436.72,-6.452,10.221,430.343,-5.557,3.852,3.073,165.067,8.124,2.896,168.274,7.736,2.997,7.541,112.063,-1.884,7.538,111.662,-1.923,11.896,5.603,114.738,-1.922,5.205,109.602,-2.33
20191007-1524-FRANKFURT_1-01-39,Barani A,28.361,-76.337,-176.101,100.045,-74.986,-174.533,98.07,8.18,-75.817,-169.447,95.515,-77.362,-168.51,97.169,9.336,-146.291,-17.988,274.413,-144.915,-17.939,272.155,7.572,-51.037,157.72,140.222,-51.294,156.692,140.599,26.84,21.257,281.374,-0.913,22.181,281.116,10.54
0609-1-01-387,Doppelsalto B,29.085,2.513,118.3,-17.12,4.202,119.823,-17.392,26.854,-21.505,498.865,10.726,-22.387,496.593,11.045,43.119,22.487,773.483,14.248,22.036,769.746,13.26,11.488,46.171,290.801,-29.93,46.627,294.567,-28.509,24.88,-5.514,197.183,-15.042,-5.848,196.39,-15.07
20191007-1159-FRANKFURT_1-01-449,Salto B,39.261,-17.245,154.982,-13.785,-17.771,151.513,-13.862,8.636,1.206,-1.948,6.823,0.825,3.603,5.599,19.112,49.032,507.045,-11.667,48.653,501.444,-9.923,5.318,-0.94,144.754,-45.018,0.188,148.46,-45.561,23.798,-24.851,207.29,-31.144,-24.302,203.99,-31.995
0609-1-01-880,Bauchsprung,28.144,-3.439,1.578,2.156,-3.496,1.816,2.209,0.66,-6.553,-47.601,-4.582,-6.327,-48.117,-4.878,1.61,13.102,-102.914,-15.233,12.892,-102.469,-14.909,1.359,6.801,-39.682,7.993,6.578,-38.764,7.999,26.961,-11.24,74.409,-14.457,-10.596,72.319,-11.71
20191003-1152-FRANKFURT_1-01-69,Strecksprung,28.811,-11.543,51.705,-1.955,-11.373,54.358,-1.646,0.945,4.342,27.867,11.17,4.477,25.9,10.53,0.859,3.757,-47.341,5.725,3.502,-46.846,5.741,0.943,0.979,-42.147,12.38,0.989,-42.359,12.044,18.55,-12.692,12.841,-9.03,-12.891,12.365,-8.751
0115-CHARI-05-87,Salto B,32.682,-2.079,14.793,8.257,-1.96,16.842,7.319,18.372,-5.497,350.977,-31.715,-5.119,347.856,-30.866,9.165,-10.178,255.151,3.769,-10.665,255.908,3.512,4.444,10.921,142.56,-6.934,10.759,141.972,-6.605,17.416,-5.948,112.63,-31.386,-4.771,110.442,-30.314
