SprungID,Sprungtyp,0_mean_Acc_N_Fil,0_std_Acc_N_Fil,0_mean_Gyro_x_R,0_std_Gyro_x_R,0_mean_Gyro_y_R,0_std_Gyro_y_R,0_mean_Gyro_z_R,0_std_Gyro_z_R,0_mean_Gyro_x_Fil,0_std_Gyro_x_Fil,0_mean_Gyro_y_Fil,0_std_Gyro_y_Fil,0_mean_Gyro_z_Fil,0_std_Gyro_z_Fil,20_mean_Acc_N_Fil,20_std_Acc_N_Fil,20_mean_Gyro_x_R,20_std_Gyro_x_R,20_mean_Gyro_y_R,20_std_Gyro_y_R,20_mean_Gyro_z_R,20_std_Gyro_z_R,20_mean_Gyro_x_Fil,20_std_Gyro_x_Fil,20_mean_Gyro_y_Fil,20_std_Gyro_y_Fil,20_mean_Gyro_z_Fil,20_std_Gyro_z_Fil,40_mean_Acc_N_Fil,40_std_Acc_N_Fil,40_mean_Gyro_x_R,40_std_Gyro_x_R,40_mean_Gyro_y_R,40_std_Gyro_y_R,40_mean_Gyro_z_R,40_std_Gyro_z_R,40_mean_Gyro_x_Fil,40_std_Gyro_x_Fil,40_mean_Gyro_y_Fil,40_std_Gyro_y_Fil,40_mean_Gyro_z_Fil,40_std_Gyro_z_Fil,60_mean_Acc_N_Fil,60_std_Acc_N_Fil,60_mean_Gyro_x_R,60_std_Gyro_x_R,60_mean_Gyro_y_R,60_std_Gyro_y_R,60_mean_Gyro_z_R,60_std_Gyro_z_R,60_mean_Gyro_x_Fil,60_std_Gyro_x_Fil,60_mean_Gyro_y_Fil,60_std_Gyro_y_Fil,60_mean_Gyro_z_Fil,60_std_Gyro_z_Fil,80_mean_Acc_N_Fil,80_std_Acc_N_Fil,80_mean_Gyro_x_R,80_std_Gyro_x_R,80_mean_Gyro_y_R,80_std_Gyro_y_R,80_mean_Gyro_z_R,80_std_Gyro_z_R,80_mean_Gyro_x_Fil,80_std_Gyro_x_Fil,80_mean_Gyro_y_Fil,80_std_Gyro_y_Fil,80_mean_Gyro_z_Fil,80_std_Gyro_z_Fil
0609-1-01-692,Bauchsprung,26.927,30.002,-8.924,12.534,-15.918,61.821,7.252,8.353,-8.685,11.386,-15.855,57.147,7.342,5.306,0.659,0.282,-5.149,5.129,-63.412,8.208,-9.185,16.039,-5.083,3.448,-63.838,6.145,-9.297,13.204,0.8,0.33,7.607,5.941,-74.51,10.859,-2.696,8.23,7.435,4.991,-74.111,7.186,-2.229,7.03,1.059,0.312,-10.024,12.378,-36.399,13.789,7.085,8.526,-9.824,11.668,-35.674,12.35,6.392,4.92,26.387,33.16,-7.061,20.95,65.337,65.372,-24.067,28.368,-6.633,12.132,64.722,41.613,-21.586,15.529
20191008-1207-FRANKFURT_2-01-262,Strecksprung,24.771,30.726,22.616,25.421,97.243,56.219,43.444,39.975,22.09,22.867,97.979,29.828,41.639,24.07,1.566,0.929,2.545,10.479,-24.74,61.266,-36.685,42.445,3.217,7.801,-25.766,58.883,-35.706,35.246,1.488,0.371,-11.188,14.509,-56.889,32.853,2.029,30.243,-11.318,11.312,-56.111,26.986,2.425,25.047,1.216,0.394,1.211,12.734,-18.435,14.903,-6.469,25.78,1.053,11.097,-18.632,9.481,-6.717,21.75,26.823,35.667,1.469,10.334,75.377,84.707,9.8,22.87,1.15,4.658,77.296,75.404,8.624,8.607
20191001-1148-FRANKFURT_1-01-126,Baby- Fliffis C,30.205,25.363,-13.472,45.179,-242.715,197.499,-25.136,74.705,-12.984,22.386,-242.373,152.919,-24.893,23.416,26.619,5.49,-5.734,55.915,-489.872,129.834,32.306,58.217,-6.701,51.166,-486.517,119.581,33.084,50.852,12.599,1.972,10.011,54.768,-90.799,66.816,335.701,155.104,10.317,50.242,-90.994,65.123,333.575,144.414,7.705,2.264,11.557,17.017,129.41,39.369,185.971,140.463,11.544,14.805,129.285,37.514,187.284,135.652,18.411,20.424,27.864,22.226,331.695,85.072,16.939,33.129,26.471,10.678,326.891,74.992,17.588,17.816
20191008-1157-FRANKFURT_1-01-159,Schraubensalto A,20.346,26.691,87.863,49.422,207.65,102.149,193.18,74.974,88.043,42.54,204.391,85.871,192.602,71.033,8.626,2.867,99.073,24.833,-120.064,104.566,339.332,68.801,97.342,23.979,-119.13,100.246,340.241,66.008,13.606,2.07,-53.746,24.863,-3.947,170.784,472.056,101.478,-51.452,24.573,-4.516,163.704,467.692,97.837,7.559,0.437,2.946,12.665,185.553,25.742,48.611,55.615,2.865,13.72,186.748,24.003,52.241,55.505,25.958,29.889,48.395,28.577,261.731,116.934,-43.354,88.77,46.238,27.076,261.097,95.617,-40.976,80.073
0609-1-01-667,Doppelsalto C,31.81,26.113,5.858,22.576,171.276,92.923,-27.292,47.248,5.568,16.385,173.319,77.643,-27.447,35.281,38.547,10.495,-22.722,12.074,555.514,235.53,-4.245,38.212,-21.935,6.602,553.958,226.719,-4.023,27.099,49.007,5.701,10.071,19.485,776.976,69.471,-18.631,32.704,10.525,16.563,774.321,64.397,-19.151,21.07,14.873,6.326,31.664,23.762,313.664,144.761,-38.282,11.638,30.848,21.666,316.377,139.164,-37.923,9.574,21.707,22.094,-13.043,21.357,252.428,50.442,-12.044,32.061,-12.79,13.953,248.627,45.235,-11.274,20.884
0609-4-01-580,Barani C,36.7,34.479,9.143,21.628,-224.317,172.749,21.224,53.387,8.883,16.032,-223.919,160.394,20.891,36.105,13.644,2.886,7.152,24.427,-255.121,172.482,143.621,44.655,7.069,20.666,-254.735,166.34,144.601,44.652,7.932,2.111,-18.93,18.459,10.806,72.786,284.489,29.866,-18.478,14.822,11.255,67.492,282.6,28.28,5.419,0.534,-6.644,12.504,134.926,11.893,124.37,58.692,-6.698,11.799,134.543,10.729,125.289,57.494,26.012,31.387,10.315,22.143,161.789,69.643,7.839,42.472,10.467,19.421,161.139,50.998,7.316,38.133
0609-1-01-442,Doppelsalto B,30.395,30.874,12.199,24.992,129.288,166.13,-11.946,56.447,12.818,18.266,132.56,142.007,-12.516,31.878,24.763,9.535,-29.897,17.227,457.4,262.203,-17.681,27.959,-29.747,14.387,452.676,256.985,-17.336,18.009,40.208,4.321,-0.836,44.573,739.18,75.588,1.53,34.668,-1.731,37.296,740.447,59.956,1.119,21.076,14.532,9.282,44.197,21.365,338.388,215.586,-28.36,15.195,44.824,16.707,337.856,201.556,-27.193,8.192,20.895,22.748,6.267,15.41,222.682,65.418,-13.885,37.306,7.048,9.469,219.248,53.95,-13.664,30.326
0115-JANEIKE-01-88,Salto B,39.594,40.316,18.754,28.045,51.161,149.205,-39.459,48.401,19.859,22.249,58.671,127.012,-35.375,27.032,14.307,8.711,3.863,32.351,289.212,284.892,-2.82,33.838,4.133,29.993,288.533,271.903,-3.554,22.851,9.713,7.318,75.621,28.71,323.586,119.412,-19.133,31.124,75.17,25.272,324.42,118.3,-18.29,25.46,3.82,0.597,26.715,4.916,110.698,13.659,-8.837,20.877,26.68,4.121,110.901,13.69,-9.551,18.214,19.359,27.574,21.019,29.382,118.966,91.55,-6.617,30.449,18.984,21.609,116.237,69.978,-7.177,21.581
0609-4-01-459,Fliffis B,53.032,36.097,-21.405,33.507,-356.43,313.396,25.881,49.586,-20.453,30.107,-352.412,287.156,26.06,36.612,33.041,8.206,3.511,18.786,-530.798,135.95,40.311,31.601,3.027,17.319,-527.118,132.686,42.268,28.885,18.682,2.744,-89.012,118.206,-60.457,65.648,284.353,90.866,-88.707,112.816,-61.786,58.27,282.237,87.93,16.093,2.589,-119.88,54.932,214.463,49.227,203.562,93.812,-119.946,53.945,212.897,46.692,203.751,92.211,34.671,30.254,-21.109,20.239,307.838,111.558,34.254,21.805,-20.92,15.748,306.004,98.225,33.907,17.156
0609-4-01-259,Fliffis C,47.156,32.885,6.428,36.602,-397.05,259.458,31.241,55.724,5.23,27.264,-394.25,237.505,31.712,35.601,46.381,17.097,-27.934,28.637,-532.43,289.348,85.487,40.837,-28.631,23.162,-533.583,268.501,87.373,26.814,16.7,3.337,-164.388,68.147,-84.639,92.942,282.562,34.27,-162.871,65.993,-83.062,87.415,279.784,34.01,13.417,2.33,-121.611,65.531,204.593,37.399,187.801,59.155,-121.702,64.415,202.957,36.547,187.683,58.926,27.767,27.587,0.779,20.855,237.336,81.181,26.765,47.687,0.004,17.968,235.833,68.557,27.878,42.493
