0_Acc_N_Fil,0_Gyro_x_R,0_Gyro_y_R,0_Gyro_z_R,0_Gyro_x_Fil,0_Gyro_y_Fil,0_Gyro_z_Fil,20_Acc_N_Fil,20_Gyro_x_R,20_Gyro_y_R,20_Gyro_z_R,20_Gyro_x_Fil,20_Gyro_y_Fil,20_Gyro_z_Fil,40_Acc_N_Fil,40_Gyro_x_R,40_Gyro_y_R,40_Gyro_z_R,40_Gyro_x_Fil,40_Gyro_y_Fil,40_Gyro_z_Fil,60_Acc_N_Fil,60_Gyro_x_R,60_Gyro_y_R,60_Gyro_z_R,60_Gyro_x_Fil,60_Gyro_y_Fil,60_Gyro_z_Fil,80_Acc_N_Fil,80_Gyro_x_R,80_Gyro_y_R,80_Gyro_z_R,80_Gyro_x_Fil,80_Gyro_y_Fil,80_Gyro_z_Fil,Sprungtyp,SprungID
30.619,7.265,149.155,-19.24,7.986,149.74,-20.23,25.87,-23.537,424.615,-6.775,-23.407,423.628,-6.148,42.257,4.972,747.637,8.288,5.21,745.849,7.909,16.258,40.31,340.224,-18.807,39.902,341.58,-18.467,24.778,11.562,225.185,-13.651,11.366,223.26,-12.778,Doppelsalto B,generated_Mean_Doppelsalto B
47.818,-52.935,-442.366,101.193,-51.99,-437.914,100.191,26.551,-62.186,-574.224,76.54,-61.645,-571.701,75.825,10.911,-3.905,-71.399,29.392,-5.092,-76.337,29.8,13.247,-41.803,-376.845,45.457,-40.99,-374.624,45.751,36.731,-33.575,-333.207,45.884,-33.61,-336.364,45.083,1 3/4 Salto vw B,generated_Mean_1 3/4 Salto vw B
48.334,44.465,-488.111,-9.87,43.652,-485.609,-9.532,52.775,51.029,-707.958,-21.925,50.808,-706.635,-21.085,31.496,6.526,-321.753,163.791,7.114,-320.664,163.166,14.855,36.871,187.824,167.19,36.579,183.434,167.93,30.318,4.115,333.267,-2.838,4.569,338.579,-3.204,Fliffis aus C,generated_Mean_Fliffis aus C
29.018,2.539,133.854,-3.577,1.612,125.274,-4.487,11.661,4.65,112.41,3.214,5.293,119.29,2.134,18.816,-19.338,467.535,-14.571,-19.229,464.138,-13.617,5.267,3.258,123.489,5.544,2.84,126.56,5.225,26.719,-11.673,185.059,-16.957,-11.188,183.356,-16.244,Salto rw B,generated_Mean_Salto rw B
26.089,-5.914,253.696,-14.449,-5.999,249.446,-13.212,7.998,-14.697,200.603,10.46,-14.73,200.938,10.445,6.616,1.733,200.721,3.695,1.633,200.296,3.612,7.032,-1.608,148.138,-11.008,-1.651,149.546,-10.981,28.732,-23.382,218.092,-15.166,-22.574,219.211,-15.283,Salto rw A,generated_Mean_Salto rw A
25.748,-2.028,63.035,31.213,-2.58,56.778,28.061,13.285,19.847,461.376,-22.243,18.737,455.076,-22.181,9.253,6.919,264.183,-6.897,6.901,265.111,-6.813,4.795,-4.964,100.618,-2.965,-4.674,102.134,-2.871,28.676,-20.888,165.047,-14.875,-20.76,167.805,-15.223,Salto rw C,generated_Mean_Salto rw C
27.053,8.883,-23.538,7.611,8.761,-24.177,6.699,1.826,3.594,-38.685,12.008,3.607,-38.976,11.801,1.747,5.746,-129.019,12.074,5.737,-129.059,11.993,6.755,2.698,-195.297,17.503,2.751,-194.751,17.46,28.081,3.367,-128.557,10.023,3.51,-129.394,9.942,3/4 Salto vw A,generated_Mean_3/4 Salto vw A
38.829,-1.035,-165.627,10.277,-1.055,-165.613,11.113,25.723,-5.428,-341.667,103.314,-5.944,-338.457,104.576,13.348,-41.183,-36.65,314.209,-40.723,-37.716,311.852,9.355,-10.709,112.99,179.212,-10.704,113.126,179.563,27.403,13.205,228.788,4.185,12.815,229.094,5.82,Baby- Fliffis C,generated_Mean_Baby- Fliffis C
50.118,23.526,-460.013,4.046,22.859,-457.091,4.484,36.106,2.852,-617.086,-28.385,3.552,-615.354,-29.552,21.883,119.198,-198.284,-104.628,120.254,-198.981,-102.239,17.199,194.87,145.487,51.373,192.746,144.929,50.346,29.669,5.579,327.61,-4.067,6.566,327.752,-4.418,Fliffis aus B,generated_Mean_Fliffis aus B
36.855,-4.04,-7.988,27.478,-2.183,-11.544,19.275,12.645,20.572,202.786,0.846,20.026,196.768,1.903,8.434,9.439,-192.528,-1.631,8.771,-186.81,-1.096,1.581,-6.945,-15.668,6.2,-6.271,-16.867,6.07,16.22,4.455,8.241,-6.237,4.587,8.914,-3.899,Bücksprung,generated_Mean_Bücksprung
