Sprungtyp,SprungID,avg_ACC_N,std_ACC_N,avg_ACC_N_ROT_filtered,std_ACC_N_ROT_filtered,avg_Acc_x_Fil,std_Acc_x_Fil,avg_Acc_y_Fil,std_Acc_y_Fil,avg_Acc_z_Fil,std_Acc_z_Fil,avg_Gyro_x_Fil,std_Gyro_x_Fil,avg_Gyro_y_Fil,std_Gyro_y_Fil,avg_Gyro_z_Fil,std_Gyro_z_Fil,DJump_SIG_I_x LapEnd,DJump_SIG_I_y LapEnd,DJump_SIG_I_z LapEnd,DJump_Abs_I_x LapEnd,DJump_Abs_I_y LapEnd,DJump_Abs_I_z LapEnd
Doppelsalto C,0115-MORITZ-03-132,32.516,25.881,32.399,22.818,-15.55,24.923,-0.974,2.636,0.418,27.052,-7.334,25.598,371.147,247.367,12.165,30.377,-13.563,700.202,23.056,46.377,702.581,59.922
Von Bauch in Stand,0609-1-01-691,13.289,24.196,13.589,24.028,6.46,16.272,-0.196,0.96,6.709,17.962,0.676,10.975,21.816,67.593,2.079,15.309,1.508,36.322,3.908,19.533,88.58,31.914
Schraubensalto A,20191008-1157-FRANKFURT_1-01-159,17.124,22.406,17.199,19.878,-3.51,7.483,-0.572,4.071,4.368,24.358,36.599,61.736,106.804,176.534,200.392,199.849,61.852,178.357,333.122,100.108,317.228,376.484
Doppelsalto B,0609-1-01-584,30.153,23.775,30.007,20.952,-14.364,17.606,-0.489,1.718,-0.07,28.481,6.037,40.696,383.482,293.007,-4.635,27.336,11.353,722.899,-8.197,64.995,768.344,66.723
Doppelsalto C,0609-1-01-646,32.878,21.853,32.592,19.821,-15.34,22.821,-0.811,1.696,-5.082,26.05,1.24,24.498,413.707,264.69,-14.02,29.949,2.201,698.638,-23.859,38.497,699.516,62.814
Salto A,0827-BK1-01-105,15.648,24.135,15.47,22.437,0.318,9.793,-0.923,2.15,5.317,24.907,1.01,10.482,177.953,55.837,-2.177,14.728,2.088,358.262,-4.129,19.238,358.262,32.719
Salto C,0609-4-01-366,16.335,26.103,16.098,22.599,0.692,15.253,-0.076,1.644,5.005,24.137,0.133,16.732,177.809,158.785,3.697,15.64,1.469,367.6,0.797,32.084,394.321,33.983
Barani A,20191008-1157-FRANKFURT_1-01-158,17.571,23.843,17.698,21.805,-2.267,7.1,-0.372,2.561,5.017,26.404,-30.41,54.455,53.209,202.966,110.532,125.897,-50.702,87.241,182.471,73.122,312.719,209.149
Schraubensalto C,0609-4-01-239,17.436,22.879,17.322,20.401,-2.655,10.907,-0.513,3.052,5.743,24.248,42.928,113.733,96.332,127.266,218.852,166.057,79.821,175.633,400.734,161.417,274.079,405.312
Bauchsprung,0609-1-01-754,12.057,24.561,11.467,21.876,4.315,12.81,-0.293,1.06,7.919,21.05,-1.697,9.429,-15.766,84.761,-6.426,17.823,-3.789,-28.5,-12.596,17.472,126.322,33.586
Schraubensalto C,0609-4-01-231,17.173,23.243,17.097,20.727,-2.138,11.113,-0.888,2.491,5.417,24.39,41.512,103.7,95.62,129.98,208.541,163.194,78.604,177.224,388.245,159.602,283.04,392.782
Baby- Fliffis C,20191001-1202-FRANKFURT_2-01-83,24.055,24.042,24.752,22.131,9.917,18.489,-1.958,3.844,-0.558,21.464,47.291,45.246,53.396,273.589,119.366,101.252,73.455,79.246,179.419,87.784,361.484,190.768
Barani A,20191001-1202-FRANKFURT_2-01-92,19.48,25.999,18.845,20.234,0.299,11.992,-1.481,3.084,4.076,24.796,49.559,61.439,-37.37,180.665,110.244,108.766,80.785,-62.297,175.939,102.023,282.151,205.637
Fliffis C,0609-4-01-309,31.824,26.216,32.099,23.89,-11.605,21.756,-0.726,2.573,-2.737,30.084,-68.69,91.472,-107.457,354.978,117.701,100.39,-137.306,-219.371,229.207,160.757,599.757,246.402
Cody C,20190930-1247-FRANKFURT_2-01-336,22.522,26.658,23.309,25.71,-0.003,21.568,-0.259,2.245,-0.592,23.447,-6.598,36.729,211.005,225.147,-0.9,29.827,-12.958,383.852,-7.363,49.798,478.738,66.39
3/4 Salto rw A,20191007-1150-FRANKFURT_2-01-42,14.369,23.572,13.845,20.129,4.231,14.598,-0.202,2.202,3.925,20.651,1.642,14.325,169.809,60.814,-16.469,20.231,2.671,306.031,-35.872,25.889,307.888,45.598
Barani B,20191007-1159-FRANKFURT_1-01-116,18.776,23.765,18.77,21.351,-3.429,9.692,-0.403,2.997,6.266,25.875,15.824,36.676,-8.562,245.15,109.369,167.982,25.795,-14.108,181.112,54.281,344.593,220.19
Baby- Fliffis C,20191008-1207-FRANKFURT_2-01-368,25.48,25.087,26.529,22.909,-13.383,17.112,-1.219,4.79,-1.203,21.859,-16.526,81.34,-61.385,275.081,168.565,137.707,-25.354,-97.883,263.954,109.256,382.717,321.894
Fliffis B,20191007-1150-FRANKFURT_2-01-233,35.685,19.12,36.158,17.82,-21.0,18.048,3.256,5.301,-0.744,26.504,-32.81,76.016,-214.188,433.188,124.169,166.242,-54.283,-354.216,197.96,123.09,724.583,228.245
Salto B,20191007-1150-FRANKFURT_2-01-223,18.314,20.435,18.38,18.265,-3.602,9.888,-0.142,1.469,4.672,23.117,15.219,22.179,205.427,190.67,-7.9,22.758,24.97,341.175,-17.281,40.928,417.738,46.097
Von Bauch in Stand,0609-1-01-832,12.295,23.133,12.711,23.45,6.783,16.522,0.051,1.921,6.148,16.531,4.259,13.997,25.234,64.544,6.603,28.742,7.197,41.337,11.23,24.243,67.139,43.666
Schraubensalto C,0609-4-01-200,17.064,22.365,16.931,19.793,-2.634,10.269,-0.79,2.45,5.372,24.005,47.459,103.594,98.427,135.385,210.677,164.896,88.307,180.013,385.648,158.627,286.435,386.956
Salto C,0609-1-01-478,16.986,23.425,16.854,21.759,-1.015,9.769,0.381,1.553,4.104,25.382,15.647,18.29,190.059,184.917,-6.53,25.028,29.488,358.087,-12.563,41.173,386.873,46.99
Salto C,0609-1-01-67,17.797,24.94,17.47,22.857,-0.935,12.025,-0.407,0.964,5.133,26.217,12.611,21.766,183.878,198.058,-10.864,22.786,24.727,356.493,-20.705,43.542,385.479,48.647
Baby- Fliffis C,20191008-1157-FRANKFURT_1-01-300,25.353,24.526,25.979,22.202,-12.534,19.622,-0.709,3.852,-0.98,18.892,3.065,33.91,-71.574,320.44,119.105,159.398,5.156,-113.066,188.994,55.874,421.304,233.447
Salto B,20191007-1534-FRANKFURT_2-01-133,19.219,23.161,19.052,20.405,-3.524,11.039,0.419,2.435,4.76,25.622,6.443,31.314,206.254,217.224,-2.366,35.343,10.106,345.94,-7.509,39.939,404.451,56.578
Barani C,20190930-1247-FRANKFURT_2-01-293,17.852,24.13,18.05,22.249,-2.48,8.158,0.801,3.022,4.898,26.364,-51.45,46.855,-62.879,215.628,113.297,65.242,-96.836,-121.471,207.164,116.942,315.857,213.246
Salto C,0609-4-01-496,15.912,25.491,15.654,22.019,1.235,16.433,-0.261,0.962,4.623,22.75,1.736,13.064,184.861,135.664,9.309,17.031,3.217,370.884,13.503,23.359,381.772,35.256
Bauchsprung,0609-1-01-760,11.705,24.351,10.989,21.285,4.929,15.191,0.01,0.825,7.201,19.304,-4.241,15.865,-21.067,73.478,-4.466,13.203,-7.708,-37.725,-8.476,26.283,113.095,25.978
3/4 Salto vw A,20191001-1148-FRANKFURT_1-01-125,15.133,27.116,14.988,22.415,-6.24,17.244,-0.79,0.619,4.022,18.818,4.909,9.524,-163.834,125.027,6.101,17.711,6.939,-275.948,5.617,18.868,303.833,34.354
Schraubensalto A,20191008-1157-FRANKFURT_1-01-141,18.39,22.471,18.291,19.674,-4.545,7.236,-0.535,4.129,5.366,25.139,46.184,59.073,115.199,180.045,210.007,205.629,75.729,190.173,344.634,97.641,313.116,382.127
Bauchsprung,0609-1-01-700,11.945,23.213,11.46,20.801,4.727,15.009,-0.195,1.407,6.686,18.489,-2.326,14.248,-25.512,72.748,-5.101,20.277,-4.395,-45.017,-8.591,22.082,118.599,32.716
40<,20191001-1148-FRANKFURT_1-01-197,18.436,24.036,18.258,20.292,-2.924,11.5,0.014,2.303,5.796,24.935,-2.627,17.172,203.765,238.475,-9.367,32.286,-3.064,336.294,-20.036,28.386,460.987,56.857
Bauchsprung,0609-1-01-644,12.311,23.854,11.701,21.218,4.696,14.453,0.143,1.967,7.424,19.538,-1.51,9.666,-19.333,87.231,-4.764,37.915,-2.802,-34.248,-8.513,15.153,132.717,57.96
Salto A,0827-BK2-02-143,14.817,22.871,14.427,21.121,-0.267,7.451,0.841,1.681,5.416,24.392,11.613,14.808,182.572,50.992,-28.351,19.995,20.783,331.978,-51.352,31.017,331.978,54.43
43/,20191001-1148-FRANKFURT_1-01-111,17.139,24.528,17.538,22.275,-2.452,9.242,0.671,2.959,4.18,24.886,-22.392,35.831,48.022,209.69,122.796,150.863,-37.58,79.796,193.595,56.084,309.84,223.873
Salto C,0827-BK2-01-4,17.251,24.968,16.896,22.883,-1.142,11.305,0.75,1.286,5.636,25.982,7.276,14.217,172.798,173.995,-6.515,15.864,14.331,344.559,-13.276,27.447,367.145,30.271
Doppelsalto B,20190930-1616-FRANKFURT_1-01-201,32.695,24.609,32.582,20.988,-15.133,19.862,0.492,3.248,-1.421,29.949,8.427,31.447,382.1,274.098,-10.967,30.169,14.963,697.379,-26.159,59.147,743.233,68.547
Rudi,20191007-1150-FRANKFURT_2-01-142,24.406,19.497,24.437,17.136,-8.844,14.716,1.54,5.233,5.301,23.045,34.707,120.287,12.984,210.09,364.697,295.589,54.118,15.813,572.368,147.243,289.389,592.484
Salto C,0609-1-01-449,17.384,23.42,17.261,21.857,-1.41,11.333,-0.059,1.049,4.592,24.923,10.727,19.066,190.389,194.566,-10.682,17.961,20.427,361.442,-20.281,35.308,387.064,41.322
