Sprungtyp,SprungID,avg_ACC_N,std_ACC_N,avg_ACC_N_ROT_filtered,std_ACC_N_ROT_filtered,avg_Acc_x_Fil,std_Acc_x_Fil,avg_Acc_y_Fil,std_Acc_y_Fil,avg_Acc_z_Fil,std_Acc_z_Fil,avg_Gyro_x_Fil,std_Gyro_x_Fil,avg_Gyro_y_Fil,std_Gyro_y_Fil,avg_Gyro_z_Fil,std_Gyro_z_Fil,DJump_SIG_I_x LapEnd,DJump_SIG_I_y LapEnd,DJump_SIG_I_z LapEnd,DJump_Abs_I_x LapEnd,DJump_Abs_I_y LapEnd,DJump_Abs_I_z LapEnd
Salto A,20191008-1207-FRANKFURT_2-01-364,16.711,23.538,16.483,19.854,-1.105,6.862,1.685,8.353,3.712,24.309,29.913,26.927,213.985,73.845,-53.761,36.783,48.935,342.174,-87.658,50.904,344.94,98.19
Schraubensalto A,20191003-1152-FRANKFURT_1-01-104,18.19,20.823,17.994,18.238,-3.719,7.025,0.819,3.169,4.749,24.394,-26.79,112.226,119.5,137.484,-209.945,177.469,-44.108,202.311,-356.89,162.433,281.927,368.086
Schraubensalto A,20191007-1534-FRANKFURT_2-01-104,17.788,21.999,17.404,18.651,-3.369,7.397,-0.159,5.004,5.21,24.628,53.962,119.341,114.872,139.573,204.232,174.293,89.035,190.669,335.873,171.395,266.508,355.733
Barani C,0609-4-01-600,17.657,22.601,17.857,20.957,-2.767,11.227,-0.16,2.224,4.955,24.069,-7.855,28.126,-37.237,203.562,130.018,101.779,-13.808,-71.418,229.805,49.434,315.849,242.231
Salto C,0827-BK2-01-10,17.182,26.004,16.886,23.879,-0.481,11.692,0.319,2.09,5.997,26.388,0.3,21.04,163.22,159.481,-0.656,20.538,0.292,331.756,-1.512,39.136,349.877,38.545
Barani A,20191007-1159-FRANKFURT_1-01-229,18.696,24.541,18.428,21.186,-1.615,9.768,-1.079,2.69,5.2,26.531,-31.913,52.429,46.242,198.64,109.021,134.312,-50.402,73.044,171.403,73.54,291.198,202.85
Salto B,20191008-1207-FRANKFURT_2-01-141,20.752,24.596,20.762,21.304,-4.7,10.924,0.589,3.246,3.668,27.173,15.82,26.178,200.642,241.479,-15.622,26.654,27.662,343.185,-27.756,44.99,419.242,56.069
Barani C,20190930-1247-FRANKFURT_2-01-88,18.75,22.725,18.98,21.022,-2.782,8.501,0.71,2.511,4.661,25.548,-51.247,33.27,-71.596,222.107,109.366,70.645,-91.429,-131.234,188.133,95.999,318.435,195.76
Barani B,20191007-1159-FRANKFURT_1-01-189,19.254,22.496,19.415,20.748,-3.991,9.758,-0.797,2.92,5.942,25.063,14.184,48.74,-6.773,268.829,106.581,164.404,22.636,-11.292,170.358,67.271,358.93,204.996
Salto C,0115-MORITZ-03-57,16.902,27.072,16.824,24.339,0.611,13.582,-1.201,1.353,4.962,26.415,-3.83,14.688,163.422,153.833,7.077,17.39,-7.878,343.542,15.007,22.678,382.112,31.571
Salto A,20191007-1159-FRANKFURT_1-01-306,15.441,23.44,15.461,20.492,-0.433,5.961,-0.613,1.293,4.451,25.039,5.44,13.263,202.724,60.568,-4.155,14.876,9.77,337.336,-11.405,21.518,338.961,31.527
Bauchsprung,0609-1-01-649,12.278,24.194,11.67,21.616,4.569,14.939,-0.34,1.542,7.454,19.657,0.264,10.288,-23.464,75.397,-4.041,23.335,0.233,-42.446,-7.222,18.309,127.442,33.993
Salto B,0115-JANEIKE-01-121,18.763,24.386,18.573,22.16,-0.472,15.004,-0.454,1.501,4.431,24.457,6.582,29.374,181.282,214.455,-12.99,31.977,11.9,342.048,-24.249,50.112,413.815,62.695
Voll- ein- Rudi- aus B,0115-MORITZ-03-58,38.581,21.927,39.105,19.983,-17.116,19.127,0.549,12.987,-1.385,29.979,-278.745,289.925,-63.29,328.495,-377.574,301.616,-549.865,-126.411,-744.918,589.217,605.469,767.432
Fliffis B,0609-4-01-372,29.42,25.169,29.675,22.184,-11.987,18.92,1.064,3.258,-0.612,28.443,-29.72,63.262,-20.476,362.559,130.044,148.416,-57.597,-44.545,249.708,94.478,626.008,262.178
Fliffis C,20191007-1150-FRANKFURT_2-01-214,40.383,20.452,40.906,19.016,-23.218,23.957,2.19,4.771,-4.878,27.723,-58.263,60.222,-263.756,388.142,122.595,170.107,-93.13,-419.396,189.693,117.027,655.991,219.76
Barani A,20191008-1207-FRANKFURT_2-01-91,18.061,24.664,18.388,22.44,-2.054,6.275,0.106,3.832,3.605,26.6,-61.73,61.5,17.595,200.835,121.917,84.599,-102.309,25.945,201.649,126.14,300.898,226.062
Cody C,20191003-1152-FRANKFURT_1-01-28,23.357,25.311,24.065,24.442,-1.974,21.887,-0.735,2.608,-0.213,23.64,-25.572,24.141,225.179,226.204,-1.042,19.192,-41.946,378.669,-7.891,55.654,450.85,35.057
Von Bauch in Stand,0609-1-01-167,12.652,25.584,13.169,25.926,6.577,17.81,-0.301,0.925,6.554,18.348,4.26,13.589,21.49,53.726,4.273,16.391,7.437,37.292,8.631,24.997,66.109,33.847
Bauchsprung,0609-1-01-900,11.987,23.875,11.392,21.165,4.207,13.44,0.028,1.009,7.533,19.979,-3.062,14.987,-21.113,81.666,-4.585,13.072,-5.656,-37.102,-8.543,26.796,125.806,29.983
Salto C,0827-BK2-02-22,17.758,24.339,17.495,22.603,-2.38,11.863,0.639,1.443,5.894,25.607,2.154,16.854,180.282,188.037,-26.964,26.276,4.079,341.868,-51.268,30.802,361.52,60.863
Doppelsalto B,20191007-1524-FRANKFURT_1-01-114,17.429,24.57,17.804,21.899,-0.998,10.441,0.898,4.2,4.232,24.725,19.706,32.067,202.623,137.396,-19.343,29.487,30.341,330.816,-30.893,49.169,344.957,59.562
Salto B,0827-BK1-01-81,17.98,25.164,18.024,23.559,-0.835,14.99,-0.33,2.213,4.558,24.835,12.14,23.659,174.518,185.221,20.514,28.006,24.599,349.777,41.215,46.726,392.25,59.313
Salto C,0609-1-01-594,16.647,24.206,16.399,22.277,-0.794,10.397,-0.181,0.859,4.831,25.591,7.027,15.395,191.721,177.198,-11.32,20.666,13.268,365.329,-21.575,29.086,383.653,43.817
Salto B,0827-BK2-01-57,18.178,25.278,17.858,23.204,-1.891,11.896,0.593,0.859,5.693,26.77,-0.39,10.51,166.876,211.766,-7.622,15.697,-0.769,342.338,-15.517,19.795,431.158,35.704
Bauchsprung,0609-1-01-631,11.974,23.646,11.313,20.835,4.488,13.945,0.338,2.629,7.586,19.429,-5.464,12.458,-20.248,82.178,-9.336,32.94,-10.027,-35.318,-16.898,23.098,125.716,40.113
Doppelsalto B,0609-1-01-618,29.798,22.195,29.785,20.074,-13.277,18.377,-0.494,3.49,-1.937,26.986,-8.812,43.863,388.965,258.019,-19.594,36.442,-15.879,708.939,-36.821,72.793,726.787,74.814
Salto A,0827-BK2-01-98,15.594,24.903,15.203,23.171,-0.029,8.527,0.324,1.376,5.829,26.261,1.76,14.159,167.658,51.861,-8.314,15.069,3.547,338.743,-17.421,25.742,338.826,30.517
Salto A,20191008-1207-FRANKFURT_2-01-60,15.809,24.327,15.897,21.4,-1.654,7.007,0.931,6.355,4.059,24.233,11.124,22.935,200.17,94.346,-40.171,48.81,19.21,339.345,-75.377,36.234,349.09,89.85
Salto B,0115-JANEIKE-01-21,18.298,24.914,17.913,22.113,-0.69,13.962,-0.175,1.394,5.37,25.268,10.432,28.232,183.885,177.8,-17.095,31.821,19.451,345.637,-33.141,47.954,393.743,64.208
Salto A,20191007-1150-FRANKFURT_2-01-110,16.471,19.863,16.448,17.592,-1.228,6.752,-0.405,1.05,3.229,22.943,12.161,18.812,217.755,63.072,-4.553,19.713,19.35,353.164,-11.94,25.739,353.918,33.695
Salto A,20191008-1207-FRANKFURT_2-01-187,15.973,24.544,16.175,21.847,-2.845,3.748,0.384,2.996,4.356,26.269,31.491,18.328,202.997,76.411,-15.295,28.55,54.503,352.09,-26.502,56.991,355.891,55.553
Bauchsprung,0609-1-01-812,11.631,23.567,10.916,20.74,5.016,14.665,-0.317,1.082,7.178,18.892,-1.859,13.195,-19.59,70.036,-2.49,17.251,-3.442,-33.327,-4.482,19.885,114.184,32.6
Salto A,0827-BK2-02-147,15.148,22.058,14.978,21.138,-0.188,7.679,0.618,1.051,4.932,23.912,9.571,9.438,184.23,37.672,-22.002,16.198,17.214,328.435,-39.139,23.453,328.435,44.154
Bauchsprung,0609-1-01-749,12.305,24.243,11.577,21.311,4.871,14.817,-0.124,0.949,7.717,19.756,0.42,13.589,-22.164,71.766,-1.163,13.291,0.689,-39.298,-2.323,20.367,117.414,26.832
1 3/4 Salto vw C,0115-CHARI-05-167,26.683,26.196,26.793,23.507,-14.209,18.551,0.648,1.888,1.244,24.412,2.076,13.747,-339.527,200.898,-1.3,21.525,10.192,-662.33,25.585,26.978,673.328,49.201
Von Bauch in Stand,0609-1-01-679,13.598,23.691,14.097,23.856,6.908,17.492,0.261,1.617,6.28,16.839,8.72,21.327,20.489,60.692,5.01,40.614,14.792,32.995,8.413,35.39,72.783,66.86
3/4 Salto vw A,20191007-1159-FRANKFURT_1-01-400,14.654,27.138,14.629,23.52,-5.824,16.846,-0.622,1.508,5.243,20.294,5.513,8.05,-156.178,128.429,9.785,12.019,10.688,-277.224,12.301,17.632,304.22,30.934
Schraubensalto C,0609-4-01-94,17.154,23.42,17.122,21.05,-2.68,9.843,-0.801,2.705,5.687,24.979,51.82,100.721,92.532,133.441,205.242,166.269,99.526,178.582,393.828,152.409,292.879,399.432
Bauchsprung,0609-1-01-254,12.495,25.848,11.879,22.898,4.95,15.565,-0.037,1.371,7.631,20.908,-0.766,18.729,-19.143,63.681,-6.594,26.208,-1.679,-36.572,-12.741,29.958,108.518,50.157
Fliffis B,0609-4-01-500,30.937,23.906,31.141,20.776,-12.153,19.74,-0.361,2.95,-0.701,28.037,-57.601,92.726,-65.436,365.83,122.045,139.631,-111.086,-130.561,229.985,147.666,601.084,258.474
Doppelsalto B,0609-1-01-569,29.805,23.173,29.543,20.291,-12.884,17.587,0.0,2.679,-0.119,28.544,8.769,40.678,375.469,268.451,-11.372,28.755,16.555,705.903,-22.061,72.608,733.206,65.115
Salto A,20191001-1202-FRANKFURT_2-01-132,16.284,24.919,16.36,21.412,-0.103,9.922,-0.778,2.239,3.651,22.235,3.464,11.622,-206.409,68.734,-12.592,20.083,5.676,-339.278,-24.763,20.87,344.345,49.534
Barani A,20191008-1157-FRANKFURT_1-01-137,17.418,23.789,17.579,21.866,-2.057,6.103,-0.349,2.412,4.5,26.654,-53.291,57.93,30.253,203.653,102.657,110.163,-88.667,49.015,171.303,104.383,310.178,190.514
Doppelsalto B,0609-1-01-450,29.389,23.265,29.134,20.356,-13.009,18.019,-0.342,1.494,0.955,27.987,9.72,34.763,375.007,285.183,-8.862,26.409,18.416,712.69,-17.246,60.749,750.841,61.113
Salto B,0115-CHARI-05-87,19.14,24.737,18.838,22.466,-1.911,10.514,0.675,1.427,5.486,27.328,-2.509,18.867,171.242,181.834,-12.2,33.567,-5.5,334.038,-23.751,35.197,399.73,54.877
Rudi,20190930-1247-FRANKFURT_2-01-223,19.396,23.755,19.673,21.674,-5.408,9.342,-0.303,4.559,6.531,25.502,91.41,141.047,16.121,207.592,286.2,232.928,168.429,25.363,524.151,209.683,333.599,549.2
Salto C,20190930-1247-FRANKFURT_2-01-271,20.565,26.157,20.433,22.516,-1.976,11.384,0.619,3.779,4.32,27.16,4.256,31.897,188.771,191.717,-5.945,35.577,6.969,340.581,-15.167,44.275,367.479,65.701
Rudi,20191007-1150-FRANKFURT_2-01-120,24.543,19.836,24.546,17.504,-9.513,13.763,0.72,5.075,6.334,23.743,63.559,124.904,17.949,217.124,358.814,299.715,102.043,26.09,573.0,162.202,316.341,591.305
Barani C,0609-4-01-518,17.1,23.764,17.213,21.853,-1.037,11.562,-0.33,1.653,4.758,24.856,-22.313,48.286,-19.613,177.117,119.555,93.382,-42.135,-41.292,220.596,80.122,281.365,229.599
Barani C,20191007-1159-FRANKFURT_1-01-385,18.66,24.118,18.771,21.789,-3.443,8.825,-1.328,2.552,5.428,26.199,-17.337,46.63,-4.692,243.827,103.976,140.325,-27.956,-6.846,165.37,69.689,328.998,205.592
Schraubensalto A,20191007-1534-FRANKFURT_2-01-95,17.29,20.949,17.186,18.41,-4.109,5.679,-0.52,4.13,4.614,24.03,49.022,109.487,105.839,155.067,205.885,164.832,80.874,175.114,339.385,156.179,275.227,356.372
Salto C,0609-4-01-412,15.881,25.98,15.585,22.481,0.737,15.026,-0.447,1.2,5.477,23.876,-1.644,13.361,178.914,162.554,3.231,18.026,-3.483,365.146,0.518,26.246,397.387,34.729
Salto B,20190930-1153-FRANKFURT_1-01-238,20.55,23.608,20.556,21.334,-2.597,13.08,-0.111,1.728,3.49,26.307,28.611,40.463,183.652,212.613,-3.339,28.37,54.749,346.921,-11.583,72.531,407.588,46.54
1 3/4 Salto vw C,0115-CHARI-05-133,26.429,25.873,26.401,22.591,-14.321,17.143,-0.287,2.546,1.592,24.358,6.909,26.069,-341.079,197.944,6.735,38.567,19.62,-661.136,41.663,50.934,677.819,81.805
40/,20191001-1148-FRANKFURT_1-01-95,16.258,23.493,16.212,20.759,0.384,7.394,-1.109,0.891,4.92,24.979,-22.536,17.457,201.934,77.273,-11.606,18.702,-38.601,331.044,-23.303,43.395,340.452,45.148
Salto A,20191008-1157-FRANKFURT_1-01-334,15.811,23.185,15.803,20.548,-0.379,6.071,-0.407,1.573,4.693,25.194,-5.513,16.005,201.752,59.369,-13.499,22.088,-9.597,337.343,-22.804,27.537,337.644,43.84
Salto C,0609-4-01-293,16.582,25.777,16.305,22.351,1.471,16.464,-0.178,1.172,4.687,23.363,2.932,16.699,179.085,139.077,10.712,13.269,5.554,364.403,16.321,34.443,379.319,33.444
Barani A,20191007-1150-FRANKFURT_2-01-84,17.206,19.944,17.574,18.606,-0.85,8.6,0.148,3.077,2.281,22.978,-56.404,73.526,35.816,192.423,116.17,92.909,-89.969,53.674,178.261,118.81,274.533,192.243
Salto C,0609-4-01-379,14.294,22.47,14.536,20.767,0.963,12.849,-0.096,1.583,3.72,21.058,-7.628,18.335,200.012,94.154,2.367,25.693,-12.313,346.869,-1.603,26.995,348.427,38.203
Fliffis- Rudi B,0115-JANEIKE-01-118,38.262,19.679,38.554,17.511,-21.378,19.672,2.55,8.067,0.329,27.738,-93.851,165.074,-208.687,363.357,-303.236,350.686,-168.247,-375.566,-542.991,292.396,617.091,591.322
Bauchsprung,0609-1-01-778,12.086,23.61,11.547,21.199,4.615,14.319,-0.217,0.821,7.416,19.375,1.22,11.088,-21.101,82.994,-5.519,22.187,2.25,-37.383,-10.354,19.495,130.364,36.09
Rudi,20191007-1150-FRANKFURT_2-01-132,23.175,18.575,23.735,17.372,-9.743,12.222,1.214,5.074,4.781,22.342,47.337,127.286,33.126,213.717,368.334,279.768,75.717,50.187,584.638,158.13,299.828,597.035
Salto A,20191007-1150-FRANKFURT_2-01-141,15.903,20.581,15.765,18.256,-0.368,6.746,-0.257,1.524,3.934,23.466,11.026,16.22,205.337,49.761,-5.532,17.715,18.114,338.489,-12.927,27.392,338.597,31.502
Fliffis B,0110-MORITZ-01-97,31.28,22.841,31.442,20.865,-14.359,20.754,-0.873,4.886,1.95,26.377,8.757,64.098,-177.04,396.405,-91.258,130.325,16.575,-334.852,-170.841,101.009,658.673,225.792
Fliffis aus B,0115-MORITZ-03-163,29.261,24.331,29.62,22.566,-10.299,19.473,0.181,4.629,-0.907,27.931,38.753,118.359,-115.621,364.473,-77.312,112.884,78.527,-235.646,-155.916,181.135,606.385,211.133
Salto B,0827-BK2-01-65,17.893,24.802,17.718,23.144,-1.303,12.449,0.641,0.996,5.187,26.005,0.436,14.796,168.215,197.893,-2.461,12.589,1.074,337.871,-4.527,27.603,400.986,28.223
Salto A,20191007-1150-FRANKFURT_2-01-151,16.343,20.826,16.161,18.372,-0.65,7.559,-0.39,0.861,4.192,23.599,8.895,13.87,201.154,49.491,0.004,15.867,14.502,335.633,-4.473,24.088,337.155,32.916
Fliffis aus B,0115-MORITZ-03-178,29.856,24.251,30.191,22.328,-10.315,19.218,0.684,4.201,-1.728,28.545,52.598,121.243,-97.918,364.632,-71.253,119.655,105.293,-196.56,-141.862,193.027,588.522,225.335
Fliffis C,20191008-1157-FRANKFURT_1-01-215,37.131,23.593,37.562,21.811,-19.145,22.292,-3.009,4.982,-1.871,29.597,11.374,87.199,-220.262,417.19,113.018,162.817,18.757,-362.412,185.268,124.863,665.292,223.761
Salto C,0609-4-01-277,16.159,25.748,15.817,21.946,0.885,14.303,-0.277,1.464,4.89,24.338,-1.599,15.613,180.657,143.028,4.827,17.258,-3.645,366.354,4.297,30.246,394.965,39.382
Schraubensalto A,20191008-1207-FRANKFURT_2-01-144,17.228,25.275,17.143,21.546,-2.973,6.459,-0.792,5.517,4.9,25.771,49.467,83.995,104.263,179.334,210.852,148.009,83.922,177.272,358.431,144.217,308.98,393.315
Bauchsprung,0609-1-01-878,12.224,23.23,11.506,20.602,4.773,14.88,-0.296,1.577,7.222,18.503,1.556,11.798,-24.867,69.688,-3.048,26.933,2.408,-42.902,-5.425,22.127,115.155,46.232
1 3/4 Salto vw B,20191007-1534-FRANKFURT_2-01-140,30.462,26.332,30.187,20.01,-18.338,16.204,0.356,2.525,-1.126,23.204,-24.869,26.656,-386.649,255.545,47.808,57.234,-42.056,-644.861,75.624,55.432,681.777,126.531
Salto B,0827-BK2-01-61,18.007,25.658,17.722,23.545,-1.227,12.343,0.715,1.192,5.572,26.838,6.624,18.112,165.602,196.18,-6.113,19.825,13.649,340.452,-12.743,31.872,408.329,37.286
Salto C,0115-MORITZ-03-128,16.787,26.913,16.664,23.86,0.122,12.099,-0.907,1.205,5.068,26.712,-3.437,13.663,166.204,157.651,5.786,15.666,-6.994,345.277,12.626,23.611,386.925,33.298
43/,20191001-1148-FRANKFURT_1-01-140,21.437,23.447,21.522,21.085,-6.588,11.342,0.117,4.05,6.26,25.739,38.666,89.899,13.308,221.94,337.944,273.783,60.62,23.763,541.087,109.444,325.393,550.636
1 3/4 Salto vw C,0115-CHARI-05-182,26.826,27.137,26.814,23.79,-14.23,19.12,0.013,2.038,0.083,24.175,14.303,22.401,-342.297,195.378,2.881,20.238,34.274,-658.578,32.96,47.124,666.082,52.522
Schraubensalto,20190930-1247-FRANKFURT_2-01-111,16.168,23.467,16.332,21.296,-2.206,7.457,-0.863,2.745,4.795,25.144,51.259,109.285,116.969,129.596,207.634,133.218,90.957,207.622,370.582,164.579,281.797,376.024
Salto C,0115-MORITZ-03-11,16.751,27.021,16.713,24.464,-0.035,12.295,-0.979,1.553,5.099,26.9,0.296,15.085,161.815,166.087,9.834,21.556,0.88,343.881,21.355,27.72,383.741,43.025
Barani A,20191007-1524-FRANKFURT_1-01-59,17.247,23.759,17.677,21.854,-2.381,5.812,-0.067,4.133,3.45,25.763,-68.393,57.305,9.597,193.736,117.903,99.362,-115.17,15.056,194.448,133.235,290.477,232.906
Barani A,20190930-1153-FRANKFURT_1-01-239,15.986,24.216,16.054,22.18,0.136,7.72,-0.641,1.724,4.076,26.093,-66.887,87.698,10.407,145.477,105.61,71.848,-125.107,19.637,193.503,161.422,244.36,207.86
Fliffis B,0609-4-01-494,30.609,24.617,30.869,21.369,-11.544,20.246,-0.149,3.084,-0.234,27.265,-52.073,86.458,-90.332,360.648,119.413,125.319,-102.122,-180.793,228.47,132.415,604.997,245.54
Rudi,20191007-1150-FRANKFURT_2-01-152,22.854,19.149,23.183,17.464,-8.418,13.502,1.163,4.78,4.492,22.344,45.878,122.166,25.838,191.51,362.73,297.274,73.812,39.244,580.56,160.529,272.941,599.751
Salto C,0609-1-01-41,17.582,24.966,17.307,22.938,-0.833,12.195,0.065,1.206,4.83,26.012,10.745,23.759,184.906,192.116,-2.491,21.184,21.299,357.008,-4.634,45.485,377.077,39.362
Bauchsprung,0609-1-01-773,12.109,24.069,11.482,21.326,4.353,14.751,0.006,1.048,7.344,19.608,-4.619,11.062,-22.487,81.294,-5.11,17.066,-8.055,-39.84,-9.826,21.187,133.735,32.309
Salto B,20191008-1157-FRANKFURT_1-01-332,19.113,23.447,19.091,20.524,-1.534,8.349,-0.135,1.85,3.764,26.482,14.482,40.216,192.779,205.344,-16.088,28.693,24.23,328.993,-27.167,52.288,394.825,58.744
Salto A,20191007-1534-FRANKFURT_2-01-78,16.509,22.569,16.182,19.535,0.185,7.157,0.042,3.811,4.634,24.909,-17.541,16.183,210.654,37.408,-22.157,14.827,-28.48,346.718,-35.649,35.584,349.516,48.481
Salto C,0827-BK1-01-4,17.095,24.65,16.977,22.908,-1.301,10.693,-0.319,1.066,5.127,25.639,3.306,10.903,178.39,172.766,4.196,13.863,6.871,355.593,9.022,21.571,388.923,29.996
Schraubensalto C,0609-4-01-189,17.045,23.443,16.945,20.934,-2.796,11.163,-0.541,2.775,5.805,24.344,54.493,93.279,97.665,132.237,210.763,173.439,103.601,183.365,396.418,143.41,287.872,400.713
Salto C,0115-MORITZ-03-25,14.432,25.324,14.727,24.18,0.138,11.91,-1.21,1.344,6.269,24.361,-9.025,16.203,165.132,86.616,0.649,14.831,-18.833,342.335,2.05,38.468,354.82,32.536
Schraubensalto C,0609-4-01-110,16.676,23.613,16.653,21.326,-1.206,11.328,-0.829,2.63,5.058,24.437,34.539,110.945,80.097,126.955,197.991,150.644,66.967,154.213,380.384,185.563,267.375,402.435
Salto A,20191008-1157-FRANKFURT_1-01-54,15.171,23.536,15.266,21.057,-0.702,4.149,-0.438,2.072,4.791,25.351,-16.466,19.585,199.337,60.788,-10.31,23.562,-28.544,342.627,-17.791,41.641,342.627,41.101
Fliffis- Rudi C,20191007-1524-FRANKFURT_1-01-77,46.005,21.164,47.048,17.603,-25.947,27.009,-1.81,10.499,-1.194,25.9,133.522,236.993,-199.018,421.49,361.034,400.908,210.705,-314.694,568.671,298.428,675.452,657.808
Barani A,20191008-1157-FRANKFURT_1-01-368,17.338,23.791,17.566,21.989,-1.913,8.176,-0.383,2.352,4.384,25.983,-48.378,61.875,39.398,196.972,102.36,112.834,-81.019,63.997,170.765,91.097,294.346,193.555
Schraubensalto C,0609-4-01-233,17.168,23.062,17.106,20.653,-2.821,10.338,-0.604,2.859,5.702,24.437,47.926,104.607,102.635,125.563,210.644,171.667,91.285,192.331,395.99,160.573,287.587,398.567
3/4 Salto rw A,20191008-1207-FRANKFURT_2-01-138,13.981,25.958,13.937,23.079,3.535,15.703,0.751,5.504,4.026,21.324,10.741,18.262,157.935,65.143,-30.518,32.975,20.15,300.37,-60.094,35.528,302.893,73.601
Doppelsalto C,0110-MORITZ-01-48,29.148,24.332,29.432,22.597,-14.417,21.391,-1.234,1.468,2.699,25.915,-0.763,25.918,364.454,222.72,4.791,14.812,-1.343,711.669,9.378,48.037,715.478,37.896
Voll- ein- voll- aus B,0110-MORITZ-01-127,36.455,22.467,36.283,19.078,-18.291,20.841,2.285,10.306,1.579,28.069,-197.504,250.813,17.847,355.272,-347.877,294.64,-381.794,36.294,-673.965,463.26,595.048,692.208
Von Bauch in Stand,0609-1-01-97,12.368,24.786,12.708,24.863,6.525,17.197,-0.29,0.947,6.241,17.908,4.52,15.38,26.288,69.561,1.728,15.349,8.051,45.989,2.767,23.614,85.698,32.349
Barani A,20191008-1207-FRANKFURT_2-01-172,18.959,26.139,19.147,23.039,-2.324,4.51,0.095,2.957,3.877,28.069,-71.866,92.701,22.499,185.568,108.885,81.29,-122.441,37.053,185.687,151.448,278.929,209.674
Salto A,20190930-1153-FRANKFURT_1-01-219,14.527,24.525,14.58,22.602,-0.052,7.233,-0.726,1.289,4.86,25.502,15.794,17.519,177.848,62.431,3.618,17.68,31.561,347.337,1.274,37.636,347.337,32.579
Doppelsalto B,20191007-1524-FRANKFURT_1-01-164,32.826,24.48,32.705,20.556,-16.079,16.609,1.713,3.35,-4.419,31.177,56.853,39.524,408.545,245.537,-20.284,32.378,94.816,685.831,-34.503,99.807,691.934,69.468
Doppelsalto B,0115-MORITZ-03-86,31.924,22.772,32.291,21.153,-17.356,22.847,-1.949,2.533,2.007,24.593,-12.311,29.302,384.826,268.723,4.794,26.415,-22.838,709.015,8.854,53.346,726.318,45.845
Schraubensalto,20190930-1247-FRANKFURT_2-01-153,16.056,24.071,16.032,21.693,-0.732,9.727,-1.16,2.764,4.935,24.877,48.479,86.775,93.654,138.699,200.571,131.548,88.255,169.979,365.451,138.72,278.016,369.336
Barani C,0609-4-01-566,17.318,23.685,17.411,21.803,-1.347,12.287,-0.021,2.14,5.01,24.563,-20.05,39.548,-36.948,193.702,129.306,84.6,-37.148,-72.155,234.723,65.194,286.689,241.7
3/4 Salto vw A,20191008-1157-FRANKFURT_1-01-281,15.206,28.921,14.925,23.501,-5.74,17.207,-0.049,1.746,4.614,20.193,-2.356,9.709,-156.949,116.001,9.799,13.788,-3.919,-278.386,17.129,18.802,311.161,35.042
Doppelsalto C,0609-1-01-808,35.044,21.611,34.568,19.022,-17.653,23.131,-0.868,1.393,-3.983,27.172,1.246,32.278,423.715,269.87,-14.193,24.149,2.194,705.058,-23.533,49.431,705.476,51.083
Bauchsprung,0609-1-01-796,11.121,23.682,10.521,21.153,4.926,15.416,-0.215,0.875,6.484,18.122,-3.922,10.485,-21.8,62.473,-1.998,14.854,-7.352,-39.853,-3.653,17.82,110.477,29.461
Salto A,20191008-1207-FRANKFURT_2-01-28,16.1,24.602,16.053,21.712,-2.067,5.199,0.281,3.415,4.972,26.427,15.808,23.33,197.11,73.666,-18.044,31.333,28.261,345.403,-31.503,42.191,348.843,62.884
Salto C,0827-BK2-02-25,17.467,23.997,17.195,22.316,-2.086,11.589,0.669,1.204,5.317,25.459,9.655,17.991,181.826,183.662,-25.957,34.456,18.02,337.653,-48.517,36.502,358.913,71.256
Salto B,20191008-1157-FRANKFURT_1-01-367,19.135,24.009,19.109,21.021,-2.686,9.641,-0.426,1.885,4.363,26.378,-8.038,21.78,196.062,194.535,-8.768,22.381,-13.788,335.691,-15.307,35.757,400.657,46.064
Doppelsalto C,0609-1-01-874,33.546,22.559,33.029,19.978,-17.058,22.515,-0.262,1.438,-3.724,26.8,16.406,29.704,412.342,262.047,-19.519,21.502,27.865,705.255,-33.501,47.428,705.255,54.806
Salto B,0115-JANEIKE-01-19,16.931,23.572,16.939,21.966,-0.656,13.915,-0.046,1.447,4.496,23.176,21.899,28.289,186.061,188.208,-12.412,22.63,41.355,350.961,-22.981,57.428,396.041,46.686
Doppelsalto C,20190930-1153-FRANKFURT_1-01-108,34.52,22.931,34.381,20.031,-16.851,20.086,0.729,2.407,-2.635,29.265,20.222,21.8,383.081,267.162,20.301,28.515,38.208,710.705,32.403,45.969,716.612,59.848
Barani A,20190930-1616-FRANKFURT_1-01-295,16.971,24.129,17.065,21.937,-0.488,6.021,0.151,3.101,4.034,26.637,-87.333,68.798,23.181,156.302,91.318,58.38,-159.411,42.333,161.85,167.054,261.218,175.412
Barani C,20190930-1247-FRANKFURT_2-01-110,18.558,24.048,18.628,21.641,-1.621,8.497,0.305,2.784,4.522,26.488,-66.096,42.519,-45.66,207.345,96.733,60.192,-121.132,-87.585,172.474,131.707,309.167,183.999
Salto C,20191007-1159-FRANKFURT_1-01-61,15.81,23.587,16.011,21.195,-2.921,3.641,-0.049,1.385,4.632,25.477,11.76,15.557,213.689,63.171,3.947,21.711,19.417,356.236,6.7,31.787,356.236,34.264
Fliffis B,20191007-1150-FRANKFURT_2-01-222,35.48,18.887,35.95,17.75,-20.765,18.017,3.316,4.857,0.46,26.426,-21.477,77.934,-234.822,418.517,133.038,166.166,-35.926,-393.47,216.47,116.939,718.088,239.527
