SprungID,Sprungtyp,mean_Acc_N_Fil,std_Acc_N_Fil,mean_Gyro_x_R,std_Gyro_x_R,mean_Gyro_y_R,std_Gyro_y_R,mean_Gyro_z_R,std_Gyro_z_R,mean_Gyro_x_Fil,std_Gyro_x_Fil,mean_Gyro_y_Fil,std_Gyro_y_Fil,mean_Gyro_z_Fil,std_Gyro_z_Fil
generated_Mean_Salto C,Salto C,100.427,1.308,5.182,7.612,136.133,17.704,3.453,14.441,7.08,2.264,139.926,4.532,-0.324,2.73
generated_Mean_Salto C,Salto C,96.623,2.343,5.572,4.823,145.309,13.103,0.364,9.691,5.967,1.772,150.243,5.291,-0.259,2.255
generated_Mean_Salto C,Salto C,88.171,3.365,5.005,3.983,162.411,11.404,-1.125,7.179,5.283,1.499,164.331,5.834,-1.092,2.103
generated_Mean_Salto C,Salto C,76.272,3.98,4.429,3.043,186.197,10.266,-1.295,6.961,4.719,1.314,179.6,5.351,-2.045,2.078
generated_Mean_Salto C,Salto C,62.625,4.253,4.599,2.762,201.995,8.274,-4.387,5.844,4.338,1.268,189.424,4.587,-3.429,2.135
generated_Mean_Salto C,Salto C,48.727,4.128,4.034,2.849,205.04,8.281,-6.746,6.315,3.812,1.377,188.711,5.148,-4.278,2.439
generated_Mean_Salto C,Salto C,35.778,3.72,3.1,3.07,187.663,11.744,-5.434,6.515,3.019,1.489,174.942,7.723,-3.088,2.74
generated_Mean_Salto C,Salto C,24.36,3.205,1.56,3.539,158.522,12.429,-0.354,7.561,2.063,1.789,150.498,9.58,0.172,2.947
generated_Mean_Salto C,Salto C,14.725,2.645,0.831,4.512,125.858,14.204,5.838,7.717,1.277,2.109,118.876,11.19,3.82,2.795
generated_Mean_Salto C,Salto C,7.891,1.761,-0.701,5.022,83.13,19.709,8.972,10.072,1.012,2.117,81.302,12.55,5.742,2.987
generated_Mean_Salto C,Salto C,6.308,1.21,1.274,5.252,37.968,17.898,9.076,11.455,2.01,2.018,42.564,11.762,4.965,3.531
generated_Mean_Salto C,Salto C,7.322,0.833,3.969,5.225,-2.441,19.877,1.731,13.109,3.532,2.018,8.585,10.142,1.156,3.693
generated_Mean_Salto C,Salto C,7.933,0.551,6.19,4.788,-32.673,14.657,-8.395,11.482,4.71,1.938,-15.445,6.588,-3.196,3.385
generated_Mean_Salto C,Salto C,8.472,0.431,7.228,4.687,-28.873,14.407,-7.875,10.914,4.766,1.845,-26.533,4.812,-3.577,3.566
generated_Mean_Salto C,Salto C,8.917,0.4,4.773,4.357,-30.152,13.096,1.255,9.991,3.04,1.878,-34.925,4.885,-0.644,3.236
generated_Mean_Salto C,Salto C,9.416,0.387,0.511,4.058,-52.472,13.325,2.135,9.976,-0.101,1.889,-45.63,4.791,1.573,2.707
generated_Mean_Salto C,Salto C,10.076,0.362,-4.557,3.892,-65.485,10.958,4.84,9.779,-3.725,1.78,-50.661,5.249,2.847,2.685
generated_Mean_Salto C,Salto C,10.631,0.377,-8.87,3.677,-59.345,12.661,5.869,8.845,-6.619,1.633,-43.459,7.79,2.51,2.464
generated_Mean_Salto C,Salto C,10.732,0.362,-9.911,3.489,-36.033,14.112,1.465,8.199,-7.739,1.549,-22.92,10.305,-0.259,2.662
generated_Mean_Salto C,Salto C,10.348,0.336,-8.057,3.608,-4.959,15.192,-4.49,8.682,-7.176,1.689,8.846,12.868,-4.483,2.717
generated_Mean_Salto C,Salto C,9.996,0.363,-5.387,3.489,35.182,18.183,-9.728,7.711,-5.928,1.74,52.14,16.283,-8.768,2.513
generated_Mean_Salto C,Salto C,10.009,0.358,-4.204,3.104,95.788,23.018,-13.68,7.199,-5.089,1.581,108.727,19.637,-12.223,2.436
generated_Mean_Salto C,Salto C,10.307,0.393,-4.472,3.374,169.622,25.225,-17.045,6.709,-5.027,1.545,175.737,22.011,-14.294,2.421
generated_Mean_Salto C,Salto C,10.695,0.43,-5.806,3.417,249.208,26.66,-17.007,6.783,-5.411,1.455,247.174,22.452,-14.024,2.564
generated_Mean_Salto C,Salto C,11.304,0.432,-6.623,3.509,325.253,23.606,-12.539,7.439,-5.374,1.49,315.807,20.615,-11.412,2.72
generated_Mean_Salto C,Salto C,12.217,0.458,-5.251,3.617,388.129,20.606,-5.449,7.989,-4.222,1.619,375.162,17.388,-8.148,2.789
generated_Mean_Salto C,Salto C,13.37,0.483,-2.479,3.452,438.419,16.419,-4.928,6.865,-2.192,1.705,422.768,14.233,-6.64,2.422
generated_Mean_Salto C,Salto C,14.604,0.44,0.063,3.438,472.644,13.168,-6.502,6.262,0.075,1.702,457.303,10.997,-6.641,2.198
generated_Mean_Salto C,Salto C,15.664,0.391,2.277,3.691,492.321,10.702,-8.165,5.512,2.324,1.76,479.211,8.744,-6.755,2.194
generated_Mean_Salto C,Salto C,16.52,0.387,4.771,3.483,500.224,8.541,-7.08,5.722,4.542,1.671,490.358,7.198,-6.044,2.177
generated_Mean_Salto C,Salto C,17.305,0.388,7.337,3.48,499.373,9.313,-4.865,5.719,6.496,1.632,493.541,6.676,-4.66,2.165
generated_Mean_Salto C,Salto C,18.174,0.455,8.584,3.087,495.326,8.925,-2.536,5.72,7.808,1.541,492.003,6.217,-3.118,2.102
generated_Mean_Salto C,Salto C,19.3,0.547,8.777,3.411,490.264,7.851,-1.131,5.588,8.499,1.584,488.029,5.551,-2.016,2.002
generated_Mean_Salto C,Salto C,20.342,0.532,8.872,3.702,485.222,8.181,-1.776,5.534,8.969,1.664,482.513,5.318,-1.548,1.983
generated_Mean_Salto C,Salto C,20.708,0.524,9.618,3.726,478.306,7.673,-1.227,5.863,9.42,1.586,474.88,5.532,-0.947,2.017
generated_Mean_Salto C,Salto C,20.189,0.558,9.564,3.866,468.187,8.376,-0.605,6.308,9.661,1.555,464.459,6.049,-0.095,2.025
generated_Mean_Salto C,Salto C,19.149,0.611,9.305,3.757,453.782,9.343,1.29,6.744,9.958,1.518,451.067,6.568,0.928,2.038
generated_Mean_Salto C,Salto C,18.026,0.608,10.118,3.847,438.362,9.169,3.049,6.513,10.703,1.535,435.45,6.939,1.617,2.041
generated_Mean_Salto C,Salto C,17.015,0.555,11.772,3.932,422.349,10.352,2.328,6.035,11.872,1.694,417.471,7.722,1.286,1.902
generated_Mean_Salto C,Salto C,16.038,0.578,13.608,4.165,400.699,12.089,0.567,6.808,13.12,1.749,395.586,8.857,0.322,2.122
generated_Mean_Salto C,Salto C,14.641,0.712,14.467,3.832,371.384,13.188,-0.98,6.636,14.072,1.642,369.851,9.371,-0.777,2.117
generated_Mean_Salto C,Salto C,13.04,0.716,14.683,3.994,341.062,13.172,-1.824,6.815,14.837,1.645,343.204,8.884,-1.72,2.192
generated_Mean_Salto C,Salto C,11.699,0.681,15.379,4.057,314.616,11.801,-1.797,6.843,15.754,1.726,318.771,7.936,-2.686,2.127
generated_Mean_Salto C,Salto C,10.54,0.553,17.534,3.854,295.067,11.692,-3.032,7.302,16.917,1.723,298.126,7.285,-4.478,2.257
generated_Mean_Salto C,Salto C,9.74,0.488,18.437,3.873,282.512,13.098,-7.291,6.464,17.621,1.645,279.811,7.044,-6.934,2.13
generated_Mean_Salto C,Salto C,8.825,0.461,19.184,3.433,258.401,13.085,-10.216,7.088,17.602,1.47,260.892,6.694,-9.088,2.349
generated_Mean_Salto C,Salto C,7.876,0.392,18.08,3.833,239.735,10.773,-13.895,7.493,16.536,1.617,243.76,5.881,-10.299,2.217
generated_Mean_Salto C,Salto C,7.154,0.38,13.987,3.616,228.997,11.395,-8.697,8.029,14.543,1.607,229.268,5.432,-9.547,2.114
generated_Mean_Salto C,Salto C,6.347,0.353,12.621,3.282,213.676,9.6,-9.481,6.542,12.757,1.45,215.632,4.837,-8.804,1.905
generated_Mean_Salto C,Salto C,5.725,0.308,10.684,3.001,202.111,7.882,-8.535,4.999,11.085,1.326,203.489,4.287,-7.86,1.676
generated_Mean_Salto C,Salto C,5.189,0.27,8.541,2.491,191.12,7.06,-5.637,4.434,9.736,1.105,192.544,3.833,-6.459,1.439
generated_Mean_Salto C,Salto C,4.766,0.229,9.078,2.163,180.541,4.964,-4.375,4.147,9.154,0.99,182.771,3.353,-5.671,1.226
generated_Mean_Salto C,Salto C,4.48,0.2,9.13,2.13,173.833,5.176,-6.205,3.502,8.645,0.934,174.372,3.075,-5.618,1.129
generated_Mean_Salto C,Salto C,4.289,0.164,7.797,1.971,165.653,4.609,-6.001,3.238,7.826,0.845,166.609,2.807,-5.261,1.101
generated_Mean_Salto C,Salto C,4.139,0.154,6.619,1.724,158.448,3.89,-4.385,2.767,7.002,0.744,159.562,2.477,-4.41,1.006
generated_Mean_Salto C,Salto C,4.023,0.135,6.078,1.631,152.188,3.489,-2.973,2.408,6.462,0.708,153.383,2.16,-3.634,0.82
generated_Mean_Salto C,Salto C,3.997,0.119,5.997,1.501,146.654,3.156,-3.002,2.153,6.217,0.689,148.068,1.923,-3.276,0.737
generated_Mean_Salto C,Salto C,3.988,0.101,6.05,1.311,143.002,2.669,-3.189,2.218,6.126,0.613,143.654,1.694,-3.105,0.769
generated_Mean_Salto C,Salto C,3.967,0.089,5.983,1.2,139.354,2.442,-2.991,1.907,6.115,0.561,139.816,1.51,-2.872,0.734
