SprungID,Sprungtyp,Acc_N_Fil,Gyro_x_R,Gyro_y_R,Gyro_z_R,Gyro_x_Fil,Gyro_y_Fil,Gyro_z_Fil
generated_Mean_Salto C,Salto C,100.421,7.39,119.712,5.466,7.975,136.097,-1.069
generated_Mean_Salto C,Salto C,99.175,4.859,143.852,4.23,6.283,145.177,0.093
generated_Mean_Salto C,Salto C,92.626,5.903,151.923,-1.278,5.574,157.377,-0.729
generated_Mean_Salto C,Salto C,82.031,4.742,176.453,-2.127,4.946,173.146,-1.593
generated_Mean_Salto C,Salto C,68.871,4.367,196.015,-3.153,4.481,186.424,-2.759
generated_Mean_Salto C,Salto C,54.868,4.572,206.625,-5.637,4.097,191.096,-4.12
generated_Mean_Salto C,Salto C,41.342,3.549,198.565,-6.68,3.409,183.223,-4.02
generated_Mean_Salto C,Salto C,29.177,2.19,172.352,-3.412,2.484,162.829,-1.539
generated_Mean_Salto C,Salto C,18.724,1.333,141.081,3.582,1.605,134.108,2.346
generated_Mean_Salto C,Salto C,10.23,-0.28,104.782,7.894,0.952,98.943,5.273
generated_Mean_Salto C,Salto C,6.176,0.098,56.431,9.742,1.393,59.411,5.802
generated_Mean_Salto C,Salto C,6.869,2.626,16.969,6.421,2.849,22.732,3.318
generated_Mean_Salto C,Salto C,7.714,5.434,-24.545,-4.563,4.313,-6.978,-1.587
generated_Mean_Salto C,Salto C,8.229,7.167,-35.098,-10.558,4.999,-23.192,-4.241
generated_Mean_Salto C,Salto C,8.746,6.325,-23.828,-2.726,4.116,-30.568,-2.103
generated_Mean_Salto C,Salto C,9.145,2.595,-41.949,2.801,1.458,-41.027,0.831
generated_Mean_Salto C,Salto C,9.777,-2.264,-63.442,2.83,-2.11,-50.18,2.382
generated_Mean_Salto C,Salto C,10.428,-7.523,-64.991,6.703,-5.58,-48.982,3.096
generated_Mean_Salto C,Salto C,10.792,-9.834,-48.873,3.561,-7.552,-34.253,1.288
generated_Mean_Salto C,Salto C,10.559,-9.223,-19.168,-1.205,-7.634,-7.086,-2.443
generated_Mean_Salto C,Salto C,10.108,-6.346,14.338,-7.89,-6.493,30.482,-6.968
generated_Mean_Salto C,Salto C,9.935,-4.582,65.442,-11.07,-5.343,81.336,-10.817
generated_Mean_Salto C,Salto C,10.148,-3.775,135.412,-16.158,-4.922,144.393,-13.701
generated_Mean_Salto C,Salto C,10.502,-5.192,212.876,-17.905,-5.227,215.05,-14.601
generated_Mean_Salto C,Salto C,10.977,-6.662,293.345,-14.993,-5.548,286.151,-12.876
generated_Mean_Salto C,Salto C,11.764,-6.319,361.835,-7.872,-4.932,350.626,-9.481
generated_Mean_Salto C,Salto C,12.817,-3.695,418.433,-3.997,-3.192,403.506,-6.945
generated_Mean_Salto C,Salto C,14.065,-1.114,460.403,-5.126,-0.939,444.189,-6.52
generated_Mean_Salto C,Salto C,15.23,1.359,485.383,-8.331,1.309,471.346,-6.814
generated_Mean_Salto C,Salto C,16.16,3.457,498.766,-7.72,3.568,487.065,-6.512
