SprungID,Sprungtyp,mean_Acc_N_Fil,std_Acc_N_Fil,mean_Gyro_x_R,std_Gyro_x_R,mean_Gyro_y_R,std_Gyro_y_R,mean_Gyro_z_R,std_Gyro_z_R,mean_Gyro_x_Fil,std_Gyro_x_Fil,mean_Gyro_y_Fil,std_Gyro_y_Fil,mean_Gyro_z_Fil,std_Gyro_z_Fil
20190930-1153-FRANKFURT_1-01-249,Strecksprung,27.559,30.355,-7.553,21.408,15.789,23.274,-16.39,37.492,-7.373,18.78,16.254,19.383,-15.898,32.632
20190930-1153-FRANKFURT_1-01-249,Strecksprung,0.978,0.346,3.314,3.515,-6.134,8.944,19.56,4.051,3.478,2.798,-6.386,7.522,19.383,2.958
20190930-1153-FRANKFURT_1-01-249,Strecksprung,0.729,0.196,-3.636,4.828,9.811,4.691,-0.995,14.507,-3.836,4.243,9.534,3.441,-1.31,12.478
20190930-1153-FRANKFURT_1-01-249,Strecksprung,20.993,25.361,-3.188,8.028,-16.15,45.365,-17.884,16.103,-2.934,4.7,-16.523,31.958,-17.358,6.375
0115-CHARI-05-57,Strecksprung,24.5,34.044,-16.585,23.384,62.278,57.71,-38.978,27.452,-16.255,19.745,62.147,54.183,-38.407,20.744
0115-CHARI-05-57,Strecksprung,0.93,0.219,7.615,5.035,-31.441,20.146,2.471,9.275,7.341,4.182,-31.462,19.363,1.97,6.409
0115-CHARI-05-57,Strecksprung,0.978,0.228,-1.457,5.684,-64.492,8.52,-11.57,13.287,-1.499,4.905,-64.248,7.812,-11.457,12.103
0115-CHARI-05-57,Strecksprung,18.239,29.863,-1.067,8.043,3.349,70.677,-6.627,18.624,-0.834,4.968,2.884,64.548,-6.563,12.608
20190930-1153-FRANKFURT_1-01-166,Schraubensalto,23.113,30.445,51.283,36.263,166.8,88.212,129.326,57.443,52.188,33.164,165.849,82.1,129.418,53.595
20190930-1153-FRANKFURT_1-01-166,Schraubensalto,4.817,2.05,160.656,41.557,-51.616,97.439,252.74,49.39,159.187,41.073,-51.647,96.114,252.659,48.485
20190930-1153-FRANKFURT_1-01-166,Schraubensalto,11.854,0.5,-92.953,54.043,-112.28,113.113,341.946,26.752,-91.807,53.252,-111.189,111.257,341.227,24.061
20190930-1153-FRANKFURT_1-01-166,Schraubensalto,18.833,22.617,18.974,58.571,169.487,42.65,138.181,139.463,18.35,55.385,166.758,35.544,139.66,132.736
20191003-1152-FRANKFURT_1-01-106,Salto C,29.508,28.345,3.824,22.551,40.704,112.32,-13.527,39.712,3.258,15.558,44.899,103.137,-12.502,17.226
20191003-1152-FRANKFURT_1-01-106,Salto C,19.911,8.754,-24.466,21.297,472.245,165.229,2.68,22.377,-24.179,16.916,466.982,158.334,2.546,11.652
20191003-1152-FRANKFURT_1-01-106,Salto C,4.395,1.232,-5.444,6.212,156.3,67.011,-5.718,6.757,-5.343,4.821,158.284,67.972,-5.605,5.28
20191003-1152-FRANKFURT_1-01-106,Salto C,14.689,19.94,-4.529,8.66,126.312,30.975,-2.916,15.64,-4.51,5.556,123.953,26.785,-2.997,9.906
20191007-1150-FRANKFURT_2-01-225,Salto A,22.511,26.692,22.611,16.672,240.175,44.306,-16.335,32.122,23.39,12.657,239.955,37.499,-15.892,15.199
20191007-1150-FRANKFURT_2-01-225,Salto A,8.178,0.85,2.482,8.678,208.845,56.09,7.269,19.075,2.605,6.989,209.568,49.219,7.383,15.983
20191007-1150-FRANKFURT_2-01-225,Salto A,8.668,0.67,24.214,5.579,183.108,20.617,21.682,7.314,23.755,4.618,183.992,14.75,21.493,4.431
20191007-1150-FRANKFURT_2-01-225,Salto A,18.102,20.221,37.604,33.756,240.204,63.301,12.234,34.305,36.722,24.949,235.447,47.797,11.799,23.049
20191008-1207-FRANKFURT_2-01-240,Salto B,23.086,27.927,-0.314,15.484,-18.187,141.306,3.961,29.829,0.693,10.77,-15.829,128.042,3.388,18.295
20191008-1207-FRANKFURT_2-01-240,Salto B,24.892,12.895,49.492,43.388,484.864,230.302,-13.863,44.96,48.638,40.208,479.641,223.034,-10.867,20.393
20191008-1207-FRANKFURT_2-01-240,Salto B,5.738,3.727,28.968,21.86,144.789,127.601,-22.002,13.633,28.825,20.661,147.206,123.088,-23.775,7.723
20191008-1207-FRANKFURT_2-01-240,Salto B,22.74,33.91,-7.565,31.797,172.548,137.08,-8.441,46.272,-7.861,23.15,167.008,123.067,-8.552,33.152
20190930-1247-FRANKFURT_2-01-47,Salto C,23.598,26.384,-8.657,34.016,84.664,71.218,15.319,30.794,-8.394,24.107,87.55,62.198,14.632,18.1
20190930-1247-FRANKFURT_2-01-47,Salto C,14.495,2.323,-4.23,13.539,377.591,80.757,10.225,13.213,-4.447,13.101,374.901,78.831,10.101,9.173
20190930-1247-FRANKFURT_2-01-47,Salto C,6.507,2.551,-7.662,8.875,208.468,70.2,-4.908,10.227,-7.671,7.962,208.968,67.564,-4.834,9.034
20190930-1247-FRANKFURT_2-01-47,Salto C,13.347,18.737,2.02,22.102,166.143,41.629,0.757,37.168,2.596,17.015,164.414,39.914,1.147,20.528
20191007-1150-FRANKFURT_2-01-86,Salto A,26.227,28.585,28.133,16.584,215.023,70.047,-17.011,27.715,28.608,13.167,215.356,63.194,-16.492,16.644
20191007-1150-FRANKFURT_2-01-86,Salto A,8.747,0.603,0.973,18.79,188.642,79.543,-8.954,18.993,1.218,15.818,188.774,74.203,-9.674,14.233
20191007-1150-FRANKFURT_2-01-86,Salto A,9.067,0.502,-5.936,16.921,208.306,11.022,-5.828,20.288,-5.852,15.917,209.096,9.936,-5.855,17.65
20191007-1150-FRANKFURT_2-01-86,Salto A,17.621,19.15,8.758,42.133,245.481,39.874,24.768,63.261,7.916,36.611,241.672,23.19,22.482,51.699
20191003-1152-FRANKFURT_1-01-103,Salto A,24.27,28.292,-1.584,15.399,147.134,77.182,9.473,28.233,-1.613,10.119,148.317,70.895,11.128,17.78
20191003-1152-FRANKFURT_1-01-103,Salto A,9.504,1.451,-5.903,9.131,294.423,123.042,6.498,8.74,-6.214,5.996,292.375,118.175,6.084,4.962
20191003-1152-FRANKFURT_1-01-103,Salto A,7.207,0.452,-5.937,8.394,178.332,49.23,-7.807,8.29,-5.906,5.553,180.282,49.503,-8.189,5.017
20191003-1152-FRANKFURT_1-01-103,Salto A,20.165,22.696,-25.762,20.099,245.56,64.608,-5.074,36.325,-25.164,10.089,244.865,55.198,-5.16,21.357
20190930-1153-FRANKFURT_1-01-241,Schraubensalto,32.677,36.914,52.997,40.642,171.17,52.241,123.415,87.956,54.234,38.282,174.262,49.956,123.383,85.213
20190930-1153-FRANKFURT_1-01-241,Schraubensalto,6.363,2.391,128.848,53.153,-87.278,121.859,286.196,37.677,127.562,52.481,-86.762,119.651,286.288,36.262
20190930-1153-FRANKFURT_1-01-241,Schraubensalto,10.35,1.717,-125.901,50.145,-24.196,110.654,315.776,57.081,-124.628,48.705,-24.485,108.69,314.842,55.76
20190930-1153-FRANKFURT_1-01-241,Schraubensalto,17.788,22.548,8.662,37.324,165.305,59.78,92.586,75.005,8.19,35.853,163.373,54.722,93.291,72.818
20190930-1153-FRANKFURT_1-01-140,Cody C,38.758,36.337,6.189,51.662,21.926,304.741,30.72,47.137,6.335,38.382,28.157,290.882,28.884,26.792
20190930-1153-FRANKFURT_1-01-140,Cody C,19.755,10.696,55.178,33.284,491.455,192.186,1.267,37.448,55.094,29.255,489.785,187.007,0.713,29.274
20190930-1153-FRANKFURT_1-01-140,Cody C,5.607,0.686,8.87,8.685,157.939,34.405,-6.884,12.173,8.713,7.472,158.294,33.871,-6.808,10.319
20190930-1153-FRANKFURT_1-01-140,Cody C,22.559,29.981,3.784,22.512,176.153,75.737,-17.853,45.838,3.896,15.233,176.446,66.892,-17.598,38.784
20191007-1150-FRANKFURT_2-01-129,Barani A,29.833,31.98,-27.344,29.074,-179.865,106.316,51.483,55.011,-26.948,28.805,-179.397,94.263,53.673,49.283
20191007-1150-FRANKFURT_2-01-129,Barani A,11.041,2.53,-158.256,41.351,-58.022,59.784,197.138,64.131,-157.645,39.417,-57.472,55.991,195.266,54.264
20191007-1150-FRANKFURT_2-01-129,Barani A,10.726,1.198,-104.863,61.461,141.705,22.742,132.567,87.763,-104.519,59.745,141.702,17.793,133.938,84.654
20191007-1150-FRANKFURT_2-01-129,Barani A,15.748,18.09,14.993,39.585,261.391,51.099,35.181,40.549,13.167,34.873,258.922,41.781,35.096,23.661
20191001-1202-FRANKFURT_2-01-131,Salto A,23.364,27.233,-4.247,22.133,-174.324,132.648,8.635,77.589,-3.72,8.16,-177.967,94.626,0.852,22.101
20191001-1202-FRANKFURT_2-01-131,Salto A,7.445,0.411,-7.467,10.153,-201.001,36.306,-25.046,21.82,-7.29,7.579,-201.109,32.086,-24.287,12.94
20191001-1202-FRANKFURT_2-01-131,Salto A,7.366,0.132,11.219,6.016,-191.214,14.287,-15.105,5.886,11.099,5.357,-191.184,13.546,-15.046,4.725
20191001-1202-FRANKFURT_2-01-131,Salto A,20.778,24.977,14.055,11.3,-260.696,123.748,-17.458,136.846,13.89,7.261,-255.072,73.758,-11.868,24.922
0827-BK2-01-106,Salto A,29.635,36.809,15.453,12.776,123.749,70.989,-4.747,19.41,14.981,9.437,124.551,60.672,-3.465,11.928
0827-BK2-01-106,Salto A,6.576,0.875,12.322,12.933,224.725,21.478,-0.782,14.186,12.488,11.136,223.936,20.409,-1.224,9.333
0827-BK2-01-106,Salto A,5.614,0.308,13.707,10.594,182.518,21.845,-0.043,15.973,13.794,9.698,182.344,21.454,-0.2,14.847
0827-BK2-01-106,Salto A,16.256,23.735,6.787,12.543,151.318,54.077,-8.128,8.863,6.774,10.148,149.5,41.819,-8.269,6.603
20191003-1152-FRANKFURT_1-01-107,Strecksprung,27.783,32.348,2.346,14.096,16.021,28.537,10.194,16.148,2.144,11.842,18.532,24.396,9.832,11.743
20191003-1152-FRANKFURT_1-01-107,Strecksprung,1.13,0.457,5.029,7.779,-23.176,22.472,11.939,17.224,5.174,5.368,-22.82,19.925,12.04,13.837
20191003-1152-FRANKFURT_1-01-107,Strecksprung,0.989,0.398,-8.752,13.578,44.577,22.03,3.936,26.85,-8.604,11.831,43.876,20.656,4.56,24.138
20191003-1152-FRANKFURT_1-01-107,Strecksprung,13.109,19.593,12.897,26.792,-31.435,48.552,9.373,43.08,12.799,24.071,-31.352,40.661,8.216,30.459
20191003-1152-FRANKFURT_1-01-65,Barani A,30.579,32.251,17.475,56.255,-131.115,86.099,-49.026,23.639,17.458,52.855,-128.914,84.804,-48.618,17.982
20191003-1152-FRANKFURT_1-01-65,Barani A,8.73,1.579,168.877,64.401,-102.737,37.639,-138.893,57.883,168.803,62.346,-101.926,35.335,-138.87,55.999
20191003-1152-FRANKFURT_1-01-65,Barani A,10.286,0.541,134.943,85.9,82.291,65.785,-195.943,42.24,134.777,84.224,82.808,65.575,-195.106,40.737
20191003-1152-FRANKFURT_1-01-65,Barani A,21.018,24.022,-19.471,26.418,239.536,68.216,-40.787,35.944,-18.947,21.581,237.531,57.503,-41.595,27.276
20191001-1148-FRANKFURT_1-01-74,Barani A,22.929,26.896,-3.349,32.163,-171.469,110.795,72.352,43.213,-3.926,30.716,-171.961,90.064,72.502,39.195
20191001-1148-FRANKFURT_1-01-74,Barani A,9.832,1.617,-126.199,26.366,-118.227,81.558,223.534,83.361,-125.561,26.041,-116.529,79.022,223.471,80.863
20191001-1148-FRANKFURT_1-01-74,Barani A,8.711,0.799,-65.45,49.382,139.673,22.298,178.625,98.709,-65.401,48.283,139.132,22.589,178.344,96.368
20191001-1148-FRANKFURT_1-01-74,Barani A,14.586,19.146,-12.415,17.458,282.361,89.98,4.318,32.103,-12.064,10.31,281.53,73.883,4.505,19.163
20191008-1207-FRANKFURT_2-01-172,Barani A,35.878,36.807,-38.419,41.904,-171.332,192.861,71.749,120.16,-39.86,26.399,-167.36,138.369,70.923,35.841
20191008-1207-FRANKFURT_2-01-172,Barani A,9.134,1.812,-162.437,75.907,-100.381,45.59,130.077,41.103,-162.028,74.062,-101.186,39.308,131.896,40.404
20191008-1207-FRANKFURT_2-01-172,Barani A,9.3,0.977,-115.718,78.737,99.399,71.608,207.009,70.457,-115.803,77.033,99.786,68.802,205.242,67.163
20191008-1207-FRANKFURT_2-01-172,Barani A,13.449,17.937,22.067,30.637,244.301,70.869,35.045,59.685,22.354,26.692,243.463,53.726,33.983,31.413
20191007-1150-FRANKFURT_2-01-234,Salto B,23.909,25.423,8.361,21.248,53.266,152.149,-4.362,38.75,8.423,11.267,56.306,136.673,-6.802,24.761
20191007-1150-FRANKFURT_2-01-234,Salto B,13.893,6.719,18.077,13.067,327.717,250.211,-18.289,16.643,18.534,9.191,326.631,238.359,-17.651,12.44
20191007-1150-FRANKFURT_2-01-234,Salto B,10.752,5.93,32.382,12.281,272.831,149.532,2.388,13.093,32.216,8.314,272.643,144.992,2.336,5.845
