SprungID,Sprungtyp,Acc_N_Fil,Gyro_x_R,Gyro_y_R,Gyro_z_R,Gyro_x_Fil,Gyro_y_Fil,Gyro_z_Fil
generated_Mean_Salto C,Salto C,100.421,7.39,119.712,5.466,7.975,136.097,-1.069
generated_Mean_Salto C,Salto C,11.757,-6.268,361.415,-7.988,-4.918,350.273,-9.515
generated_Mean_Salto C,Salto C,5.421,8.939,197.422,-6.911,10.216,197.356,-7.089
generated_Mean_Salto C,Salto C,3.91,2.81,102.786,-5.308,2.936,102.564,-5.295
generated_Mean_Strecksprung,Strecksprung,90.904,-1.087,96.179,-2.985,1.151,103.79,-7.084
generated_Mean_Strecksprung,Strecksprung,1.28,0.636,-3.797,3.861,0.597,-3.395,3.831
generated_Mean_Strecksprung,Strecksprung,0.99,-1.065,-36.565,0.123,-1.171,-36.971,0.392
generated_Mean_Strecksprung,Strecksprung,0.997,-1.326,-25.449,0.68,-1.339,-25.924,0.927
generated_Mean_Salto B,Salto B,95.158,18.012,98.038,-23.911,20.102,131.143,-17.962
generated_Mean_Salto B,Salto B,8.84,-3.804,-9.933,-2.042,-4.133,-1.328,-3.277
generated_Mean_Salto B,Salto B,15.559,25.377,357.93,-22.168,24.218,357.46,-21.256
generated_Mean_Salto B,Salto B,4.779,3.369,102.816,-7.444,3.387,103.383,-7.491
generated_Mean_Salto A,Salto A,94.009,7.4,126.63,7.937,13.908,119.355,-11.185
generated_Mean_Salto A,Salto A,8.002,-4.322,118.889,-10.271,-4.052,117.837,-11.11
generated_Mean_Salto A,Salto A,6.775,6.155,155.673,-11.529,6.089,155.661,-11.41
generated_Mean_Salto A,Salto A,7.266,-1.003,110.493,-8.129,-1.029,111.015,-8.88
generated_Mean_Barani A,Barani A,94.427,9.098,-11.649,-8.069,11.932,-4.968,5.072
generated_Mean_Barani A,Barani A,7.425,-46.809,-95.597,100.951,-48.627,-97.965,100.638
generated_Mean_Barani A,Barani A,10.214,-123.116,30.391,242.541,-123.009,29.031,239.996
generated_Mean_Barani A,Barani A,8.524,-13.597,159.572,45.314,-14.158,159.481,45.941
generated_Mean_Doppelsalto C,Doppelsalto C,87.366,26.347,172.739,-15.244,29.013,214.778,-13.999
generated_Mean_Doppelsalto C,Doppelsalto C,28.214,-2.708,354.922,-6.903,-3.433,363.109,-9.167
generated_Mean_Doppelsalto C,Doppelsalto C,52.164,30.249,816.481,-5.164,30.925,811.7,-6.005
generated_Mean_Doppelsalto C,Doppelsalto C,9.956,19.354,197.403,-28.092,19.881,199.886,-27.604
generated_Mean_3/4 Salto rw A,3/4 Salto rw A,88.88,14.527,65.458,33.975,11.203,67.118,10.145
generated_Mean_3/4 Salto rw A,3/4 Salto rw A,3.787,-1.642,52.375,-11.185,-1.428,52.345,-9.375
generated_Mean_3/4 Salto rw A,3/4 Salto rw A,3.946,11.216,146.458,-3.593,9.954,146.85,-4.547
generated_Mean_3/4 Salto rw A,3/4 Salto rw A,5.135,-0.445,132.395,-11.805,-0.972,131.565,-11.327
generated_Mean_Cody C,Cody C,116.119,4.52,-10.995,-31.584,6.013,-21.242,-24.749
generated_Mean_Cody C,Cody C,27.515,-7.956,421.631,0.155,-3.983,412.33,-3.132
generated_Mean_Cody C,Cody C,10.339,-22.411,154.276,12.887,-18.716,158.956,-3.958
generated_Mean_Cody C,Cody C,6.874,-3.887,98.564,-2.218,-4.665,99.656,-1.928
generated_Mean_Schraubensalto,Schraubensalto,98.546,7.425,145.631,0.678,11.463,180.398,15.664
generated_Mean_Schraubensalto,Schraubensalto,3.85,88.9,95.689,102.005,88.815,95.289,99.692
generated_Mean_Schraubensalto,Schraubensalto,11.172,39.258,-186.815,167.769,39.702,-185.394,168.874
generated_Mean_Schraubensalto,Schraubensalto,8.211,-32.505,173.876,99.875,-33.103,169.178,100.719
generated_Mean_Rudi,Rudi,97.529,13.012,-45.396,23.33,15.775,9.353,14.297
generated_Mean_Rudi,Rudi,15.148,8.817,-124.781,566.2,13.59,-124.06,550.904
generated_Mean_Rudi,Rudi,17.43,219.316,-141.455,608.846,218.877,-138.018,607.323
generated_Mean_Rudi,Rudi,9.457,7.441,220.644,106.468,5.747,221.572,111.594
generated_Mean_Fliffis- Rudi C,Fliffis- Rudi C,101.414,26.954,-184.938,50.652,39.218,-48.866,-11.917
generated_Mean_Fliffis- Rudi C,Fliffis- Rudi C,57.415,-24.03,-625.08,29.138,-17.969,-627.266,36.678
generated_Mean_Fliffis- Rudi C,Fliffis- Rudi C,32.917,-27.684,-95.316,761.11,-2.067,-98.731,745.631
generated_Mean_Fliffis- Rudi C,Fliffis- Rudi C,29.159,7.852,203.6,624.926,21.333,178.852,628.332
generated_Mean_Barani C,Barani C,95.123,5.971,43.783,2.158,8.269,48.219,2.925
generated_Mean_Barani C,Barani C,14.883,-27.894,-413.62,86.826,-27.734,-405.402,87.776
generated_Mean_Barani C,Barani C,7.985,-56.641,-3.984,239.736,-56.053,-2.474,235.345
generated_Mean_Barani C,Barani C,5.409,-19.942,124.778,96.341,-20.703,124.184,96.857
generated_Mean_Grätschwinkel,Grätschwinkel,92.522,1.588,62.747,-6.558,10.588,89.282,-3.486
generated_Mean_Grätschwinkel,Grätschwinkel,4.946,-7.303,-162.702,6.059,-6.36,-159.439,3.633
generated_Mean_Grätschwinkel,Grätschwinkel,8.113,-0.051,63.882,7.033,-0.71,61.994,2.093
generated_Mean_Grätschwinkel,Grätschwinkel,2.469,-2.458,51.34,-2.525,-2.918,51.297,-1.254
generated_Mean_Fliffis C,Fliffis C,95.114,25.133,26.011,-7.711,21.675,43.252,0.266
generated_Mean_Fliffis C,Fliffis C,52.205,-22.419,-642.501,37.618,-20.179,-651.379,28.874
generated_Mean_Fliffis C,Fliffis C,28.323,-71.584,-277.689,130.239,-68.038,-279.384,136.145
generated_Mean_Fliffis C,Fliffis C,13.672,-25.684,174.631,140.497,-26.347,173.27,141.405
generated_Mean_1/2 ein 1/2 aus C,1/2 ein 1/2 aus C,108.309,18.58,133.388,-16.784,19.228,193.426,-8.837
generated_Mean_1/2 ein 1/2 aus C,1/2 ein 1/2 aus C,30.296,-68.424,-288.304,33.9,-61.748,-279.541,29.767
generated_Mean_1/2 ein 1/2 aus C,1/2 ein 1/2 aus C,43.155,-19.936,-458.104,-130.068,-22.362,-453.163,-123.782
generated_Mean_1/2 ein 1/2 aus C,1/2 ein 1/2 aus C,14.196,-17.488,170.888,65.936,-17.741,171.139,68.56
generated_Mean_Doppelsalto B,Doppelsalto B,101.53,31.349,163.316,-9.924,30.657,202.839,-14.483
generated_Mean_Doppelsalto B,Doppelsalto B,13.844,-20.964,201.651,-23.795,-20.784,195.833,-21.344
generated_Mean_Doppelsalto B,Doppelsalto B,44.618,2.022,805.596,4.64,0.005,799.668,7.502
generated_Mean_Doppelsalto B,Doppelsalto B,10.087,22.966,190.282,-17.308,24.347,192.331,-18.461
generated_Mean_1 3/4 Salto vw B,1 3/4 Salto vw B,93.789,35.869,-1.097,-12.377,38.483,18.244,-20.597
generated_Mean_1 3/4 Salto vw B,1 3/4 Salto vw B,25.099,-70.017,-624.891,81.486,-69.523,-626.333,82.461
generated_Mean_1 3/4 Salto vw B,1 3/4 Salto vw B,11.578,-11.143,34.783,54.646,-6.941,21.297,47.294
generated_Mean_1 3/4 Salto vw B,1 3/4 Salto vw B,20.382,-40.629,-507.84,78.823,-40.096,-506.087,77.907
generated_Mean_Fliffis aus C,Fliffis aus C,104.397,-12.538,-121.071,-27.884,-1.491,-84.599,-16.666
generated_Mean_Fliffis aus C,Fliffis aus C,52.841,33.084,-649.213,-27.396,38.723,-662.147,-26.788
generated_Mean_Fliffis aus C,Fliffis aus C,26.251,-48.031,-240.093,140.089,-38.694,-269.237,141.191
generated_Mean_Fliffis aus C,Fliffis aus C,13.251,20.596,222.587,44.756,19.52,230.232,45.4
generated_Mean_Salto rw B,Salto rw B,92.588,32.52,74.189,-47.309,-5.506,193.669,-27.19
generated_Mean_Salto rw B,Salto rw B,12.911,5.886,-279.926,38.04,4.027,-238.559,28.756
generated_Mean_Salto rw B,Salto rw B,24.509,-33.234,512.646,-10.406,-31.714,505.37,-7.486
generated_Mean_Salto rw B,Salto rw B,5.23,4.52,118.343,5.011,4.099,118.917,5.194
generated_Mean_Salto rw A,Salto rw A,94.585,-16.345,97.342,-8.938,-9.855,176.854,8.591
generated_Mean_Salto rw A,Salto rw A,8.75,-20.331,184.956,5.716,-19.335,180.46,6.346
generated_Mean_Salto rw A,Salto rw A,6.63,-0.062,206.607,1.898,0.055,205.711,2.647
generated_Mean_Salto rw A,Salto rw A,7.319,-3.578,159.364,-5.036,-4.393,161.615,-7.149
generated_Mean_Salto rw C,Salto rw C,92.021,21.533,-176.533,58.8,-22.13,122.197,-20.23
generated_Mean_Salto rw C,Salto rw C,9.806,51.0,430.227,-33.227,40.627,376.683,-32.053
generated_Mean_Salto rw C,Salto rw C,6.971,19.693,348.027,0.667,10.897,247.107,-9.253
generated_Mean_Salto rw C,Salto rw C,4.417,-10.707,125.747,8.173,-9.177,131.81,8.673
generated_Mean_3/4 Salto vw A,3/4 Salto vw A,98.314,-13.893,-6.04,26.198,0.396,-1.54,2.081
generated_Mean_3/4 Salto vw A,3/4 Salto vw A,2.318,7.127,1.922,9.818,6.214,1.05,13.113
generated_Mean_3/4 Salto vw A,3/4 Salto vw A,1.412,6.758,-124.884,8.722,6.698,-125.343,9.603
generated_Mean_3/4 Salto vw A,3/4 Salto vw A,8.375,-0.602,-217.809,24.336,-0.614,-216.39,21.121
generated_Mean_Baby- Fliffis C,Baby- Fliffis C,107.926,-2.857,9.562,-4.718,0.895,4.659,2.712
generated_Mean_Baby- Fliffis C,Baby- Fliffis C,30.105,12.663,-422.223,57.544,11.097,-412.895,58.515
generated_Mean_Baby- Fliffis C,Baby- Fliffis C,13.254,-42.148,-15.723,341.153,-43.619,-18.992,330.933
generated_Mean_Baby- Fliffis C,Baby- Fliffis C,8.449,-10.299,145.127,91.682,-9.568,142.492,95.3
generated_Mean_Fliffis aus B,Fliffis aus B,107.671,-6.796,-46.072,-8.584,-2.049,-10.806,-25.932
generated_Mean_Fliffis aus B,Fliffis aus B,41.094,-22.792,-719.468,-18.764,-22.314,-723.043,-6.968
generated_Mean_Fliffis aus B,Fliffis aus B,19.204,108.176,-212.024,-130.86,110.131,-213.995,-133.749
generated_Mean_Fliffis aus B,Fliffis aus B,14.358,111.248,223.632,-15.352,111.275,225.274,-13.274
generated_Mean_Bücksprung,Bücksprung,77.97,-88.52,11.707,35.813,-17.5,-145.517,-65.867
generated_Mean_Bücksprung,Bücksprung,12.949,36.267,310.44,6.08,37.24,301.057,5.377
generated_Mean_Bücksprung,Bücksprung,11.709,15.08,-237.267,1.653,10.5,-221.967,3.64
generated_Mean_Bücksprung,Bücksprung,1.482,-6.787,12.52,11.453,-5.51,7.1,7.87
generated_Mean_Hocksprung,Hocksprung,92.203,17.093,-115.053,596.307,18.103,-123.397,-60.47
generated_Mean_Hocksprung,Hocksprung,8.191,-21.067,217.467,63.76,-19.413,214.923,37.4
generated_Mean_Hocksprung,Hocksprung,8.567,4.827,-174.48,22.147,9.0,-161.92,21.31
generated_Mean_Hocksprung,Hocksprung,1.345,-15.92,11.387,26.2,-15.033,9.723,21.657
generated_Mean_Schraubensalto A,Schraubensalto A,93.872,16.658,159.774,-84.075,31.565,171.967,-4.826
generated_Mean_Schraubensalto A,Schraubensalto A,7.585,146.413,26.676,296.173,146.483,26.687,295.536
generated_Mean_Schraubensalto A,Schraubensalto A,13.823,9.282,-153.333,428.198,13.019,-146.003,428.065
generated_Mean_Schraubensalto A,Schraubensalto A,9.229,4.372,199.828,114.285,2.897,198.507,117.38
generated_Mean_Fliffis B,Fliffis B,95.413,13.568,66.893,-22.049,10.842,77.414,-9.75
generated_Mean_Fliffis B,Fliffis B,40.374,-24.599,-645.844,25.009,-25.201,-647.641,23.158
generated_Mean_Fliffis B,Fliffis B,20.701,-97.805,-216.174,189.551,-96.953,-211.501,190.791
generated_Mean_Fliffis B,Fliffis B,15.093,-28.091,216.36,150.85,-27.885,215.977,149.755
generated_Mean_Barani B,Barani B,90.813,-14.834,-62.208,-29.9,-14.555,-61.045,-27.42
generated_Mean_Barani B,Barani B,7.092,-19.648,-336.922,41.902,-16.191,-326.728,46.242
generated_Mean_Barani B,Barani B,10.355,-3.322,72.702,381.46,-0.543,71.061,380.99
generated_Mean_Barani B,Barani B,6.693,4.14,222.494,35.198,1.259,222.296,36.272
generated_Mean_Fliffis- Rudi B,Fliffis- Rudi B,101.917,15.356,25.691,-14.63,16.964,31.7,-7.011
generated_Mean_Fliffis- Rudi B,Fliffis- Rudi B,47.113,-70.51,-696.824,38.154,-72.098,-706.637,40.657
generated_Mean_Fliffis- Rudi B,Fliffis- Rudi B,35.128,0.722,11.736,150.938,-2.537,15.255,149.522
generated_Mean_Fliffis- Rudi B,Fliffis- Rudi B,19.713,35.49,202.812,65.065,34.687,190.258,67.581
generated_Mean_Halb ein Triffis C,Halb ein Triffis C,113.301,-11.347,208.6,-67.36,-9.263,225.582,-81.378
generated_Mean_Halb ein Triffis C,Halb ein Triffis C,54.696,-582.84,-503.267,256.667,-577.238,-509.13,215.163
generated_Mean_Halb ein Triffis C,Halb ein Triffis C,78.25,-298.773,-861.173,7.933,-296.87,-862.59,7.252
generated_Mean_Halb ein Triffis C,Halb ein Triffis C,18.999,151.933,16.147,-369.947,147.087,19.33,-384.405
generated_Mean_Triffis C,Triffis C,110.579,7.4,33.608,-31.824,5.072,40.126,-22.27
generated_Mean_Triffis C,Triffis C,72.294,-142.136,-821.32,49.832,-140.672,-819.872,57.712
generated_Mean_Triffis C,Triffis C,78.432,-153.928,-876.96,9.784,-152.062,-879.354,7.354
generated_Mean_Triffis C,Triffis C,21.652,125.464,46.064,-399.896,115.566,47.786,-388.284
generated_Mean_Voll- ein- Rudi- aus B,Voll- ein- Rudi- aus B,108.591,-3.92,96.007,-31.64,0.772,100.457,-37.507
generated_Mean_Voll- ein- Rudi- aus B,Voll- ein- Rudi- aus B,34.002,-492.3,203.713,-889.493,-479.923,175.327,-868.198
generated_Mean_Voll- ein- Rudi- aus B,Voll- ein- Rudi- aus B,44.614,-497.68,-107.553,-722.753,-496.042,-98.872,-702.967
generated_Mean_Voll- ein- Rudi- aus B,Voll- ein- Rudi- aus B,22.568,30.113,177.62,-487.433,26.323,170.947,-484.275
