SprungID,Sprungtyp,0_mean_Acc_N_Fil,0_std_Acc_N_Fil,0_mean_Gyro_x_R,0_std_Gyro_x_R,0_mean_Gyro_y_R,0_std_Gyro_y_R,0_mean_Gyro_z_R,0_std_Gyro_z_R,0_mean_Gyro_x_Fil,0_std_Gyro_x_Fil,0_mean_Gyro_y_Fil,0_std_Gyro_y_Fil,0_mean_Gyro_z_Fil,0_std_Gyro_z_Fil,25_mean_Acc_N_Fil,25_std_Acc_N_Fil,25_mean_Gyro_x_R,25_std_Gyro_x_R,25_mean_Gyro_y_R,25_std_Gyro_y_R,25_mean_Gyro_z_R,25_std_Gyro_z_R,25_mean_Gyro_x_Fil,25_std_Gyro_x_Fil,25_mean_Gyro_y_Fil,25_std_Gyro_y_Fil,25_mean_Gyro_z_Fil,25_std_Gyro_z_Fil,50_mean_Acc_N_Fil,50_std_Acc_N_Fil,50_mean_Gyro_x_R,50_std_Gyro_x_R,50_mean_Gyro_y_R,50_std_Gyro_y_R,50_mean_Gyro_z_R,50_std_Gyro_z_R,50_mean_Gyro_x_Fil,50_std_Gyro_x_Fil,50_mean_Gyro_y_Fil,50_std_Gyro_y_Fil,50_mean_Gyro_z_Fil,50_std_Gyro_z_Fil,75_mean_Acc_N_Fil,75_std_Acc_N_Fil,75_mean_Gyro_x_R,75_std_Gyro_x_R,75_mean_Gyro_y_R,75_std_Gyro_y_R,75_mean_Gyro_z_R,75_std_Gyro_z_R,75_mean_Gyro_x_Fil,75_std_Gyro_x_Fil,75_mean_Gyro_y_Fil,75_std_Gyro_y_Fil,75_mean_Gyro_z_Fil,75_std_Gyro_z_Fil
0609-1-01-190,Doppelsalto C,27.131,22.797,-0.69,25.86,158.72,121.712,-17.833,41.029,-0.634,22.172,162.934,111.165,-18.761,21.524,47.345,7.23,-29.429,16.292,735.383,99.379,-2.604,29.289,-29.217,12.184,730.864,102.085,-0.718,14.8,26.338,15.295,35.603,39.692,544.43,216.99,-9.656,54.302,35.844,35.066,543.359,211.541,-10.436,43.698,14.928,18.069,-13.446,14.194,159.105,42.352,-13.628,21.243,-13.407,10.95,156.866,31.245,-13.565,18.474
0609-1-01-197,Bauchsprung,18.762,27.642,-3.219,8.172,4.853,66.296,-0.801,16.706,-3.271,5.022,4.558,51.953,-0.684,10.431,0.861,0.221,-6.431,4.544,-99.296,18.142,-11.128,11.583,-6.198,3.484,-98.936,16.764,-11.247,10.222,1.537,0.243,13.686,11.562,-51.195,23.074,-2.177,25.023,13.508,10.314,-51.256,21.297,-2.03,21.646,22.116,32.466,-14.249,23.275,47.698,75.194,-8.668,38.023,-13.821,15.518,46.564,61.859,-8.99,26.265
0609-1-01-198,Von Bauch in Stand,26.408,34.864,10.117,20.737,-4.305,67.94,-1.658,46.072,9.477,14.193,-3.08,29.891,-1.498,21.449,0.866,0.226,-1.031,7.649,4.158,20.593,3.963,10.818,-0.912,6.15,4.274,18.805,4.122,8.974,1.167,0.413,5.751,16.779,21.07,30.043,14.393,25.741,5.8,15.882,21.003,28.997,14.639,22.988,22.276,29.247,6.607,34.982,88.105,74.577,12.674,28.788,6.998,32.505,89.524,70.156,10.687,22.217
0609-1-01-199,Doppelsalto B,23.451,22.232,19.124,35.379,126.932,177.402,-38.556,56.841,19.011,29.876,130.036,152.468,-36.271,29.653,31.59,8.813,-15.24,19.125,618.232,167.559,1.652,30.83,-14.975,15.954,614.845,169.112,1.045,22.186,36.142,15.67,67.457,40.12,658.279,202.213,6.319,49.91,66.647,28.263,655.749,193.875,6.612,29.249,17.527,17.649,26.382,16.415,192.757,51.054,-17.538,19.863,26.989,13.548,191.936,40.764,-17.328,11.634
0609-1-01-204,Bauchsprung,27.374,34.467,-6.43,16.367,17.654,54.328,-4.738,25.683,-5.876,12.608,17.958,44.312,-5.508,17.362,0.541,0.198,2.811,4.734,-63.062,15.791,1.884,5.643,2.731,4.431,-62.57,15.252,1.928,4.507,1.559,0.709,-2.044,15.369,-64.563,38.464,-4.37,21.074,-2.121,14.158,-65.012,33.164,-4.494,19.472,23.511,34.692,-7.719,16.001,41.128,102.223,-5.915,45.211,-6.948,10.315,40.891,78.445,-6.192,26.615
0609-1-01-205,Von Bauch in Stand,23.224,33.906,16.741,10.422,-10.971,58.28,8.517,40.092,15.837,8.254,-10.424,43.668,8.913,20.556,1.055,0.398,-1.141,10.63,9.202,9.253,2.584,25.887,-0.803,9.794,9.422,5.695,2.984,21.335,0.846,0.339,7.083,9.629,12.017,6.28,-4.131,17.963,6.563,9.425,11.677,4.791,-4.614,16.713,18.095,25.248,-15.195,18.479,55.893,100.85,-4.352,26.663,-14.534,13.515,56.509,94.921,-3.445,16.683
0609-1-01-206,Doppelsalto B,27.118,27.184,16.065,22.061,133.642,205.643,-23.365,62.57,15.706,17.293,135.555,184.727,-24.157,31.831,24.867,9.058,-46.898,20.262,523.494,200.827,22.85,43.545,-46.712,14.766,521.275,195.192,22.81,33.466,34.883,5.405,19.54,47.229,674.757,122.033,21.87,36.474,18.428,40.796,672.944,113.911,21.359,24.889,18.638,17.647,14.189,14.039,265.044,54.033,-29.998,32.683,15.46,12.241,264.317,47.804,-29.189,28.278
0609-1-01-212,Bauchsprung,21.395,31.081,-4.032,20.944,5.007,49.551,-0.734,21.114,-3.914,16.599,4.86,37.508,-1.137,15.334,0.428,0.1,-0.191,4.374,-59.761,17.285,-1.683,4.108,-0.324,3.948,-59.692,16.666,-1.79,3.146,0.992,0.443,4.429,14.184,-60.012,24.13,-9.022,13.988,3.959,12.602,-60.248,20.895,-7.638,12.168,25.033,36.382,-8.569,19.951,44.677,105.649,-2.595,58.406,-7.796,12.47,44.117,85.258,-3.887,39.337
0609-1-01-213,Von Bauch in Stand,22.384,33.021,2.753,15.885,-22.446,62.233,1.993,44.513,2.829,9.26,-21.471,39.438,2.051,12.491,0.765,0.23,-0.423,6.576,10.125,6.58,3.798,14.122,-0.578,5.846,10.42,5.637,3.939,12.404,0.707,0.292,6.259,9.717,27.396,10.532,-2.558,18.003,6.061,9.053,27.059,9.302,-2.943,15.835,19.822,28.087,5.167,12.929,64.673,111.656,6.947,17.25,5.28,9.84,65.255,104.59,6.999,10.869
0609-1-01-214,Doppelsalto B,25.762,25.207,16.475,28.813,142.305,177.934,-19.289,46.878,17.081,21.277,144.798,156.811,-19.246,20.356,30.059,8.931,-9.328,12.848,574.965,203.9,-4.871,34.149,-9.672,7.693,573.878,200.897,-4.786,20.515,36.526,14.815,47.739,58.986,652.813,209.815,18.054,62.307,46.945,50.91,649.655,202.376,17.651,48.119,17.51,17.171,22.108,19.45,222.156,45.24,-21.925,22.493,23.389,16.762,220.708,36.89,-21.543,16.711
