SprungID,Sprungtyp,mean_Acc_N_Fil,std_Acc_N_Fil,mean_Gyro_x_R,std_Gyro_x_R,mean_Gyro_y_R,std_Gyro_y_R,mean_Gyro_z_R,std_Gyro_z_R,mean_Gyro_x_Fil,std_Gyro_x_Fil,mean_Gyro_y_Fil,std_Gyro_y_Fil,mean_Gyro_z_Fil,std_Gyro_z_Fil
generated_Mean_Salto C,Salto C,27.918,31.078,-0.017,21.986,87.719,143.31,-2.599,32.993,0.173,17.303,90.33,130.039,-2.578,21.378
generated_Mean_Salto C,Salto C,14.167,6.978,10.081,22.238,386.776,152.896,-4.111,27.394,9.954,17.827,383.245,144.115,-4.187,18.33
generated_Mean_Salto C,Salto C,4.084,0.903,6.123,9.216,133.804,31.901,-3.895,10.86,6.175,7.759,134.331,30.959,-3.979,8.408
generated_Mean_Salto C,Salto C,17.484,25.267,3.874,20.178,133.386,79.142,-3.306,30.237,3.603,14.624,131.936,65.938,-3.122,19.582
generated_Mean_Strecksprung,Strecksprung,23.733,32.011,-0.791,18.858,46.069,51.233,2.153,30.357,-0.748,14.9,46.391,44.988,1.977,22.357
generated_Mean_Strecksprung,Strecksprung,1.041,0.377,0.452,9.17,-28.883,20.102,1.122,17.851,0.459,7.71,-28.715,18.244,1.166,15.215
generated_Mean_Strecksprung,Strecksprung,0.983,0.275,-1.707,7.718,-32.109,12.369,1.823,13.368,-1.695,6.751,-32.088,10.932,1.782,11.623
generated_Mean_Strecksprung,Strecksprung,17.873,26.986,-0.361,15.521,19.093,69.811,-0.586,25.614,-0.36,11.779,18.856,61.65,-0.568,17.109
generated_Mean_Salto B,Salto B,28.251,31.113,1.247,25.421,21.735,148.462,-5.217,42.328,1.827,19.924,24.41,134.672,-5.714,25.549
generated_Mean_Salto B,Salto B,17.91,7.918,14.495,27.566,394.042,192.753,-10.548,32.393,14.247,23.843,390.432,184.928,-10.576,23.8
generated_Mean_Salto B,Salto B,6.344,3.513,7.521,15.939,168.536,85.227,-12.744,19.952,7.656,13.96,169.841,83.244,-12.634,15.83
generated_Mean_Salto B,Salto B,19.275,26.881,5.622,21.465,144.188,79.102,-8.464,39.152,5.279,15.274,142.881,63.111,-7.952,24.989
generated_Mean_Salto A,Salto A,25.518,30.839,4.026,23.395,122.934,81.363,-10.472,44.494,4.262,16.514,123.001,63.948,-11.32,25.382
generated_Mean_Salto A,Salto A,7.562,0.902,4.814,13.256,157.491,33.313,-11.053,15.394,4.775,10.912,156.906,30.149,-11.051,11.087
generated_Mean_Salto A,Salto A,6.883,0.494,1.844,8.537,127.693,23.424,-9.886,10.425,1.856,7.442,127.88,22.237,-9.921,8.829
generated_Mean_Salto A,Salto A,20.61,26.166,1.5,23.387,136.874,84.443,-15.063,56.13,1.235,15.523,136.713,61.989,-13.598,25.03
