0_Acc_N_Fil,0_Gyro_x_R,0_Gyro_y_R,0_Gyro_z_R,0_Gyro_x_Fil,0_Gyro_y_Fil,0_Gyro_z_Fil,25_Acc_N_Fil,25_Gyro_x_R,25_Gyro_y_R,25_Gyro_z_R,25_Gyro_x_Fil,25_Gyro_y_Fil,25_Gyro_z_Fil,50_Acc_N_Fil,50_Gyro_x_R,50_Gyro_y_R,50_Gyro_z_R,50_Gyro_x_Fil,50_Gyro_y_Fil,50_Gyro_z_Fil,75_Acc_N_Fil,75_Gyro_x_R,75_Gyro_y_R,75_Gyro_z_R,75_Gyro_x_Fil,75_Gyro_y_Fil,75_Gyro_z_Fil,Sprungtyp,SprungID
22.558,-7.811,236.027,-11.948,-7.995,233.465,-10.835,7.416,-9.461,216.921,12.544,-9.315,216.011,12.371,6.766,2.623,153.019,-8.354,2.483,153.786,-8.329,24.409,-20.414,210.968,-13.389,-19.799,212.222,-13.518,Salto rw A,generated_Mean_Salto rw A
22.434,3.634,49.525,27.002,2.421,51.502,24.007,14.501,12.718,534.076,-19.361,12.837,520.904,-19.33,4.762,0.568,95.287,-9.302,0.523,98.292,-8.816,23.769,-17.92,163.294,-10.808,-17.79,165.632,-10.941,Salto rw C,generated_Mean_Salto rw C
22.131,8.493,-15.822,9.441,8.361,-16.436,8.484,1.546,3.229,-82.882,9.629,3.302,-82.792,9.715,4.587,5.948,-166.61,16.934,5.829,-166.866,16.804,24.089,1.752,-146.793,11.356,1.994,-147.02,11.298,3/4 Salto vw A,generated_Mean_3/4 Salto vw A
36.547,1.239,-212.908,14.455,1.035,-211.827,15.704,21.005,-28.476,-226.7,188.037,-28.087,-226.267,187.911,10.58,-18.023,63.568,267.175,-18.378,63.467,265.856,23.58,9.09,214.249,19.495,8.89,214.917,21.07,Baby- Fliffis C,generated_Mean_Baby- Fliffis C
48.095,14.573,-518.919,5.861,14.528,-515.637,5.618,30.764,35.031,-445.986,-83.545,35.035,-446.064,-82.866,18.595,210.458,8.421,27.492,209.126,8.512,25.807,26.51,16.982,314.44,-14.517,18.31,313.971,-13.053,Fliffis aus B,generated_Mean_Fliffis aus B
32.374,4.677,50.54,23.331,5.179,46.304,17.822,10.646,14.52,13.466,-4.177,14.708,14.365,-3.587,4.272,-4.358,-76.248,7.135,-4.143,-76.963,6.465,13.363,3.898,7.818,-4.879,4.157,8.37,-2.828,Bücksprung,generated_Mean_Bücksprung
29.266,3.971,55.15,18.789,4.688,50.206,9.243,8.673,4.747,-37.383,-1.647,4.78,-35.823,-0.844,2.757,1.862,-36.922,20.596,1.657,-37.506,20.067,13.937,-7.412,1.592,-22.015,-6.617,2.523,-19.973,Hocksprung,generated_Mean_Hocksprung
25.454,74.429,124.02,126.883,75.49,123.272,127.768,10.795,154.871,-93.624,358.996,153.427,-92.242,358.721,11.704,-32.061,78.97,296.066,-30.924,78.41,295.126,20.541,36.196,272.866,27.545,35.094,271.746,28.887,Schraubensalto A,generated_Mean_Schraubensalto A
49.428,-38.072,-499.266,37.939,-37.35,-494.418,37.33,30.954,-30.963,-425.123,93.947,-31.597,-425.266,94.317,19.423,-82.057,57.726,230.783,-81.375,56.751,229.692,23.933,18.204,293.169,39.495,17.232,291.069,40.871,Fliffis B,generated_Mean_Fliffis B
34.065,25.145,-369.492,23.622,24.415,-366.567,23.712,9.937,23.558,-73.094,251.901,23.459,-74.858,251.369,8.414,-2.313,150.34,177.502,-1.993,149.935,178.224,20.558,4.307,223.713,-6.081,4.682,221.744,-5.664,Barani B,generated_Mean_Barani B
51.451,-34.446,-551.435,39.184,-34.003,-547.692,39.031,34.203,-93.114,-327.382,-22.872,-92.776,-327.204,-21.973,30.891,55.694,-127.246,145.823,55.147,-126.615,144.041,28.498,42.34,327.173,11.465,41.318,325.691,13.059,Fliffis- Rudi B,generated_Mean_Fliffis- Rudi B
33.084,-296.827,23.476,-179.227,-295.793,20.8,-177.328,71.662,-437.849,-737.666,136.531,-437.822,-736.465,134.637,48.813,0.475,-469.336,-269.304,-0.906,-468.394,-268.665,27.283,23.384,206.883,-174.765,24.316,204.467,-174.922,Halb ein Triffis C,generated_Mean_Halb ein Triffis C
57.433,-83.586,-538.041,20.545,-82.504,-536.303,20.622,76.668,-152.179,-859.79,64.355,-151.918,-859.526,63.748,49.736,27.434,-471.806,-271.27,27.491,-470.208,-270.196,28.562,81.492,242.558,-150.787,79.609,239.616,-152.624,Triffis C,generated_Mean_Triffis C
43.939,-77.383,-294.734,-274.2,-77.954,-286.791,-273.006,37.957,-524.925,-218.811,-448.462,-524.46,-221.734,-450.976,37.839,-365.14,-100.272,-654.936,-364.704,-100.634,-650.82,30.348,-15.198,331.164,-100.95,-15.339,329.149,-103.284,Voll- ein- Rudi- aus B,generated_Mean_Voll- ein- Rudi- aus B
35.007,-261.359,129.143,-375.955,-260.053,130.372,-377.708,42.505,-494.762,-88.397,-602.46,-494.557,-89.345,-599.808,30.009,-76.938,-164.371,-381.713,-78.316,-164.13,-381.012,27.74,6.653,270.345,-63.486,6.052,266.832,-64.352,Voll- ein- voll- aus B,generated_Mean_Voll- ein- voll- aus B
42.966,-57.359,-322.762,-207.247,-57.811,-315.986,-209.101,40.993,-520.342,-269.788,-386.69,-517.946,-273.515,-385.62,29.998,-110.673,-280.976,-357.469,-111.162,-280.68,-355.376,27.954,27.221,283.122,-121.043,25.655,281.482,-122.353,Voll- ein- halb- aus B,generated_Mean_Voll- ein- halb- aus B
34.033,-243.401,213.688,-346.328,-240.002,212.544,-349.003,43.038,-201.038,153.297,-648.345,-203.58,150.237,-645.211,39.169,-147.455,-94.58,-560.955,-148.86,-90.435,-558.112,30.094,-23.042,328.557,-26.564,-22.253,327.838,-29.959,Voll- ein- voll- aus A,generated_Mean_Voll- ein- voll- aus A
33.067,-249.218,142.362,-397.249,-246.008,141.29,-397.333,38.586,-411.459,65.943,-554.317,-411.279,63.705,-551.172,39.334,-252.438,-291.848,-391.787,-254.414,-287.185,-389.892,31.648,-25.027,293.66,-119.725,-25.908,290.116,-122.133,Voll- ein- voll- aus C,generated_Mean_Voll- ein- voll- aus C
31.851,-58.746,-211.369,103.967,-59.811,-209.495,104.459,22.09,154.651,-33.9,431.653,154.448,-37.22,428.504,29.353,270.97,-445.506,-3.478,271.432,-442.707,-1.488,27.3,10.496,-197.273,19.592,10.779,-197.004,19.737,Voll- ein 1 3/4 Salto vw C,generated_Mean_Voll- ein 1 3/4 Salto vw C
40.909,13.566,-398.006,-1.416,13.33,-395.716,-1.607,30.506,6.173,-383.309,6.291,6.454,-385.147,6.473,5.752,5.226,-285.883,-4.019,4.904,-284.584,-4.089,27.066,0.943,-276.367,2.403,1.026,-277.903,1.637,1 3/4 Salto vw C,generated_Mean_1 3/4 Salto vw C
58.594,-121.778,-592.469,46.234,-121.782,-591.424,45.757,55.3,-314.624,-753.049,17.501,-313.513,-752.643,17.59,32.485,-52.06,-384.485,-285.476,-52.203,-382.895,-283.546,28.948,90.399,244.827,-158.062,88.868,242.966,-160.009,Triffis B,generated_Mean_Triffis B
22.422,-3.099,-3.754,0.771,-2.957,-3.803,0.657,0.864,-2.861,-77.073,-7.382,-2.794,-76.828,-7.339,1.443,6.423,-64.38,-0.101,6.311,-64.283,-0.128,21.359,-8.493,61.351,-10.891,-8.068,60.452,-10.308,Bauchsprung,generated_Mean_Bauchsprung
26.173,3.273,-25.222,4.146,2.835,-24.317,3.494,0.99,3.198,4.929,4.358,3.276,4.932,4.388,1.139,1.743,21.813,-1.704,1.69,21.741,-1.618,18.176,0.593,87.331,9.106,0.59,87.865,9.1,Von Bauch in Stand,generated_Mean_Von Bauch in Stand
24.537,88.775,165.475,143.787,89.388,164.287,144.298,12.871,129.541,-100.031,438.696,128.251,-98.232,436.743,9.009,-68.002,138.367,233.53,-67.571,137.052,233.833,18.457,18.083,174.184,36.232,17.609,172.846,36.634,Schraubensalto C,generated_Mean_Schraubensalto C
