0_Acc_N_Fil,0_Gyro_x_R,0_Gyro_y_R,0_Gyro_z_R,0_Gyro_x_Fil,0_Gyro_y_Fil,0_Gyro_z_Fil,25_Acc_N_Fil,25_Gyro_x_R,25_Gyro_y_R,25_Gyro_z_R,25_Gyro_x_Fil,25_Gyro_y_Fil,25_Gyro_z_Fil,50_Acc_N_Fil,50_Gyro_x_R,50_Gyro_y_R,50_Gyro_z_R,50_Gyro_x_Fil,50_Gyro_y_Fil,50_Gyro_z_Fil,75_Acc_N_Fil,75_Gyro_x_R,75_Gyro_y_R,75_Gyro_z_R,75_Gyro_x_Fil,75_Gyro_y_Fil,75_Gyro_z_Fil,Sprungtyp,SprungID
94.585,-16.345,97.342,-8.938,-9.855,176.854,8.591,8.75,-20.331,184.956,5.716,-19.335,180.46,6.346,6.63,-0.062,206.607,1.898,0.055,205.711,2.647,7.319,-3.578,159.364,-5.036,-4.393,161.615,-7.149,Salto rw A,generated_Mean_Salto rw A
92.021,21.533,-176.533,58.8,-22.13,122.197,-20.23,9.806,51.0,430.227,-33.227,40.627,376.683,-32.053,6.971,19.693,348.027,0.667,10.897,247.107,-9.253,4.417,-10.707,125.747,8.173,-9.177,131.81,8.673,Salto rw C,generated_Mean_Salto rw C
98.314,-13.893,-6.04,26.198,0.396,-1.54,2.081,2.318,7.127,1.922,9.818,6.214,1.05,13.113,1.412,6.758,-124.884,8.722,6.698,-125.343,9.603,8.375,-0.602,-217.809,24.336,-0.614,-216.39,21.121,3/4 Salto vw A,generated_Mean_3/4 Salto vw A
107.926,-2.857,9.562,-4.718,0.895,4.659,2.712,30.105,12.663,-422.223,57.544,11.097,-412.895,58.515,13.254,-42.148,-15.723,341.153,-43.619,-18.992,330.933,8.449,-10.299,145.127,91.682,-9.568,142.492,95.3,Baby- Fliffis C,generated_Mean_Baby- Fliffis C
107.671,-6.796,-46.072,-8.584,-2.049,-10.806,-25.932,41.094,-22.792,-719.468,-18.764,-22.314,-723.043,-6.968,19.204,108.176,-212.024,-130.86,110.131,-213.995,-133.749,14.358,111.248,223.632,-15.352,111.275,225.274,-13.274,Fliffis aus B,generated_Mean_Fliffis aus B
77.97,-88.52,11.707,35.813,-17.5,-145.517,-65.867,12.949,36.267,310.44,6.08,37.24,301.057,5.377,11.709,15.08,-237.267,1.653,10.5,-221.967,3.64,1.482,-6.787,12.52,11.453,-5.51,7.1,7.87,Bücksprung,generated_Mean_Bücksprung
92.203,17.093,-115.053,596.307,18.103,-123.397,-60.47,8.191,-21.067,217.467,63.76,-19.413,214.923,37.4,8.567,4.827,-174.48,22.147,9.0,-161.92,21.31,1.345,-15.92,11.387,26.2,-15.033,9.723,21.657,Hocksprung,generated_Mean_Hocksprung
93.872,16.658,159.774,-84.075,31.565,171.967,-4.826,7.585,146.413,26.676,296.173,146.483,26.687,295.536,13.823,9.282,-153.333,428.198,13.019,-146.003,428.065,9.229,4.372,199.828,114.285,2.897,198.507,117.38,Schraubensalto A,generated_Mean_Schraubensalto A
95.413,13.568,66.893,-22.049,10.842,77.414,-9.75,40.374,-24.599,-645.844,25.009,-25.201,-647.641,23.158,20.701,-97.805,-216.174,189.551,-96.953,-211.501,190.791,15.093,-28.091,216.36,150.85,-27.885,215.977,149.755,Fliffis B,generated_Mean_Fliffis B
90.813,-14.834,-62.208,-29.9,-14.555,-61.045,-27.42,7.092,-19.648,-336.922,41.902,-16.191,-326.728,46.242,10.355,-3.322,72.702,381.46,-0.543,71.061,380.99,6.693,4.14,222.494,35.198,1.259,222.296,36.272,Barani B,generated_Mean_Barani B
101.917,15.356,25.691,-14.63,16.964,31.7,-7.011,47.113,-70.51,-696.824,38.154,-72.098,-706.637,40.657,35.128,0.722,11.736,150.938,-2.537,15.255,149.522,19.713,35.49,202.812,65.065,34.687,190.258,67.581,Fliffis- Rudi B,generated_Mean_Fliffis- Rudi B
113.301,-11.347,208.6,-67.36,-9.263,225.582,-81.378,54.696,-582.84,-503.267,256.667,-577.238,-509.13,215.163,78.25,-298.773,-861.173,7.933,-296.87,-862.59,7.252,18.999,151.933,16.147,-369.947,147.087,19.33,-384.405,Halb ein Triffis C,generated_Mean_Halb ein Triffis C
110.579,7.4,33.608,-31.824,5.072,40.126,-22.27,72.294,-142.136,-821.32,49.832,-140.672,-819.872,57.712,78.432,-153.928,-876.96,9.784,-152.062,-879.354,7.354,21.652,125.464,46.064,-399.896,115.566,47.786,-388.284,Triffis C,generated_Mean_Triffis C
108.591,-3.92,96.007,-31.64,0.772,100.457,-37.507,34.002,-492.3,203.713,-889.493,-479.923,175.327,-868.198,44.614,-497.68,-107.553,-722.753,-496.042,-98.872,-702.967,22.568,30.113,177.62,-487.433,26.323,170.947,-484.275,Voll- ein- Rudi- aus B,generated_Mean_Voll- ein- Rudi- aus B
106.494,-14.277,193.007,-60.587,-8.474,235.888,-73.267,41.34,-365.117,-314.923,-894.36,-364.488,-270.948,-902.883,47.189,-298.277,-679.183,-164.507,-302.542,-670.848,-173.692,18.556,57.283,192.14,-290.523,56.019,191.047,-290.132,Voll- ein- voll- aus B,generated_Mean_Voll- ein- voll- aus B
99.141,10.737,118.274,-18.714,6.406,127.029,-14.58,33.862,-387.24,-141.743,-800.309,-367.764,-121.921,-796.363,50.932,-317.377,-745.92,-59.754,-317.831,-737.499,-60.399,16.72,49.126,109.663,-355.286,38.897,116.307,-358.18,Voll- ein- halb- aus B,generated_Mean_Voll- ein- halb- aus B
96.242,-32.907,185.307,-134.92,-19.72,257.073,-94.51,35.44,-352.707,-245.893,-837.2,-328.923,-259.09,-819.313,23.257,-677.173,-96.36,-350.147,-661.193,-89.827,-357.007,26.745,27.52,307.547,-320.293,31.207,294.143,-327.983,Voll- ein- voll- aus A,generated_Mean_Voll- ein- voll- aus A
98.434,31.253,129.08,-156.853,32.377,217.277,-138.05,41.843,-399.267,-369.027,-823.827,-381.627,-340.37,-834.687,38.091,-637.32,-298.56,-17.947,-633.613,-285.143,-27.893,25.327,-62.733,202.547,-503.613,-61.017,175.347,-495.653,Voll- ein- voll- aus C,generated_Mean_Voll- ein- voll- aus C
96.168,-13.533,-19.44,-54.733,-0.793,-19.05,-58.967,19.326,-217.24,-269.947,336.04,-212.943,-258.827,327.335,30.604,563.92,-381.733,71.267,557.275,-373.8,77.567,15.222,49.72,-321.653,48.0,51.207,-323.065,49.302,Voll- ein 1 3/4 Salto vw C,generated_Mean_Voll- ein 1 3/4 Salto vw C
94.786,-14.944,-15.024,-45.888,-7.702,-6.106,-51.47,45.875,29.344,-670.784,45.36,31.078,-666.826,14.208,8.453,0.416,-17.184,-27.936,-7.04,-37.644,-25.746,11.031,14.032,-388.8,-0.064,13.528,-387.89,0.12,1 3/4 Salto vw C,generated_Mean_1 3/4 Salto vw C
119.513,-3.728,85.28,-17.792,-8.292,66.414,-19.34,56.653,-232.528,-690.704,75.312,-229.432,-685.152,85.024,55.169,-317.76,-792.976,-83.76,-314.332,-792.976,-81.622,21.936,120.976,46.976,-439.792,118.456,45.536,-433.374,Triffis B,generated_Mean_Triffis B
83.24,11.899,76.285,10.834,10.969,80.867,10.364,0.692,-3.483,-41.265,-4.782,-3.588,-41.606,-4.523,1.21,0.503,-98.439,-13.206,0.995,-96.569,-12.248,1.511,8.003,-35.368,6.423,7.548,-32.462,6.223,Bauchsprung,generated_Mean_Bauchsprung
101.239,-15.984,0.283,-16.156,-11.041,14.752,-16.518,1.311,2.362,16.666,9.32,2.762,16.346,7.957,1.012,3.289,-6.688,3.419,2.732,-5.805,3.463,1.368,0.355,44.493,-1.375,0.69,43.424,-1.131,Von Bauch in Stand,generated_Mean_Von Bauch in Stand
96.278,-2.813,135.664,50.844,1.558,147.196,51.455,6.389,212.098,85.164,274.821,211.711,79.581,277.322,14.528,-98.977,-7.553,426.741,-96.109,-8.08,424.27,6.61,-15.055,150.062,97.221,-15.003,150.316,98.708,Schraubensalto C,generated_Mean_Schraubensalto C
