SprungID,Sprungtyp,0_Acc_N_Fil,0_Gyro_x_R,0_Gyro_y_R,0_Gyro_z_R,0_Gyro_x_Fil,0_Gyro_y_Fil,0_Gyro_z_Fil,25_Acc_N_Fil,25_Gyro_x_R,25_Gyro_y_R,25_Gyro_z_R,25_Gyro_x_Fil,25_Gyro_y_Fil,25_Gyro_z_Fil,50_Acc_N_Fil,50_Gyro_x_R,50_Gyro_y_R,50_Gyro_z_R,50_Gyro_x_Fil,50_Gyro_y_Fil,50_Gyro_z_Fil,75_Acc_N_Fil,75_Gyro_x_R,75_Gyro_y_R,75_Gyro_z_R,75_Gyro_x_Fil,75_Gyro_y_Fil,75_Gyro_z_Fil
0115-JANEIKE-01-19,Fliffis- Rudi B,49.281,-131.953,-535.324,32.958,-131.038,-532.684,32.848,33.87,-184.579,-288.293,-403.372,-186.183,-287.706,-402.036,35.922,-77.258,-143.367,-736.95,-76.633,-143.299,-736.489,27.863,71.291,287.345,-124.857,71.356,283.503,-128.612
20191007-1159-FRANKFURT_1-01-346,Barani C,34.289,30.724,-349.298,17.641,30.49,-345.852,17.727,10.1,-41.74,-77.005,260.784,-41.463,-78.397,261.764,7.125,-4.413,113.328,174.256,-4.648,113.467,174.142,23.38,1.743,252.811,-12.953,2.277,253.768,-13.314
20191001-1202-FRANKFURT_2-01-41,3/4 Salto rw A,26.772,-7.107,-158.108,2.213,-6.884,-157.97,0.91,4.807,-3.759,-175.45,-16.822,-3.694,-174.714,-17.173,5.146,2.809,-180.165,1.517,2.556,-181.121,0.731,20.052,5.065,-191.756,-35.555,3.812,-185.387,-33.793
0609-1-01-347,Strecksprung,22.142,-10.072,35.525,4.873,-9.583,35.587,4.76,0.389,10.608,-12.523,-9.336,10.382,-12.876,-9.057,0.249,8.876,-36.629,3.283,8.806,-36.582,3.192,17.605,-8.393,21.948,11.938,-8.516,21.944,11.879
20191007-1159-FRANKFURT_1-01-126,Barani B,33.726,33.721,-375.889,30.88,32.993,-372.761,30.257,9.669,19.267,-105.208,198.589,19.693,-107.049,199.898,8.772,22.081,122.178,253.23,22.421,122.394,251.969,24.367,-3.519,288.537,-17.915,-3.144,287.785,-16.566
0609-4-01-70,Fliffis B,53.082,10.231,-457.194,3.347,10.732,-450.43,2.596,21.764,-24.863,-213.827,180.871,-25.47,-214.224,181.89,19.844,-159.353,199.321,264.649,-158.759,196.941,263.779,18.209,-24.63,290.896,40.714,-25.433,286.433,41.539
0609-1-01-871,Doppelsalto C,28.98,11.871,175.867,-12.774,11.64,180.701,-12.419,50.142,-14.888,734.92,-27.303,-14.142,730.035,-26.542,27.963,54.936,513.676,-9.423,54.811,512.818,-10.794,20.487,13.596,243.845,-28.047,13.638,240.697,-27.966
20190930-1247-FRANKFURT_2-01-132,Schraubensalto,25.836,38.668,186.325,112.525,39.592,186.484,113.279,5.28,197.058,-3.35,245.27,195.425,-4.103,244.087,11.444,-52.087,-73.601,355.018,-50.629,-72.162,354.329,19.58,-46.552,206.713,114.613,-47.228,204.25,114.545
0609-4-01-516,Barani C,38.857,-6.108,-239.467,46.62,-6.078,-236.887,46.276,10.034,-31.865,-106.138,202.467,-31.968,-106.424,201.528,5.769,-73.053,93.821,180.986,-72.983,93.157,181.262,21.972,5.271,128.21,42.724,5.002,128.294,42.541
20191008-1157-FRANKFURT_1-01-137,Barani A,26.922,0.492,-175.21,49.192,-0.609,-174.461,50.23,9.559,-136.797,-132.005,223.479,-135.523,-129.6,222.68,8.111,-53.461,157.108,146.953,-53.852,155.662,146.636,24.988,-22.398,273.196,-14.493,-22.101,274.451,-14.072
