DJump_SIG_I_x LapEnd,DJump_SIG_I_y LapEnd,DJump_SIG_I_z LapEnd,DJump_I_ABS_x LapEnd,DJump_I_ABS_y LapEnd,DJump_I_ABS_z LapEnd,DJump_ABS_I_x LapEnd,DJump_ABS_I_y LapEnd,DJump_ABS_I_z LapEnd,DJump_SIG_I_S1_x LapEnd,DJump_SIG_I_S1_y LapEnd,DJump_SIG_I_S1_z LapEnd,DJump_SIG_I_S2_x LapEnd,DJump_SIG_I_S2_y LapEnd,DJump_SIG_I_S2_z LapEnd,DJump_SIG_I_S3_x LapEnd,DJump_SIG_I_S3_y LapEnd,DJump_SIG_I_S3_z LapEnd,DJump_SIG_I_S4_x LapEnd,DJump_SIG_I_S4_y LapEnd,DJump_SIG_I_S4_z LapEnd,DJump_I_ABS_S1_x LapEnd,DJump_I_ABS_S1_y LapEnd,DJump_I_ABS_S1_z LapEnd,DJump_I_ABS_S2_x LapEnd,DJump_I_ABS_S2_y LapEnd,DJump_I_ABS_S2_z LapEnd,DJump_I_ABS_S3_x LapEnd,DJump_I_ABS_S3_y LapEnd,DJump_I_ABS_S3_z LapEnd,DJump_I_ABS_S4_x LapEnd,DJump_I_ABS_S4_y LapEnd,DJump_I_ABS_S4_z LapEnd,DJump_ABS_I_S1_x LapEnd,DJump_ABS_I_S1_y LapEnd,DJump_ABS_I_S1_z LapEnd,DJump_ABS_I_S2_x LapEnd,DJump_ABS_I_S2_y LapEnd,DJump_ABS_I_S2_z LapEnd,DJump_ABS_I_S3_x LapEnd,DJump_ABS_I_S3_y LapEnd,DJump_ABS_I_S3_z LapEnd,DJump_ABS_I_S4_x LapEnd,DJump_ABS_I_S4_y LapEnd,DJump_ABS_I_S4_z LapEnd,0_Acc_N_Fil,0_Gyro_x_R,0_Gyro_y_R,0_Gyro_z_R,0_Gyro_x_Fil,0_Gyro_y_Fil,0_Gyro_z_Fil,10_Acc_N_Fil,10_Gyro_x_R,10_Gyro_y_R,10_Gyro_z_R,10_Gyro_x_Fil,10_Gyro_y_Fil,10_Gyro_z_Fil,20_Acc_N_Fil,20_Gyro_x_R,20_Gyro_y_R,20_Gyro_z_R,20_Gyro_x_Fil,20_Gyro_y_Fil,20_Gyro_z_Fil,30_Acc_N_Fil,30_Gyro_x_R,30_Gyro_y_R,30_Gyro_z_R,30_Gyro_x_Fil,30_Gyro_y_Fil,30_Gyro_z_Fil,40_Acc_N_Fil,40_Gyro_x_R,40_Gyro_y_R,40_Gyro_z_R,40_Gyro_x_Fil,40_Gyro_y_Fil,40_Gyro_z_Fil,50_Acc_N_Fil,50_Gyro_x_R,50_Gyro_y_R,50_Gyro_z_R,50_Gyro_x_Fil,50_Gyro_y_Fil,50_Gyro_z_Fil,60_Acc_N_Fil,60_Gyro_x_R,60_Gyro_y_R,60_Gyro_z_R,60_Gyro_x_Fil,60_Gyro_y_Fil,60_Gyro_z_Fil,70_Acc_N_Fil,70_Gyro_x_R,70_Gyro_y_R,70_Gyro_z_R,70_Gyro_x_Fil,70_Gyro_y_Fil,70_Gyro_z_Fil,80_Acc_N_Fil,80_Gyro_x_R,80_Gyro_y_R,80_Gyro_z_R,80_Gyro_x_Fil,80_Gyro_y_Fil,80_Gyro_z_Fil,90_Acc_N_Fil,90_Gyro_x_R,90_Gyro_y_R,90_Gyro_z_R,90_Gyro_x_Fil,90_Gyro_y_Fil,90_Gyro_z_Fil,Sprungtyp,SprungID
84.413,-318.432,530.664,166.216,510.342,625.464,170.983,460.144,603.414,-15.353,-219.892,26.428,-38.286,-203.731,97.139,102.421,-30.904,343.131,35.632,136.095,63.967,16.175,219.892,26.428,37.465,203.731,120.281,15.024,30.904,367.27,27.74,-136.095,68.875,29.809,224.136,49.707,45.63,208.955,124.962,123.481,81.744,367.27,41.877,137.22,104.086,62.675,-49.676,-347.614,112.334,-43.445,-350.423,94.549,35.401,-40.93,-668.015,10.169,-44.282,-659.576,22.841,53.646,-15.509,-631.479,56.14,-17.995,-634.86,54.739,54.261,-97.642,-631.264,150.366,-96.908,-625.209,149.909,36.996,-119.838,-283.111,436.185,-111.091,-287.351,443.256,35.308,251.189,-6.439,868.071,247.375,-16.164,856.511,40.089,345.371,-202.003,855.786,335.378,-183.043,855.072,29.55,38.408,143.24,633.081,46.265,134.1,628.526,18.077,75.756,312.694,223.203,76.112,314.497,225.273,39.983,140.646,400.137,-79.56,134.268,387.768,-62.324,Fliffis- Rudi C,generated_Mean_Fliffis- Rudi C
-43.531,-69.866,199.018,49.825,70.3,207.236,75.522,306.12,221.295,-2.869,-122.387,18.977,-13.039,-57.108,84.244,-25.313,35.595,78.468,-2.311,74.034,17.329,9.961,122.387,19.833,12.269,57.108,87.467,24.467,-35.595,81.793,3.127,-73.6,18.143,14.741,128.037,25.016,21.672,63.706,87.754,28.372,40.033,82.335,10.737,74.345,26.191,60.865,8.906,-92.94,29.189,8.495,-94.062,28.793,13.125,-12.846,-368.883,45.057,-12.608,-366.027,45.282,14.608,-27.42,-387.778,88.031,-26.998,-382.918,89.115,11.556,-18.65,-117.523,185.211,-19.386,-121.029,183.941,8.775,-35.922,-18.875,235.93,-35.833,-19.042,235.118,7.192,-69.088,38.818,221.12,-68.398,38.936,220.425,5.949,-54.108,103.171,159.76,-53.91,102.574,159.96,5.439,-22.125,123.233,97.343,-22.409,123.341,97.616,6.098,-4.857,152.71,57.869,-4.769,153.985,56.739,42.674,0.258,200.251,-0.356,-0.125,198.916,1.514,Barani C,generated_Mean_Barani C
-3.994,1.934,1.604,6.029,7.529,6.39,28.941,186.705,44.928,-0.531,-2.837,1.066,-1.809,-53.389,1.35,-1.647,40.32,-1.831,-0.007,17.839,1.019,2.32,18.931,3.617,2.163,37.295,0.95,1.062,-40.106,1.033,0.484,-8.591,0.791,7.928,40.538,13.246,7.562,74.897,10.392,6.574,44.75,8.718,6.877,26.52,12.571,54.05,0.873,94.978,1.137,1.86,88.248,1.603,4.318,-0.74,-47.746,10.701,-0.786,-45.227,10.001,4.871,-5.727,-156.165,2.771,-5.683,-155.213,3.367,8.269,-4.158,-191.481,11.011,-4.301,-188.167,10.557,8.632,-3.335,-30.683,-0.923,-3.35,-31.036,-0.664,7.324,-3.402,107.209,-4.418,-3.317,105.01,-4.336,4.265,-3.549,101.489,-2.095,-3.559,100.872,-2.122,2.553,-3.143,51.301,0.079,-3.056,51.954,0.358,3.012,-3.286,37.966,12.769,-2.898,38.892,11.315,41.526,4.522,46.279,-1.033,3.593,48.631,0.468,Grätschwinkel,generated_Mean_Grätschwinkel
-47.441,-349.709,132.193,85.176,364.399,203.106,134.057,622.589,235.417,-10.125,-204.907,6.714,-14.476,-255.664,23.634,-22.637,-0.256,90.319,-0.204,111.117,11.527,16.629,204.907,9.241,23.937,255.664,33.238,37.497,0.256,128.254,4.076,-111.117,28.838,22.203,209.621,24.079,31.524,255.817,41.651,64.011,60.403,128.755,19.355,111.438,44.468,67.156,-22.206,-231.384,34.482,-19.851,-227.212,30.906,29.988,-26.334,-601.148,2.106,-26.884,-598.791,4.609,50.744,-19.069,-666.068,20.5,-19.141,-666.514,20.692,53.291,-23.272,-676.86,36.958,-23.595,-672.659,37.431,38.489,-45.241,-446.364,87.674,-45.307,-444.202,89.328,23.463,-58.432,-137.185,209.036,-57.814,-140.34,206.366,17.436,-50.185,49.636,229.873,-50.064,49.672,228.639,13.842,-27.293,170.553,141.879,-27.605,169.38,141.685,12.892,-6.969,239.726,45.635,-6.331,240.742,45.841,36.44,19.677,301.617,-30.744,17.636,295.792,-27.408,Fliffis C,generated_Mean_Fliffis C
-25.407,-88.832,-9.36,220.917,95.464,250.127,342.984,545.736,327.27,-14.476,71.693,-3.302,-8.6,-248.344,-5.636,0.012,-22.532,-12.655,-2.343,110.351,12.232,109.568,71.693,82.497,155.527,104.959,-3.934,-39.217,22.532,147.723,-4.962,-103.719,23.842,118.033,96.675,82.925,155.54,248.344,52.625,49.05,90.193,147.812,20.36,110.524,43.908,55.139,-19.741,290.124,5.449,-16.299,286.47,4.811,12.176,-9.091,151.518,-3.427,-11.725,149.649,-3.554,29.216,-47.555,-253.795,25.411,-45.623,-252.173,23.995,44.979,2.432,-569.04,0.784,1.655,-565.624,2.191,44.606,-12.589,-560.671,-57.239,-12.621,-557.314,-59.262,33.388,-44.224,-255.537,-119.277,-41.157,-255.19,-115.101,18.468,41.165,52.875,39.293,37.152,50.597,36.725,14.176,-15.12,165.217,68.546,-13.963,164.34,68.138,13.571,-26.592,223.572,41.81,-26.203,224.861,41.854,39.705,26.613,269.846,-1.616,24.956,261.282,0.245,1/2 ein 1/2 aus C,generated_Mean_1/2 ein 1/2 aus C
13.762,691.071,-18.249,25.331,692.525,26.043,62.368,716.658,59.463,1.714,56.278,-9.066,-11.519,287.782,0.695,17.81,249.437,-3.019,5.757,97.574,-6.859,4.245,56.278,9.911,11.626,287.782,0.511,2.563,249.437,5.575,5.62,97.574,6.583,11.424,82.187,20.305,18.231,287.811,12.507,22.687,249.437,15.055,11.303,98.677,15.058,49.718,10.875,279.882,-16.753,12.684,274.615,-20.028,11.502,3.622,18.299,-21.736,3.258,24.747,-20.437,17.488,-19.784,200.361,-15.183,-19.306,204.297,-13.987,34.255,-27.29,648.981,1.636,-27.509,643.065,1.692,38.861,-18.064,730.65,5.867,-17.441,731.07,5.684,45.658,28.083,764.612,10.719,27.935,760.616,10.141,21.994,54.84,481.026,-18.244,53.934,480.315,-17.413,10.524,25.822,199.496,-19.38,25.911,202.92,-19.529,11.774,6.876,184.93,-17.12,7.217,187.398,-16.91,37.783,16.252,265.415,-10.172,15.519,259.099,-8.638,Doppelsalto B,generated_Mean_Doppelsalto B
-67.874,-624.105,101.8,67.874,624.105,101.8,93.985,669.699,140.383,-25.666,-211.458,42.652,-16.288,-172.587,23.854,-10.094,-78.533,12.268,-15.827,-161.526,23.026,25.666,211.458,42.652,16.288,172.587,23.854,10.094,78.533,12.268,15.827,161.526,23.026,33.269,213.58,48.139,19.331,176.048,28.088,18.037,99.822,23.069,23.349,180.25,41.088,64.028,-9.096,-264.148,113.219,-9.256,-257.667,102.947,31.568,-96.986,-620.872,89.172,-94.916,-618.451,97.448,27.865,-71.497,-628.926,88.616,-71.679,-627.976,88.097,25.236,-52.865,-519.414,64.457,-51.601,-515.317,63.546,11.53,-11.182,-184.008,36.239,-11.747,-185.48,36.87,10.292,3.408,41.66,22.641,1.598,33.241,22.813,6.989,-41.825,-254.183,17.437,-40.24,-252.479,18.409,19.491,-41.819,-499.148,73.446,-41.777,-496.42,73.059,22.104,-45.413,-513.875,79.785,-45.4,-504.402,77.442,51.34,-21.793,-152.837,12.088,-21.876,-168.613,12.822,1 3/4 Salto vw B,generated_Mean_1 3/4 Salto vw B
47.143,-331.88,85.738,47.143,331.88,166.335,90.423,689.337,231.918,18.041,-219.328,-5.158,13.11,-266.361,1.725,14.718,16.743,90.432,1.273,137.066,-1.261,18.041,219.328,5.492,16.281,266.361,10.807,11.548,-16.743,145.533,1.273,-137.066,4.503,20.804,220.22,16.415,23.777,266.361,37.014,31.568,64.266,150.62,14.273,138.489,27.869,64.101,25.141,-307.388,-1.794,25.293,-308.865,-3.135,32.522,63.846,-669.313,-18.031,62.066,-662.807,-15.993,50.354,41.826,-671.77,-26.427,43.344,-673.827,-25.916,55.199,60.283,-744.244,-17.386,58.316,-739.544,-16.212,39.114,4.188,-513.958,58.886,4.269,-510.868,64.071,23.876,8.935,-129.457,268.77,10.023,-130.392,262.333,16.506,55.604,130.629,280.352,55.477,126.218,274.976,13.203,17.988,244.825,54.536,17.536,240.451,61.376,14.269,0.561,322.469,40.936,2.048,328.77,35.47,46.318,7.698,344.175,-46.335,7.116,348.488,-41.625,Fliffis aus C,generated_Mean_Fliffis aus C
-7.016,344.504,-13.229,13.674,344.504,15.223,37.771,452.343,58.391,0.846,14.248,0.169,-0.234,162.248,-8.148,-4.011,92.925,0.832,-3.616,75.084,-6.082,1.961,14.248,2.981,4.341,162.248,4.998,3.645,92.925,2.802,3.727,75.084,4.442,8.985,101.664,17.42,9.912,175.373,14.608,9.556,92.925,11.493,9.318,82.381,14.87,51.188,-3.305,273.109,-11.347,-4.227,260.593,-13.26,6.693,8.404,-6.323,4.289,7.472,-10.963,4.377,10.854,4.349,-187.412,12.413,5.389,-167.118,12.668,12.476,4.934,414.084,-6.016,5.18,407.48,-8.439,23.475,-10.596,555.96,-33.452,-11.255,553.558,-30.32,14.165,-28.131,379.054,4.21,-27.247,374.663,2.996,5.211,2.343,124.072,5.76,1.376,127.997,5.858,5.321,4.17,122.914,5.356,4.297,125.133,4.625,3.885,-1.215,224.504,-8.698,-1.724,225.318,-10.117,49.397,-22.09,145.814,-25.153,-20.616,141.625,-22.314,Salto rw B,generated_Mean_Salto rw B
-14.817,337.451,-13.282,15.158,337.451,14.397,31.741,344.647,41.688,-3.264,97.413,-6.107,-3.992,89.459,4.038,0.942,62.999,-4.522,-8.502,87.579,-6.691,4.191,97.413,7.529,3.065,89.459,-0.719,0.123,62.999,3.427,7.779,87.579,4.161,9.907,97.767,15.719,6.676,89.459,6.682,3.737,62.999,5.536,11.421,94.421,13.75,46.6,-6.22,286.632,-5.068,-5.995,280.804,-3.626,5.572,-5.601,220.703,-23.808,-5.998,218.054,-22.781,8.495,-17.845,179.628,3.539,-17.998,180.669,3.962,7.5,-11.558,221.578,17.373,-11.47,221.2,16.922,6.799,-2.013,223.705,9.379,-1.87,222.86,9.29,6.433,5.502,177.618,-2.043,5.159,177.614,-2.117,6.856,2.823,133.414,-14.123,2.741,134.561,-13.624,7.209,-6.051,162.838,-7.876,-6.055,164.508,-8.322,6.335,-14.923,263.161,-9.737,-15.117,262.93,-11.329,51.177,-31.88,172.955,-20.591,-30.064,175.437,-19.227,Salto rw A,generated_Mean_Salto rw A
