SprungID,Sprungtyp,DJump_SIG_I_x LapEnd,DJump_SIG_I_y LapEnd,DJump_SIG_I_z LapEnd,DJump_Abs_I_x LapEnd,DJump_Abs_I_y LapEnd,DJump_Abs_I_z LapEnd,0-mean_ACC_N,0-std_ACC_N,0-mean_ACC_N_ROT_filtered,0-std_ACC_N_ROT_filtered,0-mean_Acc_x_Fil,0-std_Acc_x_Fil,0-mean_Acc_y_Fil,0-std_Acc_y_Fil,0-mean_Acc_z_Fil,0-std_Acc_z_Fil,0-mean_Gyro_x_Fil,0-std_Gyro_x_Fil,0-mean_Gyro_y_Fil,0-std_Gyro_y_Fil,0-mean_Gyro_z_Fil,0-std_Gyro_z_Fil,25-mean_ACC_N,25-std_ACC_N,25-mean_ACC_N_ROT_filtered,25-std_ACC_N_ROT_filtered,25-mean_Acc_x_Fil,25-std_Acc_x_Fil,25-mean_Acc_y_Fil,25-std_Acc_y_Fil,25-mean_Acc_z_Fil,25-std_Acc_z_Fil,25-mean_Gyro_x_Fil,25-std_Gyro_x_Fil,25-mean_Gyro_y_Fil,25-std_Gyro_y_Fil,25-mean_Gyro_z_Fil,25-std_Gyro_z_Fil,50-mean_ACC_N,50-std_ACC_N,50-mean_ACC_N_ROT_filtered,50-std_ACC_N_ROT_filtered,50-mean_Acc_x_Fil,50-std_Acc_x_Fil,50-mean_Acc_y_Fil,50-std_Acc_y_Fil,50-mean_Acc_z_Fil,50-std_Acc_z_Fil,50-mean_Gyro_x_Fil,50-std_Gyro_x_Fil,50-mean_Gyro_y_Fil,50-std_Gyro_y_Fil,50-mean_Gyro_z_Fil,50-std_Gyro_z_Fil,75-mean_ACC_N,75-std_ACC_N,75-mean_ACC_N_ROT_filtered,75-std_ACC_N_ROT_filtered,75-mean_Acc_x_Fil,75-std_Acc_x_Fil,75-mean_Acc_y_Fil,75-std_Acc_y_Fil,75-mean_Acc_z_Fil,75-std_Acc_z_Fil,75-mean_Gyro_x_Fil,75-std_Gyro_x_Fil,75-mean_Gyro_y_Fil,75-std_Gyro_y_Fil,75-mean_Gyro_z_Fil,75-std_Gyro_z_Fil
0827-BK1-01-4,Salto C,6.871,355.593,9.022,21.571,388.923,29.996,29.129,30.17,38.654,33.21,0.941,9.916,-0.325,0.988,14.707,36.028,2.187,15.098,94.869,177.644,9.559,15.649,15.437,13.652,16.244,9.164,-10.303,7.253,0.007,0.769,-7.004,8.621,6.13,10.74,374.813,175.147,1.782,10.754,3.55,0.419,3.096,0.239,-1.508,0.295,-0.164,0.359,-2.511,0.163,0.891,3.661,144.407,22.003,-2.504,4.512,20.264,31.601,9.913,14.237,5.668,13.135,-0.795,1.582,15.314,29.367,4.017,10.228,99.47,62.298,7.949,17.213
0827-BK1-01-7,Salto C,-4.717,358.254,7.186,20.537,384.911,27.238,30.158,31.016,39.473,34.102,2.446,12.089,-0.708,1.581,14.009,36.66,-2.741,16.348,115.985,193.213,5.535,14.768,15.347,14.542,16.425,10.082,-10.084,7.709,-0.3,1.35,-5.767,8.79,-3.861,9.956,328.865,160.887,8.658,7.102,3.459,0.622,3.142,0.249,-1.734,0.163,-0.098,0.299,-2.307,0.393,-0.089,2.844,152.555,10.495,1.58,1.197,20.497,32.668,9.83,14.595,5.505,13.344,-1.174,2.159,15.435,30.418,-3.249,9.956,104.565,84.858,-1.926,20.238
0827-BK1-01-10,Salto C,-5.825,358.946,3.876,22.168,373.566,32.467,29.185,32.525,38.708,35.502,5.344,16.351,-0.586,1.571,13.658,35.46,-3.995,17.193,128.159,169.674,5.098,17.064,13.583,12.705,14.534,8.801,-9.245,7.066,-0.522,1.272,-5.123,7.578,-0.874,9.781,309.031,131.979,-2.218,13.862,3.67,0.472,3.235,0.244,-1.927,0.144,-0.333,0.163,-2.399,0.342,-3.921,3.292,146.4,12.205,2.331,6.166,21.215,32.971,10.465,14.775,6.022,14.941,-0.696,2.035,15.213,30.398,-2.521,10.22,120.635,51.538,1.699,16.886
0827-BK1-01-13,Salto C,-3.394,350.198,0.891,22.504,377.941,32.648,30.501,31.543,39.721,34.202,2.923,12.376,-0.488,1.061,14.411,36.943,-1.276,17.672,119.559,186.977,6.402,20.984,13.467,12.402,14.619,8.742,-9.252,6.678,-0.237,0.782,-5.37,7.489,4.061,8.826,311.121,143.829,-2.13,12.651,3.748,0.435,3.266,0.167,-1.813,0.12,-0.226,0.143,-2.568,0.311,-4.189,4.71,154.415,5.938,-4.169,3.614,21.407,33.102,10.658,14.979,7.303,17.104,-1.347,2.473,14.842,29.334,-5.499,8.459,95.785,64.236,1.806,23.23
0827-BK1-01-16,Salto C,17.786,355.702,0.272,31.175,387.02,28.357,29.509,31.204,39.283,34.801,2.52,12.809,-0.992,2.025,13.698,35.947,5.126,16.863,111.831,188.083,0.259,16.323,14.19,12.257,15.336,8.569,-9.694,6.797,0.146,0.929,-5.949,7.931,14.765,11.43,335.364,164.921,8.526,7.142,3.474,0.453,3.079,0.192,-1.722,0.155,-0.055,0.196,-2.357,0.367,12.688,2.261,146.483,12.178,-2.352,4.003,21.061,33.044,10.252,14.9,6.53,14.901,-0.901,2.778,15.207,30.219,1.901,12.183,108.002,75.623,-5.57,18.073
0827-BK1-01-19,Salto C,16.107,358.032,15.567,39.039,381.975,38.091,29.288,32.225,38.98,35.288,4.142,14.725,-0.106,1.668,14.382,35.718,-0.442,30.879,106.619,168.662,8.645,17.766,15.353,13.151,16.296,9.068,-9.955,7.293,0.408,1.439,-5.82,8.767,8.723,14.362,338.143,155.88,23.334,15.715,3.207,0.478,2.805,0.284,-1.68,0.174,0.058,0.164,-2.05,0.322,17.892,3.389,131.742,20.511,5.382,6.078,21.493,33.208,10.589,14.944,5.914,13.977,-1.032,3.121,15.258,31.046,5.177,10.95,125.151,65.142,-7.236,21.866
0827-BK1-01-22,Salto C,4.67,350.898,16.556,21.94,360.096,27.885,28.996,32.517,38.967,35.705,4.616,16.607,-1.081,1.49,13.639,35.193,2.309,14.527,125.27,162.408,4.519,14.948,13.531,10.062,14.396,7.201,-9.576,6.16,0.08,1.029,-5.799,6.869,-4.11,9.907,336.588,152.669,13.574,7.33,3.866,0.49,3.337,0.173,-1.882,0.517,0.112,0.191,-2.664,0.462,6.266,6.24,147.392,26.834,5.956,6.322,19.636,33.657,8.989,14.254,6.756,15.089,-1.129,1.979,15.2,29.636,4.948,6.253,87.12,31.767,8.777,10.827
0827-BK1-01-24,Salto C,5.58,377.855,12.545,17.924,399.388,23.897,26.591,30.182,35.942,33.544,4.592,16.122,0.046,0.992,13.601,31.802,0.7,6.929,86.018,123.468,14.184,12.433,15.362,8.743,15.969,5.032,-12.331,5.171,-0.151,0.713,-5.246,6.482,-3.794,8.086,407.337,117.125,7.369,9.498,3.214,0.484,3.042,0.982,-1.854,0.382,-0.095,0.267,-1.781,0.602,8.432,4.371,107.632,18.053,5.669,2.82,20.488,31.859,9.911,13.565,4.71,13.073,-0.531,1.332,14.878,30.238,5.942,5.497,160.58,47.677,-1.84,6.461
0827-BK1-01-26,Salto C,13.474,357.474,13.335,24.029,366.326,27.304,28.817,31.342,38.294,34.22,4.198,15.012,-0.955,1.667,13.787,34.953,4.279,10.704,110.988,151.935,-0.356,9.544,15.311,11.592,16.253,8.039,-10.613,6.728,0.059,0.796,-6.503,7.903,-2.25,7.11,357.909,166.736,13.716,6.951,3.817,0.486,3.346,0.203,-1.777,0.161,0.157,0.188,-2.762,0.287,12.612,3.82,150.467,18.334,7.983,4.804,21.079,31.664,10.693,14.648,6.46,14.879,-0.425,1.091,15.517,29.035,12.529,7.179,98.875,51.276,5.235,10.212
0827-BK1-01-29,Salto C,6.038,359.124,4.331,28.377,379.299,26.691,28.176,31.73,38.157,34.338,3.6,13.236,-1.004,1.712,15.239,34.869,2.152,13.64,66.092,110.975,-2.863,9.298,17.673,12.208,18.299,7.974,-12.727,7.107,-0.176,1.088,-6.946,8.409,-8.213,16.99,414.182,151.571,13.126,12.921,3.246,0.414,2.903,0.308,-1.675,0.424,-0.022,0.284,-2.027,0.534,9.667,2.757,121.938,16.071,2.665,3.244,19.713,31.666,9.102,13.429,6.341,13.931,-0.998,1.715,14.084,29.154,8.194,10.343,130.022,81.155,-3.73,15.773
0827-BK1-01-32,Salto C,11.048,347.399,5.277,24.33,357.048,32.96,27.867,31.691,38.002,35.364,2.803,11.956,-0.412,1.607,13.633,35.612,8.226,12.892,118.287,156.21,1.49,21.798,14.286,11.419,15.146,8.245,-9.617,6.662,0.038,0.821,-6.063,7.53,-0.06,5.211,333.414,143.893,6.401,11.164,3.718,0.491,3.311,0.231,-1.903,0.204,0.027,0.188,-2.544,0.342,14.167,6.43,144.894,8.177,3.911,6.718,21.662,32.048,10.913,14.725,7.705,17.201,-1.264,2.785,14.968,28.403,-0.535,11.388,106.328,62.517,-1.468,19.956
0827-BK1-01-35,Salto C,-6.596,355.018,5.384,20.914,381.657,27.071,29.654,30.394,38.683,32.802,3.405,13.441,-1.059,1.31,14.524,35.4,-2.363,15.804,107.987,162.726,2.336,16.927,14.964,10.408,15.985,7.444,-10.487,6.697,-0.238,0.977,-6.789,7.189,-4.168,14.25,358.21,154.884,7.45,11.042,4.17,0.584,3.714,0.4,-1.962,0.164,-0.245,0.195,-2.97,0.454,-5.589,2.243,156.492,27.047,-0.989,4.32,21.334,32.052,10.648,14.671,7.609,17.411,-1.322,1.829,14.888,28.157,-1.334,8.338,101.219,53.4,2.404,19.213
0827-BK1-01-38,Salto C,11.167,355.791,8.395,25.588,382.619,29.804,29.567,31.271,38.662,33.869,3.517,12.992,-0.848,1.227,15.045,35.945,9.746,14.408,95.084,163.893,12.537,19.536,16.891,14.321,17.794,9.891,-11.016,8.174,0.036,1.463,-6.299,9.038,4.862,8.749,358.97,155.038,0.851,7.285,3.46,0.721,3.123,0.444,-1.814,0.336,-0.176,0.313,-2.173,0.484,5.878,5.46,130.848,17.195,2.001,4.858,20.422,31.616,10.033,13.87,6.466,15.275,-0.556,2.07,14.373,28.764,1.052,13.224,120.828,59.826,-0.512,17.723
0827-BK1-01-41,Salto C,10.878,351.395,7.673,22.553,358.179,26.344,29.137,32.125,38.845,35.083,4.783,15.444,-1.356,1.92,13.52,35.522,1.126,14.306,135.632,163.727,2.224,13.801,13.426,10.766,14.25,7.658,-8.634,5.931,0.016,0.551,-5.954,7.367,2.689,8.232,316.582,139.921,12.077,6.863,3.869,0.343,3.458,0.266,-1.716,0.189,0.122,0.144,-2.872,0.216,12.613,2.958,149.402,23.087,6.92,3.139,20.779,32.345,10.247,14.423,6.59,15.519,-0.91,1.48,15.253,29.253,5.666,8.252,100.766,48.241,-5.708,12.687
0827-BK1-01-44,Salto C,-3.939,358.382,6.158,22.01,378.837,30.056,29.334,29.867,38.368,32.569,2.826,13.035,-0.719,1.356,14.212,35.103,2.673,16.118,108.256,163.511,4.598,21.186,16.103,12.161,17.062,8.555,-11.06,7.213,-0.187,0.959,-6.684,7.868,-6.728,8.807,364.287,156.086,4.779,10.593,4.201,0.655,3.882,0.428,-2.15,0.23,-0.078,0.203,-2.972,0.564,0.418,6.679,162.513,18.439,-2.114,4.545,21.162,31.239,10.708,14.517,5.484,13.52,-1.319,1.725,16.011,29.2,-4.492,9.731,95.405,40.554,6.169,18.852
0827-BK1-01-46,Salto C,-10.164,364.337,-1.337,28.583,369.394,27.871,23.466,31.442,34.33,33.558,8.25,17.496,-2.569,4.282,12.743,27.956,9.807,25.424,113.015,126.587,-16.905,13.245,9.82,1.234,9.78,0.805,-8.898,0.969,-0.323,0.35,-3.157,1.038,-14.389,5.691,293.235,22.07,-8.589,8.032,7.004,0.622,6.855,0.389,-5.657,0.566,-0.424,0.225,-3.394,0.476,-9.556,5.509,260.381,6.563,-5.1,5.476,21.387,23.718,12.632,11.795,4.198,13.402,-0.238,2.149,13.296,24.144,-9.287,15.223,206.857,69.504,27.101,30.513
0827-BK1-01-53,Salto B,10.431,355.795,28.329,40.762,405.605,52.652,27.285,32.556,37.873,35.038,2.201,12.283,-1.38,3.053,17.782,34.274,1.797,20.417,15.887,117.79,-5.891,18.845,20.952,12.359,20.792,10.332,-11.016,11.7,0.507,0.91,-11.579,10.799,-12.483,29.987,425.488,165.167,46.289,17.765,4.654,0.444,4.154,0.244,-2.081,0.522,0.276,0.335,-3.487,0.387,15.364,3.921,158.922,28.319,15.563,5.908,20.07,31.815,9.979,13.87,6.273,14.226,-1.091,2.332,14.685,28.874,15.289,10.619,101.666,48.986,-0.384,13.295
0827-BK1-01-56,Salto B,18.994,357.555,24.091,43.398,399.871,48.012,29.14,31.791,38.754,34.625,5.984,16.318,-0.9,2.704,16.281,33.368,-0.69,20.797,31.46,124.993,-6.637,19.638,20.707,15.283,21.42,12.057,-11.312,12.782,0.477,1.325,-9.94,12.093,-3.711,21.782,387.522,160.93,37.483,18.077,4.078,0.581,3.899,0.464,-2.187,0.277,0.188,0.241,-2.753,0.587,22.73,6.983,151.137,18.059,17.473,5.878,21.366,32.586,10.67,14.668,5.855,14.317,-0.844,2.633,14.92,30.73,18.535,9.321,133.515,70.217,-1.052,13.575
0827-BK1-01-59,Salto B,-0.122,355.219,24.013,32.053,395.625,46.093,27.979,32.11,37.845,35.331,5.955,16.642,-0.209,1.691,15.959,32.954,-2.734,24.098,51.18,136.17,4.726,31.241,18.764,12.722,19.43,10.098,-10.316,10.619,-0.027,0.848,-9.594,11.001,-10.246,23.102,374.451,147.027,31.749,13.437,4.418,0.455,4.051,0.345,-2.166,0.18,0.054,0.175,-3.213,0.332,7.206,1.925,166.875,21.189,6.952,4.028,21.2,32.364,10.705,14.428,6.322,15.671,-1.339,2.924,14.886,29.313,5.178,7.515,111.672,50.675,3.459,16.231
0827-BK1-01-62,Salto B,-2.338,357.172,11.497,25.384,388.727,40.837,26.491,32.421,37.06,35.05,4.875,15.027,-0.413,1.444,16.967,32.808,1.051,23.513,40.219,105.796,5.276,32.556,18.684,11.571,18.526,9.474,-9.729,10.678,0.065,1.221,-9.808,9.97,-6.331,22.175,390.633,133.552,15.182,19.376,4.686,0.484,4.252,0.197,-2.306,0.172,-0.119,0.301,-3.398,0.472,1.017,3.818,166.312,15.057,-3.096,6.447,21.944,33.886,10.834,14.853,6.31,16.421,-1.231,2.11,15.379,30.82,-0.904,6.837,119.975,51.668,5.634,17.417
0827-BK1-01-65,Salto B,-5.665,358.437,17.566,37.887,402.698,50.099,26.71,32.25,36.908,34.811,5.885,16.821,-0.67,1.922,16.84,31.768,3.387,25.015,28.231,116.591,-0.146,26.304,21.162,14.689,21.146,11.758,-10.737,13.221,-0.06,1.696,-10.172,11.586,-23.34,30.973,388.239,153.227,34.747,24.712,4.322,0.547,4.065,0.321,-2.409,0.207,0.046,0.321,-2.861,0.546,6.819,3.887,158.41,16.299,8.796,2.352,20.413,31.605,10.084,13.783,6.315,15.544,-0.552,1.273,13.835,28.979,1.395,10.36,132.389,62.342,-9.526,23.481
0827-BK1-01-68,Salto B,10.379,353.338,18.22,39.838,399.934,42.282,28.174,31.232,38.177,34.304,3.202,12.737,-0.393,1.693,16.84,34.059,0.735,18.942,51.39,142.707,6.825,26.718,17.57,11.364,18.145,8.983,-9.105,9.85,0.22,0.807,-9.595,10.022,-5.367,31.638,379.16,147.703,24.762,13.764,4.62,0.655,4.059,0.377,-1.623,0.367,0.189,0.224,-3.631,0.549,16.389,8.632,156.29,11.236,10.398,3.632,22.143,32.679,11.419,14.673,6.567,17.131,-1.194,2.775,14.632,29.742,8.292,12.02,109.299,52.777,-5.708,17.733
0827-BK1-01-71,Salto B,-6.226,356.481,9.528,27.619,407.852,35.647,26.493,32.002,36.982,34.401,2.042,11.77,-1.77,2.957,17.83,33.473,0.991,20.458,19.003,127.196,-5.059,20.62,18.611,10.98,18.232,9.054,-9.856,10.575,0.009,1.091,-9.543,9.257,-17.566,16.968,396.479,121.632,21.153,17.845,4.025,0.675,3.775,0.521,-2.382,0.278,-0.167,0.191,-2.451,0.56,2.178,4.295,131.001,19.634,-0.315,3.756,19.955,32.476,9.256,13.319,6.0,14.428,-0.754,1.656,13.44,29.97,2.077,9.5,164.792,85.93,3.343,21.146
0827-BK1-01-74,Salto B,-9.158,351.026,30.62,37.415,395.669,47.704,27.876,31.635,37.851,34.663,3.815,13.797,-0.826,2.293,16.835,33.703,-2.825,21.651,41.495,134.328,4.068,19.175,18.227,11.558,18.656,9.123,-9.787,9.996,-0.312,1.396,-9.461,10.232,-29.289,26.129,379.886,138.718,38.355,14.86,4.526,0.811,4.143,0.566,-1.859,0.552,0.076,0.372,-3.397,0.731,4.147,4.281,156.127,12.419,18.566,7.872,22.204,32.995,11.43,15.152,6.686,16.242,-1.164,2.242,15.653,30.283,9.753,9.912,111.807,56.718,-0.498,11.63
0827-BK1-01-76,Salto B,4.104,355.777,16.044,30.839,403.776,34.274,26.452,31.874,36.85,34.544,4.285,15.068,-1.18,1.821,16.96,32.244,5.262,18.799,27.866,127.256,5.979,15.57,18.47,11.232,18.316,8.897,-10.688,10.366,-0.429,0.762,-9.638,9.039,-16.16,17.455,408.307,132.063,21.672,11.127,3.809,0.569,3.515,0.561,-1.827,0.398,-0.054,0.221,-2.577,0.619,6.782,5.198,131.559,19.075,8.543,2.422,20.628,32.008,10.031,13.905,6.83,15.099,-0.614,1.688,13.597,29.479,11.941,11.342,139.386,79.905,-4.794,12.385
0827-BK1-01-78,Salto B,9.05,349.446,6.681,32.556,387.153,34.743,27.175,31.977,37.597,34.821,3.495,13.8,-0.428,1.535,17.036,33.488,8.315,20.502,47.649,121.587,11.097,34.177,15.493,8.274,15.714,6.394,-8.37,7.49,-0.078,0.675,-9.099,7.89,-1.515,27.107,380.016,114.372,7.162,15.097,4.56,0.635,4.013,0.443,-1.708,0.421,-0.123,0.19,-3.512,0.55,8.52,7.624,155.171,14.671,-3.286,5.608,22.091,32.363,11.315,14.635,6.721,16.094,-1.347,2.239,14.961,29.746,2.746,9.64,120.919,68.489,-1.917,17.842
0827-BK1-01-81,Salto B,24.599,349.777,41.215,46.726,392.25,59.313,25.379,32.964,36.473,36.053,4.444,15.236,-1.733,3.162,16.99,32.18,5.202,17.129,12.476,102.763,-0.676,13.497,21.746,13.488,21.364,11.049,-13.202,12.451,0.649,1.371,-10.341,10.622,-16.341,11.704,439.555,147.668,54.192,19.403,3.977,0.513,3.726,0.731,-1.691,0.399,0.286,0.352,-2.839,0.427,30.779,15.422,132.802,17.143,30.994,9.863,20.873,31.608,10.591,13.865,7.114,16.411,-0.526,2.074,14.45,28.231,28.848,9.247,113.404,52.183,-2.498,16.177
0827-BK1-01-83,Salto B,-14.677,357.734,12.599,33.589,397.686,32.176,25.328,32.538,36.079,35.29,5.508,16.349,-1.638,2.517,16.801,31.221,8.188,16.853,9.925,96.53,0.451,11.423,19.147,10.577,18.543,8.914,-11.992,10.157,-0.663,0.93,-9.896,8.197,-29.405,18.282,436.353,133.615,20.517,13.06,3.763,0.426,3.71,1.067,-1.943,0.41,-0.142,0.256,-2.472,0.532,-3.073,9.549,142.434,23.737,4.594,5.739,20.593,31.41,10.214,13.746,6.541,15.315,-1.095,1.774,14.048,28.744,-5.025,8.303,123.561,70.481,-0.686,19.695
0827-BK1-01-87,Salto B,-4.185,353.457,19.588,24.885,399.795,42.948,26.383,32.289,37.041,34.889,4.1,14.667,-0.66,1.74,17.599,32.494,3.889,11.279,2.661,101.779,-2.724,21.229,21.176,12.009,20.735,10.096,-11.879,11.932,-0.034,1.174,-10.819,9.908,-21.794,13.895,435.281,144.317,26.636,17.957,3.986,0.608,3.898,0.991,-2.078,0.166,-0.024,0.282,-2.672,0.415,5.1,4.281,146.4,17.4,9.889,4.458,20.845,31.49,10.418,13.819,7.102,16.471,-1.019,2.179,13.793,28.322,4.105,8.539,121.709,75.356,5.166,20.652
0827-BK1-01-92,Salto B,-28.2,349.924,34.89,42.108,400.415,61.815,27.168,31.607,37.53,33.692,2.782,13.02,-0.604,2.117,17.98,33.098,1.372,18.062,13.802,117.61,-0.59,28.386,20.335,12.519,20.0,10.237,-10.784,11.893,-0.275,1.541,-10.304,10.413,-45.959,18.178,411.644,122.506,48.988,15.329,4.353,0.807,4.251,0.856,-2.298,0.415,-0.142,0.273,-2.817,0.873,-8.495,4.781,148.176,20.286,18.625,6.13,20.587,32.008,9.896,13.823,7.19,16.141,-1.209,2.041,13.663,28.883,-3.966,13.059,130.464,75.679,3.277,24.776
0827-BK1-01-94,Salto B,-7.231,354.843,3.161,23.166,396.885,40.105,25.925,31.492,36.45,34.023,4.251,15.039,-1.148,2.156,17.06,31.504,3.839,12.659,29.178,119.612,-11.973,14.786,19.442,11.784,19.177,9.578,-10.388,11.128,-0.334,0.852,-9.801,10.268,-9.943,18.708,405.353,126.27,8.538,20.577,4.411,0.83,4.076,0.533,-1.997,0.62,-0.293,0.217,-3.083,0.798,-5.227,3.074,149.797,5.54,-5.264,6.976,20.862,31.209,10.414,13.962,6.307,14.85,-1.073,2.255,13.965,29.036,-3.123,10.69,132.177,48.956,15.631,24.293
0827-BK1-01-103,Salto A,6.771,354.1,-10.301,16.789,354.1,29.088,26.736,31.951,36.69,34.841,4.576,9.567,-1.209,2.28,15.961,34.734,5.929,5.418,137.783,58.735,-3.388,18.655,7.045,0.862,6.894,0.69,-4.236,0.331,-0.471,0.621,-4.804,0.591,-2.099,9.562,221.323,16.093,-10.338,7.967,5.913,0.489,5.541,0.196,-3.336,0.211,-0.159,0.178,-4.2,0.391,3.669,1.819,194.12,9.781,-3.664,3.262,21.485,31.078,11.391,13.25,5.015,14.744,-0.927,1.86,13.93,29.512,5.541,8.802,148.044,76.542,-3.59,20.12
0827-BK1-01-105,Salto A,2.088,358.262,-4.129,19.238,358.262,32.719,27.875,32.059,37.936,33.976,4.108,10.619,-1.586,2.686,16.414,34.87,5.185,15.287,159.186,61.669,2.062,19.15,7.287,1.259,6.833,0.352,-3.909,0.486,-0.544,0.723,-5.198,0.535,-0.763,9.996,211.901,8.037,-10.994,11.501,6.186,0.654,5.891,0.323,-3.595,0.261,-0.325,0.256,-4.341,0.478,1.507,2.604,206.686,8.531,-2.928,4.444,21.283,31.099,11.258,13.234,4.684,14.323,-1.238,3.116,14.432,29.373,-1.891,8.455,133.923,65.504,3.154,15.07
0827-BK1-01-107,Salto A,-3.739,360.067,-9.008,25.441,360.799,28.394,26.653,31.6,36.751,34.443,4.719,10.881,-1.327,2.552,15.991,33.958,9.152,12.044,147.815,64.959,-1.668,15.321,6.945,1.073,6.633,0.507,-4.06,0.706,-0.639,0.272,-4.785,0.681,-11.944,13.625,209.902,11.051,-14.723,9.079,6.082,0.632,5.709,0.205,-3.694,0.153,-0.376,0.171,-4.087,0.552,-5.55,3.083,197.162,10.571,-3.552,1.491,22.088,31.614,11.796,13.748,4.895,14.536,-0.851,1.083,14.515,30.327,0.746,7.788,156.554,74.591,1.687,15.351
0827-BK1-01-109,Salto A,4.439,357.46,0.074,20.024,358.712,24.66,26.842,31.766,36.802,34.584,4.583,10.753,-1.356,2.415,15.881,34.26,0.195,17.866,149.51,72.759,8.711,17.731,6.881,0.872,6.668,0.544,-4.046,0.371,-0.434,0.616,-4.795,0.457,1.62,8.796,212.421,11.638,-5.874,6.805,6.006,0.682,5.66,0.411,-3.374,0.248,-0.142,0.164,-4.295,0.567,5.256,2.226,204.351,18.176,-3.642,3.458,21.876,32.261,11.431,14.14,5.594,15.805,-1.102,1.925,14.577,30.18,1.803,8.137,133.299,62.109,0.81,11.847
0827-BK1-01-111,Salto A,14.02,360.593,1.84,27.226,360.745,28.983,27.599,32.247,37.565,34.568,5.146,11.129,-1.866,3.376,16.53,34.464,1.209,20.235,151.402,68.908,7.034,26.42,6.892,0.853,6.508,0.33,-3.477,0.606,-0.257,0.47,-5.234,0.438,9.47,11.329,207.877,12.55,-5.009,4.663,6.167,0.507,5.805,0.313,-3.228,0.215,0.056,0.12,-4.632,0.301,10.32,2.73,203.778,15.052,1.914,4.348,22.732,32.093,12.33,14.206,4.945,15.818,-1.03,2.337,14.487,30.809,6.731,6.101,140.763,48.48,0.006,14.567
0827-BK1-01-113,Salto A,11.687,357.091,-1.511,23.209,357.605,29.185,26.749,32.306,36.652,34.819,5.558,11.162,-0.72,1.509,16.485,34.107,5.642,8.461,144.688,78.529,-3.896,24.445,7.225,1.025,6.972,0.463,-4.253,0.449,-0.394,0.57,-4.997,0.651,0.736,9.868,203.449,5.477,-4.516,8.205,6.331,0.518,6.005,0.194,-3.938,0.213,0.162,0.096,-4.317,0.455,10.82,3.625,205.91,8.517,2.55,2.493,22.087,31.545,11.909,13.844,5.77,17.151,-0.972,2.182,14.012,29.16,5.477,10.53,145.571,50.741,3.42,15.494
0827-BK1-01-115,Salto A,11.447,352.305,-2.971,19.91,352.305,29.575,25.824,32.589,36.128,35.31,6.231,12.041,-1.18,2.282,16.231,33.458,2.816,7.17,148.994,48.713,-5.347,22.712,7.065,0.71,6.568,0.26,-3.944,0.387,-0.345,0.319,-5.119,0.51,2.86,9.423,204.561,14.894,-4.815,6.204,6.045,0.481,5.717,0.314,-3.435,0.371,-0.031,0.14,-4.329,0.384,7.634,3.469,201.922,15.871,-0.876,3.121,22.981,31.589,12.574,14.085,5.926,17.523,-1.136,2.32,13.913,29.363,9.405,11.158,145.363,51.391,6.165,15.185
0827-BK1-01-117,Salto A,6.162,349.75,6.662,23.005,349.75,32.152,26.4,32.712,36.785,35.313,5.928,11.912,-0.515,1.427,16.134,34.007,-4.467,15.26,150.746,39.607,11.137,25.677,6.995,0.732,6.553,0.415,-3.615,0.594,-0.209,0.41,-5.25,0.607,8.292,10.654,208.62,15.591,0.241,8.35,6.022,0.545,5.723,0.301,-3.183,0.244,0.095,0.192,-4.503,0.383,8.431,2.064,201.298,16.739,-1.381,1.158,22.467,31.897,11.985,14.141,4.889,14.858,-1.007,1.587,15.194,30.603,0.102,7.23,141.21,50.858,3.728,15.65
0827-BK1-01-119,Salto A,21.44,349.031,-3.279,27.907,349.031,30.665,25.027,32.765,35.286,35.773,5.3,11.606,-0.677,1.421,15.935,33.548,9.607,13.874,155.791,48.902,-3.192,19.532,7.147,0.753,6.793,0.264,-3.819,0.593,-0.361,0.397,-5.269,0.592,11.569,12.781,209.824,11.124,-11.787,8.495,6.028,0.619,5.721,0.324,-3.412,0.313,-0.083,0.24,-4.339,0.361,10.214,5.551,197.38,11.579,-1.643,6.22,22.83,30.657,12.636,13.594,5.97,17.383,-0.777,2.773,14.179,28.484,10.825,12.41,143.05,35.951,9.567,22.074
0827-BK1-01-121,Salto A,-5.498,350.457,-6.86,24.42,350.737,35.962,24.899,31.805,35.263,34.721,6.209,13.281,-1.105,1.75,15.354,32.07,3.492,8.488,155.725,60.871,-1.523,15.402,7.273,0.767,6.731,0.262,-4.075,0.423,-0.562,0.427,-5.184,0.479,-1.957,13.485,215.37,8.352,-17.281,11.864,6.204,0.537,5.917,0.346,-3.901,0.138,-0.341,0.227,-4.116,0.518,-10.375,1.939,191.62,15.279,-4.677,7.646,23.609,33.063,12.577,14.439,6.572,18.761,-1.585,2.254,14.655,29.895,-2.838,14.664,154.835,41.484,9.395,21.449
0827-BK1-01-123,Salto A,8.132,353.63,-1.821,27.007,353.63,31.614,24.561,31.76,34.739,34.516,6.157,13.173,-0.514,1.991,15.41,31.816,-4.633,21.278,156.086,48.089,3.74,23.044,7.418,1.066,6.861,0.439,-3.818,0.749,-0.475,0.489,-5.55,0.754,7.681,10.093,210.422,14.149,-2.111,15.14,6.386,0.479,6.113,0.427,-3.815,0.397,-0.08,0.303,-4.482,0.22,7.417,6.724,205.238,14.258,-3.214,5.178,22.782,30.636,12.552,13.477,5.206,16.175,-1.134,2.567,14.446,29.0,5.848,10.392,156.063,46.783,-1.998,19.143
