SprungID,Sprungtyp,DJump_SIG_I_x LapEnd,DJump_SIG_I_y LapEnd,DJump_SIG_I_z LapEnd,DJump_Abs_I_x LapEnd,DJump_Abs_I_y LapEnd,DJump_Abs_I_z LapEnd,0-mean_ACC_N,0-std_ACC_N,0-mean_ACC_N_ROT_filtered,0-std_ACC_N_ROT_filtered,0-mean_Acc_x_Fil,0-std_Acc_x_Fil,0-mean_Acc_y_Fil,0-std_Acc_y_Fil,0-mean_Acc_z_Fil,0-std_Acc_z_Fil,0-mean_Gyro_x_Fil,0-std_Gyro_x_Fil,0-mean_Gyro_y_Fil,0-std_Gyro_y_Fil,0-mean_Gyro_z_Fil,0-std_Gyro_z_Fil,25-mean_ACC_N,25-std_ACC_N,25-mean_ACC_N_ROT_filtered,25-std_ACC_N_ROT_filtered,25-mean_Acc_x_Fil,25-std_Acc_x_Fil,25-mean_Acc_y_Fil,25-std_Acc_y_Fil,25-mean_Acc_z_Fil,25-std_Acc_z_Fil,25-mean_Gyro_x_Fil,25-std_Gyro_x_Fil,25-mean_Gyro_y_Fil,25-std_Gyro_y_Fil,25-mean_Gyro_z_Fil,25-std_Gyro_z_Fil,50-mean_ACC_N,50-std_ACC_N,50-mean_ACC_N_ROT_filtered,50-std_ACC_N_ROT_filtered,50-mean_Acc_x_Fil,50-std_Acc_x_Fil,50-mean_Acc_y_Fil,50-std_Acc_y_Fil,50-mean_Acc_z_Fil,50-std_Acc_z_Fil,50-mean_Gyro_x_Fil,50-std_Gyro_x_Fil,50-mean_Gyro_y_Fil,50-std_Gyro_y_Fil,50-mean_Gyro_z_Fil,50-std_Gyro_z_Fil,75-mean_ACC_N,75-std_ACC_N,75-mean_ACC_N_ROT_filtered,75-std_ACC_N_ROT_filtered,75-mean_Acc_x_Fil,75-std_Acc_x_Fil,75-mean_Acc_y_Fil,75-std_Acc_y_Fil,75-mean_Acc_z_Fil,75-std_Acc_z_Fil,75-mean_Gyro_x_Fil,75-std_Gyro_x_Fil,75-mean_Gyro_y_Fil,75-std_Gyro_y_Fil,75-mean_Gyro_z_Fil,75-std_Gyro_z_Fil
0609-4-01-476,Salto C,12.739,367.986,0.601,27.572,391.394,41.517,26.545,31.128,36.004,33.651,7.096,21.346,-1.171,2.101,11.186,29.315,-0.094,14.593,132.619,164.31,4.717,25.724,12.734,5.084,13.754,3.076,-9.44,6.136,-0.309,0.795,-4.317,4.003,8.348,7.48,360.996,119.725,9.711,10.683,3.252,0.646,3.539,0.643,-1.456,0.308,-0.614,0.246,-2.787,0.561,7.803,5.602,121.569,28.141,-8.466,3.961,23.322,35.775,11.451,14.674,8.547,19.414,-0.223,2.565,13.965,30.869,9.779,20.973,130.19,95.932,6.452,23.468
0609-4-01-477,Fliffis B,-106.807,-88.672,225.946,154.967,598.865,242.942,49.702,26.348,56.74,25.671,-17.9,31.843,-0.243,2.372,15.342,33.687,-4.586,37.655,-538.698,217.18,8.311,26.625,22.376,5.987,24.779,8.032,-16.279,6.754,1.755,3.076,-12.85,5.321,-42.301,119.267,-160.085,172.016,226.544,126.377,19.461,4.704,20.787,4.424,-8.702,1.819,-4.298,1.537,-16.767,4.073,-166.426,78.71,237.088,82.916,210.868,101.497,30.623,32.235,20.41,10.864,-3.253,18.53,-0.784,1.188,11.136,35.473,-6.137,13.747,289.566,93.721,31.406,23.227
0609-4-01-479,Salto C,4.227,360.177,7.818,22.554,368.946,27.217,26.105,31.069,35.713,33.954,6.966,20.307,-0.022,2.17,11.38,30.016,-6.102,15.455,161.657,150.71,14.014,9.033,10.488,4.872,11.243,3.882,-7.502,5.635,-0.267,0.848,-4.078,3.903,12.033,16.833,295.82,135.078,7.601,17.591,3.532,0.422,3.858,0.681,-1.664,0.206,-0.644,0.109,-3.068,0.416,-0.753,1.837,134.567,16.867,0.06,2.404,23.37,36.18,11.644,14.136,7.966,19.415,0.253,2.162,14.708,30.806,3.709,13.471,129.079,71.081,4.885,14.9
0609-4-01-480,Fliffis B,-96.695,-193.962,244.808,126.495,617.06,256.184,47.77,27.406,55.418,26.708,-14.3,31.081,2.352,3.558,15.96,33.059,-54.877,40.062,-510.259,208.383,35.394,33.101,26.17,10.542,29.303,9.815,-23.338,11.784,2.392,2.685,-7.814,4.122,8.814,20.431,-298.691,237.701,131.232,102.463,19.452,4.313,19.678,3.585,-10.006,1.922,-2.85,2.168,-16.0,4.02,-153.326,63.494,118.314,147.118,302.645,89.361,30.193,30.074,20.371,10.13,-4.525,17.197,-1.076,1.099,9.231,34.568,-1.772,27.185,294.737,107.331,50.24,41.163
0609-4-01-482,Salto C,11.388,365.495,14.475,25.058,386.97,34.313,24.007,31.414,33.891,34.329,7.1,20.111,-0.046,1.163,12.287,28.561,-5.012,3.964,94.439,126.806,12.308,14.348,14.959,5.186,15.286,2.958,-11.525,5.679,-0.472,0.373,-5.033,4.931,-2.305,8.092,406.631,120.831,25.085,9.387,2.949,0.635,3.358,1.195,-1.342,0.479,-0.488,0.43,-2.421,0.573,14.892,11.29,103.748,34.409,10.824,9.21,21.33,35.236,9.86,13.42,8.478,19.892,0.39,1.489,12.789,29.325,16.445,5.57,139.485,89.07,-7.131,16.401
0609-4-01-483,Fliffis B,-77.382,-233.08,247.706,127.885,618.693,269.132,48.211,26.676,55.267,25.913,-14.943,32.097,1.305,3.502,16.182,32.554,-47.797,50.8,-522.684,215.153,12.231,42.589,27.671,10.554,30.843,9.715,-25.376,11.52,0.901,3.591,-7.244,3.463,37.987,19.641,-327.209,249.172,125.045,95.503,19.447,3.642,19.74,2.829,-10.885,1.531,-1.521,2.167,-15.518,3.915,-141.155,58.81,100.136,148.829,328.152,81.624,29.547,29.654,19.94,10.295,-3.476,16.824,-1.275,0.603,9.71,34.113,-11.736,18.189,271.334,81.77,64.636,35.067
0609-4-01-486,Salto C,-11.454,354.315,10.175,18.611,354.315,27.304,23.061,29.802,33.768,31.61,8.336,20.626,-0.294,1.178,11.23,25.596,-7.842,7.415,259.278,79.1,-0.841,14.684,5.878,0.667,5.823,0.469,-3.082,0.586,-0.66,0.395,-4.892,0.531,-16.24,4.393,133.679,41.053,8.031,12.306,7.1,0.365,6.882,0.316,-5.147,0.29,-0.447,0.157,-4.83,0.235,-0.912,5.553,223.115,6.459,18.933,4.918,22.849,28.879,12.707,11.772,3.166,15.77,-0.791,0.616,13.32,28.024,0.313,8.704,207.832,59.257,8.149,18.592
0609-4-01-493,Salto C,14.901,362.158,9.254,30.574,371.934,26.965,25.385,30.542,35.048,33.477,7.804,20.973,-0.264,0.947,10.996,28.471,-5.281,13.138,147.253,142.114,10.729,10.225,10.912,5.878,11.644,4.358,-7.72,6.294,-0.217,0.809,-4.334,3.939,19.72,14.989,314.508,124.439,18.011,11.867,3.308,0.397,3.433,0.337,-1.547,0.146,-0.556,0.312,-2.828,0.347,8.246,3.779,128.429,14.625,1.768,2.855,23.353,36.298,11.549,14.459,8.873,20.32,-0.354,1.415,14.388,30.772,7.121,11.263,124.807,77.68,-1.003,8.787
0609-4-01-494,Fliffis B,-102.122,-180.793,228.47,132.415,604.997,245.54,48.919,28.562,56.543,25.987,-13.699,31.087,0.735,1.982,15.065,33.289,-29.832,39.828,-501.069,207.324,22.947,29.989,25.307,10.453,28.135,10.229,-21.722,11.667,2.288,3.576,-8.912,3.222,3.708,35.96,-282.518,239.532,152.84,117.802,18.344,4.12,19.123,3.164,-7.908,1.872,-3.124,1.711,-16.04,3.792,-177.814,71.44,148.333,115.36,267.091,88.124,29.818,31.162,19.628,10.304,-2.834,18.408,-0.508,1.662,8.884,34.683,-4.866,18.155,274.899,101.676,35.378,32.74
0609-4-01-496,Salto C,3.217,370.884,13.503,23.359,381.772,35.256,25.709,31.529,35.261,34.168,7.799,22.203,-0.112,1.281,10.997,28.768,-6.182,9.205,138.083,132.411,14.44,9.504,11.392,5.783,12.308,4.461,-9.109,6.067,-0.257,0.547,-4.024,3.994,4.409,11.284,332.418,145.06,13.707,8.762,3.7,0.257,3.714,0.172,-1.613,0.514,-0.389,0.225,-3.206,0.443,-0.097,6.157,130.125,9.618,14.774,12.069,22.895,35.579,11.379,14.159,7.876,18.744,-0.286,1.298,14.756,30.888,8.82,17.645,139.034,77.839,-5.707,23.434
0609-4-01-497,Fliffis B,-53.613,-234.901,242.321,120.974,624.085,266.146,47.995,27.617,55.196,27.244,-16.559,29.323,-0.319,2.531,17.025,34.864,9.553,28.596,-516.271,215.281,12.528,40.162,26.863,11.437,30.11,10.69,-23.995,12.253,0.411,4.095,-8.184,3.308,23.502,46.92,-311.527,241.197,138.022,97.947,19.967,3.305,20.166,2.561,-10.202,1.303,-1.547,1.725,-16.781,3.261,-153.829,65.238,84.257,160.087,316.082,67.596,28.884,30.774,19.311,10.111,-3.966,15.512,-0.308,2.459,11.271,34.41,11.281,10.974,270.688,69.044,40.556,54.106
0609-4-01-499,Salto C,8.522,367.56,0.641,24.1,378.965,28.059,25.2,31.122,34.784,33.916,7.433,20.902,0.007,1.449,11.702,28.738,-3.537,8.141,115.323,126.417,10.808,9.802,13.816,5.553,14.588,3.333,-10.746,5.905,-0.262,0.57,-4.505,4.717,3.114,8.617,372.429,118.609,3.402,17.068,3.12,0.536,3.307,0.559,-1.462,0.221,-0.564,0.175,-2.648,0.411,8.364,7.302,119.829,28.873,1.203,7.431,22.739,35.735,11.041,14.105,8.061,19.065,-0.161,1.692,14.279,30.892,9.848,21.793,133.22,89.356,-2.503,18.538
0609-4-01-500,Fliffis B,-111.086,-130.561,229.985,147.666,601.084,258.474,49.669,26.669,56.753,25.385,-16.91,32.653,0.768,1.808,15.403,32.751,-31.105,39.182,-538.09,213.719,8.54,34.757,23.489,7.407,26.16,8.636,-18.361,8.286,1.74,3.386,-11.188,5.329,-27.459,99.911,-204.283,186.067,192.558,132.387,20.257,4.587,21.241,4.008,-9.404,1.737,-3.114,1.41,-17.494,4.152,-165.242,83.322,190.933,115.97,256.714,114.315,30.333,31.354,20.41,9.961,-3.939,16.994,-0.839,2.157,10.475,35.447,-6.597,13.247,289.695,83.192,30.368,42.991
