Time,TimeInJump,ACC_N,ACC_N_ROT_filtered,Acc_x_Fil,Acc_y_Fil,Acc_z_Fil,Gyro_x_Fil,Gyro_y_Fil,Gyro_z_Fil,SprungID,Sprungtyp,DJump_SIG_I_x LapEnd,DJump_SIG_I_y LapEnd,DJump_SIG_I_z LapEnd,DJump_Abs_I_x LapEnd,DJump_Abs_I_y LapEnd,DJump_Abs_I_z LapEnd
4532.972,0.002,118.89,49.54,17.605,30.093,92.468,93.84,152.47,-122.65,20191008-1207-FRANKFURT_2-01-364,Salto A,48.935,342.174,-87.658,50.904,344.94,98.19
4533.374,0.404,8.73,8.88,-0.128,-2.212,-8.645,1.98,149.79,-46.18,20191008-1207-FRANKFURT_2-01-364,Salto A,48.935,342.174,-87.658,50.904,344.94,98.19
4533.776,0.806,8.26,8.02,-3.856,-1.028,-6.859,23.64,213.96,-60.23,20191008-1207-FRANKFURT_2-01-364,Salto A,48.935,342.174,-87.658,50.904,344.94,98.19
4534.178,1.208,9.06,8.45,-6.035,-1.538,-6.522,11.81,168.05,-21.43,20191008-1207-FRANKFURT_2-01-364,Salto A,48.935,342.174,-87.658,50.904,344.94,98.19
2191.988,0.002,99.1,51.27,19.434,7.377,83.679,-31.63,158.71,-4.18,20191003-1152-FRANKFURT_1-01-104,Schraubensalto A,-44.108,202.311,-356.89,162.433,281.927,368.086
2192.406,0.42,5.97,4.55,-5.419,-0.285,-1.231,-169.81,54.74,-328.0,20191003-1152-FRANKFURT_1-01-104,Schraubensalto A,-44.108,202.311,-356.89,162.433,281.927,368.086
2192.824,0.838,14.11,13.55,-6.722,1.372,-12.138,163.64,-49.0,-464.22,20191003-1152-FRANKFURT_1-01-104,Schraubensalto A,-44.108,202.311,-356.89,162.433,281.927,368.086
2193.242,1.256,11.41,9.56,-6.637,0.47,-8.678,29.31,231.55,-15.96,20191003-1152-FRANKFURT_1-01-104,Schraubensalto A,-44.108,202.311,-356.89,162.433,281.927,368.086
1999.774,0.002,93.97,50.02,17.676,15.523,83.787,13.73,203.08,-12.2,20191007-1534-FRANKFURT_2-01-104,Schraubensalto A,89.035,190.669,335.873,171.395,266.508,355.733
2000.186,0.414,7.34,6.09,-5.141,-2.841,-3.386,202.02,57.75,326.72,20191007-1534-FRANKFURT_2-01-104,Schraubensalto A,89.035,190.669,335.873,171.395,266.508,355.733
2000.598,0.826,13.68,14.44,-7.36,-3.078,-11.486,-105.87,-36.67,454.87,20191007-1534-FRANKFURT_2-01-104,Schraubensalto A,89.035,190.669,335.873,171.395,266.508,355.733
2001.008,1.236,6.63,8.81,-5.637,-2.628,-4.351,31.33,158.61,128.99,20191007-1534-FRANKFURT_2-01-104,Schraubensalto A,89.035,190.669,335.873,171.395,266.508,355.733
6241.24,0.002,103.41,68.48,34.349,6.163,90.414,24.73,65.32,56.34,0609-4-01-600,Barani C,-13.808,-71.418,229.805,49.434,315.849,242.231
6241.692,0.454,14.42,16.83,-12.341,0.34,-6.679,-28.86,-379.23,104.59,0609-4-01-600,Barani C,-13.808,-71.418,229.805,49.434,315.849,242.231
6242.142,0.904,9.93,8.43,-5.331,-0.297,-8.299,-29.33,10.64,316.3,0609-4-01-600,Barani C,-13.808,-71.418,229.805,49.434,315.849,242.231
6242.592,1.354,6.33,6.76,-4.928,-1.735,-3.754,10.26,144.15,85.99,0609-4-01-600,Barani C,-13.808,-71.418,229.805,49.434,315.849,242.231
154.656,0.002,116.06,75.79,36.535,-7.206,103.914,-6.57,54.59,10.09,0827-BK2-01-10,Salto C,0.292,331.756,-1.512,39.136,349.877,38.545
155.164,0.51,14.91,10.44,-6.225,1.246,-10.817,38.61,530.9,-13.62,0827-BK2-01-10,Salto C,0.292,331.756,-1.512,39.136,349.877,38.545
155.672,1.018,3.66,3.21,-0.331,0.553,-3.097,-18.77,123.92,3.75,0827-BK2-01-10,Salto C,0.292,331.756,-1.512,39.136,349.877,38.545
156.178,1.524,4.59,3.18,-1.035,0.521,-2.935,11.76,57.82,13.83,0827-BK2-01-10,Salto C,0.292,331.756,-1.512,39.136,349.877,38.545
1726.186,0.002,113.06,56.91,28.643,-2.292,92.177,-18.53,8.79,0.71,20191007-1159-FRANKFURT_1-01-229,Barani A,-50.402,73.044,171.403,73.54,291.198,202.85
1726.58,0.396,7.43,9.86,-5.144,2.009,-6.588,-69.74,-132.23,153.55,20191007-1159-FRANKFURT_1-01-229,Barani A,-50.402,73.044,171.403,73.54,291.198,202.85
1726.974,0.79,11.44,10.51,-4.16,-5.643,-8.285,-55.61,130.34,337.21,20191007-1159-FRANKFURT_1-01-229,Barani A,-50.402,73.044,171.403,73.54,291.198,202.85
