SprungID,Sprungtyp,DJump_SIG_I_x LapEnd,DJump_SIG_I_y LapEnd,DJump_SIG_I_z LapEnd,DJump_Abs_I_x LapEnd,DJump_Abs_I_y LapEnd,DJump_Abs_I_z LapEnd,0-ACC_N,0-ACC_N_ROT_filtered,0-Acc_x_Fil,0-Acc_y_Fil,0-Acc_z_Fil,0-Gyro_x_Fil,0-Gyro_y_Fil,0-Gyro_z_Fil,25-ACC_N,25-ACC_N_ROT_filtered,25-Acc_x_Fil,25-Acc_y_Fil,25-Acc_z_Fil,25-Gyro_x_Fil,25-Gyro_y_Fil,25-Gyro_z_Fil,50-ACC_N,50-ACC_N_ROT_filtered,50-Acc_x_Fil,50-Acc_y_Fil,50-Acc_z_Fil,50-Gyro_x_Fil,50-Gyro_y_Fil,50-Gyro_z_Fil,75-ACC_N,75-ACC_N_ROT_filtered,75-Acc_x_Fil,75-Acc_y_Fil,75-Acc_z_Fil,75-Gyro_x_Fil,75-Gyro_y_Fil,75-Gyro_z_Fil
0609-1-01-468,Salto C,12.198,365.083,-26.785,52.823,387.12,43.437,27.292,36.836,2.392,-0.813,15.599,10.23,74.081,-28.72,27.292,36.836,2.392,-0.813,15.599,10.23,74.081,-28.72,27.292,36.836,2.392,-0.813,15.599,10.23,74.081,-28.72,27.292,36.836,2.392,-0.813,15.599,10.23,74.081,-28.72
0609-1-01-469,Doppelsalto B,34.27,704.723,-20.913,65.4,735.351,75.931,30.783,40.034,-3.164,0.576,12.308,2.027,133.039,-28.903,30.783,40.034,-3.164,0.576,12.308,2.027,133.039,-28.903,30.783,40.034,-3.164,0.576,12.308,2.027,133.039,-28.903,30.783,40.034,-3.164,0.576,12.308,2.027,133.039,-28.903
0609-1-01-473,Salto C,32.696,363.492,-17.235,47.592,382.26,42.73,27.177,36.874,2.468,-0.053,15.119,7.324,79.63,-29.979,27.177,36.874,2.468,-0.053,15.119,7.324,79.63,-29.979,27.177,36.874,2.468,-0.053,15.119,7.324,79.63,-29.979,27.177,36.874,2.468,-0.053,15.119,7.324,79.63,-29.979
0609-1-01-474,Doppelsalto B,-5.852,704.451,-37.638,72.29,736.51,72.997,30.348,39.898,-2.674,0.216,13.055,13.112,119.454,-34.587,30.348,39.898,-2.674,0.216,13.055,13.112,119.454,-34.587,30.348,39.898,-2.674,0.216,13.055,13.112,119.454,-34.587,30.348,39.898,-2.674,0.216,13.055,13.112,119.454,-34.587
0609-1-01-478,Salto C,29.488,358.087,-12.563,41.173,386.873,46.99,27.6,37.334,2.11,0.553,14.433,0.347,92.399,-22.944,27.6,37.334,2.11,0.553,14.433,0.347,92.399,-22.944,27.6,37.334,2.11,0.553,14.433,0.347,92.399,-22.944,27.6,37.334,2.11,0.553,14.433,0.347,92.399,-22.944
0609-1-01-479,Doppelsalto B,0.004,704.782,-18.826,59.71,735.111,61.357,29.624,38.132,-1.629,0.987,13.981,6.76,112.605,-26.13,29.624,38.132,-1.629,0.987,13.981,6.76,112.605,-26.13,29.624,38.132,-1.629,0.987,13.981,6.76,112.605,-26.13,29.624,38.132,-1.629,0.987,13.981,6.76,112.605,-26.13
0609-1-01-484,Salto C,27.889,363.133,-20.325,46.388,384.42,43.623,26.927,36.611,1.931,-0.38,14.676,7.675,80.181,-20.139,26.927,36.611,1.931,-0.38,14.676,7.675,80.181,-20.139,26.927,36.611,1.931,-0.38,14.676,7.675,80.181,-20.139,26.927,36.611,1.931,-0.38,14.676,7.675,80.181,-20.139
0609-1-01-485,Doppelsalto B,27.595,709.168,-11.257,68.7,737.821,69.272,29.814,39.059,-2.484,0.462,12.902,4.103,120.359,-26.777,29.814,39.059,-2.484,0.462,12.902,4.103,120.359,-26.777,29.814,39.059,-2.484,0.462,12.902,4.103,120.359,-26.777,29.814,39.059,-2.484,0.462,12.902,4.103,120.359,-26.777
0609-1-01-489,Salto C,36.618,360.11,-12.529,44.458,385.165,32.95,27.184,36.694,2.492,-0.453,14.154,6.425,79.439,-13.791,27.184,36.694,2.492,-0.453,14.154,6.425,79.439,-13.791,27.184,36.694,2.492,-0.453,14.154,6.425,79.439,-13.791,27.184,36.694,2.492,-0.453,14.154,6.425,79.439,-13.791
0609-1-01-490,Doppelsalto B,-4.608,700.176,-21.568,45.396,728.97,48.196,29.585,39.321,-2.04,-0.196,13.531,13.23,122.41,-22.674,29.585,39.321,-2.04,-0.196,13.531,13.23,122.41,-22.674,29.585,39.321,-2.04,-0.196,13.531,13.23,122.41,-22.674,29.585,39.321,-2.04,-0.196,13.531,13.23,122.41,-22.674
0609-1-01-494,Salto C,35.469,360.493,-6.905,45.486,384.954,38.526,28.357,37.572,2.322,-0.219,14.605,11.029,94.251,-12.391,28.357,37.572,2.322,-0.219,14.605,11.029,94.251,-12.391,28.357,37.572,2.322,-0.219,14.605,11.029,94.251,-12.391,28.357,37.572,2.322,-0.219,14.605,11.029,94.251,-12.391
0609-1-01-495,Doppelsalto B,8.934,700.161,-14.743,79.528,730.212,66.633,29.591,38.818,-1.35,0.456,14.043,5.111,115.184,-33.179,29.591,38.818,-1.35,0.456,14.043,5.111,115.184,-33.179,29.591,38.818,-1.35,0.456,14.043,5.111,115.184,-33.179,29.591,38.818,-1.35,0.456,14.043,5.111,115.184,-33.179
0609-1-01-504,Salto C,25.93,358.358,-20.087,41.102,383.333,46.361,27.167,37.043,2.253,-0.662,14.468,5.62,92.349,-27.956,27.167,37.043,2.253,-0.662,14.468,5.62,92.349,-27.956,27.167,37.043,2.253,-0.662,14.468,5.62,92.349,-27.956,27.167,37.043,2.253,-0.662,14.468,5.62,92.349,-27.956
0609-1-01-505,Doppelsalto B,-5.762,697.16,-25.041,59.806,725.297,63.875,30.575,39.656,-2.6,-0.368,12.994,10.394,129.517,-21.168,30.575,39.656,-2.6,-0.368,12.994,10.394,129.517,-21.168,30.575,39.656,-2.6,-0.368,12.994,10.394,129.517,-21.168,30.575,39.656,-2.6,-0.368,12.994,10.394,129.517,-21.168
