Time,TimeInJump,ACC_N,ACC_N_ROT_filtered,Acc_x_Fil,Acc_y_Fil,Acc_z_Fil,Gyro_x_Fil,Gyro_y_Fil,Gyro_z_Fil,SprungID,Sprungtyp,DJump_SIG_I_x LapEnd,DJump_SIG_I_y LapEnd,DJump_SIG_I_z LapEnd,DJump_Abs_I_x LapEnd,DJump_Abs_I_y LapEnd,DJump_Abs_I_z LapEnd
,,26.431,36.075,5.535,0.124,13.131,-4.241,141.684,8.285,0609-4-01-335,Salto C,5.712,361.613,-5.222,28.17,390.25,28.745
,,12.367,12.985,-7.845,-0.544,-4.55,0.69,309.347,-0.902,0609-4-01-335,Salto C,5.712,361.613,-5.222,28.17,390.25,28.745
,,3.304,3.423,-1.508,-0.59,-2.858,7.499,135.041,3.792,0609-4-01-335,Salto C,5.712,361.613,-5.222,28.17,390.25,28.745
,,23.245,11.344,7.757,0.316,15.059,5.052,119.532,-7.8,0609-4-01-335,Salto C,5.712,361.613,-5.222,28.17,390.25,28.745
,,50.869,55.426,-17.034,0.468,11.844,-16.321,-459.683,19.821,0609-4-01-286,Fliffis C,-131.067,-207.877,227.787,151.002,592.556,246.718
,,31.572,37.278,-21.215,1.805,-20.278,-63.531,-327.859,175.756,0609-4-01-286,Fliffis C,-131.067,-207.877,227.787,151.002,592.556,246.718
,,16.172,16.834,-6.079,-2.578,-14.599,-184.512,159.548,230.123,0609-4-01-286,Fliffis C,-131.067,-207.877,227.787,151.002,592.556,246.718
,,26.458,16.514,0.324,-1.025,10.918,1.377,220.086,43.404,0609-4-01-286,Fliffis C,-131.067,-207.877,227.787,151.002,592.556,246.718
,,25.978,35.013,-0.812,-0.045,18.62,-9.797,40.636,10.751,20191003-1152-FRANKFURT_1-01-45,Salto B,-19.815,342.584,3.113,30.639,404.534,38.407
,,19.849,15.626,-9.549,-0.542,-14.219,-19.132,343.239,13.028,20191003-1152-FRANKFURT_1-01-45,Salto B,-19.815,342.584,3.113,30.639,404.534,38.407
,,14.307,19.064,-11.112,-0.997,-4.879,-17.314,271.702,7.02,20191003-1152-FRANKFURT_1-01-45,Salto B,-19.815,342.584,3.113,30.639,404.534,38.407
,,21.121,11.196,3.404,1.474,13.105,-3.535,182.156,-7.752,20191003-1152-FRANKFURT_1-01-45,Salto B,-19.815,342.584,3.113,30.639,404.534,38.407
,,33.792,42.546,-2.444,1.097,13.999,-4.627,114.582,7.32,20190930-1616-FRANKFURT_1-01-241,Doppelsalto B,12.45,701.677,-26.069,46.755,745.732,63.306
