SprungID,Sprungtyp,avg_Acc_N_Fil,avg_Gyro_x_R,avg_Gyro_y_R,avg_Gyro_z_R,avg_Gyro_x_Fil,avg_Gyro_y_Fil,avg_Gyro_z_Fil,avg_DJump_SIG_I_x LapEnd,avg_DJump_SIG_I_y LapEnd,avg_DJump_SIG_I_z LapEnd,avg_DJump_I_ABS_x LapEnd,avg_DJump_I_ABS_y LapEnd,avg_DJump_I_ABS_z LapEnd,avg_DJump_ABS_I_x LapEnd,avg_DJump_ABS_I_y LapEnd,avg_DJump_ABS_I_z LapEnd,avg_DJump_SIG_I_S1_x LapEnd,avg_DJump_SIG_I_S1_y LapEnd,avg_DJump_SIG_I_S1_z LapEnd,avg_DJump_SIG_I_S2_x LapEnd,avg_DJump_SIG_I_S2_y LapEnd,avg_DJump_SIG_I_S2_z LapEnd,avg_DJump_SIG_I_S3_x LapEnd,avg_DJump_SIG_I_S3_y LapEnd,avg_DJump_SIG_I_S3_z LapEnd,avg_DJump_SIG_I_S4_x LapEnd,avg_DJump_SIG_I_S4_y LapEnd,avg_DJump_SIG_I_S4_z LapEnd,avg_DJump_I_ABS_S1_x LapEnd,avg_DJump_I_ABS_S1_y LapEnd,avg_DJump_I_ABS_S1_z LapEnd,avg_DJump_I_ABS_S2_x LapEnd,avg_DJump_I_ABS_S2_y LapEnd,avg_DJump_I_ABS_S2_z LapEnd,avg_DJump_I_ABS_S3_x LapEnd,avg_DJump_I_ABS_S3_y LapEnd,avg_DJump_I_ABS_S3_z LapEnd,avg_DJump_I_ABS_S4_x LapEnd,avg_DJump_I_ABS_S4_y LapEnd,avg_DJump_I_ABS_S4_z LapEnd,avg_DJump_ABS_I_S1_x LapEnd,avg_DJump_ABS_I_S1_y LapEnd,avg_DJump_ABS_I_S1_z LapEnd,avg_DJump_ABS_I_S2_x LapEnd,avg_DJump_ABS_I_S2_y LapEnd,avg_DJump_ABS_I_S2_z LapEnd,avg_DJump_ABS_I_S3_x LapEnd,avg_DJump_ABS_I_S3_y LapEnd,avg_DJump_ABS_I_S3_z LapEnd,avg_DJump_ABS_I_S4_x LapEnd,avg_DJump_ABS_I_S4_y LapEnd,avg_DJump_ABS_I_S4_z LapEnd
0609-1-01-39,Strecksprung,11.679,0.183,7.707,3.263,0.098,7.917,3.28,0.076,14.408,6.337,0.076,14.408,6.337,23.212,90.081,39.742,-4.653,24.139,3.122,-1.627,-8.313,-0.978,1.837,-10.983,1.22,4.519,9.565,2.973,4.653,24.139,3.122,1.627,-8.313,-0.978,-1.837,-10.983,1.22,-4.368,9.565,2.973,8.447,24.139,9.288,2.475,22.561,9.855,2.378,10.983,9.237,9.912,32.398,11.362
0609-1-01-40,Salto C,17.119,11.185,184.895,-2.398,10.945,184.5,-2.479,21.727,358.187,-4.678,21.727,358.187,4.678,45.982,378.256,39.469,0.362,45.312,-7.913,12.558,216.919,5.224,9.44,64.306,-4.233,-0.632,31.649,2.243,0.362,45.312,7.913,12.558,216.919,-5.224,9.44,64.306,4.233,-0.632,31.649,-2.243,10.343,65.38,12.299,15.92,216.919,14.605,9.44,64.306,4.338,10.279,31.65,8.227
0609-1-01-41,Fliffis C,29.963,46.263,-173.768,-98.19,46.6,-174.147,-97.696,85.605,-322.343,-182.093,85.605,322.343,182.093,234.317,548.07,221.472,-36.15,-208.004,2.516,-20.352,-209.27,-44.43,132.096,5.763,-91.089,10.011,89.168,-49.09,36.15,208.004,2.516,20.352,209.27,39.399,19.091,-5.763,91.089,10.011,-89.168,49.09,36.156,211.639,23.318,48.242,209.27,57.07,132.096,37.993,91.089,17.823,89.168,49.996
0609-1-01-49,Salto C,15.901,19.173,181.303,-7.287,19.062,181.054,-7.043,37.006,350.05,-14.087,37.006,350.05,14.087,48.258,387.742,40.361,4.943,51.682,-11.52,15.796,202.501,-2.033,10.171,63.52,-0.184,6.095,32.348,-0.35,4.943,51.682,11.52,15.796,202.501,2.033,10.171,63.52,0.184,6.095,32.348,0.35,10.3,88.929,17.295,15.796,202.501,9.351,10.171,63.52,5.205,11.991,32.792,8.512
0609-1-01-50,Fliffis C,32.728,45.374,-168.997,-83.342,45.587,-169.007,-83.351,85.429,-318.974,-157.293,85.429,318.974,157.293,259.276,549.156,201.839,-53.051,-213.908,7.59,-15.582,-199.11,-46.282,138.367,-0.101,-82.129,15.695,94.145,-36.472,53.051,213.908,7.59,15.582,199.11,31.102,1.1,0.101,82.129,15.695,-94.145,36.472,53.076,217.693,14.236,49.169,201.505,59.187,138.367,35.813,82.129,18.664,94.145,46.287
0609-1-01-54,Strecksprung,9.888,0.26,1.435,-6.181,0.203,1.292,-6.145,0.493,2.481,-11.673,0.493,2.481,11.673,23.767,100.739,29.358,-1.773,35.375,-1.367,-5.145,-14.651,-7.625,6.528,-19.249,-5.295,0.883,1.007,2.614,1.773,35.375,1.367,5.145,-14.651,7.625,-6.528,-19.249,5.295,0.103,1.007,-2.614,5.045,35.375,8.065,6.412,21.085,8.659,6.531,19.249,5.605,5.779,25.03,7.029
0609-1-01-57,Salto C,16.669,4.329,184.04,-11.869,4.167,183.701,-11.704,8.423,355.435,-23.086,8.423,355.435,23.086,38.64,391.648,42.475,2.285,28.977,-11.587,4.371,237.663,-5.881,3.995,61.103,-4.207,-2.228,27.693,-1.411,2.285,28.977,11.587,4.371,237.663,5.881,3.995,61.103,4.207,-2.228,27.693,1.411,8.533,64.254,15.085,15.541,237.663,11.576,4.783,61.103,6.102,9.783,28.628,9.712
0609-1-01-58,Fliffis C,32.065,19.522,-190.908,-95.41,19.741,-190.682,-95.451,35.648,-349.888,-174.655,35.648,349.888,174.655,237.7,565.022,224.943,-50.953,-200.139,9.229,-44.333,-240.775,-33.43,121.642,-3.396,-110.304,9.292,94.422,-40.15,50.953,200.139,9.229,44.333,240.775,14.973,-68.929,3.396,110.304,9.292,-94.422,40.15,50.953,201.282,27.237,49.479,241.77,43.668,121.642,27.549,110.304,15.626,94.422,43.734
0609-1-01-65,Salto C,16.732,12.782,184.255,-10.722,12.61,183.745,-10.864,24.666,356.197,-20.722,24.666,356.197,20.722,43.481,385.182,48.63,3.479,39.467,-10.322,14.096,223.414,-6.565,7.076,61.925,-5.492,0.015,31.391,1.657,3.479,39.467,10.322,14.096,223.414,6.565,7.076,61.925,5.492,0.015,31.391,-1.657,8.388,65.842,14.513,16.125,223.414,13.564,7.08,61.925,6.716,11.888,34.002,13.837
0609-1-01-66,Fliffis C,29.993,47.959,-174.414,-89.539,48.216,-174.58,-89.324,89.004,-324.375,-166.476,89.004,324.375,166.476,245.05,551.367,218.933,-41.852,-223.164,1.822,-3.351,-192.038,-36.514,130.747,-1.155,-90.817,3.46,91.982,-40.968,41.852,223.164,1.822,3.351,192.038,32.869,40.342,1.155,90.817,3.46,-91.982,40.968,41.955,224.979,18.94,51.98,192.038,61.296,130.747,42.368,90.817,20.368,91.982,47.881
