SprungID,Sprungtyp,DJump_SIG_I_x LapEnd,DJump_SIG_I_y LapEnd,DJump_SIG_I_z LapEnd,DJump_Abs_I_x LapEnd,DJump_Abs_I_y LapEnd,DJump_Abs_I_z LapEnd,0-mean_ACC_N,0-std_ACC_N,0-mean_ACC_N_ROT_filtered,0-std_ACC_N_ROT_filtered,0-mean_Acc_x_Fil,0-std_Acc_x_Fil,0-mean_Acc_y_Fil,0-std_Acc_y_Fil,0-mean_Acc_z_Fil,0-std_Acc_z_Fil,0-mean_Gyro_x_Fil,0-std_Gyro_x_Fil,0-mean_Gyro_y_Fil,0-std_Gyro_y_Fil,0-mean_Gyro_z_Fil,0-std_Gyro_z_Fil,20-mean_ACC_N,20-std_ACC_N,20-mean_ACC_N_ROT_filtered,20-std_ACC_N_ROT_filtered,20-mean_Acc_x_Fil,20-std_Acc_x_Fil,20-mean_Acc_y_Fil,20-std_Acc_y_Fil,20-mean_Acc_z_Fil,20-std_Acc_z_Fil,20-mean_Gyro_x_Fil,20-std_Gyro_x_Fil,20-mean_Gyro_y_Fil,20-std_Gyro_y_Fil,20-mean_Gyro_z_Fil,20-std_Gyro_z_Fil,40-mean_ACC_N,40-std_ACC_N,40-mean_ACC_N_ROT_filtered,40-std_ACC_N_ROT_filtered,40-mean_Acc_x_Fil,40-std_Acc_x_Fil,40-mean_Acc_y_Fil,40-std_Acc_y_Fil,40-mean_Acc_z_Fil,40-std_Acc_z_Fil,40-mean_Gyro_x_Fil,40-std_Gyro_x_Fil,40-mean_Gyro_y_Fil,40-std_Gyro_y_Fil,40-mean_Gyro_z_Fil,40-std_Gyro_z_Fil,60-mean_ACC_N,60-std_ACC_N,60-mean_ACC_N_ROT_filtered,60-std_ACC_N_ROT_filtered,60-mean_Acc_x_Fil,60-std_Acc_x_Fil,60-mean_Acc_y_Fil,60-std_Acc_y_Fil,60-mean_Acc_z_Fil,60-std_Acc_z_Fil,60-mean_Gyro_x_Fil,60-std_Gyro_x_Fil,60-mean_Gyro_y_Fil,60-std_Gyro_y_Fil,60-mean_Gyro_z_Fil,60-std_Gyro_z_Fil,80-mean_ACC_N,80-std_ACC_N,80-mean_ACC_N_ROT_filtered,80-std_ACC_N_ROT_filtered,80-mean_Acc_x_Fil,80-std_Acc_x_Fil,80-mean_Acc_y_Fil,80-std_Acc_y_Fil,80-mean_Acc_z_Fil,80-std_Acc_z_Fil,80-mean_Gyro_x_Fil,80-std_Gyro_x_Fil,80-mean_Gyro_y_Fil,80-std_Gyro_y_Fil,80-mean_Gyro_z_Fil,80-std_Gyro_z_Fil
0115-MORITZ-03-113,Salto C,26.066,342.069,9.583,32.116,376.463,35.285,32.14,36.791,44.918,38.231,5.023,14.352,-2.974,3.731,20.075,39.095,6.921,11.437,45.139,98.121,-12.367,14.86,16.586,8.237,16.772,5.089,-10.272,5.357,-0.278,0.717,-8.719,7.269,-0.213,6.056,412.78,117.301,8.994,13.662,3.594,0.615,4.451,1.802,-1.636,0.47,-0.428,0.162,-2.997,0.617,14.839,5.355,164.34,5.473,14.026,1.48,2.866,0.671,3.061,0.37,-1.213,0.152,-0.427,0.253,-2.466,0.63,20.896,2.592,122.267,28.282,12.232,3.167,27.481,38.344,13.047,17.353,11.247,20.197,-1.857,2.233,18.519,33.651,19.824,13.302,73.026,100.253,1.018,12.497
0115-MORITZ-03-114,Fliffis- Rudi B,-202.746,-255.06,-490.292,305.483,641.75,529.883,54.586,27.674,62.798,27.782,-16.996,29.861,1.073,3.178,13.107,44.654,-41.696,31.754,-523.54,272.426,18.852,17.765,33.283,15.57,34.248,12.936,-27.139,14.286,-6.678,12.93,-6.629,4.908,-189.713,125.923,-383.049,294.779,-228.889,275.445,35.981,9.614,37.731,8.099,-30.442,8.709,-1.176,11.077,3.39,12.463,-388.739,95.73,-81.735,239.922,-596.386,133.105,22.364,6.832,24.699,6.107,-11.356,5.926,5.429,2.365,-17.719,4.269,100.625,86.328,43.299,165.647,-404.684,116.806,30.795,31.699,19.597,9.731,-3.923,13.605,0.156,4.253,12.124,36.308,9.301,13.175,305.961,121.388,-24.668,56.543
0115-MORITZ-03-115,Doppelsalto B,-34.42,704.061,7.435,58.168,742.895,50.013,34.362,35.443,45.248,36.125,-0.878,12.115,-1.782,2.639,21.0,40.124,6.471,8.79,91.958,181.228,4.307,26.42,28.353,11.714,25.245,10.04,-27.605,11.606,-2.372,1.027,0.23,4.369,-39.743,15.952,477.181,224.226,-11.874,7.936,48.973,10.975,47.292,8.79,-45.318,7.438,-3.455,1.525,-13.859,10.26,-52.583,30.345,755.296,82.998,24.222,20.487,11.431,2.829,17.763,12.729,-7.686,5.387,-0.563,0.79,-7.302,2.687,-4.587,16.094,298.391,103.943,-3.731,9.414,27.984,36.157,15.05,14.387,4.725,16.032,-2.226,2.052,18.832,34.838,4.639,20.089,146.877,70.348,8.14,39.587
0115-MORITZ-03-116,Fliffis aus B,41.721,-280.776,-162.164,137.008,639.79,210.038,47.903,29.267,56.644,29.286,-9.584,26.115,-0.239,2.295,17.412,41.824,-5.788,36.896,-413.924,236.696,34.264,11.042,44.196,6.352,44.929,2.685,-42.055,7.562,1.955,1.339,-8.416,5.033,-58.435,25.429,-723.266,76.037,-9.899,34.008,19.176,8.085,22.37,6.856,-11.83,4.795,-6.454,8.159,-9.138,4.602,23.423,110.488,-53.183,134.356,-256.49,122.24,15.321,2.698,15.955,2.061,-5.532,1.397,2.54,1.296,-13.658,2.849,144.87,71.99,170.736,37.176,-187.562,43.817,30.881,30.508,19.198,10.765,0.032,18.106,-0.043,2.619,12.907,34.087,5.649,20.12,281.586,119.8,-11.142,40.929
0115-MORITZ-03-117,Voll- ein- voll- aus B,-334.275,147.975,-705.654,424.918,552.829,739.725,35.042,30.719,45.809,30.252,-1.738,20.167,-4.969,5.217,17.3,33.305,-232.648,201.085,280.731,144.919,-266.262,165.876,42.842,8.27,40.906,9.037,-37.886,6.091,3.479,6.46,-9.146,13.18,-429.179,214.02,77.38,256.655,-856.308,177.146,46.843,11.012,46.895,8.599,-33.015,6.703,17.288,12.255,-21.082,12.822,-317.375,306.714,-439.486,193.383,-430.987,68.324,26.8,6.607,28.601,4.141,-13.522,5.459,-1.387,6.938,-21.145,1.384,84.667,65.369,214.488,86.324,-390.456,156.65,37.018,28.977,26.25,9.802,-1.045,20.607,-2.514,5.472,14.162,36.484,-12.777,34.025,267.087,76.197,29.404,61.082
0115-MORITZ-03-118,Voll- ein- halb- aus B,-382.184,-207.754,-483.358,398.837,622.642,512.84,44.892,29.311,56.781,26.662,-6.286,19.533,-4.794,4.773,14.312,42.237,-16.567,64.286,-382.925,190.361,-105.793,157.232,37.097,7.669,32.253,5.147,-27.889,3.804,4.177,18.058,-6.908,10.684,-597.017,159.332,-9.51,261.282,-613.158,228.252,47.26,9.314,49.535,5.972,-35.202,3.178,16.67,6.794,-23.694,11.13,-376.919,89.783,-610.212,107.42,-129.937,139.941,22.579,5.726,25.651,5.917,-14.611,7.915,-1.656,2.693,-15.146,1.89,-75.218,31.325,32.841,132.313,-487.616,158.053,35.884,24.14,26.238,6.161,-8.396,17.252,-2.028,4.578,10.324,33.609,-24.063,27.123,384.708,93.7,-43.417,61.662
0115-MORITZ-03-119,Voll- ein- voll- aus A,-341.97,266.286,-662.809,414.334,508.515,712.301,34.494,27.168,44.177,25.748,-4.846,14.559,-5.183,4.392,14.64,34.203,-272.403,141.355,298.751,164.566,-279.734,136.841,49.952,10.59,44.381,13.597,-37.525,3.901,2.913,4.577,-27.503,15.806,-150.458,211.731,88.192,283.975,-826.594,167.858,36.37,8.855,37.136,7.847,-28.058,5.883,6.128,8.363,-20.682,6.453,-589.355,165.016,-88.565,339.133,-367.908,144.545,40.636,13.604,43.848,10.616,-27.303,11.721,1.991,4.601,-28.589,6.177,11.633,62.627,142.697,204.364,-563.884,307.151,36.969,22.164,29.26,7.812,-6.699,17.127,-0.761,2.915,14.008,33.765,-23.221,73.129,354.465,123.541,45.674,100.1
0115-MORITZ-03-128,Salto C,-6.994,345.277,12.626,23.611,386.925,33.298,33.894,35.512,46.412,36.15,5.347,14.955,-0.716,0.746,20.798,39.052,-1.143,16.743,30.694,120.068,4.176,16.34,18.263,11.153,18.408,6.818,-10.052,6.659,-0.819,1.134,-9.031,8.897,-17.339,16.259,412.797,120.712,15.152,14.739,3.574,0.919,4.462,2.089,-1.698,0.514,-0.573,0.441,-2.785,0.27,2.423,3.825,156.728,13.426,3.379,4.328,2.93,0.558,2.898,0.172,-1.565,0.362,-0.684,0.296,-2.184,0.586,-1.279,2.096,88.776,20.139,2.536,4.939,25.273,38.885,11.143,15.393,8.58,16.028,-1.744,2.064,18.539,35.092,0.155,11.032,142.027,94.454,3.689,24.351
0115-MORITZ-03-129,Fliffis aus B,76.099,-237.306,-174.244,148.974,613.944,220.202,52.053,30.853,61.045,29.694,-12.186,26.269,-0.652,2.354,15.336,46.034,1.449,25.275,-450.791,260.458,16.486,30.804,34.253,14.694,38.815,9.117,-31.861,14.953,0.73,1.593,-7.776,4.856,-33.975,34.959,-584.004,233.468,-17.719,37.263,19.424,4.689,18.11,3.086,-9.349,4.298,-4.721,5.708,-13.17,4.494,106.903,126.379,-10.1,40.154,-256.846,45.795,13.712,2.317,14.97,2.863,-4.78,0.954,2.574,1.167,-12.422,2.447,136.071,74.794,188.029,28.506,-161.527,38.803,30.13,31.525,18.532,10.529,-0.314,15.603,-0.966,3.038,14.54,34.945,-20.602,15.529,267.688,93.031,-15.743,51.882
0115-MORITZ-03-130,Voll- ein- voll- aus B,-317.235,150.18,-710.679,461.631,562.01,737.473,37.0,31.976,46.368,32.855,-6.138,16.741,-2.458,6.788,22.597,35.362,-249.849,186.551,203.484,170.757,-313.952,198.906,42.514,8.778,40.764,7.418,-37.554,7.151,5.683,9.873,-6.101,12.005,-506.902,218.558,78.352,283.09,-832.998,204.353,42.973,11.313,43.688,9.202,-31.427,6.053,11.996,15.603,-20.283,5.17,-223.631,206.522,-367.789,315.762,-433.889,106.31,22.752,4.066,25.315,4.183,-8.083,5.322,1.65,3.628,-19.757,2.761,160.435,80.683,240.498,21.373,-256.921,119.596,32.796,33.828,21.269,11.749,1.21,19.164,-2.251,4.827,15.593,36.753,4.687,29.265,227.527,81.925,9.932,51.811
