ACC_N,ACC_N_ROT_filtered,Acc_x_Fil,Acc_y_Fil,Acc_z_Fil,Gyro_x_Fil,Gyro_y_Fil,Gyro_z_Fil,SprungID,Sprungtyp,DJump_SIG_I_x LapEnd,DJump_SIG_I_y LapEnd,DJump_SIG_I_z LapEnd,DJump_Abs_I_x LapEnd,DJump_Abs_I_y LapEnd,DJump_Abs_I_z LapEnd
86.528,73.162,14.997,28.436,74.645,54.451,215.046,-102.58,20191008-1207-FRANKFURT_2-01-364,Salto A,48.935,342.174,-87.658,50.904,344.94,98.19
24.186,70.677,1.704,10.498,23.551,12.912,312.97,-23.757,20191008-1207-FRANKFURT_2-01-364,Salto A,48.935,342.174,-87.658,50.904,344.94,98.19
14.031,23.497,-3.369,-1.635,-7.226,32.503,204.514,-25.373,20191008-1207-FRANKFURT_2-01-364,Salto A,48.935,342.174,-87.658,50.904,344.94,98.19
5.319,11.463,0.152,-1.797,-0.375,35.904,134.992,-72.527,20191008-1207-FRANKFURT_2-01-364,Salto A,48.935,342.174,-87.658,50.904,344.94,98.19
11.673,8.692,3.149,-4.058,-8.284,-4.898,118.42,-62.629,20191008-1207-FRANKFURT_2-01-364,Salto A,48.935,342.174,-87.658,50.904,344.94,98.19
8.404,9.795,-1.467,-1.263,-8.39,9.823,164.534,-44.638,20191008-1207-FRANKFURT_2-01-364,Salto A,48.935,342.174,-87.658,50.904,344.94,98.19
9.306,9.076,-2.752,-2.052,-8.342,19.76,206.891,-50.094,20191008-1207-FRANKFURT_2-01-364,Salto A,48.935,342.174,-87.658,50.904,344.94,98.19
7.988,8.844,-2.764,-1.041,-7.377,15.087,215.949,-66.112,20191008-1207-FRANKFURT_2-01-364,Salto A,48.935,342.174,-87.658,50.904,344.94,98.19
7.424,7.888,-2.844,-1.101,-6.838,34.422,217.816,-55.07,20191008-1207-FRANKFURT_2-01-364,Salto A,48.935,342.174,-87.658,50.904,344.94,98.19
8.33,7.64,-3.606,-1.453,-7.052,35.2,211.862,-54.811,20191008-1207-FRANKFURT_2-01-364,Salto A,48.935,342.174,-87.658,50.904,344.94,98.19
6.993,7.857,-3.399,-1.537,-6.015,20.817,205.92,-52.103,20191008-1207-FRANKFURT_2-01-364,Salto A,48.935,342.174,-87.658,50.904,344.94,98.19
6.936,7.158,-3.06,-1.798,-6.051,17.988,184.681,-31.782,20191008-1207-FRANKFURT_2-01-364,Salto A,48.935,342.174,-87.658,50.904,344.94,98.19
8.115,7.241,-3.789,-2.075,-6.719,21.461,173.322,-24.619,20191008-1207-FRANKFURT_2-01-364,Salto A,48.935,342.174,-87.658,50.904,344.94,98.19
8.259,8.073,-4.885,-1.127,-6.638,19.258,170.054,-30.39,20191008-1207-FRANKFURT_2-01-364,Salto A,48.935,342.174,-87.658,50.904,344.94,98.19
8.576,8.43,-5.646,-1.33,-6.379,12.277,171.504,-19.22,20191008-1207-FRANKFURT_2-01-364,Salto A,48.935,342.174,-87.658,50.904,344.94,98.19
9.743,8.836,-6.735,-1.836,-6.664,14.394,169.569,-35.176,20191008-1207-FRANKFURT_2-01-364,Salto A,48.935,342.174,-87.658,50.904,344.94,98.19
11.719,10.11,-8.739,-1.407,-6.549,23.714,204.174,-53.354,20191008-1207-FRANKFURT_2-01-364,Salto A,48.935,342.174,-87.658,50.904,344.94,98.19
5.562,10.146,-5.273,-0.223,-0.954,38.741,317.718,-38.377,20191008-1207-FRANKFURT_2-01-364,Salto A,48.935,342.174,-87.658,50.904,344.94,98.19
9.932,6.264,-2.382,2.258,10.724,82.135,431.259,-84.819,20191008-1207-FRANKFURT_2-01-364,Salto A,48.935,342.174,-87.658,50.904,344.94,98.19
